start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everybody, Andy here. Just before we start this week's show, we have two exciting announcements"
00:00:05,00:00:09,to make. The first is about who our special guest is this time and the second is about
00:00:09,00:00:14,"a live show we have coming up. So firstly, our guest this week is the brilliant comedian"
00:00:14,00:00:18,"Rachel Parris. Rachel's been on once before, but if you haven't heard of her or you didn't"
00:00:18,00:00:24,"hear that episode, she is a fantastic writer, comedian, presenter, musician, you name it."
00:00:24,00:00:30,"She's an ostentatious, the Jane Austen themed improvised comedy show. She also is in the"
00:00:30,00:00:34,"throes of publishing her first ever book. It's called Advice from Strangers, Everything"
00:00:34,00:00:40,I Know from People I Don't Know. She toured around for a year asking her live audience
00:00:40,00:00:44,"for advice and this book is the brilliant result. It's funny, it's uplifting, the"
00:00:44,00:00:49,advice range is from be kind to never pass up the opportunity for a wee. It spans the
00:00:49,00:00:54,gamut. It's a brilliant book and it's out in paperback now so do check it out.
00:00:54,00:00:58,The second thing to say is that we have a live No Such Thing as a Fish coming up on
00:00:58,00:01:04,the 21st of April and this is a global streaming event. Very exciting. We're doing a show
00:01:04,00:01:10,"at the British Library, the world hallowed British Library. As part of their season,"
00:01:10,00:01:14,"special season all about animals, it's called Fantastic Beasts and we're going to be having"
00:01:14,00:01:20,a very special guest on the show and the show will be streamed globally. If you go do No
00:01:20,00:01:25,Such Thing as a Fish dot com forward slash live you'll be able to get streaming tickets
00:01:25,00:01:29,"so you can sign up, buy a ticket and watch from the comfort of your own home wherever"
00:01:29,00:01:35,"in the world you are from Keterine to Kalamazoo, all the tickets as I say at No Such Thing"
00:01:35,00:01:41,"as a Fish dot com slash live. We hope to see you there. Alright, that's it on with the"
00:01:41,00:02:03,"show. Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:02:03,00:02:08,"coming to you from the QI offices in Covent Garden. My name is Dan Schreiber, I am sitting"
00:02:08,00:02:14,"here with James Harkin, Andrew Hunter Murray and Rachel Parris and once again we have gathered"
00:02:14,00:02:18,round the microphones with our four favorite facts from the last seven days and in a particular
00:02:18,00:02:25,"order here we go. Starting with fact number one, that is Rachel. My fact is Dame Maura"
00:02:25,00:02:31,Limpany remains the only castaway on Desert Island Discs to have chosen entirely her
00:02:31,00:02:40,"own recordings to be marooned with which I admire. Me too, bold. Straight in. I feel"
00:02:40,00:02:44,"like I should say straight away like in her defence, it was her second appearance on the"
00:02:44,00:02:50,"show, her first was 22 years earlier and she didn't want to repeat any of her choices."
00:02:50,00:02:53,"And there probably hadn't been any music in the audience. That's the problem, back in"
00:02:53,00:02:57,"the day there was eight songs so that's yeah, that's a big problem. We should quickly say"
00:02:57,00:03:01,because our British listeners will obviously know what Desert Island Discs is but not the
00:03:01,00:03:06,"young ones. Not the young ones possibly, but international people won't know it either."
00:03:06,00:03:18,"This is children and foreigners. A new book by Sally Rooney. Yeah, so it's the UK's I"
00:03:18,00:03:22,believe longest running radio show if not it's right up there at the top. It's an interview
00:03:22,00:03:27,"show and the basic premise of it is you bring eight records onto the show, songs you love,"
00:03:27,00:03:30,that means something to you and then at the end you're asked to make a decision. You're
00:03:30,00:03:34,going to be marooned on the Desert Island. What one song are you going to save while
00:03:34,00:03:39,the seven other wash away and you get to bring a book and you get to bring a luxury item
00:03:39,00:03:43,"and it's awesome. It's my favourite radio show. Yeah, and they use that to talk about"
00:03:43,00:03:48,their life and thoughts and everything as well. So it's really like esteemed isn't it
00:03:48,00:03:55,in British culture. I think it was Dame Elizabeth Schwarzkopf who did a lot of her own recording.
00:03:55,00:04:02,"She was a soprano, but it was only Maureen Limpany who chose entirely. I read that Schwarzkopf"
00:04:02,00:04:08,picked seven out of eight featured her voice and was Dame Maureen Limpany she was a pianist.
00:04:08,00:04:19,Pianist. Pianist. There's a hinge in Pian. Pianist. To be fair to her Limpany she didn't
00:04:19,00:04:24,pick songs composed by her. They were Mozart songs and they were Chopin and stuff like that.
00:04:24,00:04:27,"So they were all classical pieces that she was playing on, but then you get people like"
00:04:27,00:04:34,"Norman Wisdom who is for children and overseas people. He was a comedian, very big in Albania."
00:04:34,00:04:38,I mean anyone under 80 is going to struggle with Norman Wisdom. What about him? Well he
00:04:38,00:04:43,"chose five of his eight as his own songs, but I think his actual own songs don't laugh"
00:04:43,00:04:48,"at me because I'm a fool, stuff like that. Someone who chose three of their own for foreigners"
00:04:48,00:04:58,and not for children was Rolf Harris. Oh gosh. Just for the edit. Wow. One weird one was
00:04:58,00:05:06,David Frost who picked David Frost interviews. Not even music. Did he do the next one? Most
00:05:06,00:05:11,"of them. I'm not sure that he did bizarrely. With those people, I do wonder if was it just"
00:05:11,00:05:17,"a matter of having not thoroughly researched what the program is? Well, in the early days"
00:05:17,00:05:22,"I think. It's so eminent. These days being invited on a desk is basically, in Britain"
00:05:22,00:05:28,it's kind of a minor gong. It's like getting an MBE or something. I'm sure you guys found
00:05:28,00:05:32,out that some people have done it twice. That's pretty eminent. That's like double gong. You
00:05:32,00:05:35,got some people who've done it three times. I need two people as far as I can tell I've
00:05:35,00:05:40,done it four times. Oh really? Yeah. Do we get to guess who? Have a guess. Someone like
00:05:40,00:05:49,"Maggie Smith. Yeah, I would say even more eminent. David Attenborough. Oh wow. And if you guys"
00:05:49,00:05:54,guessed the other one without having read about it already. I was going to try and word
00:05:54,00:05:58,"my way in some way. Wait, I don't know. Is it one of the chuckle brothers? It's Barry"
00:05:58,00:06:03,"Chuckle. Yeah, and his luxury was Paul Chuckle, which was nice. Sorry, is it actually bad?"
00:06:03,00:06:09,"No, no, no. Don't do that. I believed you. It is a comedian, isn't it, from old? Yeah,"
00:06:09,00:06:13,"Arthur Aske. So modern name that cuts a lot of ice today. But like a musical guy, was"
00:06:13,00:06:20,"he? Yeah, yeah, a really, really famous comedian in the 50s and 40s and 50s. Yeah. The original"
00:06:20,00:06:24,host was a guy called Roy Plombly who invented it. And he invented it during the Second World
00:06:24,00:06:28,"War, actually. It was a sort of wartime commission to cheer people up and it was just clearly"
00:06:28,00:06:34,"a good idea. But he was incredibly austere about it. And in fact, he was so controlling"
00:06:34,00:06:40,that the early shows were scripted. So he would script each dialogue in advance and
00:06:40,00:06:45,then they'd just sit and they'd read the script. And then that was it. And it was largely just
00:06:45,00:06:49,"about the music, wasn't it? It was basically like being Zoe Ball and sort of going, let's"
00:06:49,00:06:53,"listen to this next track. It was, you know, they were DJing to an extent. Also, he would"
00:06:53,00:06:56,"ask about whether you could survive on a desert island, as in he was incredibly interested"
00:06:56,00:07:01,"in it. He would ask like, can you build your own shelter? Can you fish? Can you swim? You"
