start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,(upbeat music)
00:00:01,00:00:04,"- Hey everyone, welcome to this week's episode of Fish."
00:00:04,00:00:06,"Before we get going, I just want to let you know"
00:00:06,00:00:07,a couple of things.
00:00:07,00:00:09,"Firstly, the episode you're about to hear"
00:00:09,00:00:12,is the last ever episode to be recorded
00:00:12,00:00:14,at the QI offices in Covent Garden
00:00:14,00:00:17,as we pack up shop and move on to our new offices
00:00:17,00:00:18,in Hoburn.
00:00:18,00:00:21,"So we thought, you know, if we're gonna go out,"
00:00:21,00:00:22,we should go out strong.
00:00:22,00:00:24,So we reached out to nerd royalty
00:00:24,00:00:27,"and fortunately she said, yes, it's Hannah Fry."
00:00:27,00:00:31,"My goodness, we are such huge fans of her at the QI office."
00:00:31,00:00:33,I think every elf has probably read her books.
00:00:33,00:00:35,"Hello World, if you've not read that by the way,"
00:00:35,00:00:36,is an incredible book.
00:00:36,00:00:38,I'm sure you've all seen her TV series
00:00:38,00:00:41,which was out November of last year on BBC Two
00:00:41,00:00:43,"called The Secret Genius of Modern Life,"
00:00:43,00:00:45,was absolutely phenomenal.
00:00:45,00:00:47,"She makes incredible TV, she writes incredible books"
00:00:47,00:00:51,and she is such a good guest on this week's episode.
00:00:51,00:00:54,"You have to by the way, check out her latest show."
00:00:54,00:00:56,You can find it on bloomberg.com
00:00:56,00:00:59,and it's called The Future with Hannah Fry.
00:00:59,00:01:02,It is a look into the world of scientists and inventors
00:01:02,00:01:05,who are changing the way the world is gonna be
00:01:05,00:01:06,over the next century.
00:01:06,00:01:08,These are people who are looking into seeing
00:01:08,00:01:11,if we can live a life beyond 150 years old
00:01:11,00:01:13,who are working out whether or not computers
00:01:13,00:01:15,will be able to read our emotions
00:01:15,00:01:17,and trying to find out if they can make a planet
00:01:17,00:01:19,that will be utterly transformed
00:01:19,00:01:21,by unlimited clean energy.
00:01:21,00:01:23,"So do check that out, it's on bloomberg.com"
00:01:23,00:01:26,or you can find the entire series on YouTube as well.
00:01:26,00:01:30,"And otherwise, next time you happen to be"
00:01:30,00:01:33,"in Covent Garden, do take a walk down Maiden Lane"
00:01:33,00:01:36,and if you look above the barbershop
00:01:36,00:01:38,"that's called Ruffians, you'll see a window there."
00:01:38,00:01:39,That's where we were for nine years.
00:01:39,00:01:43,"James Andy, Anna and I just sat there dorking out"
00:01:43,00:01:44,and we're gonna miss the place
00:01:44,00:01:46,but we're looking forward to the next chapter
00:01:46,00:01:48,and that will be next week's episode.
