start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone, welcome to this week's episode of no such thing as a fish before we get going"
00:00:04,00:00:08,I have some news and that is that we are going to do some live shows now
00:00:08,00:00:15,This news will not be news to those of you who are members of club fish because you have already had your priority
00:00:15,00:00:23,"Bucking time, but to everyone else the tickets will be available on Friday the 12th of May at 2 p.m"
00:00:23,00:00:29,UK time that is today if you're listening to the show the day it goes out or it's a Friday in the past
00:00:29,00:00:34,If you're not so the tickets are very likely to be available right now
00:00:34,00:00:39,And the way you get those is to go to no such thing as a fish dot com forward slash soho
00:00:39,00:00:42,The shows will be at the Soho theater in London
00:00:42,00:00:46,They take place from the 17th of July to the 21st of August
00:00:46,00:00:52,It's gonna be a whole lot of fun loads of facts loads of dorkiness loads of special special guests
00:00:52,00:00:57,And as I said if you want tickets for that you can go to no such thing as a fish dot com forward slash soho
00:00:57,00:01:01,"If you're thinking it's in London, I can't get to there"
00:01:01,00:01:08,I live all the way in Belgium then fear not because we also will be doing one show in Belgium at the nerd land
00:01:08,00:01:13,"Festival that will be with our old friend leaving Skyra, and that will take place"
00:01:13,00:01:17,Zondag
00:01:17,00:01:19,the 28th of May
00:01:19,00:01:22,Which luckily I mean my I assume that's Flemish
00:01:23,00:01:30,"It's not that good, but luckily my diary tells me it will be on Sunday the 28th of May and tickets for that are available at"
00:01:30,00:01:36,Nerdland festival dot be so hope to see lots of you at some of those gigs
00:01:36,00:01:39,But as far as today's podcast is concerned
00:01:39,00:01:44,It is a live show and it was one that we did at the British library with the incredible
00:01:44,00:01:50,comedy actor and genius that is Sally Phillips. We did this show for the
00:01:50,00:01:56,Fantastic Beasts exhibition at the British library. They wanted us to do a show all about animals and
00:01:56,00:02:02,"I'll be honest. We stretched that a fair bit from time to time, but we had so much fun"
00:02:02,00:02:08,I really hope you enjoy this show. I'm sure you will and I guess what else is there to say apart from on with a podcast
00:02:08,00:02:32,Hello and welcome to another episode of no such thing as a fish a weekly podcast this week coming to you live from the British library
00:02:37,00:02:39,My name is Dan Shriver
00:02:39,00:02:44,I am sitting here with James Harkin Andrew Hunter Murray and Sally Phillips and once again
00:02:44,00:02:46,We yes and once again
00:02:46,00:02:52,We have gathered around the microphones with our four favorite facts from the last seven days and in no particular order here
00:02:52,00:02:56,We go starting with fact number one and that is my fact
00:02:56,00:03:01,My fact this week is that the British library's fantastic beasts collection
00:03:01,00:03:06,Originally included accounts of a nine-foot dragon terrorizing Essex
00:03:07,00:03:12,And an army of horses that teleported to rural Wales
00:03:12,00:03:21,"And it was donated by the founder of the British Museum, Sir Han Sloan. Wow. So he was a nutcase"
00:03:21,00:03:26,So here's the thing right he's a Han Sloan if you don't know who he is
00:03:26,00:03:29,He was one of the founders of the British Museum an incredible guy
00:03:29,00:03:34,He was a doctor and at the top of being a doctor. He was obsessed with collecting he collected everything
00:03:34,00:03:39,And that's what became the basis of the British Museum's collection. He was a hoarder. He was a hoarder. Yeah
00:03:39,00:03:45,I mean he was a serious hoarder. He had he had like a separate apartment to hoard in because it got too much in his own
00:03:45,00:03:51,"Yeah, and how did he die? Did it all collapse on him exactly a museum pillar took him out?"
00:03:51,00:03:56,"No, he he was quite old. I think when he died. I think he was in his 90s 93"
