start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,[music]
00:00:01,00:00:03,"Hey everybody, Dan and Andy here."
00:00:03,00:00:06,Just wanted to let you know our special guest on this week's fish
00:00:06,00:00:10,"is none other than old friend of the podcast,"
00:00:10,00:00:13,"your friend of mine, Alex Bell."
00:00:13,00:00:15,"That's right, Alex has returned."
00:00:15,00:00:16,"I mean he hasn't been on for ages,"
00:00:16,00:00:19,but he has been there in the background the whole time.
00:00:19,00:00:20,Anytime you hear a song or a noise.
00:00:20,00:00:22,"Shadowy, the spider master."
00:00:22,00:00:24,"But now he's back, he's funnier than ever."
00:00:24,00:00:25,We can't wait for you to hear it.
00:00:25,00:00:28,"He's brilliant, it's gonna be great."
00:00:28,00:00:29,"So now I guess with no further ado,"
00:00:29,00:00:31,let's get on with the only podcast
00:00:31,00:00:33,any of us has ever made or will ever make.
00:00:33,00:00:34,Right Dan?
00:00:34,00:00:37,"Ah, actually I've got a bit of news."
00:00:37,00:00:38,What?
00:00:38,00:00:39,"Yeah, I don't want this to be a shock,"
00:00:39,00:00:42,but I've actually launched a new podcast.
00:00:42,00:00:42,"Alright, what's it called?"
00:00:42,00:00:44,It's called We Can Be Weirdos.
00:00:44,00:00:48,"Oh, I see, and I guess it's just about solid facts though, right?"
00:00:48,00:00:50,"It's about stuff with a strong, evidential base."
00:00:50,00:00:52,"Well, let's ignore that question quickly"
00:00:52,00:00:53,and focus on what the show is about.
00:00:53,00:00:57,So it's a weekly show where I sit down with someone remarkable
00:00:57,00:00:59,and I try and find out all the weird stuff
00:00:59,00:01:01,that they believe in and all the weird stuff
00:01:01,00:01:02,they do in their life.
00:01:02,00:01:05,So it features everyone from British museum curators
00:01:05,00:01:08,like Irving Finkel who told me stuff about how he sits on buses
00:01:08,00:01:10,and stares at the back of people's head
00:01:10,00:01:12,trying to make them turn around.
00:01:12,00:01:14,It's got a Betsy Cameron who used to be a part
00:01:14,00:01:17,of the Children of God cult but who escaped
00:01:17,00:01:18,and wrote a fascinating memoir about it.
00:01:18,00:01:21,There's Steve Feltham who is the Guinness World Record
