start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:06,- Hello and welcome to a brand new episode
00:00:06,00:00:07,of No Such Things as Fish.
00:00:07,00:00:09,"First things first, let me tell you"
00:00:09,00:00:11,"about our very, very, very special guest"
00:00:11,00:00:15,"and that is Phil Dunster, the brilliant actor"
00:00:15,00:00:17,who plays the character Jamie Tartt
00:00:17,00:00:20,"in the unbelievable TV show, Ted Lasso."
00:00:20,00:00:22,"I don't know if you've watched Ted Lasso,"
00:00:22,00:00:24,"if you haven't, it's definitely worth checking out."
00:00:24,00:00:26,It's on Apple TV right now.
00:00:26,00:00:28,They're about to show the final episode
00:00:28,00:00:30,"and if you don't have Apple TV,"
00:00:30,00:00:31,I'm pretty sure you'll be able
00:00:31,00:00:34,to get a free trial somewhere and it's well worth it.
00:00:34,00:00:35,There's loads of good stuff on there
00:00:35,00:00:37,but especially Ted Lasso is such a good show.
00:00:37,00:00:39,Phil actually does listen to fish
00:00:39,00:00:42,so he came well prepared with loads and loads of facts.
00:00:42,00:00:44,It was such a fun show to record
00:00:44,00:00:46,and we all had such a great time.
00:00:46,00:00:48,Few more little bits of news.
00:00:48,00:00:50,We have some live shows coming up
00:00:50,00:00:52,in the Soho Theatre in London.
00:00:52,00:00:54,There are still tickets available for that
00:00:54,00:00:56,although some of the dates are now sold out
00:00:56,00:00:59,so you wanna get in there really quick
00:00:59,00:01:00,to get tickets for that
00:01:00,00:01:01,and those tickets can be found
00:01:01,00:01:05,at knowstichthingasafish.com/soho
00:01:05,00:01:07,"and apart from that, join up to Club Fish."
00:01:07,00:01:10,There's loads of fun stuff happening there all the time.
00:01:10,00:01:13,"There's bonus episodes, there's Discord"
00:01:13,00:01:15,where you can chat to fellow Fish fans.
00:01:15,00:01:17,You'll learn about live tickets first.
00:01:17,00:01:19,There's all sorts of bonuses for signing up to that
00:01:19,00:01:21,"so do that and apart from anything else,"
00:01:21,00:01:23,if you're listening in a place
00:01:23,00:01:26,where you can follow knowstichthingasafish then do that.
00:01:26,00:01:28,We taught some industry bots the other day
00:01:28,00:01:31,and they said that is very important
00:01:31,00:01:33,that you click follow if you like us.
00:01:33,00:01:35,"Anyway, enough about that."
00:01:35,00:01:36,Really hope you enjoy this show with Phil.
00:01:36,00:01:38,I'm absolutely certain you will
00:01:38,00:01:41,and all I can say is on with a podcast.
00:01:41,00:01:44,(upbeat music)
00:01:55,00:01:58,- Hello and welcome to another episode
00:01:58,00:01:59,"of knowstichthingasafish,"
00:01:59,00:02:01,a weekly podcast coming to you
00:02:01,00:02:03,from the QI offices in Hoburn.
00:02:03,00:02:04,My name is Dan Schreiber.
00:02:04,00:02:06,"I am sitting here with James Harkin,"
00:02:06,00:02:08,Andrew Hunter Murray and Phil Dunster.
00:02:08,00:02:11,"And once again, we have gathered around the microphones"
00:02:11,00:02:14,with our four favorite facts from the last seven days
00:02:14,00:02:17,"and in no particular order, here we go."
00:02:17,00:02:21,"Starting with fact number one, that is Phil."
00:02:21,00:02:25,- My fact this week is that the Shakespeare's Globe Theater
00:02:25,00:02:28,is the only building with a thatched roof in London
00:02:28,00:02:32,since the great fire of London in 1666.
00:02:32,00:02:34,- Very cool.
00:02:34,00:02:35,- Andy is very excited right now.
00:02:35,00:02:36,- That's so excited.
00:02:36,00:02:37,"- Thatched roofs, are you kidding me?"
00:02:37,00:02:38,- Yeah.
00:02:38,00:02:39,- This is brilliant.
00:02:39,00:02:40,- This is your thing.
00:02:40,00:02:41,- Jonish.
00:02:41,00:02:42,- Is it a fetish?
00:02:42,00:02:45,"- No, I wouldn't say fetish."
00:02:45,00:02:48,- Would you like to have sex underneath the thatched roof?
00:02:48,00:02:50,- Everyone's got a bucket list.
00:02:50,00:02:52,(laughing)
00:02:52,00:02:54,"- Anyway, look, the Globe Theater, sorry."
00:02:54,00:02:55,(laughing)
00:02:55,00:02:57,"- So what's the story, what's going on?"
00:02:57,00:03:00,- So Andrew Hunter Murray had sex inside the Globe Theater.
00:03:00,00:03:01,(laughing)
00:03:01,00:03:02,'Cause it had a thatched roof.
00:03:02,00:03:08,"It was fascinating, it was originally built in Shoreditch."
00:03:08,00:03:12,It was called the Burbage Theater in 1576.
00:03:12,00:03:15,And the land was owned by this bloke called Giles Allen.
00:03:15,00:03:19,"And when the lease on the theater came up,"
00:03:19,00:03:20,he didn't want to renew it.
00:03:20,00:03:22,"And so the Chamberlain's men,"
00:03:22,00:03:24,"which is Shakespeare's company of actors,"
00:03:24,00:03:27,"they decided that they will just literally upsticks,"
00:03:27,00:03:30,take all of the timber from that theater
00:03:30,00:03:33,and hide it in someone's shed for a bit.
00:03:33,00:03:34,(laughing)
00:03:34,00:03:37,"And then, whilst Allen was away at Christmas,"
00:03:37,00:03:39,they built it a few hundred meters away from
00:03:39,00:03:42,"where the current Globe Theater currently is,"
00:03:42,00:03:43,is where they built the original.
00:03:43,00:03:44,"- So that one was thatched,"
00:03:44,00:03:47,the sort of proper original South Bank.
00:03:47,00:03:48,- But that will have been
00:03:48,00:03:49,before the Great Fire of London will it?
00:03:49,00:03:51,- That was Shakespeare's time.
00:03:51,00:03:53,"- Yeah, it didn't hang around for very long."
00:03:53,00:03:57,"It was 1599, I think, was when it was built."
00:03:57,00:03:59,And then it was actually burned down itself.
00:03:59,00:04:02,It didn't need no Great Fire of London to burn itself down.
00:04:02,00:04:04,- Wasn't it a cannon during a play?
00:04:04,00:04:05,"- Yeah, yeah, yeah."
00:04:05,00:04:07,- I think it was Henry VIII?
00:04:07,00:04:07,Was it?
00:04:07,00:04:08,That bastard?
00:04:08,00:04:11,(laughing)
00:04:11,00:04:15,- I think it's one of the least good histories.
00:04:15,00:04:16,I don't wanna--
00:04:16,00:04:18,"- Well, they don't play it very often, do they?"
00:04:18,00:04:20,- They don't go down the Globe and see Henry VIII.
00:04:20,00:04:21,"- No, well, I think there must be a reason for that."
00:04:21,00:04:23,"- Yeah, but last time they performed it,"
00:04:23,00:04:27,"the whole fucking thing, probably on the band list."
00:04:27,00:04:29,So did Shakespeare do his stuff in Burbage's Theater
00:04:29,00:04:31,up in the East London side?
00:04:31,00:04:32,"- Sure did, yeah."
00:04:32,00:04:33,"- Oh, really?"
00:04:33,00:04:35,So was anything ever performed in his lifetime during--
00:04:35,00:04:39,"- Well, yeah, Lightfill says they moved the Globe down to--"
00:04:39,00:04:41,- And Shakespeare went along with it.
00:04:41,00:04:41,"- Yeah, yeah."
00:04:41,00:04:43,"- I think they rebuilt it within his lifetime,"
00:04:43,00:04:45,even though it burned down quite closely.
00:04:45,00:04:47,"He died in 1616, and I think it burned down"
00:04:47,00:04:49,"not long before that, but they rebuilt it,"
00:04:49,00:04:52,and they're still showing new Shakespeare plays there.
00:04:52,00:04:53,"- Well, that's really good to know,"
00:04:53,00:04:54,"because whenever I pass it, I think,"
00:04:54,00:04:56,"oh, this is just a replica."
00:04:56,00:04:59,It's not got any kind of original meat to it.
00:04:59,00:05:02,"Shakespeare was dead by then, it's just a fake."
00:05:02,00:05:04,But if he was alive while people were performing--
00:05:04,00:05:06,"- Well, the modern one is a new one."
00:05:06,00:05:07,It's completely new.
00:05:07,00:05:08,- It's an even more new one.
00:05:08,00:05:11,"- Yeah, so the modern one was built in the, what, '80s?"
00:05:11,00:05:12,- '90s.
00:05:12,00:05:13,"- Something like that, in the '90s, yeah."
00:05:13,00:05:15,"And that was by, what's he called?"
00:05:15,00:05:16,- San Juanemaker.
00:05:16,00:05:19,"- San Juanemaker, and that's the one which has got thatched now."
00:05:19,00:05:20,"- That's right, yeah."
00:05:20,00:05:21,- Right.
00:05:21,00:05:22,"- Yeah, it's pretty much the same."
00:05:22,00:05:26,"It uses green oak, and it has wooden postings,"
00:05:26,00:05:29,"or whatever, doweling, or whatever it holds it all together."
00:05:29,00:05:30,They tried to make it as close
00:05:30,00:05:31,"to how it would have been made at the time,"
00:05:31,00:05:34,"using all of the techniques that the builders would have used,"
00:05:34,00:05:37,"but they had to use stuff like modern scaffolding,"
00:05:37,00:05:39,and they had to increase the amount
00:05:39,00:05:41,of fire escapes and exits and all that sort of stuff.
00:05:41,00:05:42,- They got sprinklers.
00:05:42,00:05:43,"- They got sprinklers, yeah."
00:05:43,00:05:45,"- I read them, I was reading the newspaper articles"
00:05:45,00:05:48,"from the time, and as late as 1988,"
00:05:48,00:05:50,"the papers were saying that there wouldn't be thatch,"
00:05:50,00:05:53,"and it would be tiled, and that was due to fire regulations."
00:05:53,00:05:56,"And then sometime around 1990,"
00:05:56,00:05:57,"they kind of changed their mind and said,"
00:05:57,00:06:00,"""Yeah, we're gonna be allowed thatch after all."""
00:06:00,00:06:01,- That's cool.
00:06:01,00:06:03,It's got some cashmere in the walls.
00:06:03,00:06:04,- Is it?
00:06:04,00:06:05,"- Yeah, 'cause they used,"
00:06:05,00:06:07,"they made proper old-fashioned plaster,"
00:06:07,00:06:09,as in 17th century plaster.
00:06:09,00:06:11,"Wattle and Dorb is the name of it,"
00:06:11,00:06:13,"and it includes cashmere goat hair,"
00:06:13,00:06:15,"which is an ingredient of the plaster, so yeah."
00:06:15,00:06:17,- And the thatch roof that they have now
00:06:17,00:06:20,has a hidden set of sprinklers all the way through it.
00:06:20,00:06:21,"- Oh yeah, nice."
00:06:21,00:06:22,- Just in case.
00:06:22,00:06:22,- Just in case.
00:06:22,00:06:23,- Just so you know that they learned their lessons.
00:06:23,00:06:25,"- I found a company that made the thatch,"
00:06:25,00:06:28,"they were called TAS, and there was an article about them,"
00:06:28,00:06:32,and apparently the globe wasn't the biggest-ever contract
00:06:32,00:06:33,that they had.
00:06:33,00:06:35,"They had one bigger contract for thatch roofs,"
00:06:35,00:06:36,can you guess?
00:06:36,00:06:37,"- Oh, my God."
00:06:37,00:06:40,"- It was, oh, I've given it away, it's multiple roofs,"
00:06:40,00:06:41,multiple thatch roofs.
00:06:41,00:06:43,- Did they redo a whole village or something?
00:06:43,00:06:45,- In a way.
