start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:05,"- Hi everyone, welcome to this week's episode"
00:00:05,00:00:07,"of ""Notice Things of Fish"""
00:00:07,00:00:12,where we are joined by the wonderful Ella Al-Shemahi.
00:00:12,00:00:16,You might remember Ella from episode 373
00:00:16,00:00:19,"of ""Notice Things of Fish"" when she last appeared,"
00:00:19,00:00:21,"but if you don't remember that,"
00:00:21,00:00:24,then she is a paleoanthropologist.
00:00:24,00:00:26,She's an expert in Neanderthals.
00:00:26,00:00:29,She is a National Geographic Explorer.
00:00:29,00:00:32,She's just an all-round badass.
00:00:32,00:00:35,"Ella has written a book called ""The Handshake"
00:00:35,00:00:36,"""A Gripping History,"""
00:00:36,00:00:38,"which we talked about last time she was on,"
00:00:38,00:00:40,"but she's also been on loads of TV shows,"
00:00:40,00:00:42,loads of documentaries.
00:00:42,00:00:45,"The last one I think was called ""Our Changing Planet,"""
00:00:45,00:00:48,"all about the world's most threatened ecosystems,"
00:00:48,00:00:49,and you can actually still watch that
00:00:49,00:00:54,if you go to BBC iPlayer or PBS Video app.
00:00:54,00:00:56,"Anyway, really hope you enjoyed this week's show."
00:00:56,00:00:58,"Don't forget, ""Club Fish"" exists,"
00:00:58,00:01:00,a place where you can get loads of extra content
00:01:00,00:01:02,and ad-free episodes.
00:01:02,00:01:05,"Don't forget, there are still one or two tickets,"
00:01:05,00:01:08,"I think, possibly left for our live shows"
00:01:08,00:01:10,"coming up in the Soho Theatre in London,"
00:01:10,00:01:12,and you can get those by going to
00:01:12,00:01:15,noticethingsofish.com/soho.
00:01:15,00:01:16,"Anyway, that's enough of that."
00:01:16,00:01:18,"Really hope you enjoy this week's show with Ella,"
00:01:18,00:01:21,and it's on with the podcast.
00:01:21,00:01:23,(upbeat music)
00:01:24,00:01:28,(speaking in foreign language)
00:01:28,00:01:38,"- Hello, and welcome to another episode"
00:01:38,00:01:40,"of No Such Thing as a Fish, a weekly podcast"
00:01:40,00:01:43,coming to you from the QI offices in Hoburn.
00:01:43,00:01:45,"My name is Dan Schreiber, I am sitting here"
