start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hi everybody, Dan and Andy here. We're just letting you know about our special guest this week."
00:00:03,00:00:10,This is such a fun show. It was recorded live in Belgium at a festival called Nerdland.
00:00:10,00:00:15,And it's with one of our very oldest friends and one of the first ever guests we had on the show.
00:00:15,00:00:21,"Yeah, that's right. It is the almighty Belgian science comedian, Leven Skynra."
00:00:21,00:00:26,"Leven is someone who has been with us from the get-go. As Andy says, he's appeared a few times."
00:00:26,00:00:33,"He's brought us over to Belgium in the past and we got to go to his geek-created festival called Nerdland,"
00:00:33,00:00:38,"which was just packed with scientists from all over the country and for some reason, us."
00:00:38,00:00:45,And we played this massive tent. We had to fill our slot without Anna and Leven very kindly jumped into place
00:00:45,00:00:51,and played with us on stage and he's just someone who you absolutely need to find out more about.
00:00:51,00:00:58,"And in fact, his live show, which is called DNA, has been released on his website, Levenskynra.com,"
00:00:58,00:01:05,"as an English version of his science comedy show. And that's really worth checking out. It's online now, streaming."
00:01:05,00:01:11,"So, give that a go. And the other thing we should let you know is that if you enjoy this live show,"
00:01:11,00:01:16,"we have another live show coming up. There are very few tickets left for our Soho Theatre dates this summer,"
00:01:16,00:01:21,"but we have just added another live show, which is going to be at the London Podcast Festival."
00:01:21,00:01:28,"It's on the 14th of September. It's at 7pm. It's in London, obviously, but it's going to be streamed as well."
00:01:28,00:01:33,So you'll be able to buy tickets wherever you are in the world. It's going to be so much fun. We would love to see you there.
00:01:33,00:01:39,"That's right. Yeah. So get booking the physical in-store tickets, as they were, so you could be there with us in the room."
00:01:39,00:01:44,"But if you can't make it, do get the online tickets. And to get those tickets, all you need to do is go to"
00:01:44,00:01:50,nosuchthingasafish.com/podfest. You'll find the links there to buy the appropriate things.
00:01:50,00:01:56,"And otherwise, we hope you get a taster of what we're like live, nicely, with this episode,"
00:01:56,00:01:59,"with our good mate, Leaven Skyra, coming to you live from Belgium."
00:01:59,00:02:00,Hooray!
00:02:00,00:02:02,Come on with the show.
00:02:02,00:02:04,(Buzzing)
00:02:04,00:02:16,(Speaking in Japanese)
00:02:16,00:02:23,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week coming to you live"
00:02:23,00:02:27,from the Nerdland Festival in Belgium!
00:02:27,00:02:34,(Cheering)
00:02:34,00:02:41,My name is Dan Schreiber. I am sitting here with Andrew Hunt and Murray James Harkin and Leaven Skyra.
00:02:41,00:02:46,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days."
00:02:46,00:02:53,"And in no particular order, here we go. Starting with fact number one, and that is Andy."
00:02:53,00:03:00,"My fact is that, in the 1970s, NASA employees had to walk around holding broomsticks in front of them"
00:03:00,00:03:03,to detect invisible fires.
00:03:03,00:03:04,Ooh. Yeah.
00:03:04,00:03:08,"I didn't even know that, in fact, now I'm worried about invisible fires."
00:03:08,00:03:09,You should be.
00:03:09,00:03:12,Because we don't have anyone with brooms here. How would we know that there wasn't one?
00:03:12,00:03:15,"We just wouldn't. So, you know, stay vigilant, I suppose."
00:03:15,00:03:21,"So, what were people noticing that it was only janitors who weren't going up in flames?"
00:03:21,00:03:25,"Yeah, I didn't know about invisible fires. Oh, I should say, this is a fact from Anna Welch,"
00:03:25,00:03:29,"who sent it in to us at the podcast email address. So, thank you so much, Anna."
00:03:29,00:03:36,"It's because NASA uses liquid hydrogen for lots of their rockets, and since the 1950s they've been using it."
00:03:36,00:03:40,And it's incredibly flammable. It's a great fuel for a rocket.
00:03:40,00:03:44,"It burns at 5,000 degrees Fahrenheit. It's ultra-explosive."
00:03:44,00:03:49,"But, of course, hydrogen, first atom, first element in the periodic table, it's tiny."
00:03:49,00:03:52,"The atoms are incredibly small, and it's very flammable."
00:03:52,00:03:59,"And because the atoms are so small, it leaks. It can leak, even if you've welded two plates of metal together,"
00:03:59,00:04:00,you can get hydrogen.
00:04:00,00:04:02,"Just like a little hole in the weld, and it'll just sneak through."
00:04:02,00:04:09,"Exactly. And because it's quite temperamental, a high-pressurized amount of hydrogen can easily become a fire."
00:04:09,00:04:14,"However, the flame burns with this incredibly pale blue flame. You almost can't see it."
00:04:14,00:04:19,"And so, this was a real problem. So, NASA employees, to detect if they had a hydrogen fire,"
00:04:19,00:04:22,"in the situation, had to walk around holding a broomstick."
00:04:22,00:04:29,"And when the head of the broom caught fire, they knew that that was the problem, basically."
00:04:29,00:04:30,And that's it. That's what they had to do.
00:04:30,00:04:32,I do hope there's video footage of this.
00:04:32,00:04:37,All these brilliant engineers with sticks just walking around.
00:04:37,00:04:39,"Have you heard of this leaving? Like, you do science?"
00:04:39,00:04:44,"No. No, I haven't heard of the broomstick story. I know that hydrogen fires are a thing."
00:04:44,00:04:48,"My father worked in a steel factory, so they also had hydrogen in pipes."
00:04:49,00:04:55,"And like you said, the smallest leakage, the hydrogen would come out, and it would ignite,"
00:04:55,00:05:00,"my dad told me, it would ignite from the heat of a piece of dust hitting the side of the pipe."
00:05:00,00:05:06,"That would be enough to ignite the hydrogen, and so then you have your invisible flame."
00:05:06,00:05:11,"That's incredible. Obviously, flame is a huge problem for NASA, generally."
00:05:11,00:05:14,"They hate fires. They're really not keen on fires, NASA."
00:05:14,00:05:17,"Unless it's at the very bottom of the rocket, shooting them up."
00:05:17,00:05:22,"That's the one time they like fires. Otherwise, it's a really bad thing."
00:05:22,00:05:26,"So back when they were trying to work out the Apollo missions and who was going to be flying to space,"
00:05:26,00:05:30,there was a guy who was hired as basically the fart researcher.
00:05:30,00:05:35,"And because there's methane in the farts, and if you're in a tin can going back to the moon,"
00:05:35,00:05:38,"it's going to catch on fire. So there was a guy called Edwin Murphy,"
00:05:38,00:05:43,"who at the 1964 conference of nutrition and space and related waste problems,"
00:05:43,00:05:47,pitched that we needed to find astronauts who didn't fart with methane.
00:05:47,00:05:53,"With methane, right? Does that exist? He found them. He's like, they're out there."
00:05:53,00:05:56,Is that Buzz and Neil Armstrong? They don't fart?
00:05:56,00:06:02,Because I've been in a lift with Buzz Aldrin. I can't say that he didn't fart.
00:06:02,00:06:09,The farts are produced by your gut bacteria. So the reason that some foods produce more
00:06:09,00:06:14,"fart is because they go all the way down in your gut, like things with lots of fibers,"
00:06:14,00:06:19,such as Brussels sprouts. And the fibers take food to the downside of your gut.
00:06:19,00:06:25,"And so the bacteria eat them and produce this methane. And when you can't digest lactose,"
00:06:25,00:06:30,"then it will also find all its way down. So in order to fart, you have to feed your bacteria"
00:06:30,00:06:36,"all the way down. But not all of us have bacteria that produce methane. I, however,"
00:06:36,00:06:42,do because I was tested. Were you? Yes. We had a science show. What's the test?
00:06:42,00:06:48,"It's not just, it's not a lighter, is it? I can, I can leave it up to your imagination,"
00:06:48,00:06:53,but you can test it with a lighter because you can actually light it at the source.
00:06:53,00:07:00,"So, yeah. But if you produce this methane in your gut, it will end up in your blood and in your"
00:07:00,00:07:04,breath. So I simply took a breath test and then they saw I had methane. The reason we did this
00:07:04,00:07:13,"was because we found an old patent of a fart gun. And so what? Yes, the fart gun. This is a toy gun."
00:07:13,00:07:19,Yeah. And you put a dart in it. Yeah. And then it has a small chamber. When you feel a fart coming
00:07:19,00:07:25,"up, you press the chamber against your butt. While you fart, you pull the lever, it fills"
00:07:25,00:07:29,up with methane. You pull the trigger and the dart flies out. Which way is the dart flying?
00:07:30,00:07:36,"Whatever direction you prefer, Mr. Schweiger. That is amazing. I think I did it wrong."
00:07:36,00:07:40,"That's a patent. They've never made one of those, have they? They have been produced"
00:07:40,00:07:47,"and we have reproduced them with a 3D printer. And after many attempts, over 50 attempts,"
00:07:47,00:07:52,"one dart flew through the room. That's incorrect. Wow, really. Yeah. So it's about 50% of people"
00:07:52,00:07:57,who don't have methane in their farts. And he created a special bean meal whereby he had you
00:07:57,00:08:02,eat it and then you farted into a sort of rectal catheter and it collected the farts. Brilliant.
00:08:02,00:08:06,"And he pitched it and they said, ""We'll just give them less farty food in space."""
00:08:06,00:08:12,Spoils spots. Yeah. Okay. This is another fact sent in actually by someone called Don Padden.
00:08:12,00:08:18,And it's a memoir of NASA in the 1960s. And he wrote a memoir of what had happened in his life.
00:08:18,00:08:22,"And one incident, a terrible incident that happened at NASA was an accidental activation"
00:08:22,00:08:29,"of the launch tower water deluge system. So, you know, huge, like a massive sprinkler system"
00:08:29,00:08:33,basically designed to just shut down any disastrous fire that might be happening.
00:08:33,00:08:40,And it was an area gas hydrogen detector. So the problem was it wasn't a hydrogen leak that had
00:08:40,00:08:44,"caused this system to go off this deluge. The cause was, and he wrote up in his report in his"
00:08:44,00:08:52,"memoir, ""Gasious emissions of robust Chrysler senior engineer."" What? He had been up working,"
00:08:52,00:08:56,like fixing an engineering problem on the hydrogen tank and farting at the time.
00:08:56,00:09:01,And they didn't know until this point that the detector could smell human farts. They thought
00:09:01,00:09:07,"it was just a hydrogen leak detector, but it turned out... That's amazing. Oh my God. Millions of"
00:09:07,00:09:14,"dollars of damage. Yeah. Leeman, I want you to imagine now you're on Apollo 11 making your way"
00:09:14,00:09:18,up to the moon. And I have one question for you. Would you like still or sparkling water?
00:09:18,00:09:26,"Oh, I think I would like still water. Well, you can't. The reason being that on Apollo 11,"
00:09:26,00:09:31,there was a hydrogen filter on the water and it leaked. And it meant that hydrogen got into the
00:09:31,00:09:37,"water. And so all the water was fizzy. Wait away. But water already contains hydrogen. Yes, it does,"
00:09:37,00:09:42,but this had super amount of hydrogen in it. So they had sparkling water on the moon.
00:09:42,00:09:46,"It had sparkling water. That's nice. That's really, that's very posh. You want to celebrate,"
00:09:46,00:09:52,don't you? You do. Yeah. I think we're two-thirds of all the atoms in all of our bodies are hydrogen.
00:09:52,00:09:55,"It's all right. A little shout out for hydrogen. Yeah, it's very important. But why are we not"
00:09:55,00:10:00,setting on fire all the time? Why are we not exploding? Because they're bound to a molecule.
00:10:00,00:10:05,I wanted to add the torch to that one. And I'm thrilled that you answered it.
00:10:05,00:10:11,"You were just about to say that, I guess. Probably. I was looking into other invisible"
00:10:11,00:10:15,"things at NASA. And I found this really cool website, which is called NASA Spinoff, where they're"
00:10:15,00:10:21,quite proud that a thing that was invented for NASA and space is now an everyday object in our
00:10:21,00:10:25,"world. So on the list of things that they have, there was a company in conjunction with NASA's"
00:10:25,00:10:30,Advanced Ceramics Research. They were trying to use protection for infrared antennae on heat-seeking
00:10:30,00:10:35,missile trackers. That was one of their things they were doing. That technology is now invisible
00:10:35,00:10:40,braces that people have on their teeth. That was originally for a heat-seeking missile. And
00:10:40,00:10:46,"then they were like, ""Oh, we should put this on people's faces as well."" They did scratch-resistant"
00:10:46,00:10:51,lenses. Very proud of that. The space blanket. What's the space blanket? It's basically a
00:10:51,00:10:56,"lightweight and reflect infrared radiation. Is it not that thing after you've run a marathon,"
00:10:56,00:11:02,"they put it around you? Exactly. Yes, the gold side and the silver side. And one side has to be"
00:11:02,00:11:06,on the outside when you're overheated. And the other side has to be on the outside when you're
00:11:06,00:11:12,"too cold. Is that so? Yeah. I think when you're too cold, I think the gold side has to be on the"
00:11:12,00:11:18,"inside. And when you're too hot, I think the gold side has to be on the outside. Could be the exact"
00:11:18,00:11:26,other way around. I do not take legal responsibility. So there was this big piece of this around
00:11:26,00:11:35,"Apollo 11. And one millimeter, one square millimeter of this material is now at my desk."
00:11:35,00:11:42,I have bought one square millimeter of this material that has been on the moon.
00:11:42,00:11:44,That's what happens when they go back and they find they're missing.
00:11:44,00:11:53,Then hydrogen leaks out. Three astronauts died today because of a Belgian comedian scientist.
00:11:54,00:11:58,"One last thing, so memory foam mattress was also a NASA invention. And then my favorite,"
00:11:58,00:12:05,"space age swimsuits. They invented a swimsuit. I don't know why. There's no water in space,"
00:12:05,00:12:10,at least not in the ISS so far. But they built it. And it's been used now by various different
00:12:10,00:12:15,companies in order to turn it into actual swimsuits. But what does it do? It just makes you
00:12:15,00:12:22,"swim in space, I guess. What? It's just really fine material. And the materials used in actual"
00:12:22,00:12:27,"human earth swimming now. And the first time it was used in 2008, there were 13 swimming records"
00:12:27,00:12:33,"that were broken immediately. Oh, really? Is it the one they got banned? The laser, the laser"
00:12:33,00:12:41,"suits. Yeah, that was kind of based on like a shark skin, wasn't it? And also it kind of made you"
00:12:41,00:12:46,"float in the water, which they thought probably wasn't fair. How can you break so many records?"
00:12:46,00:12:51,"I mean, they're such small, small swimsuits. How can that make that much of a difference in the"
00:12:51,00:12:56,"whole body with their full body swimsuits? Oh, I'm thinking of the, yeah. I don't know if you've"
00:12:56,00:13:01,"ever watched the Olympic swimming. They're not in bikinis. You're going to be staggered to hear,"
00:13:01,00:13:06,James. I've never seen any swimming competition ever. But here's what's crazy. You're saying that
00:13:06,00:13:11,you've got that little bit of the gold from the Apollo 11. James and I have seen the little patch
00:13:11,00:13:17,"that's missing from the shark that was taken by, I believe it was Adidas at Nike to make this"
00:13:17,00:13:20,"material. It was at the Natural History Museum in Montana. Wait, do you mean a piece of actual"
00:13:20,00:13:25,shark skin? They have the shark where it's missing the patch that then is turned into the swimsuit
00:13:25,00:13:29,that was donated from the museum. Yeah. We're going to have to move on to our next fact in a second.
00:13:29,00:13:36,"Okay. Just on hydrogen, do you know what happens if you have some potassium and you get water on it?"
00:13:36,00:13:43,"It's a big boom. Yeah, a big boom, like a big explosion. Loads of hydrogen get shot out. And"
00:13:43,00:13:51,"there was a in 1849, doctors turned up at a man's house and they found that his penis was stuck in"
00:13:51,00:13:59,a bottle. And the bottle opening was only 1.9 centimeters in diameter. Okay. And what he'd
00:13:59,00:14:02,been doing was he'd been doing some experiments with potassium. I was just trying to get the ship
00:14:02,00:14:10,out of the bottle. My finger wasn't quite managing to do the job. He was doing some experiments with
00:14:10,00:14:15,potassium. And he woke up in the middle of the night and decided that he needed to have a pee.
00:14:15,00:14:20,"And went to pee in a bottle, which happened to be the thing that he'd been doing his potassium"
00:14:20,00:14:26,experiments in. The urine reacted with the potassium. There was a massive explosion. All the
00:14:26,00:14:38,"hydrogen left the bottle, leaving a vacuum that sucked his penis. I think you're starting a new fetish"
00:14:38,00:14:47,here. Penis in a bottle. I'd buy one. You tried potassium. Yeah. Can you imagine him calling
00:14:47,00:14:56,"the doctors going, what am I going to say? Hi. Oh, man. I got one more invisible story. Okay. Yeah."
00:14:56,00:15:01,"It was, I think it was in Spain. It was this region where a chameleon had lived. And then"
00:15:01,00:15:05,"suddenly they saw like, oh, it's nature is having a hard time. And suddenly they saw like, okay,"
00:15:05,00:15:12,"this chameleon went extinct. A few years later, they said, oh, they didn't just didn't see them."
00:15:12,00:15:19,So they actually rediscovered this chameleon that was extinct because their camouflage was so good.
00:15:19,00:15:31,"Brilliant. I love it. All right, we need to move on to our second fact. It is time for fact number"
00:15:31,00:15:38,"two. And that is leaving. My fact is that in 2015, it was discovered that only one person alive"
00:15:38,00:15:55,understands the Belgian tax system. I think that went down a lot better here than it might
00:15:55,00:16:03,have done in London. Probably. We're so proud of the faults in our country. So this is an article
00:16:03,00:16:10,"from the dead, which is our financial newspaper. And Belgium is, it's a complex country. And we"
00:16:10,00:16:16,have to divide taxes. We have the federal government for the entire country. Then we have three regions.
00:16:16,00:16:21,Flanders is the Dutch speaking north. Bologna is the French speaking south. And then we have
00:16:21,00:16:25,"Brussels, which is an independent region, and it's bilingual. There's a small part of Wallonia"
00:16:25,00:16:31,that speaks German. They have their own government. The French speaking people in Brussels and
00:16:31,00:16:37,"Wallonia have their own government also. So we have, let's see, three governments for the regions,"
00:16:37,00:16:42,"two or three for the languages, and then one federal government. Sorry, Leven, can I just ask,"
00:16:42,00:16:47,are you the one person who understands this? And you're explaining it to us now. This is
00:16:47,00:16:54,"just setting the scene. We pay our taxes to Belgium, the Federation, but then they have to"
00:16:54,00:17:00,"give some money to the regions because they have their responsibility. Education is for the regions,"
00:17:00,00:17:05,"but then, of course, the army is for the Federation. The Flemish coast, so the beach"
00:17:05,00:17:12,is Flanders. The North Sea is Belgium. So if you want to clean...
00:17:13,00:17:18,Why? So when does one become... Yeah. When are you leaving Flanders and entering Belgium?
00:17:18,00:17:24,"The moment you step in the sea, then you're in Belgium. And when the tide comes in,"
00:17:24,00:17:36,"is that counted as an invasion? Yeah, well, probably. That's why we build sand castles to keep Flanders."
00:17:40,00:17:45,"But so if you want to clean the beach, you need Flemish money. If you want to clean the sea,"
00:17:45,00:17:51,you need federal money. The result is that there's a constant lobbying of how much money goes to the
00:17:51,00:17:58,"regions a bit more, a bit less. You have all kinds of factors. Some of the factors are how many people"
00:17:58,00:18:04,"are in school. So not the complete population, but people in school. How many people are retired?"
00:18:04,00:18:10,"No, yeah, because that's also an extra cost. And so they're always playing like, if we move the"
00:18:10,00:18:16,"factors around, then we get a bit more money, things like that. In 2015, the Flemish government"
00:18:16,00:18:20,"and the Walloon government get a letter from the tax administration, the federal tax administration,"
00:18:20,00:18:28,"they said, ""We did the miscalculation. We need 750 million euros back."" And so, of course,"
00:18:28,00:18:36,"these governments of the regions said, ""Okay, we'd like a second opinion."" And the tax, the federal"
00:18:36,00:18:43,"tax system said, ""There is no second opinion. Only Karin understands this problem."""
00:18:43,00:18:54,"So, can I ask, even so, this person now feels like the most important person in the entirety of"
00:18:54,00:19:02,"Belgium? So, is she on the armed guard? Well, Karin Spinwa, she was contacted by the press and she"
00:19:02,00:19:07,wants nothing to do with the press. She's a numbers person. She's a mathematician. She's very good
00:19:07,00:19:13,"with numbers. She makes the excel sheets. She's sitting at home counting her 750 million euros,"
00:19:13,00:19:20,"I think. Well, you do understand the Belgian psyche. Very good. But she says no photos of her"
00:19:20,00:19:26,online. We know virtually nothing about her. No. I have met a person who has met her.
00:19:26,00:19:32,"And so, at that point, it was published in this newspaper. They said, ""Only one person understands"
00:19:32,00:19:38,"this."" And then they said, ""What if something happens to her?"" And they panicked and they"
00:19:38,00:19:46,immediately gave her an assistant. So now there's two. We have a spare one. That's nice. And they're
00:19:46,00:19:50,not allowed to travel together and this kind of thing. There are loads of people like that.
00:19:50,00:19:56,"The Wright brothers, they weren't allowed to fly together. I think like members of the"
00:19:56,00:20:00,British royal family. I don't know. Is that true that they're not allowed to? Supposedly. I keep
00:20:00,00:20:05,saying to you guys that the people who do the parachutes that bring capsules back in from space
00:20:05,00:20:10,are not allowed to travel with each other because they hand knit. What do you do for a parachute
00:20:10,00:20:17,"stitch? So, yeah. And only a few people know how to do it is the rumor. Andy, you always say"
00:20:17,00:20:22,"whenever we're going to a gig that you don't want to travel in the same carriage as us. Weirdly,"
00:20:22,00:20:31,"that's nothing to do with this. Oh. So just a personality problem of mine. So Leven, why not?"
00:20:31,00:20:37,"So they're teaching the assistant. Why not teach, you know, three people? Why not? Don't be ridiculous."
00:20:37,00:20:45,"There isn't the budget for that. Well, probably a bit more people know this now. I haven't followed"
00:20:45,00:20:52,"the story since 2015. Also, there's probably a few people in academia who understand this too,"
00:20:52,00:20:57,but they're not allowed to do official calculations. So they could only ask this one person and now
00:20:57,00:21:02,there's two and hopefully a bit more by now. Wow. I was looking at a few other taxes. Did you hear
00:21:02,00:21:09,"about the bachelor tax of Argentina? No. Okay. This was in about 1900. Basically, I think there were"
00:21:09,00:21:14,"tax breaks or tax relief if you were married. But there was a problem, of course, which is what do"
00:21:14,00:21:19,"you do with men who wanted to get married and have proposed to a woman, but they've been rejected."
00:21:19,00:21:24,"You know, it's not their fault they're not married. They want to be married. They deserve some kind of"
00:21:24,00:21:29,"break on the tax. The system developed where they said, okay, well, if you've, fine, if you've proposed"
00:21:29,00:21:32,"to someone who've been rejected, you can have the tax break. Well, how do you prove that? How do you"
00:21:32,00:21:37,"prove it? So basically, if a woman said no when you propose marriage, you could then say, will you"
00:21:37,00:21:46,least sign this certificate of tax exemption for me? But then people started getting around the
00:21:46,00:21:50,"problem, like men who didn't want to get married. They thought, well, I want this tax break too."
00:21:50,00:21:57,So there emerged this small class of professional women who would guarantee say no to you when you
00:21:57,00:22:02,"propose marriage to them. I've met all of them in my teenage years, I must say. I have to think"
00:22:02,00:22:08,"about the British tax system, which is sounds quite simple. I mean, relative to the Belgian tax"
00:22:08,00:22:13,"system, it sounds relatively simple. But nonetheless, people in the UK, they're often late with their"
00:22:13,00:22:22,"taxes. And every year, HMRC, the British tax office, they will, they accept some excuses, you know,"
00:22:22,00:22:27,"if there was a flood or a sudden illness, you know, they'll say, okay, you don't have to pay a fine"
00:22:27,00:22:32,"because your taxes late. But also every year, they print the best excuses they've had."
00:22:32,00:22:41,"All year. So okay, these are all from the last few years. Okay, my tax return was on my yacht,"
00:22:41,00:22:47,"which caught fire. And by the way, I want to claim against the loss of a yacht."
00:22:47,00:22:52,"My wife helps me with my tax return, but she had a headache for 10 days."
00:22:53,00:22:56,My husband left me and took our accountant with him.
00:22:56,00:23:05,"My ex-wife left my tax return upstairs, but I suffer from vertigo and can't go upstairs to"
00:23:05,00:23:13,"retrieve it. And my favorite, I was too stunned after seeing a volcanic eruption on TV to concentrate"
00:23:13,00:23:21,"on anything. Brilliant. That's a good one. I've got a British tax story too. Yeah, it's the fact"
00:23:21,00:23:29,"that in 1999, at a UK court because of taxes, it was decided that Jaffa cakes are cakes and not"
00:23:29,00:23:35,"cookies. Okay. So Jaffa cakes for those who do not know it. In Belgium, we call it pimps cookies,"
00:23:35,00:23:45,"pimps cakes. Sorry, what did you call it? Pimps cookies? Yeah. Yeah. This is the Shire and we are"
00:23:45,00:23:51,"not offensive Europe. So that's, that's what we do. So for those who do not know whether you have"
00:23:51,00:23:58,"this spongy, spongy cake, a small circle, maybe five centimeters diameter, then there's a bit of"
00:23:58,00:24:06,orange jam and then there's a chocolate above it. So turns out that cookies with chocolate have
00:24:06,00:24:12,higher taxes than cake because cookies with chocolate are a luxury product and a cake is
00:24:12,00:24:18,"considered a staple food. So Jaffa cake said, we're selling cake, so we don't have to pay the VAT."
00:24:18,00:24:22,"And then the court said, no, these are clearly cookies. And they said, let's take it to court."
00:24:22,00:24:29,"And so they had an actual case, cookies against cake. Some of the arguments that were given,"
00:24:29,00:24:35,"one argument from the government, from the tax system was, we do not eat Jaffa cakes with forks."
00:24:36,00:24:44,"Oh, disagree. Yeah. Well, yeah. Also the size, the fact that you don't stack cakes on top of each"
00:24:44,00:24:51,"other. The argument was won by the cakes. So by the cookie producer, they are still cakes legally"
00:24:51,00:24:57,because one of the deciding arguments was that Jaffa cakes will harden when they go stale and
00:24:57,00:25:06,biscuits will go soggy. Okay. And the ultimate argument was somebody baked a cake size Jaffa cake.
00:25:06,00:25:11,"Brilliant. So they came to the courtroom with a cake sized Jaffa cake. I said, she told you."
00:25:11,00:25:17,And then it was decided. Wow. That's incredible. Why doesn't John Grisham write novels with these
00:25:17,00:25:24,"plot lines for his court cases? I wanted to ask you about a thing that happens here in Belgium,"
00:25:24,00:25:27,which is there's a place which I'm going to pronounce it wrong. Maybe you can say it.
00:25:31,00:25:36,"Everybody here knows what we're talking about. It sounds fascinating, guys. It sounds incredible."
00:25:36,00:25:41,"I've been there. It's where the two countries border. Yeah. Yeah. As a result, it's really"
00:25:41,00:25:46,odd because you can make decisions that work to your advantage in so many different places. I don't
00:25:46,00:25:52,"know if anyone's been there when they were younger, but the laws of drinking have different ages. So"
00:25:52,00:25:57,"in one country, it's 18. The other 16. So also firing a fart capsule is a criminal offense in"
00:25:57,00:26:03,"Balahertog, but it's not a Balnasa. So that's when Belgium and the Netherlands were split."
00:26:03,00:26:09,"There were some landowners like nobility who lived in Holland, like a few kilometers in Holland,"
00:26:09,00:26:14,"but they wanted to be Belgian because they were well, they had they had liaisons with the Belgian"
00:26:14,00:26:21,"royalty. And so they said, all my land is Belgian. But like a farmer, they had a peaceful and they're"
00:26:21,00:26:25,a piece of land. They're a piece of land there. So it looks like this ripped off piece of paper
00:26:25,00:26:29,that was sprinkled over Holland. So there's a piece of Belgium in Holland and in this piece
00:26:29,00:26:35,"of Belgium, there's a piece of Holland. So that's the thing that we used to be a bank that sat on"
00:26:35,00:26:40,"the border as well, half of it on one side, half on the other. So whenever a tax inspector came to"
