start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hi everyone, welcome to this week's episode of No Such Things a Fish where we are joined by the incredible Beck Hill"
00:00:07,00:00:10,Now who is Beck Hill you ask?
00:00:10,00:00:14,"No, you don't because you're already a listener to a problem squared"
00:00:14,00:00:21,Which is her amazing podcast that she does with mathematician and comedian Matt Parker where they spend her time solving
00:00:21,00:00:23,everybody's problems
00:00:23,00:00:28,You probably also know Beck through her YouTube channel. She's got all sorts of stuff on there
00:00:28,00:00:34,I think notably you might know her for her flip-chat comedy where she miss his lyrics
00:00:34,00:00:39,There's videos about her show make-away take away that she used to do on CITV
00:00:39,00:00:44,There's loads of stuff on there and of course if you're the right age or if you have children of the right age
00:00:44,00:00:48,You will know her from her books. She has a series of book called horror heights
00:00:48,00:00:50,There are three in the series at the moment
00:00:50,00:00:56,The latest is called Dead Ringer and they are of course available in all places where you buy your books
00:00:56,00:01:00,So that's all about Beck. There will be a little thing later on
00:01:00,00:01:04,Towards the end of the show where we might have an object
00:01:04,00:01:09,Which we will sign and give away to one of our listeners if you want to know more about that
00:01:09,00:01:11,You will have to sign up to club fish
00:01:11,00:01:18,We will give more details on how to win that during our next bonus drop as a line which will be out next Tuesday
00:01:18,00:01:22,"Anyway, not much more to say. I mean we do have a live show coming up"
00:01:22,00:01:27,"Which I think the tickets might be all but sold out, but you can get streaming tickets from that"
00:01:27,00:01:33,You can go to no six things a fish dot com forward slash pod fest apart from that really this is the end
00:01:33,00:01:36,It's time to say on with the podcast
00:01:36,00:02:00,Hello and welcome to another episode of no such thing as a fish a weekly podcast coming to you from the qi offices in
00:02:00,00:02:07,Hoburn my name is Dan Shriver. I am sitting here with James Harkin Andrew Hunter Murray and Beck Hill and once again
00:02:07,00:02:13,We have gathered around the microphones with our four favorite facts from the last seven days and in a particular order here
00:02:13,00:02:16,We go starting with fact number one and that is
00:02:16,00:02:19,Beck in
00:02:19,00:02:26,1927 a paint and was filed for an upper artist designed to scare criminals into confessing their crimes
00:02:26,00:02:30,By creating an optical illusion of a ghost skeleton
00:02:30,00:02:39,"How to do it it's pretty cool. Yeah, I mean it the paint was filed and I mean it was granted in 1930"
00:02:39,00:02:43,"Okay, it expired in 1947 so if anyone wants to make that now"
00:02:43,00:02:48,That make call of duty better. Wouldn't it whether trying to get
00:02:48,00:02:51,line of duty
00:02:52,00:02:58,"It is yeah, yeah, I just don't work out there as well. I think it would work everywhere pop a glowing skeleton"
00:02:58,00:03:02,"Sorry, we'll get we'll get messages from the game as it won't work in call of duty"
00:03:02,00:03:04,Intensely realistic war experience
00:03:04,00:03:10,Is more a kind of like can you storm Normandy than where were you on the night of the fourth?
00:03:10,00:03:14,More games need interrogation
00:03:14,00:03:17,The Mario interrogation
00:03:20,00:03:22,It's reading about
