start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everyone, welcome to this week's episode of Fish, where we are joined by the wonderful"
00:00:05,00:00:07,Sophie Duker.
00:00:07,00:00:11,"Now, if you don't know who Sophie Duker is, where have you been?"
00:00:11,00:00:16,"Certainly not watching season 13 of Taskmaster, that's for sure, which is the season that"
00:00:16,00:00:18,she won.
00:00:18,00:00:21,She is also one mastermind.
00:00:21,00:00:26,"She's a regular on our television, on all of the panel shows, and she was absolutely brilliant"
00:00:26,00:00:27,on our show.
00:00:27,00:00:32,"If you want to learn anything more about Sophie, the best place to go is to sophieduker.com"
00:00:32,00:00:38,that's S-O-P-H-I-E-D-U-K-E-R dot C-O-M.
00:00:38,00:00:45,"And actually, she also has a comedy night known as Wacky Racists, which is coming to"
00:00:45,00:00:48,the Hackney Empire on the 26th of October.
00:00:48,00:00:53,That will be hosted by Sophie and will include Nish Kumar and all sorts of other guests who
00:00:53,00:00:55,are yet to be announced.
00:00:55,00:00:58,"That will be a brilliant night, you should definitely get your tickets for that."
00:00:58,00:01:04,"But like I said, any information on Sophie, the best place to go is to sophieduker.com."
00:01:04,00:01:05,Very much hope you enjoyed this week's show.
00:01:05,00:01:10,I will bore you with adverts for upcoming live shows or for clubfish.
00:01:10,00:01:13,You know where to go if you want to get involved with those.
00:01:13,00:01:32,"For now, let's just say on with a podcast."
00:01:32,00:01:37,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:01:37,00:01:40,to you from the QI offices in Hoburn.
00:01:40,00:01:44,"My name is Dan Schreiber, I'm sitting here with James Harkin, Andrew Hunter Murray and"
00:01:44,00:01:48,"Sophie Juker and once again, we have gathered around the microphones with our four favorite"
00:01:48,00:01:54,"facts from the last seven days and in no particular order, here we go."
00:01:54,00:01:56,"Starting with fact number one, that is Sophie."
00:01:56,00:02:06,"Oh my God, my fact is, during their mating season, male camel's stomachs actually shrink"
00:02:06,00:02:09,so that they can concentrate on chasing females.
00:02:09,00:02:11,That's incredible.
00:02:11,00:02:12,Brilliant.
00:02:12,00:02:16,"So they need to stop less for food, or is it, what is it?"
00:02:16,00:02:22,"I think it's so that they look fit, but also, yeah, is it like breathing in and sticking"
00:02:22,00:02:23,your chest out?
00:02:23,00:02:26,"They have got three stomachs, haven't they?"
00:02:26,00:02:30,So it will have a good effect if they suck in all three stomachs.
00:02:30,00:02:31,Wow.
00:02:31,00:02:33,"Sadly, I don't think they suck in their stomachs."
00:02:33,00:02:37,I think they're sucking their stomachs to be kind of more agile and literally chase
00:02:37,00:02:38,women.
00:02:38,00:02:39,"Oh, really?"
00:02:39,00:02:42,"I totally bought the first reason, thanks for clarifying."
00:02:42,00:02:47,I think it's so they can be faster because there is quite a disgusting display that camels
00:02:47,00:02:52,"do when they are, male camels do, sorry, female camels are angels on it."
00:02:52,00:02:57,"And males are disgusting, rat-like, toxic, yeah, yeah."
00:02:57,00:03:03,"So talking about the toxic male camel, toxic male camel have this thing that they do also"
00:03:03,00:03:08,"during their mating season where they blow up their soft palate, so I don't know exactly"
00:03:08,00:03:09,how they do it.
00:03:09,00:03:14,"I'm not a camel, but I'm very culturally aware and some people think that they've like thrown"
00:03:14,00:03:17,"up their stomachs or like part of their mouths, but it's actually like they blow up their"
00:03:17,00:03:22,soft palate so that this huge bulbous pink glistening thing hangs out of their mouths
00:03:22,00:03:24,and it looks almost exactly like a pair of testicles.
00:03:24,00:03:25,It really does.
00:03:25,00:03:26,It's so disgusting.
00:03:26,00:03:28,I saw a picture just this morning.
00:03:28,00:03:29,"I never thought of it that way, but yeah."
00:03:29,00:03:32,"Can you say that again, testicles are disgusting?"
