start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish where we are joined"
00:00:05,00:00:11,"by our very good friend Jenny Colgan. Now Jenny Colgan is, well she's done a bit of"
00:00:11,00:00:16,"stand up but she is mostly well known for being a writer, a writer of romantic comedy"
00:00:16,00:00:22,fiction and of science fiction. If you are a fan of Doctor Who then you may well know
00:00:22,00:00:27,her. She's written all sorts of spin-offs and audiobooks and stuff for Doctor Who. We might
00:00:27,00:00:31,"get into that in the first fact today, spoiler alert, but what we'd like to let you know"
00:00:31,00:00:36,about most of all is that Jenny has a brand new book. It is called The Summer Skies and
00:00:36,00:00:41,"if it is anything like Jenny's other work it is going to be absolutely fantastic, just"
00:00:41,00:00:47,perfect for a summer holiday and you can get that wherever you buy your books. On top of
00:00:47,00:00:51,that the usual stuff do join club fish if you want a bit of extra fish in your life and
00:00:51,00:00:59,some ad free episodes and if you go to noticethingsafish.com/podfest then you will find that there are one
00:00:59,00:01:05,or two really not many at all tickets left for our show at Kings Place in September. We
00:01:05,00:01:10,are on the verge of booking an amazing guest for that. I promise you you will not want
00:01:10,00:01:15,to miss it. If you can't get down to London then there are streaming tickets available.
00:01:15,00:01:30,Okay really hope you enjoyed this week's show and all that's left to say is on with
00:01:30,00:01:42,"the next episode of No Such Thing as a Fish, a weekly podcast coming to you from the QI"
00:01:42,00:01:48,"offices in Hoburn. My name is Dan Schreiber, I am sitting here with James Harkin, Andrew"
00:01:48,00:01:52,Hunter Murray and Jenny Colgan and once again we have gathered around the microphones
00:01:52,00:01:57,with our four favorite facts from the last seven days and in no particular order here
00:01:57,00:02:05,"we go. Starting with fact number one and that is Jenny. There is, on.to, a Dalek named"
00:02:05,00:02:12,"after a Dickens character. I learned this fact for money, not actually for points really"
00:02:12,00:02:16,because one of my kids teachers is a great Dickens fan and he said to the kids if you
00:02:16,00:02:22,bring me a Dickens fact that I haven't heard before there's something in it for you. So
00:02:22,00:02:27,I can put it out to the world which was kind of fun and actually the most Dickens facts
00:02:27,00:02:32,"that everybody knows, one he's the first person ever to talk about dinosaurs in fiction."
00:02:32,00:02:37,I did not know that. There is a reference to dinosaur on page one of Blake House and
00:02:37,00:02:44,then the other thing that most people know is that Hans Christian Anderson came to Stamerton
00:02:44,00:02:48,on holiday and was the worst guest ever and they both wrote about it in their diaries
00:02:48,00:02:54,with Hans going oh I'm feeling so weary and Dickens going how do we get this guy out.
00:02:54,00:02:59,"So these, obviously the teacher knew these very famous facts but what he did not know"
00:02:59,00:03:04,is a friend of mine who's an actor plays a Dalek on.to and they tend to keep the same
00:03:04,00:03:10,people because obviously it's quite skilled and you tend to be in the same Dalek casing
00:03:10,00:03:14,because they're really small and it's not very pleasant to spend 10 hours in a really
00:03:14,00:03:20,small space. So you have your own Dalek and the Dalek is named after you in the props
00:03:20,00:03:25,covered and my friend is called Barnaby and he's named after Barnaby Rodge and so there
00:03:25,00:03:29,is in the BBC Dalek Barnaby.
00:03:29,00:03:31,Dalek Barnaby that's so good.
00:03:31,00:03:34,Go ahead and dig in there sir I must exterminate you.
00:03:34,00:03:39,Yeah that's amazing. So yeah so for anyone that doesn't know Doctor Who James I'm looking
00:03:39,00:03:40,at you.
00:03:40,00:03:41,Yeah I'm afraid I don't.
00:03:41,00:03:42,You know what the Daleks are though?
00:03:42,00:03:46,Yeah they're like little robots are they?
00:03:46,00:03:47,They're a tall villain.
00:03:47,00:03:48,Oh so are they?
00:03:48,00:03:49,So are they?
00:03:49,00:03:50,Yeah they're tall.
00:03:50,00:03:52,They're not little when we say little they're about.
00:03:52,00:03:54,Yeah but if I had to describe a Dalek the first word I would say wasn't oh they're
00:03:54,00:03:55,quite tall.
00:03:55,00:03:57,The guy over there can you describe him?
00:03:57,00:03:58,Yeah he's tall.
00:03:58,00:04:01,No he's got a same punch coming out of his tall side.
00:04:01,00:04:04,Can you tell me anything about the criminal who came over and tried to exterminate you?
00:04:04,00:04:07,Well yeah first of all he was tall.
00:04:07,00:04:10,I was simply addressing your first point and saying they're small.
00:04:10,00:04:13,I was simply hitting that off as a busted myth straight away.
00:04:13,00:04:16,Okay so there's like Jenny do it she knows Doctor Who.
00:04:16,00:04:23,They're a paper pot they're tall and they have a kind of plunder at the front and they
00:04:23,00:04:29,are in fact they look like they're the monsters but they're not they are kind of strange creatures
00:04:29,00:04:30,inside.
00:04:30,00:04:31,They used to be people.
00:04:31,00:04:33,So they're like a tank for a month.
00:04:33,00:04:34,That is exactly what they're like.
00:04:34,00:04:40,When you say pepper pot I read that when they were designed the person who decided how they
00:04:40,00:04:44,would move used the pepper pot to kind of move around the table and say this is how
00:04:44,00:04:45,they'll move.
00:04:45,00:04:46,Is that true?
00:04:46,00:04:47,I think it is.
00:04:47,00:04:50,It was Ray Cusick who designed the look of the door.
00:04:50,00:04:55,It's a really weird the story of how they were come up with because the creator was Terry
00:04:55,00:05:01,Nation who was involved in working on the very early scripts and he just described them
00:05:01,00:05:04,in the script but he didn't really describe them very much and then Terry Nation was...
00:05:04,00:05:05,He said tall.
00:05:05,00:05:09,He said just some cool aliens.
00:05:09,00:05:13,And then Ray Cusick took the job to design them and he worked with a model maker called
00:05:13,00:05:17,Bill Roberts and they actually they're the ones who built the look as far as I understand
00:05:17,00:05:18,it.
00:05:18,00:05:19,Is that fair?
00:05:19,00:05:20,Yeah.
00:05:20,00:05:21,Yeah.
00:05:21,00:05:22,And Terry Nation though holds the as it were...
00:05:22,00:05:23,But they belong to him.
00:05:23,00:05:24,The copyright.
00:05:24,00:05:25,They belong to him.
00:05:25,00:05:28,Well he became hugely wealthy because he owned the copyright to Daleks and so...
00:05:28,00:05:31,And to the point where when the new series came back all those years ago with Russell
00:05:31,00:05:35,T. Davies the first one with Christopher Eccleston we didn't know if we were going to get the
00:05:35,00:05:39,Daleks back because the Terry Nation estate said well we don't know if this is going to
00:05:39,00:05:43,be... They had to consider that the Daleks would not return with Doctor Who.
00:05:43,00:05:47,And what is the very first thing the Daleks do when they come back?
00:05:47,00:05:48,I know this one.
00:05:48,00:05:50,I actually know this one because that's one of the very little bits of Doctor Who I've
00:05:50,00:05:51,seen.
00:05:51,00:05:52,They go up some stairs.
00:05:52,00:05:53,They fly up the stairs.
00:05:53,00:05:54,Yeah.
00:05:54,00:05:58,It was in such a lovely moment when kind of rose escapes up the stairs and the whole
00:05:58,00:05:59,country's going...
00:05:59,00:06:00,Aha!
00:06:00,00:06:03,The one thing I know about Daleks and then the limited.
00:06:03,00:06:04,Yeah.
00:06:04,00:06:07,I'd love to know if your friend Barnaby if he's been in the same Dalek for all these
00:06:07,00:06:08,years.
00:06:08,00:06:13,Whether or not it's like when you go into a small biplane and you know the person's
00:06:13,00:06:17,"got a picture of their kids up on some dice, you know, is he inside?"
00:06:17,00:06:20,Have they got all these little mementos?
00:06:20,00:06:23,It's a complete Dalek!
00:06:23,00:06:27,This is not the only literary reference that made its way into Doctor Who.
00:06:27,00:06:32,The very first companion of the very first series of Doctor Who was Ian Chesterton.
00:06:32,00:06:36,And Ian Chesterton was named after GK Chesterton because the original scriptwriter for the
00:06:36,00:06:41,show Coburn was a devout Catholic and a massive fan of Chesterton and so gave him that name.
00:06:41,00:06:42,Yeah.
00:06:42,00:06:43,So Chesterton made it in as well.
00:06:43,00:06:47,And Dickens is the first historical figure that turns up in New Who.
00:06:47,00:06:48,Oh really?
00:06:48,00:06:49,Wow.
00:06:49,00:06:50,So he's in the second episode I think.
00:06:50,00:06:51,Of the original series?
00:06:51,00:06:52,Of the new series.
00:06:52,00:06:53,Of the new series.
00:06:53,00:06:54,So which of course isn't new anymore.
00:06:54,00:06:55,"Yeah, yeah, yeah."
00:06:55,00:06:56,It's like really old.
00:06:56,00:06:57,Right.
00:06:57,00:07:01,"As played, of course, by Simon Cowell who has played Dickens so often I get them very"
00:07:01,00:07:03,muddled up in my head.
00:07:03,00:07:04,Yeah.
00:07:04,00:07:08,So the first companion was named after who?
00:07:08,00:07:09,GK Chesterton.
00:07:09,00:07:10,GK Chesterton.
00:07:10,00:07:11,Yeah.
00:07:11,00:07:14,"So I've got, I thought the first assistant was the Doctor's granddaughter."
00:07:14,00:07:16,Are we confusing companion and assistant?
00:07:16,00:07:17,Oh my God.
00:07:17,00:07:18,I'm sorry.
00:07:18,00:07:19,We're going to get letters.
00:07:19,00:07:20,It's the one who does the inbox.
00:07:20,00:07:25,"I just feel like, I did a Pump Quiz recently and the Quiz Master, she said we had a Doctor"
00:07:25,00:07:28,Who quiz in here last week and I barely got out alive.
00:07:28,00:07:34,"Like, famously the quickest way to end a punch up in a Pump Quiz is to ask how many Doctor"
00:07:34,00:07:35,Who's there been?
00:07:35,00:07:36,Oh.
00:07:36,00:07:41,Luckily your inbox is bigger on the inside than ours.
00:07:41,00:07:46,"Yeah, that might be a technicality because the granddaughter is the granddaughter."
00:07:46,00:07:47,"Right, right, right."
00:07:47,00:07:48,There she comes.
00:07:48,00:07:49,The brief was really interesting for the casting.
00:07:49,00:07:54,"It was, she had to be a with it girl of 15 reaching the end of her secondary school career"
00:07:54,00:07:58,"Eager for life, lower than middle class, avoid dialect, use neutral accent laced with the"
00:07:58,00:07:59,latest teenage slang.
00:07:59,00:08:00,That was the gig.
00:08:00,00:08:01,Hit cat.
00:08:01,00:08:02,"Yeah, exactly."
00:08:02,00:08:08,"And then she was made his granddaughter because it was, was it William Hartnell, the first"
00:08:08,00:08:09,one?
00:08:09,00:08:10,It was.
00:08:10,00:08:11,"And it was to avoid any suggestion of, this is a bit weird, isn't it, this whole bloke"
00:08:11,00:08:13,traveling around with a 15 year old girl.
00:08:13,00:08:14,What's going on?
00:08:14,00:08:16,"You know, they were really careful with that for so long."
00:08:16,00:08:19,"In fact, right up till I started writing for it and I started."
00:08:19,00:08:20,Did you change it?
00:08:20,00:08:24,"But no, when I went to see them, they were really, because I write romantic comedy and"
00:08:24,00:08:28,"they were really quite funny, like, you know, we can't have any kissing or anything like"
00:08:28,00:08:29,that.
00:08:29,00:08:30,"And I was like, fine."
00:08:30,00:08:33,I promise you I'm a David T. I will not do any of that.
00:08:33,00:08:38,Then the show completely changed and actually Matt Smith spends pretty much his whole time
00:08:38,00:08:44,"being naked or getting married to folk by mistake or, you know, they suddenly became a massive"
00:08:44,00:08:50,romantic overtones all the time.
00:08:50,00:08:55,Did he get his heart broken?
00:08:55,00:09:00,I just kind of slip in.
00:09:00,00:09:01,Oh dear.
00:09:01,00:09:05,I did read that there have been Doctor Who top trumps over the years.
00:09:05,00:09:11,This is interesting because I do know about top trumps and Pac six has a lot of bad guys
00:09:11,00:09:13,"in, including Adolf Hitler."
00:09:13,00:09:19,"And if you put Pac six against Pac seven, you can fight Adolf Hitler against Queen Elizabeth"
00:09:19,00:09:20,the first.
00:09:20,00:09:27,So I want you to guess who is the bravest out of Adolf Hitler or Queen Elizabeth the
00:09:27,00:09:31,first according to top trumps.
00:09:31,00:09:32,Elizabeth.
00:09:32,00:09:33,Yeah.
00:09:33,00:09:34,Agreed.
00:09:34,00:09:35,Everyone.
00:09:35,00:09:36,I'll say the minority.
00:09:36,00:09:37,Sorry.
00:09:37,00:09:38,Are you voting for Hitler?
00:09:38,00:09:39,Just checking.
00:09:39,00:09:45,"I just wanted to say out loud that you think Hitler is braver, braver."
00:09:45,00:09:46,Not better.
00:09:46,00:09:47,I'll say Hitler.
00:09:47,00:09:51,"In fact, bravery was his lowest possible thing."
00:09:51,00:09:55,"He was good in lots of the things, but the bravery was the worst."
00:09:55,00:10:00,Who do you think is the strongest out of Hitler or Queen Elizabeth the first?
00:10:00,00:10:03,I got completely ambushed last time.
00:10:03,00:10:10,The first. Stronger. She is the strongest and Hitler wins on brains and terror.
00:10:10,00:10:11,Okay.
00:10:11,00:10:12,Just a thing.
00:10:12,00:10:13,Right.
00:10:13,00:10:14,Victory for Hitler.
00:10:14,00:10:15,"Thank you, Doctor Who."
00:10:15,00:10:18,He does spend his entire episode locked in the cupboard.
00:10:18,00:10:19,Does he?
00:10:19,00:10:23,"So I could have got you to the bravery thing, but the brains one slightly defeats me."
00:10:23,00:10:24,"What was Hitler's episode, Doctor Who?"
00:10:24,00:10:26,It's called Let's Kill Hitler.
00:10:26,00:10:28,"Oh, wow."
00:10:28,00:10:29,Really?
00:10:29,00:10:30,Gosh.
00:10:30,00:10:34,"One of the first people involved in the BBC side of things, there was a guy called Sidney"
00:10:34,00:10:37,Newman who was the head of drama.
00:10:37,00:10:38,He was a really interesting guy.
00:10:38,00:10:42,"So there was a play that was broadcast in his career called Underground, right?"
00:10:42,00:10:46,And it was about a group of nuclear holocaust survivors living in the London Underground.
00:10:46,00:10:51,"I think it was early '60s or late '50s, like it was quite, you know, it sounds very terrifying"
00:10:51,00:10:52,and dramatic.
00:10:52,00:10:58,But it was a live broadcast and one of the actors in it died of a heart attack halfway
00:10:58,00:11:01,through the television screening offstage.
00:11:01,00:11:05,"So he wasn't on camera, but it was in between scenes basically."
00:11:05,00:11:09,"He was in costume and makeup and, you know, he died and the play had to improvise its"
00:11:09,00:11:12,way through and Newman was kind of in charge of it.
00:11:12,00:11:14,"He said, ""Just treat it like a football match."
00:11:14,00:11:15,Just play on.
00:11:15,00:11:16,"Adjust."""
00:11:16,00:11:17,Wow.
00:11:17,00:11:18,Yeah.
00:11:18,00:11:19,"Oh, so it wasn't like there's been a murder."
00:11:19,00:11:21,Like they didn't shift the whole thing to do.
00:11:21,00:11:22,I don't know.
00:11:22,00:11:23,Like really deathful care.
00:11:23,00:11:27,"Can I just say, if someone dies in the middle of a football match, they do stop the game."
00:11:27,00:11:28,That's a very good point.
00:11:28,00:11:30,That's a very good point.
00:11:30,00:11:32,"Well, that's the weird thing."
00:11:32,00:11:34,The character was meant to die of a heart attack later in the play.
00:11:34,00:11:36,"The character, not the actor."
00:11:36,00:11:37,"Yeah, yeah, yeah."
00:11:37,00:11:39,So I guess they just had to shift it.
00:11:39,00:11:40,Of course not the actor.
00:11:40,00:11:43,What a gig to agree to.
00:11:43,00:11:45,This will require you dying.
00:11:45,00:11:48,"It's going out on BBC One, so you've got to think of your career."
00:11:48,00:11:52,"Peter Capaldi, I think, auditioned for the Doctor Who and got the role, but he got it"
00:11:52,00:11:54,20 years later.
00:11:54,00:11:58,"So he auditioned in 1996 when they were casting for the, they made a film, didn't they then?"
00:11:58,00:11:59,And that was...
00:11:59,00:12:00,Yes.
00:12:00,00:12:01,"Yeah, yeah."
00:12:01,00:12:02,And lots of people auditioned.
00:12:02,00:12:03,"Michael Palin, Eric Idle, Rick Mail."
00:12:03,00:12:04,"Oh, wow."
00:12:04,00:12:09,"Rick would have been great, although you need to be kind of kind to be the Doctor."
00:12:09,00:12:14,"And I think he was a very kind man in real life, but on screen he was terrifying at all"
00:12:14,00:12:15,times.
00:12:15,00:12:16,Yeah.
00:12:16,00:12:18,"Others auditioned, Brian Blassid?"
00:12:18,00:12:19,No.
00:12:19,00:12:20,No?
00:12:20,00:12:21,Do you know what?
00:12:21,00:12:23,"There's a certain, I think it's about English tolerance for Brian Blassid and I have not."
00:12:23,00:12:24,"Oh, that's wonderful."
00:12:24,00:12:25,The gene.
00:12:25,00:12:28,"I can't, you know, I get it."
00:12:28,00:12:29,Everybody loves him.
00:12:29,00:12:31,It's one of those English things that I don't get.
00:12:31,00:12:32,Like freaking Tim Henman.
00:12:32,00:12:35,"Do you think Andy would make a good Doctor Who, I think he would."
00:12:35,00:12:36,I think...
00:12:36,00:12:37,Yes?
00:12:37,00:12:39,Let me see your fingers.
00:12:39,00:12:40,Hold it.
00:12:40,00:12:41,Your fingers.
00:12:41,00:12:42,Yeah?
00:12:42,00:12:43,Okay.
00:12:43,00:12:44,"Sorry, what are you looking for there?"
00:12:44,00:12:45,They've all got really long fingers.
00:12:45,00:12:46,Are they?
00:12:46,00:12:47,Oh.
00:12:47,00:12:48,Is that?
