start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hi everyone, welcome to this week's episode of No Such Things as a Fish, where we were"
00:00:03,00:00:09,joined at the Soho Theatre in London by the incredible Kariad Lloyd. Now if you are a regular
00:00:09,00:00:14,"listener to No Such Things as a Fish, you will know of course who Kariad is. She's a very good"
00:00:14,00:00:19,"friend of ours, she's a comedian, she's an actor, she's a podcaster, she's just an all-round genius,"
00:00:19,00:00:24,"let's be honest. She has a book out which you definitely should check out, it's called You Are"
00:00:24,00:00:30,"Not Alone, it's about death but that sounds like it's going to be depressing but it really isn't,"
00:00:30,00:00:35,"it's extremely uplifting that book and there's loads of facts in there as well, it's definitely one"
00:00:35,00:00:41,"that I think you'll really, really enjoy. And the other thing to say is that Kariad does an"
00:00:41,00:00:47,"improvised show called Ostentatious. Now this is a really amazing show, what happens is you turn up,"
00:00:47,00:00:55,"someone in the audience gives them a hitherto lost, let's say, Jane Austen play title that they've"
00:00:55,00:01:01,"made up, the guys have never heard it before and they do an entire Jane Austen play completely"
00:01:01,00:01:06,"improvised. It is absolutely stunningly brilliant, if you haven't seen it you can't miss it, if you"
00:01:06,00:01:10,have seen it go again because it's different every single night and they are about to do
00:01:10,00:01:16,another run at London's West End at the Arts Theatre. Now the best way to find out about those
00:01:16,00:01:25,tickets is to go to ostentatiousimpro.com that's A-U-S-T-E-N-T-A-T-I-O-U-S-I-M-P-R-O.com
00:01:25,00:01:31,"but let's be honest, who types in URLs these days? Just go to a search engine, search for"
00:01:31,00:01:36,ostentatious and you will find all the information there. Anyway really hope you enjoy this week's
00:01:36,00:01:40,"show with Kariad Lloyd, all that's left to say is on with the podcast!"
00:01:40,00:02:02,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast this week"
00:02:02,00:02:05,coming to you live from the Soho Theatre in London!
00:02:08,00:02:13,"My name is Dan Schreiber, I am sitting here with James Harkin, Andrew Hunter Murray and"
00:02:13,00:02:20,Kariad Lloyd and once again we have gathered round the microphones with our four favourite facts
00:02:20,00:02:26,from the last seven days and in no particular order here we go starting with fact number one
00:02:26,00:02:35,and that is Andy. My fact is that the maximum PDF file you can send is bigger than Belgium.
00:02:35,00:02:43,Can we replace Belgium? Just with a PDF?
00:02:43,00:02:49,"Of Belgium, yes you can! Okay in fact it's bigger than that, okay right, the maximum"
00:02:49,00:02:56,"PDF size you can send is the square with size that are 381 kilometres long, that is bigger than"
00:02:56,00:03:02,"Belgium, Monaco, San Marino, Liechtenstein, Malta, Andorra, Luxembourg, Montenegro, Slovenia, Albania"
00:03:02,00:03:10,and Moldova combined. It is huge! It's mega! Has anyone sent something that big?
00:03:10,00:03:20,Unclear! So I worked out that if you wanted to print it out on A4 paper it would take 2.3 trillion
00:03:20,00:03:29,pieces and if I did it on my printer at home I could have started it off at the time when the
00:03:29,00:03:34,first human fossils were appearing in the fossil records and it would be just about finishing now.
00:03:34,00:03:41,"No! Subject to jams and cartridge replacements, that's brilliant, that's so good, I should say"
00:03:41,00:03:45,"where I got this from, I saw a guy called Steve Bobrick put it up on Twitter and basically"
00:03:45,00:03:55,we should say this appears to only be an adobe acrobat limit. Damn them controlling us as always!
00:03:55,00:04:02,Theoretically there could be a bigger PDF out there. So this is what in the adobe rules it says
00:04:02,00:04:06,"that this is the maximum you're allowed or something. Yeah it's the adobe acrobat, it's 15"
00:04:06,00:04:14,"million inches by 15 million inches. It's just the rules, it's not even... No it's their internal"
00:04:14,00:04:19,limit but the file format itself might not be bound by the adobe. They would probably just have
00:04:19,00:04:24,"to click and write 25 million and maybe we'd be able to get even bigger. Maybe, maybe, but I don't"
00:04:24,00:04:28,"think anyone's ever actually sent one that's this big. No, why would you? Why would he be insane?"
00:04:28,00:04:36,"Is that an email attachment or are we talking we transfer here? Oh I think that's a dropbox,"
00:04:36,00:04:48,"I don't think you can we transfer that. So PDFs, pretty dry, pretty dry. It's amazing when we send"
00:04:48,00:04:53,each other our facts round and we have to then go and research them of course and Andy sent us
00:04:53,00:04:59,the PDF and said maybe it's the most boring fact you've ever sent. Yeah and James said it's not
00:04:59,00:05:07,"even close, not even top ten. But I mean we can get on to more general stuff but I do just want to"
00:05:07,00:05:13,"say that adobe, you know adobe acrobat the program that do the PDFs is named after some mud. Named"
00:05:13,00:05:21,after some mud. Adobe it's a building material isn't it? It is. You make it half like poo and wool
00:05:21,00:05:30,I think. Here is mud. James don't attempt poo and wool and be like this is it we can make a house.
00:05:30,00:05:36,That's the worst three little pigs ever isn't it? And the fourth little pig made his house out of
