start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"""Hey everybody, Dan and Andy here and we have two very exciting big announcements before"
00:00:06,00:00:07,"this week's show starts."""
00:00:07,00:00:10,"""That's right, the first one is that we are joined by a very special guest this week and"
00:00:10,00:00:12,"that is the incredible Neil Gaiman."""
00:00:12,00:00:17,"""Yes, Neil Gaiman has done so much stuff, so he's written brilliant novels, he's written"
00:00:17,00:00:22,"for the screen, Neverwhere, American Gods, Stardust, he covered Good Omens with Terry"
00:00:22,00:00:24,"Pratchett, he's done it all."""
00:00:24,00:00:27,"""That's right, and it's not even just the books, you know, the TV work as well, the"
00:00:27,00:00:31,"Sandman was converted into a show, Doctor Who, his episodes are Doctor Who, some of the best"
00:00:31,00:00:36,episodes of the modern era and then of course Good Omens comes to Amazon Prime and then
00:00:36,00:00:37,they do a second series.
00:00:37,00:00:41,"Despite the fact that Terry Pratchett has passed away, I was quite nervous, it comes"
00:00:41,00:00:43,"out it is brilliant."""
00:00:43,00:00:48,"So the guy just continues to deliver extraordinary goods, I've binged it in one go by the way,"
00:00:48,00:00:50,"I don't know if you've seen it, Andy, it's incredible."
00:00:50,00:00:55,"And so yeah, we're very excited because what was he going to talk about, this mystical man,"
00:00:55,00:00:58,"was it going to be ghosts, was it going to be graveyards, was it going to be the history"
00:00:58,00:01:05,"of Norse gods, what was it going to be, Andy, what was it, bagels, bagels, the man loves"
00:01:05,00:01:09,"bagels and he needed to tell us about it, so that's why it's so exciting because Neil"
00:01:09,00:01:11,is a thunder nerd just like us.
00:01:11,00:01:13,"Anyway, that's announcement one, announcement number two, Andy."
00:01:13,00:01:17,The other huge announcement we've got is that we are going to be doing a live show really
00:01:17,00:01:22,"soon, we're going to be at the London Podcast Festival on the 14th of September this year,"
00:01:22,00:01:26,now it's sold out in the room but there are still streaming tickets available and they're
00:01:26,00:01:29,available for a few days after the show so if you buy a ticket you can watch it at your
00:01:29,00:01:32,convenience and there is a really good reason to buy a streaming ticket.
00:01:32,00:01:37,"In fact, there are two reasons, the first reason is that it's going to be our 500th"
00:01:37,00:01:43,"show, we've moved Roman numerals, but the last one we had was C, now we're doing D,"
00:01:43,00:01:44,this is amazing.
00:01:44,00:01:48,"So that's the first big reason, the second big reason is that we have a special guest."
00:01:48,00:01:52,Now in all the months that we've been having special guests since Santa went on maternity
00:01:52,00:01:55,"leave, our guests have been great but there's one guest who we've been really excited to"
00:01:55,00:01:59,"get and for this show, show 500, our special guest is Anna Tyshinski."
00:01:59,00:02:05,"Yes, she's back, we're so excited, Anna will be joining us live on stage so if you want"
00:02:05,00:02:10,"to be part of that party as we're surrounded in giant D balloons, I'm so regretting letting"
00:02:10,00:02:17,"Andy organise the balloons now, you can do that by simply heading to knowsuchthingasafish.com/live,"
00:02:17,00:02:21,"you'll find a link to the live stream tickets for the London Podcast Festival, that's where"
00:02:21,00:02:25,"we'll be, if you're a fish accordion, you can chat about it online with everyone else"
00:02:25,00:02:31,as it goes out streaming live and let's make this into a massive party and a proper return
00:02:31,00:02:32,for Anna Tyshinski.
00:02:32,00:02:33,Yeah.
00:02:33,00:02:37,"No such thing as a fish.com/live, get your tickets now, that's it from us on with the"
00:02:37,00:02:38,show.
00:02:38,00:02:41,On with Mr. Gaiman and his bagels.
00:02:41,00:03:01,"Hello and welcome to another episode of Know Such Thing as a Fish, a weekly podcast coming"
00:03:01,00:03:05,to you this week from four undisclosed locations around the globe.
00:03:05,00:03:10,"My name is Dan Schreiber and I am sitting here with James Harkin, Andrew Hunter Murray"
00:03:10,00:03:15,and Neil Gaiman and once again we have gathered round the microphones with our four favourite
00:03:15,00:03:20,facts from the last seven days and in no particular order here we go.
00:03:20,00:03:23,Starting with fact number one and that is Neil.
00:03:23,00:03:31,My fact is that the bagel in the form that we know it only ever came to exist through
00:03:31,00:03:38,"Polish anti-Semitism, now I could have gone for something much more sort of easy to chat"
00:03:38,00:03:44,"about with bagels like the fact that every year over 2,000 people are taken to hospital"
00:03:44,00:03:47,in America alone with bagel related injuries.
00:03:47,00:03:51,"Neil I'm going to pause you there, I want to know what a bagel really is and I cannot"
00:03:51,00:03:55,think of anything less likely to injure me than a bagel and I feel like I would have
00:03:55,00:03:59,to be misusing a bagel in some terrible way in order that I would need to go to A&E with
00:03:59,00:04:00,it.
00:04:00,00:04:06,"I can tell you Addy it's cutting them open, it's finger cuts and quite often people try"
00:04:06,00:04:09,and cut them while they're still frozen.
