start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everybody, Andy here. Just a couple of announcements before we start this week's show."
00:00:04,00:00:08,"The first announcement is that as you will see from the episode number here,"
00:00:08,00:00:15,this is the 500th episode of No Such Thing as a Fish. And we just wanted to say we are so thrilled
00:00:15,00:00:21,to have made it to 500. We definitely didn't think we would when we started this in 2014.
00:00:21,00:00:24,And we wanted to say thank you to all of you for listening. We know loads of you have been
00:00:24,00:00:28,listening for many years. Plenty of you have been listening right from the get-go. And whether
00:00:28,00:00:32,"you've listened to 500 episodes or whether you've just started, we wanted to say a huge thank you."
00:00:32,00:00:37,It would not have happened without you and we're thrilled you're here. This show is a very special
00:00:37,00:00:42,"one. It was recorded live at the London Podcast Festival. And as many of you know, we've been"
00:00:42,00:00:47,having lots of guests to cover. Anna on maternity leave. This time we pulled out all the stops.
00:00:47,00:00:52,And our special guest is a name that will be familiar to many of you because it's Anna. Anna
00:00:52,00:00:57,Tadinski is back everybody. She's back. She's better than ever. She insults us all in the first
00:00:57,00:01:02,three minutes of the recording. We really hope you enjoy this show. And Anna will be back full
00:01:02,00:01:06,time in another month or so. The second announcement is about a very exciting new book that's been
00:01:06,00:01:13,published. It's called Everything to Play for the QI Book of Sports. And its authors are none other
00:01:13,00:01:18,than James Arkin and Anna Tadinski of this podcast. That's right. James and Anna have written their
00:01:18,00:01:24,first joint book without me in Dan with. It's a brilliant book. It's a history of basically the
00:01:24,00:01:29,"entire world through the medium of sport. So it's great for people who like sport, but it's also"
00:01:29,00:01:33,great for people who don't think of themselves as sport lovers. I don't think of myself as a sport
00:01:33,00:01:38,"lover, but I'm reading it now and I'm absolutely engrossed. I'm learning fantastic new things on"
00:01:38,00:01:44,"every single page. If you know someone who likes sport or if you like this podcast, you will love"
00:01:44,00:01:49,"this book. It is absolutely full of mad, bizarre, wonderful niche things about the biggest sports"
00:01:49,00:01:53,in the world and the smallest ones and everything else in between. James and Anna have also read
00:01:53,00:01:58,"out the audiobook. So if you'd like to listen to them reading it, that's like a huge bumper"
00:01:58,00:02:03,"bonus episode of Fish. That can be done too. Once again, it's called Everything to Play for,"
