start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:04,"- Hi everyone, welcome to this week's episode"
00:00:04,00:00:07,"of No Six Things of Fish, where we were joined"
00:00:07,00:00:11,"by the incredibly funny, amazing, Maisie Adam."
00:00:11,00:00:15,"Now anyone who is familiar with our parent TV show, QI,"
00:00:15,00:00:17,will know all about Maisie.
00:00:17,00:00:19,She's burst onto the scene in the last few years
00:00:19,00:00:21,and it is no exaggeration to say
00:00:21,00:00:23,that I think she is the funniest newcomer
00:00:23,00:00:26,that we've had on QI over the last few years.
00:00:26,00:00:27,She's absolutely brilliant.
00:00:27,00:00:30,It was a great fun doing this show with her.
00:00:30,00:00:32,"If you'd like to learn anything more about Maisie,"
00:00:32,00:00:34,then the best way to find out what she's doing
00:00:34,00:00:37,"is to go to her website, which is MaisieAdam.com."
00:00:37,00:00:41,M-A-I-S-I-E-A-D-A-M.
00:00:41,00:00:42,One thing I should quickly mention
00:00:42,00:00:47,is that Maisie mentions Ethan in this show.
00:00:47,00:00:49,That was a reference to something that happened
00:00:49,00:00:51,"before the microphones came on, but I had to keep it in."
00:00:51,00:00:52,"So just to let you know,"
00:00:52,00:00:57,Ethan is one of the QILs who does a lot of our tech stuff.
00:00:57,00:00:59,"If you are a Clubfish member,"
00:00:59,00:01:02,"you might remember his episode of ""Meet the Elves"""
00:01:02,00:01:07,where he gave us a fiendish question that we had to solve.
00:01:07,00:01:09,"We do those ""Meet the Elves"" shows every now and then"
00:01:09,00:01:10,on Clubfish.
00:01:10,00:01:13,"It's one very good reason, one of many in fact,"
00:01:13,00:01:14,that you should subscribe.
00:01:14,00:01:17,"And if you'd like to do that, then you can go to, of course,"
00:01:17,00:01:20,no such thing as a fish.com/apple
00:01:20,00:01:24,and no such thing as a fish.com/patreon.
00:01:24,00:01:27,"Anyway, one final thing before we do the show,"
00:01:27,00:01:31,today's episode marks the end of our nine months
00:01:31,00:01:33,of Anna Replacement shows.
00:01:33,00:01:34,"Yes, you got it."
00:01:34,00:01:36,"Next week, she will be back."
00:01:36,00:01:38,Anna will be back on the podcast.
00:01:38,00:01:40,"So whatever you do, don't miss that episode."
00:01:40,00:01:42,Listen to it 10 times.
00:01:42,00:01:44,You want her to see the figures boosting up
00:01:44,00:01:46,when she comes back on the show.
00:01:46,00:01:47,"But in the meantime,"
00:01:47,00:01:49,really hope you enjoy this show with Maisie.
00:01:49,00:01:53,And all that's left to say is on with the podcast.
00:01:54,00:01:56,(upbeat music)
00:01:56,00:02:10,"- Hello, and welcome to another episode"
