start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish!"
00:00:04,00:00:13,"Andrew Hunter Murray is off on his hollybops, sailing the seven seas, looking for new unbeknownst"
00:00:13,00:00:18,"species of moss and while he is away, we have got a guest for you and that guest is none"
00:00:18,00:00:20,other than Anne Miller.
00:00:20,00:00:24,"Of course you know Anne, she's one of the QIL, she's a really good friend of ours and"
00:00:24,00:00:26,it's great to have her back.
00:00:26,00:00:30,One thing you really need to know about Anne especially in these weeks upcoming to Christmas
00:00:30,00:00:36,"is that she is also a published author, she has written a series of children's books,"
00:00:36,00:00:39,"they are known as Mickey and the Animal Spies, they're known as that because that is their"
00:00:39,00:00:44,"name and they're absolutely brilliant, my daughter absolutely loves looking at the pictures"
00:00:44,00:00:48,and I'm sure when she gets to the right age she will enjoy reading them as well.
00:00:48,00:00:52,"While we're on the subject of books, of course it would be remiss of me not to mention our"
00:00:52,00:00:57,"book, Mine and Anna's new book, Everything to Play for the QI Book of Sport, definitely"
00:00:57,00:01:01,"buy that for your loved ones for Christmas, anyone who likes sport, definitely buy it"
00:01:01,00:01:02,for them.
00:01:02,00:01:05,"If you don't like sport but you like what we do, I promise you'll love this book because"
00:01:05,00:01:11,"it's full of loads of interesting human stories, drama, it's the ultimate sports book for people"
00:01:11,00:01:15,who don't really like sports and also people who do like sports will like it as well.
00:01:15,00:01:19,"It's for everyone, that's the great thing about our book but then that also has to be"
00:01:19,00:01:23,"true of Andy and Dan's books, you definitely should go and get those as well."
00:01:23,00:01:28,"Dan's book is called The Theory of Everything Else, it's a brilliant look into his brain,"
00:01:28,00:01:34,his unique brain let's say but he's looked at the history of people who had done otherwise
00:01:34,00:01:41,great things but deep down they had a dark secret of believing some weird shit and speaking
00:01:41,00:01:45,"of weird shit you should also have a look at Andy's books, Andrew Hunter Murray he has"
00:01:45,00:01:50,"two books they're called The Sanctuary and The Last Day, they're both brilliant acerbic"
00:01:50,00:01:56,dystopian books that tell you something about the modern day while thrilling you with an
00:01:56,00:01:59,"incredible story about the future, they're absolutely amazing, you've got to get those"
00:01:59,00:02:00,as well.
00:02:00,00:02:03,Basically what I'm saying is who doesn't love a book for Christmas and there's a ton
00:02:03,00:02:09,of them made by your favourite QILs that are all available online and mine and as Dan's
00:02:09,00:02:13,and Andy's you can find at noteswiththingsafish.com/books.
00:02:13,00:02:18,One more very very important thing I need to say before I leave you in peace to listen
00:02:18,00:02:23,"to the podcast is that we do have a couple of live shows coming up just before Christmas,"
00:02:23,00:02:28,they will take place in London on Thursday the 7th of Friday the 8th of December at the
00:02:28,00:02:33,"Soho Theatre, now we've already mentioned this to the clubfish members and I think it's"
00:02:33,00:02:37,been on social media so the truth is there are not many tickets left.
00:02:37,00:02:45,"If you do want to come and see this show, literally pause now and go to noteswiththingsafish.com/live,"
00:02:45,00:02:48,"click on the link and check if there are any tickets left, you never know sometimes extra"
00:02:48,00:02:53,tickets do come up closer to the date so do go and check there anyway and hopefully see
00:02:53,00:02:56,some of you there for our Christmas shows.
00:02:56,00:02:59,"Anyway thank you so much for getting to the end of this without fast forwarding, if you"
00:02:59,00:03:04,"have fast forwarded and got to here without hearing the last bit, shame on you."
00:03:04,00:03:09,But anyway it's time for our podcast with Anmela so there is nothing more to say apart
00:03:09,00:03:16,from on with the podcast!
00:03:16,00:03:32,"Hello and welcome to another episode of no such thing as a fish, a weekly podcast coming"
00:03:32,00:03:35,to you from the QI offices in Hoburn.
00:03:35,00:03:39,"My name is Dan Schreiber, I am sitting here with Anna Tyshinski, James Harkin and Ann"
00:03:39,00:03:43,Miller and once again we have gathered around the microphones with our four favorite facts
00:03:43,00:03:48,"from the last seven days and in no particular order, here we go!"
00:03:48,00:03:51,Starting with fact number one and that is Anna.
00:03:51,00:03:58,My fact this week is that a list of adorable things written over a thousand years ago includes
00:03:58,00:04:04,chicks who look like their clothes are too big for them and faces drawn on melons.
00:04:04,00:04:13,Can I ask for definitions of chicks and melons because I live in the 1990s.
00:04:13,00:04:19,"Right, both chicks and melons mean what they've meant in every decade outside of the 1990s."
00:04:19,00:04:29,"I'm afraid, baby chickens and fruit."
00:04:29,00:04:33,"People are writing about adorable things a thousand years ago, that's weird."
00:04:33,00:04:37,I actually heard this reference on radio for this week so I'm sure there are people who
00:04:37,00:04:38,also heard it mentioned it.
00:04:38,00:04:44,It's the pillow book which is this extraordinary book written by a woman in Japan in the tenth
00:04:44,00:04:52,century and the Haiyan period and that's why we chose this.
00:04:52,00:05:00,"God, it took me a long time to find a Haiyan period."
00:05:00,00:05:07,"Anyway, this woman basically wrote a diary of just random stuff that popped into her"
00:05:07,00:05:12,head of lists and observations and things she thought should happen and shouldn't happen
00:05:12,00:05:16,and things people should wear and shouldn't wear and one of them was his list of really
00:05:16,00:05:21,"cute things and one of them was faces drawn on melons, one of them was chicks who look"
00:05:21,00:05:25,like their clothes are too big which I think is like if you see a chick but its feathers
00:05:25,00:05:29,"look like they're a bit swollen, you know they look like they look like you dress them"
00:05:29,00:05:30,up in human clothes.
00:05:30,00:05:31,That's what I thought.
00:05:31,00:05:32,That's cute.
00:05:32,00:05:33,That would be even cuter.
00:05:33,00:05:36,"From what I could tell from interpretations of it, I think they're just talking about"
00:05:36,00:05:39,chicks who look like they don't fit into their clothes yet.
00:05:39,00:05:40,Right.
00:05:40,00:05:41,They're too small.
00:05:41,00:05:44,That's slightly less cute than like a hat and dungarees.
00:05:44,00:05:48,"Well, take it up with, say, Shonagun, the author of this book, maybe she hadn't thought"
00:05:48,00:05:49,of that.
00:05:49,00:05:52,"The good thing about this book is, and I'm sure you all found this reading it, it's"
00:05:52,00:05:54,"just like someone is writing today, isn't it?"
00:05:54,00:05:55,Yeah.
00:05:55,00:05:56,It's just like this cute thing.
00:05:56,00:06:01,"So one is a young palace page, obviously that's not the thing anymore, but a young"
00:06:01,00:06:07,palace page who is still quite small and walks by in ceremonial costume and that's just
00:06:07,00:06:12,"like if you go to a wedding and you see a little toddler, a page boy in a suit."
00:06:12,00:06:13,Yeah.
00:06:13,00:06:14,It's true.
00:06:14,00:06:15,"But it's not all happy stuff, is it?"
00:06:15,00:06:20,"There's so many great pissed off lists, things like things that are unpleasant to hear, someone"
00:06:20,00:06:24,"who has an ugly voice yet speaks and laughs without restraint, so she has a list for that."
00:06:24,00:06:27,She has a list for things that give a pathetic impression.
00:06:27,00:06:33,"The voice of someone who blows his nose while he is speaking, the impression of a woman"
00:06:33,00:06:37,"plucking her eyebrows, it's all so odd."
00:06:37,00:06:41,"My favourite random one in there is the list of extremely frightening things, do you guys"
00:06:41,00:06:42,know?
00:06:42,00:06:43,"No, I didn't see that."
00:06:43,00:06:48,"It's thunder, yeah, fair enough, and I just enjoy this one, extremely frightening thing,"
00:06:48,00:06:53,"when a thief has entered the house next door, one is extremely frightened."
00:06:53,00:07:01,"If he breaks into the house where one is actually living, if he breaks into the house where one"
00:07:01,00:07:07,"is actually living, one loses consciousness and knows nothing more, which is true."
00:07:07,00:07:08,That's true.
00:07:08,00:07:10,"So I think some of these, they sound like stand up routines."
00:07:10,00:07:11,"Yeah, exactly."
00:07:11,00:07:15,"It's like, I've found one which is things that are infuriating, which sounds like it's"
00:07:15,00:07:19,"like a Josh Whittacum routine, it says, ""This is what's infuriating."
00:07:19,00:07:22,Someone suddenly falls ill and an exorcist is sent for.
00:07:22,00:07:27,They don't find him in the usual place and a tedious amount of time is spent waiting
00:07:27,00:07:29,while they go around in search of him.
00:07:29,00:07:33,"Finally, they manage to locate him and with great relief, you see him to performing the"
00:07:33,00:07:35,exorcism rites.
00:07:35,00:07:39,"However, the recent exertions of exercising some other possessive spirit seems to have"
00:07:39,00:07:40,worn him out.
00:07:40,00:07:45,For no sooner does he sit down and start in on the chanting than his spirit seems to
00:07:45,00:07:51,"have worn him out, his voice goes drowsy, and that is utterly infuriating."""
00:07:51,00:07:52,I think.
00:07:52,00:07:53,"It's so relatable, isn't it?"
00:07:53,00:07:54,Yeah.
00:07:54,00:07:56,"My note for Josh may be broad, isn't it?"
00:07:56,00:07:57,A tiny bit.
00:07:57,00:08:00,"I like the idea this is a, ""Hey, what about airplane food?"""
00:08:00,00:08:02,It clearly is.
00:08:02,00:08:03,There's a list.
00:08:03,00:08:04,Rare things.
00:08:04,00:08:06,A silver tweezer that is good at plucking out the hair.
00:08:06,00:08:07,This is today.
00:08:07,00:08:08,It is.
00:08:08,00:08:10,You can't get tweezers that pluck out hairs well.
00:08:10,00:08:13,How have they not designed this in the last thousand years?
00:08:13,00:08:15,"It's basically shots of miscellany, isn't it?"
00:08:15,00:08:21,"Because it is list, but it's also essays sometimes, or diaries, yeah, diary entries, observations."
00:08:21,00:08:25,"So this is, just to put it into the period, I know everyone probably knows the years of"
00:08:25,00:08:33,"the high Anne period, but we're talking the year 1000 is what's going on here."
00:08:33,00:08:37,"And at the time that she was writing this book, Beowulf was being written also, just"
00:08:37,00:08:40,to put in context the other great pieces of literature.
00:08:40,00:08:42,"Not nearly as relatable, Beowulf."
00:08:42,00:08:43,No.
00:08:43,00:08:44,"No, that's true."
00:08:44,00:08:45,"I haven't actually read it, so I..."
00:08:45,00:08:47,"Well, the first word in it, we still don't know what it means."
00:08:47,00:08:48,Really?
00:08:48,00:08:49,I think so.
00:08:49,00:08:50,Wow.
00:08:50,00:08:51,Really?
00:08:51,00:08:52,Yeah.
00:08:52,00:08:53,Do you say the word?
00:08:53,00:08:54,Do you know it?
00:08:54,00:08:55,"It's like, ""What?"""
00:08:55,00:08:56,Yeah.
00:08:56,00:09:00,"And she was, so she was working in the court of the empress at the time."
00:09:00,00:09:04,"She was like a lady-in-waiting who was always there, and she basically wrote this book because"
00:09:04,00:09:07,she just had a lot of spare time with nothing to do.
00:09:07,00:09:08,So she never intended it for publication.
00:09:08,00:09:11,It was just a personal book that she was writing.
00:09:11,00:09:14,We don't even properly know her name.
00:09:14,00:09:19,"So she's called, say, Seanagun, but that's, Seanagun is the title that you're given."
00:09:19,00:09:21,It's a minor counselor.
00:09:21,00:09:25,"And ""say"" is the name that was added later, which refers to her father's name, so you"
00:09:25,00:09:29,can distinguish her from the other Seanaguns who were in part of the court.
00:09:29,00:09:34,So do we think it could be Josh Whittacum gone back in time to the Haiyan period?
00:09:34,00:09:35,It's possible.
00:09:35,00:09:36,Say Seanagun.
00:09:36,00:09:39,Does that sound like a Japanese version of Josh Whittacum?
00:09:39,00:09:40,Yeah.
00:09:40,00:09:41,That's what I was thinking.
00:09:41,00:09:45,"The word ""haiyan"" means ""peace"" in Japanese, because it was particularly, it was quite"
00:09:45,00:09:48,"long period, and it was a time where there wasn't much war going on, so people had time"
00:09:48,00:09:51,to write these stand-up routines.
00:09:51,00:09:53,That's why she was so bored.
00:09:53,00:09:54,I reckon she craved a war.
00:09:54,00:09:56,Do we think she was a bit of a bitch?
00:09:56,00:09:57,Was she?
00:09:57,00:09:58,What?
00:09:58,00:09:59,"Well, I mean, just from what she writes."
00:09:59,00:10:00,"I mean, like, adorable things."
00:10:00,00:10:01,Give us some examples.
00:10:01,00:10:02,"I mean, the..."
00:10:02,00:10:03,"Pretty much, list your reading."
00:10:03,00:10:04,"Yeah, you're right."
00:10:04,00:10:05,I think she had mean qualities.
00:10:05,00:10:10,"In fact, there was a story about her where one of her neighbor's houses burned down and"
00:10:10,00:10:12,they lost everything they owned.
00:10:12,00:10:15,The fire in the house next door is the most scary thing.
