start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:05,"- Hey everyone, welcome to the very first episode"
00:00:05,00:00:08,of Fish in the Year 2024.
00:00:08,00:00:09,This is gonna be a really big year for us.
00:00:09,00:00:11,We're incredibly excited.
00:00:11,00:00:12,It's our 10 year anniversary.
00:00:12,00:00:14,10 years of fish this March.
00:00:14,00:00:18,"That's over 500 episodes, 29,000 facts."
00:00:18,00:00:23,"Actually, so far 29,597 facts, to be exact."
00:00:23,00:00:25,We know that because Andy keeps a spreadsheet.
00:00:25,00:00:27,So thanks to everyone who's been tuning in all this time.
00:00:27,00:00:29,I hope you had a great holiday break.
00:00:29,00:00:31,Hope you had a great New Year's.
00:00:31,00:00:32,We got a great episode for you today.
00:00:32,00:00:34,James is away on holiday at the moment.
00:00:34,00:00:38,"So in his place, we have another James, a Reese James."
00:00:38,00:00:39,I'm sure you're all aware of Reese James.
00:00:39,00:00:41,He's an amazing stand-up comedian.
00:00:41,00:00:44,He's appeared on multiple TV shows and radio shows.
00:00:44,00:00:47,"Most predominantly I would say as a regular or mock the week,"
00:00:47,00:00:49,where for years he was a panelist.
00:00:49,00:00:51,"And actually, if you go to Reese's Instagram account,"
00:00:51,00:00:54,"which is @ReeceJamesy, so that's Reese James,"
00:00:54,00:00:56,"but with a Y at the end,"
00:00:56,00:00:58,you'll find the funniest Instagram account out there
00:00:58,00:00:59,in my personal opinion.
00:00:59,00:01:01,It's the reason I basically stayed on Instagram
00:01:01,00:01:02,for a long time.
00:01:02,00:01:04,He's uploaded all of his single one-liners
00:01:04,00:01:06,that he's delivered on the show mock the week
00:01:06,00:01:07,from over the years.
00:01:07,00:01:09,"And honestly, you will be in tears laughing."
00:01:09,00:01:12,"So get that into your life, follow him there."
00:01:12,00:01:14,"And if you want more long-form stuff by him,"
00:01:14,00:01:15,you can go to his YouTube account
00:01:15,00:01:17,where you'll find an entire radio show
00:01:17,00:01:18,that's been uploaded there.
00:01:18,00:01:21,And that's called Reese Search.
