start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish. Dan Shriver is"
00:00:06,00:00:13,"not with us today, unfortunately. He is off doing community service. By which I mean he's"
00:00:13,00:00:18,"doing jury duty, which means he won't be here this week or next. But in his place, we are"
00:00:18,00:00:26,"joined by our colleague and very, very good friend, Liying Li. Now, some of you, the Super"
00:00:26,00:00:33,"Duper Fish fans, will already know who Liying is. She has appeared on our Meet the Elves feature in"
00:00:33,00:00:39,Club Fish. She was so good on that that we decided to ask her onto the main podcast. I'm sure you're
00:00:39,00:00:43,"going to really enjoy it. She's absolutely brilliant. If you want to know more about all the other elves,"
00:00:43,00:00:50,"then go to nosuchthingsafish.com/apple and nosuchthingsafish.com/patreon. And if you go there,"
00:00:50,00:00:54,"you can hear all the other episodes of Meet the Elves, as well as Drop As Aligned, which is our"
00:00:54,00:01:00,"mailbag show, compilations, and much, much more. Anyway, there's not much more to say today, apart"
00:01:00,00:01:04,from really hope you enjoy the show with Liying. And on with the podcast!
00:01:21,00:01:26,"Hello, and welcome to No Such Thing as a Fish, a weekly podcast coming to you from the QI"
00:01:26,00:01:31,"offices in Hoban. My name is Anna Tyshinski, and I'm sitting here with James Harkin, Andrew Hunter"
00:01:31,00:01:36,"Murray, and Liying Li, and we are gathered here today with our four favourite facts from the last"
00:01:36,00:01:43,"seven days. So in no particular order, here we go. Liying, what's your fact? My fact this week is"
00:01:43,00:01:50,"that during World War II, Bletchley Park was forced to have a teacup amnesty. So it was an amnesty"
00:01:50,00:01:54,"like where you have to go and turn your teacup in. Yeah, and you won't be arrested. You won't be"
00:01:54,00:01:58,"arrested. And you won't be arrested. There was a memo that was sent out that said, ""It is regretted"
00:01:58,00:02:03,"that owing to losses, it is no longer possible to provide service crockery for morning and afternoon"
00:02:03,00:02:09,"teas."" Wow. And that was all they did at Bletchley. Yeah, they only drank tea. They didn't do any"
00:02:09,00:02:14,important work at all. No longer providing service crockery for morning and afternoon teas. I feel
00:02:14,00:02:19,"like that's the point at which England really started to decline. Yeah, the start of England's"
00:02:19,00:02:25,decline was the middle of World War II. Is that what we're saying? Yeah. The counterpoint.
00:02:25,00:02:31,Wasn't the famous thing about Bletchley was that Alan Turing who worked there used to chain his mug
00:02:31,00:02:38,to the radiator as the story is. And then poor Alan would be teased by people picking the lock
00:02:38,00:02:45,on the chain and nicking his teacup just to annoy him. If he can't set a code on his lock that's
00:02:45,00:02:50,"not possible to break by the others, then I don't know if I trust this guy to win our war."
00:02:50,00:02:56,"The thing about Turing is I read an interview with someone else who worked at Bletchley,"
00:02:56,00:03:00,"and apparently when he wasn't in his office, he used to tie his mug to his hand. So if they go"
00:03:00,00:03:04,"outside, there's a big lake at Bletchley, and they'd often have like a picnic out there,"
00:03:04,00:03:09,and he would be there with it tied by rope to his hand so no one could steal it. Fantastic.
00:03:09,00:03:13,Wasn't there a rumour that they threw crockery into the lake? Do we think that was just a rumour?
00:03:13,00:03:19,"Well, yeah, that's an interesting question. So I found quite a lot of sources, kind of diary"
00:03:19,00:03:25,"entries and things like that. So sources or sources. Very good, very good. I went to Bletchley myself"
00:03:25,00:03:32,"and dredged the lake and found sources, and I found some sources that people like Josh Cooper,"
00:03:32,00:03:37,"who was the really kind of eccentric head of the air section, he would go around the lake,"
00:03:37,00:03:44,finish his coffee and then throw his cup into the lake. And also there's a good reason for
00:03:44,00:03:50,"Alan Turing to chain his mug up because apparently his deputy, Hugh Alexander, would also be known"
00:03:50,00:03:55,to throw his teacups into the lake. Why? Was there a reason for it? Was it like a celebration or was
00:03:55,00:04:00,"it, oh, we've cracked today's code? They were all Greek. Right, so is it? They would just smash"
00:04:00,00:04:04,"the plates and throw the teacups away. Yeah, it feels like that, doesn't it? Yeah, and well,"
00:04:04,00:04:09,it wasn't just lakes as well. There was another memo that said that they ended up finding loads
00:04:09,00:04:16,of cups and sources in the shrubs. It feels like there was some kind of weird Easter egg hunt game
00:04:16,00:04:19,"going on that we don't know about. If we know anything, it's that they were good at keeping"
00:04:19,00:04:23,"secrets at Bletchley. And I think this one is still Official Secrets Act. Yeah, because"
00:04:23,00:04:28,"Liam, you emailed them and asked them if it was true, right? Yeah, well, the thing that was mostly"
00:04:28,00:04:33,"interesting checking was something that said that after the war, the administrators at Bletchley"
00:04:33,00:04:38,"dredged the lake, hoping to find kind of discarded equipment that was used to kind of crack the"
00:04:38,00:04:43,"enigma code and really fascinating kind of historical artifacts. And instead, all they found"
00:04:43,00:04:49,"was giant heaps of cutlery and crockery and resources and stuff, which would have been fantastic."
