start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:19,"of No Such Thing as a Fish, a weekly podcast"
00:00:19,00:00:22,coming to you from the QI offices in Hoburn.
00:00:22,00:00:23,My name is Dan Shriver.
00:00:23,00:00:25,"I am sitting here with Andrew Hunter Murray,"
00:00:25,00:00:27,James Harkin and Anna Tyshinski.
00:00:27,00:00:29,"And once again, we have gathered around the microphones"
00:00:29,00:00:32,of our four favorite facts from the last seven days.
00:00:32,00:00:35,"And in a particular order, here we go."
00:00:35,00:00:38,"Starting with fact number one, and that is Anna."
00:00:38,00:00:42,- My fact this week is that shortly after writing an essay
00:00:42,00:00:45,"on why writers shouldn't publish anonymously,"
00:00:45,00:00:47,Anthony Trollett published a book anonymously.
00:00:47,00:00:52,"- Oh, it's called out a mere 130 years from later."
00:00:52,00:00:53,(laughing)
00:00:53,00:00:56,- Not a moment too soon.
00:00:56,00:00:58,I've just sort of inherited from a friend
00:00:58,00:01:00,"who decided he was never gonna read them,"
00:01:00,00:01:01,the complete works of Anthony Trollett.
00:01:01,00:01:04,And he's giving them to me in bits
00:01:04,00:01:04,and he seems to have given me
00:01:04,00:01:06,the three least known Anthony Trollett.
00:01:06,00:01:11,"So this is an introduction to Nina Bellatka, which was..."
00:01:11,00:01:13,"- If you wanna get into Trollett,"
00:01:13,00:01:15,I would say probably don't start with that one.
00:01:15,00:01:18,"- It's not an entry level, no, no."
00:01:18,00:01:21,"Anyway, this fact, Nina Bellatka in the introduction,"
00:01:21,00:01:24,it just mentioned that he wrote an essay in 1865
00:01:24,00:01:28,and he said a man should always dare to be responsible
00:01:28,00:01:29,for the work which he does
00:01:29,00:01:32,"and should be ready to accept the shame, rebuffs, ridicule,"
00:01:32,00:01:34,or the indifference which will attend bad work.
00:01:34,00:01:36,"And it's all about how, you know,"
00:01:36,00:01:37,put your name to something
00:01:37,00:01:41,and then he didn't put his name to Nina Bellatka and...
00:01:41,00:01:43,"- I do have some sympathy, but if your name is A Trollop"
00:01:43,00:01:45,that you don't wanna put it on every big video.
00:01:45,00:01:47,(laughing)
00:01:47,00:01:48,- Who here has read Trollop?
00:01:48,00:01:50,- I've read the start of Barchester Towers.
00:01:50,00:01:51,- Okay.
00:01:51,00:01:52,- Did you read it in preparation for this book?
00:01:52,00:01:55,- I certainly did. (laughing)
00:01:55,00:01:56,- Read the first 50 pages.
00:01:56,00:01:57,- Nice.
00:01:57,00:01:59,- Like I've done quite a lot of books over the years
00:01:59,00:02:00,just because of this podcast.
00:02:00,00:02:01,- Yeah.
00:02:01,00:02:03,"- Just kind of started reading, got an idea and gone,"
00:02:03,00:02:04,"well, I think I've got an idea"
00:02:04,00:02:06,of this guy's entire earth right now.
00:02:06,00:02:07,- How have you got to the end?
00:02:07,00:02:08,You don't know about the robots in it.
00:02:08,00:02:10,- What?
00:02:10,00:02:12,"So Anna's read some Trollop, Andy, you must have done."
00:02:12,00:02:14,- I'm actually a Trollop virgin.
00:02:14,00:02:16,"- Honestly, I said to my wife last night"
00:02:16,00:02:19,"that if anyone likes Anthony Trollop,"
00:02:19,00:02:20,Andy would like Anthony Trollop.
00:02:20,00:02:24,- Is it because he writes about ecclesiastical
00:02:24,00:02:26,matters in the 19th century?
00:02:26,00:02:26,- Yeah.
00:02:26,00:02:27,- Yeah.
00:02:27,00:02:28,- I think I will.
00:02:28,00:02:29,- It's right up your street.
00:02:29,00:02:30,- I don't know if it is.
00:02:30,00:02:31,I think that's a missed call on Andy.
00:02:31,00:02:32,- You think?
00:02:32,00:02:32,"- Yeah, I do."
00:02:32,00:02:35,I think I slightly prefer that kind of literature.
00:02:35,00:02:37,- It feels like it's in between what you would like.
00:02:37,00:02:40,It feels to me like it's halfway between Dickens
00:02:40,00:02:41,and Jane Austen.
00:02:41,00:02:43,"- It is, but the thing about Anthony Trollop,"
00:02:43,00:02:46,he's not as widely read as I think he should be.
00:02:46,00:02:48,He's frowned on in a lot of circles
00:02:48,00:02:49,because he was just a machine.
00:02:49,00:02:50,- Yeah.
00:02:50,00:02:52,"- Of output, wasn't he?"
00:02:52,00:02:54,"47 novels, loads of stories."
00:02:54,00:02:56,"His routine was getting up every morning,"
00:02:56,00:02:59,"5.30, writing for three solid hours."
00:02:59,00:03:01,"He put a watch in front of him,"
00:03:01,00:03:04,"made himself write 250 words every 15 minutes,"
00:03:04,00:03:05,and he didn't have word counts that time.
00:03:05,00:03:08,So he must have incorporated counting the words.
00:03:08,00:03:09,- He must have counted the pages
00:03:09,00:03:11,'cause he just had so much stuff.
00:03:11,00:03:12,- I love it.
00:03:12,00:03:13,I think that's exactly how I would write
00:03:13,00:03:15,if I was writing novels.
00:03:15,00:03:17,"- I actually thought reading about him,"
00:03:17,00:03:18,and this is not a negative thing at all.
00:03:18,00:03:21,I thought there's quite a lot of you in him.
00:03:21,00:03:22,- He's quite annoying.
00:03:22,00:03:24,We all write books.
00:03:24,00:03:27,"As someone who, you know, footles around a bit,"
00:03:27,00:03:29,toys with the margins.
00:03:29,00:03:30,"As you know, and you just see,"
00:03:30,00:03:33,"in the time you've spent footling around with the margins,"
00:03:33,00:03:37,Anthony Trollop will have written 16 pages in prose.
00:03:37,00:03:38,He had a portable desk made.
00:03:38,00:03:39,I love this.
00:03:39,00:03:40,So he could write on trains.
00:03:40,00:03:42,"And if he was going on board a ship,"
00:03:42,00:03:44,he would meet up with the ship's carpenter
00:03:44,00:03:46,to arrange proper writing conditions.
00:03:46,00:03:49,- That's pretty ritzy.
00:03:49,00:03:49,- Wow.
00:03:49,00:03:50,- That's cool.
00:03:50,00:03:52,"- But the reason he had to do it was 'cause he was,"
00:03:52,00:03:54,"and I'm simplifying here, postman."
00:03:54,00:03:55,(all laughing)
00:03:55,00:03:57,You are simplifying.
00:03:57,00:03:58,But he wrote in the morning
00:03:58,00:03:59,'cause he had a full-time job at the post office
00:03:59,00:04:00,"for about, what, how long was this?"
00:04:00,00:04:01,Decades.
00:04:01,00:04:02,- Yeah.
00:04:02,00:04:03,- And he was quite 60s.
00:04:03,00:04:04,- He was really senior.
00:04:04,00:04:05,He was really senior in the post office.
00:04:05,00:04:06,"- Yeah, what if you worked there that long?"
00:04:06,00:04:07,"- And it's that really cool fact,"
00:04:07,00:04:09,"which is the only thing I knew about him,"
00:04:09,00:04:11,which is that he's basically responsible
00:04:11,00:04:14,for the reason that we have post boxes all over the UK.
00:04:14,00:04:15,Possibly he's spotted in in France.
00:04:15,00:04:17,"I don't think he ever claimed that he invented it,"
00:04:17,00:04:19,but he certainly recommended it to the government.
00:04:19,00:04:21,"And they used to be green, but now they're red."
00:04:21,00:04:22,- That's the thing though.
00:04:22,00:04:25,"Like he is responsible for that, I suppose,"
00:04:25,00:04:26,but they did exist in France.
00:04:26,00:04:28,They did exist in Belgium.
00:04:28,00:04:31,The stamp had been invented about 30 or 40 years earlier.
00:04:31,00:04:33,"It feels like we might have got there anyway,"
00:04:33,00:04:34,even without him.
00:04:34,00:04:37,"- Maybe totally, but he's the one who did, yeah."
00:04:37,00:04:40,"Hey, here's a cool quote just to sort of really hammer home"
00:04:40,00:04:41,what a workaholic he was.
00:04:41,00:04:44,"He said, ""There is no human bliss equal to 12 hours of work"
00:04:44,00:04:47,"""with only six hours in which to do it."""
00:04:47,00:04:50,- He was a bit like bankers in 1990s in the UK
00:04:50,00:04:53,"because his motto was, ""No day without a line."""
00:04:53,00:04:54,- Hey.
00:04:54,00:05:00,Can we talk a little about Fanny Trollop?
00:05:00,00:05:01,- Sure. - Yeah.
00:05:01,00:05:02,- His mum. - Yeah.
00:05:02,00:05:03,"- Yes, please."
00:05:03,00:05:05,- So his parents were very interesting people.
00:05:05,00:05:09,"Just briefly, his dad was a complete failure in life."
00:05:09,00:05:10,"Sounds harsh, but it is true."
00:05:10,00:05:11,- It must have been someone in a podcast
00:05:11,00:05:13,in 200 years saying that about you.
00:05:13,00:05:14,"- I know, I know, and they will."
00:05:14,00:05:17,"I hope they will, I dream of them doing that, you know."
00:05:17,00:05:19,But his father had law work which had failed
00:05:19,00:05:20,and a farm which had failed.
00:05:20,00:05:22,"And he decided finally to write, I think,"
00:05:22,00:05:24,"called the Encyclopedia Ecclesiastica,"
00:05:24,00:05:27,which would define all the ecclesiastical terms
00:05:27,00:05:28,that had ever existed.
00:05:28,00:05:29,"And by the time he died,"
00:05:29,00:05:31,he was still only on the letter D.
00:05:31,00:05:35,"- Ah, to be honest, church is quite a long one."
00:05:35,00:05:38,"- Oh, huge, yeah, yeah, yeah, yeah, yeah."
