start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hey everyone, welcome to this week's episode of Fish."
00:00:03,00:00:08,"Before we get going, I just want to let you know we have a very exciting comedian joining us on the show today."
00:00:08,00:00:14,"So Anna's away for this ep, but in her place we are joined by the brilliant Olga Koch."
00:00:14,00:00:20,"Olga is the perfect fish guest. Not only is she incredibly funny, but she's also an absolute thunderdork."
00:00:20,00:00:26,"She studied computer sciences, she speaks three different languages, she has a very confused and unplaceable accent like I do,"
00:00:26,00:00:30,and she is absolutely blitzing the comedy scene at the moment.
00:00:30,00:00:36,"You will have seen her no doubt on shows like Live at the Apollo, she's done pointless celebrities, and of course she's been on QI."
00:00:36,00:00:42,"But the best place, the absolutely best place to see Olga is Live in person at one of her stand-up shows,"
00:00:42,00:00:46,and she is currently on tour with her new show which is called Prawn Cocktail.
00:00:46,00:00:50,"She's traveling the UK, and then for any Aussie listeners out there, she's heading down under."
00:00:50,00:00:54,"So Aussies go and see her, she's absolutely brilliant live,"
00:00:54,00:00:59,"and if you want to get a taste of what a full show by Olga is like, she's actually got a few specials up online."
00:00:59,00:01:05,"So if you go to YouTube, you're going to be able to see her 2022 show Just Friends, the full show is there, check it out,"
00:01:05,00:01:08,and then on Amazon Prime she has another special called Homecoming.
00:01:08,00:01:14,"Go to her website generally, rockandrolga.com, it has a list of all the things that she's done from podcasts to other bits and pieces."
00:01:14,00:01:18,"But for now, here she is, on no searching as a fish. On with the show."
00:01:18,00:01:20,[Music]
00:01:20,00:01:39,"Hello, and welcome to another episode of No Such Thing as a Fish,"
00:01:39,00:01:42,a weekly podcast coming to you from the QI offices in Hoburn.
00:01:42,00:01:48,"My name is Dan Schreiber, I'm sitting here with Andrew Hunter Murray, James Harkin, and Olga Koch,"
00:01:48,00:01:52,"and once again, we have gathered around the microphones with our four favorite facts from the last seven days,"
00:01:52,00:01:58,"and in a particular order, here we go, starting with fact number one, and that is Olga."
00:01:58,00:02:04,The world's best prawn cocktail eater practices his technique with budget meatballs.
00:02:04,00:02:06,Wow.
00:02:06,00:02:14,"I would say that a prawn is different to a meatball, different enough that I wouldn't think it was useful for my training montage."
00:02:14,00:02:21,"I accept what you've just said, and I challenge you to a better replacement to a prawn, a better budget replacement to a prawn."
00:02:21,00:02:24,"Yeah, can I give you a better replacement to a prawn?"
00:02:24,00:02:25,Please.
00:02:25,00:02:31,"There was a guy called Stefan Gates, who wrote a book about eating insects, and he said if you don't have any prawns,"
00:02:31,00:02:37,"let's say you don't live near the sea, then a woodlouse is a good replacement, and it will taste about the same."
00:02:37,00:02:40,"And budget too, I mean, all over the garden."
00:02:40,00:02:41,"Yeah, exactly."
00:02:41,00:02:43,I don't think I can even picture a woodlouse.
00:02:43,00:02:44,Is that a caterpillar?
00:02:44,00:02:45,It's like a pill bug?
00:02:45,00:02:46,No.
00:02:46,00:02:48,I regret having that.
00:02:48,00:02:49,"So, insect armadillo."
00:02:49,00:02:51,"So, they're the little gray bears."
00:02:51,00:02:54,"Okay, so then if you de-shell it, it is still soft on the inside."
00:02:54,00:02:55,"Yeah, yeah."
00:02:55,00:02:57,"It'd be very fiddly to de-shell, wouldn't it?"
00:02:57,00:02:59,For the number that you need as well for the challenge.
00:02:59,00:03:03,"No, I think maybe I'm growing back and saying meatball's fine, as in that probably is the best."
00:03:03,00:03:04,Maybe grabstick?
00:03:04,00:03:05,Yeah.
00:03:05,00:03:08,"I mean, this guy probably knows what he's-- do we know his name?"
00:03:08,00:03:10,"Yes, his name is Jeff Esper."
00:03:10,00:03:11,Okay.
00:03:11,00:03:14,"And also, a very interesting thing about his technique is that he tries to mimic a prawn"
