start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,- Hello and welcome to another episode
00:00:16,00:00:17,"of No Such Thing as a Fish,"
00:00:17,00:00:19,a weekly podcast coming to you
00:00:19,00:00:23,from multiple undisclosed locations across the globe.
00:00:23,00:00:24,My name is Dan Schreiber.
00:00:24,00:00:27,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray"
00:00:27,00:00:28,and James Harkin.
00:00:28,00:00:31,"And once again, we have gathered around the microphones"
00:00:31,00:00:33,with our four favorite facts from the last seven days
00:00:33,00:00:36,"and in a particular order, here we go."
00:00:36,00:00:39,"Starting with fact number one, that is Anna."
00:00:39,00:00:42,"- My fact this week is that in 1950,"
00:00:42,00:00:45,a ballet was performed at the Waldorf Hotel
00:00:45,00:00:49,"where the main characters were protons, electrons,"
00:00:49,00:00:52,neutrons and a Geiger counter.
00:00:52,00:00:54,- Lovely.
00:00:54,00:00:55,I have a question.
00:00:55,00:00:58,I reckon it's hard to see an electron
00:00:58,00:01:00,"even if you're on the front row,"
00:01:00,00:01:03,you're gonna struggle to see an electron doing a plie.
00:01:03,00:01:05,- Have you seen those ballet sort of little telecopies
00:01:05,00:01:06,you sometimes get at the ballet
00:01:06,00:01:08,where you put a coin in the slot and you can get a thing out?
00:01:08,00:01:10,"It's like that, but everyone gets a--"
00:01:10,00:01:11,- Electron microscope.
00:01:11,00:01:12,- Electron microscope.
00:01:12,00:01:14,"- 15 million times magnifying, yeah."
00:01:14,00:01:15,- Got it.
00:01:15,00:01:16,"- Yeah, everyone had that."
00:01:16,00:01:18,It was a very expensive place put on.
00:01:18,00:01:20,"No, this sits on one of those things"
00:01:20,00:01:22,"and they were human sized, played by humans."
00:01:22,00:01:25,And this was reported in Time Magazine
00:01:25,00:01:28,and it was a story that the founder
00:01:28,00:01:32,of the Atomic Energy Association of Great Britain
00:01:32,00:01:34,who was a woman called Muriel Howarth
00:01:34,00:01:38,"was putting on isotopia, which was a ballet"
00:01:38,00:01:42,and the article goes on to describe or review it
00:01:42,00:01:47,saying it was 13 bosomy women girating gracefully
00:01:47,00:01:50,an ample electron in black lace wound her way
00:01:50,00:01:53,around two matrons labeled proton and neutron.
00:01:53,00:01:57,I see because like an electron is like 2000 times smaller
00:01:57,00:01:59,than a neutron.
00:01:59,00:02:01,So they didn't get like a very small person
00:02:01,00:02:04,or a child to be the electron and--
00:02:04,00:02:06,"- It wasn't to scale, no."
00:02:06,00:02:09,- I'm not sure the casting process was as scientific
00:02:09,00:02:11,"as you would like, James, for this."
00:02:11,00:02:14,I'm just getting a vibe that you would have some notes
00:02:14,00:02:15,if you were sitting in as director.
00:02:15,00:02:17,"- I would have notes and they would say,"
00:02:17,00:02:21,"James, you can be the electron 'cause you can so negative."
00:02:23,00:02:24,- It sounds amazing.
00:02:24,00:02:26,I can't tell even from the review whether it was good
00:02:26,00:02:29,or not because the person who wrote the review.
00:02:29,00:02:33,"Well, the person says the 250 wrapped ladies,"
00:02:33,00:02:34,"that means it's good so far,"
00:02:34,00:02:36,and a dozen faintly bored gentlemen.
00:02:36,00:02:40,Faintly bored is a stupid thing to add in a review.
00:02:40,00:02:42,"- Sorry, can I also add what you said there"
00:02:42,00:02:43,didn't quite make sense unless you know
00:02:43,00:02:46,that the word wrapped was spelt R-A-P-T.
00:02:46,00:02:50,"So it wasn't 250 women who are wrapped in,"
00:02:50,00:02:52,"like, you know, but were wrapped possibly."
00:02:52,00:02:54,- They burst out of their gift wrapping
00:02:54,00:02:56,as the grand finale.
00:02:56,00:02:59,"- And sorry, Dan, when Dan said faintly bored gentlemen,"
00:02:59,00:03:01,"he meant bored B-O-R-E-D,"
00:03:01,00:03:04,and not that they were made out of plywood.
00:03:04,00:03:06,"- You see what I mean, it's a confusing review."
00:03:06,00:03:08,"- It's hard, yeah, it's very hard."
00:03:08,00:03:10,I don't think it's been restaged many times.
00:03:10,00:03:11,- No.
00:03:11,00:03:13,- And she wanted it after its debut
00:03:13,00:03:16,"to play at the Albert Hall, which I don't think it did."
00:03:16,00:03:19,"And she said, she's a brilliant woman, Mural Howard."
00:03:19,00:03:20,I'm sure we're gonna talk more about her now.
00:03:20,00:03:22,"She said she wanted it to be at the Albert Hall,"
00:03:22,00:03:26,so they would have room for all the 92 transmutations
00:03:26,00:03:29,"of the atom, which is like the director's cut version,"
00:03:29,00:03:30,so ambitious.
00:03:30,00:03:33,"And she set up loads of atomic bodies, Mural Howard."
00:03:33,00:03:36,And this might have been when she was the Institute
00:03:36,00:03:37,"for Atomic Information, or it might have been"
00:03:37,00:03:41,"its previous guys, the Ladies' Atomic Energy Club,"
00:03:41,00:03:43,which just sounds like such a...
00:03:43,00:03:44,- It sounds like a Richard Usman book.
00:03:44,00:03:45,- It does.
00:03:45,00:03:47,- It sounds like a cute novel.
00:03:47,00:03:48,"- It really does, yeah."
00:03:48,00:03:50,- Did you guys know she did a follow-up to this?
00:03:50,00:03:54,"That there was a musical piece, a piano concerto"
00:03:54,00:03:56,that she did as a follow-up to Isotopia.
00:03:56,00:03:57,"Yeah, it was called Atomica."
00:03:57,00:04:00,And the review of it says it chiefly consisted
00:04:00,00:04:03,"of loud, heavy chords, which indicated atomic bombs"
00:04:03,00:04:05,"and springing, tinkling passages,"
00:04:05,00:04:07,which reflected the extreme surprise
00:04:07,00:04:08,and alarm of the human race.
00:04:08,00:04:10,"- It sounds like what the response would be,"
00:04:10,00:04:12,"but not a great advert, 'cause the whole point of it"
00:04:12,00:04:14,was that she was trying to tell the public
00:04:14,00:04:16,how great atomic energy was.
00:04:16,00:04:21,So she was employed by Atomic Energy to be its PR man.
00:04:21,00:04:25,And the aim of this society was to lead women
00:04:25,00:04:28,out of the kitchen and into the atomic age.
00:04:28,00:04:29,"So she particularly wanted to target women,"
00:04:29,00:04:31,which is why there were all these wrapped women.
00:04:31,00:04:33,"And they're mildly bored husbands, apparently."
00:04:33,00:04:35,But she was amazing.
00:04:35,00:04:36,"- Yeah, extraordinary. - A self-sort completely."
00:04:36,00:04:40,"She was inspired by reading this Nobel Prize winners book,"
00:04:40,00:04:42,guy called Frederick Soddy.
00:04:42,00:04:44,And she was inspired by his statement
00:04:44,00:04:47,"that we could transform a desert continent,"
00:04:47,00:04:50,thaw the frozen poles and make the world
00:04:50,00:04:54,"one smiling garden of Eden using atomic energy,"
00:04:54,00:04:56,which weirdly we have now done and it's not that good.
00:04:56,00:04:59,"But yeah, and she taught herself all about the atom"
00:04:59,00:05:01,and then tried to spread the good word.
00:05:01,00:05:02,- Yeah. - Yeah.
00:05:02,00:05:04,"And atomic gardening was the big thing,"
00:05:04,00:05:06,which is probably why isotopia was so much about food.
00:05:06,00:05:07,"It's like early GM,"
00:05:07,00:05:09,but it's incredibly unscientific ways of doing GM.
00:05:09,00:05:12,"Basically, you plant a load of crops in a circle,"
00:05:12,00:05:15,you put a radioactive source in the middle.
00:05:15,00:05:17,"- When you say radioactive source, sorry,"
00:05:17,00:05:18,we're spelling that-- - Yes.
00:05:18,00:05:21,"- 'Cause that's genuine possible confusion, isn't it?"
00:05:21,00:05:23,"I think. - Yeah, I suppose so."
00:05:23,00:05:25,"Yeah, a source of radiation."
00:05:25,00:05:26,Does that clear it up?
00:05:26,00:05:27,Not much.
00:05:27,00:05:28,"Anyway, there's some radioactive stuff"
00:05:28,00:05:29,in the middle of the pie chart
00:05:29,00:05:31,and then all the plants near it--
00:05:31,00:05:34,- Was this a physical pie? - Or was this like a--
00:05:34,00:05:36,"- Gee, was--"
00:05:36,00:05:37,"- Sorry, go on, Andy."
00:05:37,00:05:40,"- Yeah, no one else got any amusing homophones."
00:05:40,00:05:41,They wanna bust out.
00:05:41,00:05:42,- When you say homophones.
00:05:42,00:05:43,- Oh my God.
00:05:43,00:05:45,(all laughing)
00:05:45,00:05:47,"So you put your gamma radiation right in the middle,"
00:05:47,00:05:49,and the plants that are nearest to the seedlings
00:05:49,00:05:52,get completely blasted and they just die.
00:05:52,00:05:55,And then the ones further out get tumors.
00:05:55,00:05:57,"And the ones further out than that,"
00:05:57,00:05:58,"on the outer edge of the pie chart,"
00:05:58,00:06:00,get a load of mutations.
00:06:00,00:06:04,And those mutations might be useful in some ways.
00:06:04,00:06:06,So they might make the plant stronger
00:06:06,00:06:07,or they might make it more resistant
00:06:07,00:06:09,to particular kinds of blight.
00:06:09,00:06:11,And you just do thousands of experiments
00:06:11,00:06:13,"and they produce thousands of new varieties of plants,"
00:06:13,00:06:14,some of which I think are still in use today.
00:06:14,00:06:18,The mutations actually worked for agriculture.
