start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Music]
00:00:02,00:00:06,"Hi everyone, welcome to this week's episode of No Such Things as Fish."
00:00:06,00:00:12,Andrew Hunter Murray is away this week and so in his place we have one of the QI elves.
00:00:12,00:00:15,It is Lydia Maison.
00:00:15,00:00:21,Now those of you who listen to us occasionally talk to Zoey Ball on Radio 2 might know Lydia.
00:00:21,00:00:25,She's one of our regular elves on the Y workshop.
00:00:25,00:00:31,But also anyone deeply ingrained in UK geek culture will know her name.
00:00:31,00:00:32,Where is it from?
00:00:32,00:00:39,"Yes, she was one of the winners of season 13 of Only Connect when she was in the team"
00:00:39,00:00:45,of the escapologists a couple of years after we didn't win Only Connect.
00:00:45,00:00:48,I'm really sure you'll enjoy this show with Lydia.
00:00:48,00:00:51,"She's very nice, very funny and knows a lot of stuff."
00:00:51,00:00:56,"While I'm here I might as well remind you to join Club Fish, especially if you like listening"
00:00:56,00:01:01,to all these newer elves because we do a featurette with those guys called Meet the
00:01:01,00:01:05,Elves where they send us a fiendish question and we try to solve it.
00:01:05,00:01:08,We also have lots of compilations on there.
00:01:08,00:01:13,We have other bonus features like Drop as a Line where people send us correspondence.
00:01:13,00:01:14,We have quizzes.
00:01:14,00:01:15,We have all sorts.
00:01:15,00:01:19,There's a discord which you can go to and talk to like-minded fish friends.
00:01:19,00:01:26,And if by any chance we were to announce some live shows in the next few months then that
00:01:26,00:01:28,is where you would hear about them first.
00:01:28,00:01:37,So come and join us at Club Fish by going to knowsuchthingsafish.com/apple or knowsuchthingsafish.com/patreon
00:01:37,00:01:39,if you are not an Apple user.
00:01:39,00:01:41,"If you're missing Andrew Hunter Murray, fear not."
00:01:41,00:01:46,He will be back very soon and you can always get your fix of Andy by buying one of his
00:01:46,00:01:48,wonderful bugs.
00:01:48,00:01:54,I believe his latest Beginner's Guide to Breaking and Entering might be available for
00:01:54,00:01:56,pre-order if you go online.
00:01:56,00:01:57,"In fact, yes it is."
00:01:57,00:01:58,I've just checked.
00:01:58,00:01:59,So definitely go and get that.
00:01:59,00:02:02,We'll tell you more about that when it actually comes out.
00:02:02,00:02:05,"Dan has a book out of course, The Theory of Everything Else."
00:02:05,00:02:09,Me and Anna also have a book out which is Everything to Play for the QI Book of Sports.
00:02:09,00:02:10,Why not buy all three?
00:02:10,00:02:11,Or why not?
00:02:11,00:02:16,"Sit back, relax and listen to this episode of Knowsuchthingsafish with QI elf Lydia Meisen."
00:02:16,00:02:34,"Okay, on with the podcast."
00:02:34,00:02:40,"Hello and welcome to another episode of Knowsuchthingsafish, a weekly podcast coming to you from the QI"
00:02:40,00:02:42,offices in Hoburn.
00:02:42,00:02:47,"My name is Dan Schreiber, I am sitting here with Anna Tyshinski, James Harkin and Lydia"
00:02:47,00:02:51,Meisen and once again we have gathered around the microphones with our four favorite facts
00:02:51,00:02:56,from the last seven days and in no particular order here we go.
00:02:56,00:02:59,Starting with fact number one and that is James.
00:02:59,00:03:06,"Okay, my fact this week is that golfer Brenda Keane took part in the 2001 Women's US Open"
00:03:06,00:03:11,while eight months pregnant and started contractions on one of her back swings.
00:03:11,00:03:17,The resulting daughter will become a professional golfer later this year.
00:03:17,00:03:18,So good.
00:03:18,00:03:19,Isn't that amazing?
00:03:19,00:03:21,"Yeah, that is amazing."
00:03:21,00:03:25,"How do you know she, how are the rules of golf, I want to get into golf."
00:03:25,00:03:26,How do we...
00:03:26,00:03:29,"Can I just say, dear listener, we're not going to talk about golf this whole section."
00:03:29,00:03:33,"Please stay with us, it's okay, that's the condition on which James is permitted another"
00:03:33,00:03:34,headline golfer.
00:03:34,00:03:35,We don't discuss golf.
00:03:35,00:03:39,"If you really hate golf, maybe just press fast forward about ten times and then we'll"
00:03:39,00:03:40,get on to the normal stuff.
00:03:40,00:03:44,How do you know someone's going to be a pro golfer before they are a pro golfer?
00:03:44,00:03:47,So this is Rachel Keane and she has said in an interview that that's what's going to
00:03:47,00:03:48,happen.
00:03:48,00:03:49,She's now mature at the moment.
00:03:49,00:03:54,"She does college golf, she's one of the best and for quite a while she's been saying she's"
00:03:54,00:03:58,"going to become a professional but yeah, she spoke in golf week saying that she is going"
00:03:58,00:04:02,to become a professional this fall or this autumn for English people.
00:04:02,00:04:06,And this is the fact which I learned when watching the Netflix Golf Documentary Series
00:04:06,00:04:07,Full Swing.
00:04:07,00:04:12,There was an episode about English golfer Alex Fitzpatrick and this was just like a
00:04:12,00:04:15,throwaway line about his partner in that documentary.
00:04:15,00:04:19,"P.S. and Netflix, do you feel free to commission anything that we pitched you a future?"
00:04:19,00:04:20,We love you.
00:04:20,00:04:24,"Can I ask, when she had the contraction, was she mid game and continued the game?"
00:04:24,00:04:25,Yep.
00:04:25,00:04:27,So it happened on the 11th tee.
00:04:27,00:04:29,So the 11th of 18 holes.
00:04:29,00:04:32,She said I could feel it coming but I was too embarrassed to back out.
00:04:32,00:04:37,She didn't follow through.
00:04:37,00:04:38,That's a golfing term.
00:04:38,00:04:42,She did her golf follow through and then was doubled up in pain.
00:04:42,00:04:48,The whole round she shot nine over par which is not brilliant but actually the real problem
00:04:48,00:04:52,"was she was really nervous because there was loads of TV coverage about it, loads of press"
00:04:52,00:04:57,about it that she was pregnant and doing this and in actual fact she had her worst holes
00:04:57,00:05:01,at the start of the round and after the contractions on the 11th hole she was level par for the
00:05:01,00:05:02,rest of the round.
00:05:02,00:05:05,So her game improved after that happened.
00:05:05,00:05:06,Are we crediting her daughter with that?
00:05:06,00:05:09,"You know, her daughter got started getting involved, was like listen I'm going to be"
00:05:09,00:05:10,a pro.
00:05:10,00:05:14,"I think that might be right because she is amazing, she's such a great golfer."
00:05:14,00:05:19,"So Fenella had three planned C sections but we all must, you know, you three must remember"
00:05:19,00:05:21,the moment of the first contraction.
00:05:21,00:05:24,What were you doing and do you think your child will become that thing?
00:05:24,00:05:25,Lydia.
00:05:25,00:05:32,"Well, I was sleeping and if my daughter could start sleeping a little bit better than she"
00:05:32,00:05:35,"currently is, that would be great."
00:05:35,00:05:36,That's amazing.
00:05:36,00:05:38,"Yeah, I think I was as well."
00:05:38,00:05:40,I was having a cup of tea.
00:05:40,00:05:46,I was having a morning cup of tea in the garden so a professional tea plantation owner is
00:05:46,00:05:48,what I'm schooling my daughter to be.
00:05:48,00:05:50,We were watching the Super Bowl when my wife's...
00:05:50,00:05:51,"Oh, that's much cooler."
00:05:51,00:05:52,Here we go.
00:05:52,00:05:53,What?
00:05:53,00:05:54,"No, that's great."
00:05:54,00:05:58,So my daughter's going to be a tight end for the Pittsburgh Steelers.
00:05:58,00:06:02,Or a slouch who just watches TV at home.
00:06:02,00:06:07,So it turns out Brenda's daughter might have actually helped because during pregnancy the
00:06:07,00:06:14,fetus and the mother share cells and once the baby's born they leave some of their DNA
00:06:14,00:06:15,in the mother.
00:06:15,00:06:20,"It's called Fetometernal Microchimerism and as a result for mothers who have sons, male"
00:06:20,00:06:27,DNA has been found in mothers up to 30 years after the birth and it also works that if
00:06:27,00:06:33,"the mother sustains organ damage while they're pregnant, the fetus can send cells, not consciously"
00:06:33,00:06:36,"obviously, but send cells to repair the damaged organ."
00:06:36,00:06:39,So maybe by sending golfing cells.
00:06:39,00:06:42,"The golf cells, have they identified yet the golfing cells?"
00:06:42,00:06:46,"They have identified golf cells, they're very round."
00:06:46,00:06:50,"They're a little dimpled in them, okay."
00:06:50,00:06:55,"And just to finish up on their family, Rachel Keane's grandparents were also golfers on"
00:06:55,00:06:56,her mother's side.
00:06:56,00:07:02,Her grandfather Jack played for Venezuela in the first World Amateur Team Championships
00:07:02,00:07:07,in St Andrews and her grandmother Carmen was the captain of the Dominican team in the
