start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,"Hi everybody, Andy here. Just before we start this week's show I have a little"
00:00:03,00:00:08,announcement to make. We're in Plug Corner because I have written a book. I
00:00:08,00:00:13,"have offended again against all the people who say don't, don't do another"
00:00:13,00:00:17,"one, just stop at two and I've written a third one and this one for the first time"
00:00:17,00:00:22,ever I've written something that is fun and funny as well as being gripping. It's
00:00:22,00:00:26,called a beginner's guide to breaking and entering. It's about a young man
00:00:26,00:00:31,called Al who lives in gorgeous empty second homes while the real owners are
00:00:31,00:00:35,away. He's got a whole set of rules to help him get into these beautiful houses
00:00:35,00:00:39,he could never afford to live in. He has a great life until about chapter 3 when
00:00:39,00:00:42,"he and his friends break into the wrong house on the wrong day, somebody ends up"
00:00:42,00:00:47,"dead and everything goes wrong from there. It's funny, it's gripping, it's"
00:00:47,00:00:50,pacy. There's a little bit of a message about housing in there. It's a perfect
00:00:50,00:00:54,"summer read, people have been really nice about it. Val McDermid, Lisa Joule, some of"
00:00:54,00:00:58,the Queens of Crime have been incredibly kind about it. It's out on the 25th of
00:00:58,00:01:02,April so if you order it now you will be among the first cohort globally to
00:01:02,00:01:05,receive your gorgeous copy and they're really nice looking copies. Please do
00:01:05,00:01:09,"pre-order it, it can really be the difference between a book flying and"
00:01:09,00:01:12,not flying if it has a few pre-orders under its belt before that crucial first
00:01:12,00:01:17,"week. It's out in all good bookshops, it's out in all bad bookshops, it's in most bookshops"
00:01:17,00:01:20,in the Commonwealth basically. All you need to do is go in and say I would like
00:01:20,00:01:23,a copy of a beginner's guide to breaking and entering by Andrew Hunter Murray.
00:01:23,00:01:26,Waterstones even have signed copies if you'd like to get a hold of one of those.
00:01:26,00:01:30,"I promise it's good, I've put a lot into it, I'm gonna stop banging on about it"
00:01:30,00:01:33,now. It's called a beginner's guide to breaking and entering. Thanks very much for
00:01:33,00:01:36,listening to this. On with the podcast!
00:01:50,00:01:55,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:01:55,00:02:00,coming to you from the Kiwai offices in Hobon. My name is Alex Bell and I'm
00:02:00,00:02:05,"joined by Anna Shusinski, Andrew Hunter Murray and James Harkin and once again we"
00:02:05,00:02:08,are gathered around the microphone to share our four favourite facts from the
00:02:08,00:02:13,last seven days so in no particular order here we go. Starting with fact number
00:02:13,00:02:18,one and that is Andy. My fact is that half the nitrogen in your body was made in
00:02:18,00:02:25,a factory. Which factory? It won't have been made in the UK anymore because of
00:02:25,00:02:31,Brexit. It's a range of factors. But the last nitrogen making factory I think has
00:02:31,00:02:37,just shut down. Is that the billing of manufacturing plugs? Yes it is.
00:02:37,00:02:41,Has that closed? I didn't know that. It either has done or is about to but let's
00:02:41,00:02:47,"zoom out a little bit. Just thinking though. Even if it's just closed,"
00:02:47,00:02:51,surely it takes a while for all the nitrogen to be replaced so maybe some
00:02:51,00:02:55,of it's British nitrogen in my body? You might have some British nitrogen in you
00:02:55,00:03:01,"but I'm afraid a lot of it would be filthy foreign nitrogen. Right, all"
00:03:01,00:03:06,"life forms, don't write in, most life forms, mammals and plants all contain"
00:03:06,00:03:10,nitrogen. It's a really important component in your body. It's required to
00:03:10,00:03:13,"make the protein in your body and all these various hormones, neurotransmitters,"
00:03:13,00:03:19,"it's vital. Nitrogen is very important and most of the air is nitrogen,"
00:03:19,00:03:24,78% of the atmosphere is nitrogen but that's not where you get your
00:03:24,00:03:27,nitrogen from. So you can't just breathe in the nitrogen from the air and get it in
00:03:27,00:03:31,"your body? No, even if you hold your breath for ages, none of the nitrogen"
00:03:31,00:03:34,goes in that way. It doesn't work. For a waste. What a waste but you get it from
00:03:34,00:03:39,"your food. So meat, fish, dairy, vegetable, cereals, nuts, all of those foods"
