start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"- Hey everyone, welcome to this week's episode of Fish."
00:00:04,00:00:07,"Before we get going, we have a very exciting announcement."
00:00:07,00:00:09,Anna?
00:00:09,00:00:09,"- Thanks, Dan."
00:00:09,00:00:12,"Our announcement is that our esteemed colleague,"
00:00:12,00:00:17,"Andrew Hunter Murray, famous podcaster, comedian galore."
00:00:17,00:00:18,Does one say that?
00:00:18,00:00:19,He's also a published author.
00:00:19,00:00:21,"I'm sure you've read his first two novels,"
00:00:21,00:00:23,which were brilliant thrillers.
00:00:23,00:00:26,"He's written a third, which is so much fun so far."
00:00:26,00:00:28,"I'm only about a quarter of the way through,"
00:00:28,00:00:31,"because look, he didn't send me the proof on time,"
00:00:31,00:00:32,but it is fantastic.
00:00:32,00:00:36,It's called a beginner's guide to breaking and entering.
00:00:36,00:00:37,It's really fun.
00:00:37,00:00:38,It's got elements of comedy.
00:00:38,00:00:40,It's got elements of thriller in it so far.
00:00:40,00:00:42,I really love the main character
00:00:42,00:00:42,'cause he's doing something
00:00:42,00:00:45,that I can really imagine myself doing in life.
00:00:45,00:00:47,Don't just believe us.
00:00:47,00:00:49,"It's been complemented by The Guardian,"
00:00:49,00:00:51,"which says it has a propulsive plot,"
00:00:51,00:00:54,"an ingenious narrator and lashings of intrigue,"
00:00:54,00:00:57,making it a genuine and thoroughly enjoyable page turner.
00:00:57,00:00:59,"The Sunday Times has called it hugely entertaining,"
00:00:59,00:01:02,laugh out loud funny and impossible to put down.
00:01:02,00:01:03,"Dan Shriver, what do you say?"
00:01:03,00:01:06,"- Well, I actually am a third of the way through the book."
00:01:06,00:01:07,"And I can say-- - All right,"
00:01:07,00:01:09,and I need to break? - It absolutely gets better
00:01:09,00:01:10,after the first quarter.
00:01:10,00:01:13,So if you want your books great in the first quarter
00:01:13,00:01:16,"and then accelerating to an even better place,"
00:01:16,00:01:19,you gotta get a beginner's guide to breaking and entering.
00:01:19,00:01:21,It is the story of a guy who breaks
00:01:21,00:01:23,into the second homes of the wealthy.
00:01:23,00:01:24,He lives in them.
00:01:24,00:01:25,They don't know it.
00:01:25,00:01:27,"He steals nothing, but one day,"
00:01:27,00:01:29,after he accidentally bumps into a group of people
00:01:29,00:01:31,"who also do the same thing, they witness a murder"
00:01:31,00:01:34,and they get embroiled in a thing that they can't escape.
00:01:34,00:01:35,And it's one of those comedy capers
00:01:35,00:01:38,that just gets further and further into the chaos of it.
00:01:38,00:01:40,If you've read Richard Osman's
00:01:40,00:01:41,"The Thursday Murder Club series,"
00:01:41,00:01:43,this is the perfect accompaniment to it.
00:01:43,00:01:46,"It's comedy, it's thriller, page turner, you're gonna love it."
00:01:46,00:01:49,- So go to your local bookshop or any online bookseller
00:01:49,00:01:51,"or Amazon, look up a beginner's guide"
00:01:51,00:01:54,to breaking and entering by Andrew Hunter Murray now.
00:01:54,00:01:56,"- Okay, on with the podcast."
00:01:56,00:01:57,- On with the show.
00:01:57,00:01:59,(upbeat music)
00:01:59,00:02:15,- Hello and welcome to another episode
00:02:15,00:02:19,"of No Such Thing as a Fish, a weekly podcast coming to you"
00:02:19,00:02:21,from the QI offices in Hoburn.
00:02:21,00:02:22,My name is Dan Schreiber.
00:02:22,00:02:24,"I am sitting here with Anna Tyshinski,"
00:02:24,00:02:26,James Harkin and Andrew Hunter Murray.
00:02:26,00:02:28,"And once again, we have gathered around the microphones"
00:02:28,00:02:31,with our four favorite facts from the last seven days
00:02:31,00:02:34,"and in no particular order, here we go."
00:02:34,00:02:37,"Starting with fact number one, that is James."
00:02:37,00:02:40,"- Okay, my fact this week is that children's author,"
00:02:40,00:02:43,"Margaret Wise Brown, died from doing"
00:02:43,00:02:46,an over-enthusiastic can-can kick.
00:02:46,00:02:49,"- I think now having read up on her,"
00:02:49,00:02:51,she would like that we laughed just then.
00:02:51,00:02:52,"- Yeah, I think so."
00:02:52,00:02:53,- Definitely.
00:02:53,00:02:56,- So is there an under-enthusiastic can-can kick?
00:02:56,00:02:57,Is there such a thing as that?
00:02:57,00:02:58,"- Oh yeah, yeah."
00:02:58,00:03:00,I've been to the Moulin Rouge a few times
00:03:00,00:03:02,and asked for my money back.
00:03:02,00:03:04,Barely got above the knee.
00:03:04,00:03:06,- You've got your protractor out in the front row.
