start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,[Music]
00:00:04,00:00:08,"Hi everybody, Andy and James here with an announcement."
00:00:08,00:00:14,"Yes, absolutely. It's a very exciting announcement for people who like going to no-search-things-of-fish"
00:00:14,00:00:17,"tour shows live. Oh, I think I might have given it away."
00:00:17,00:00:23,"James, you fool! We were saving it for three minutes into the announcement, but James is right. We're going on tour!"
00:00:23,00:00:32,"Right, so if you live in a large city in the UK or Ireland or some places on mainland Europe,"
00:00:32,00:00:40,"or excitingly in Australia or New Zealand, then we may well be coming to a place near you quite soon."
00:00:40,00:00:46,That's right. It's a world tour if you have a very limited definition of what the world is.
00:00:46,00:00:52,And it's basically like an earth sandwich tour. We're doing this antipode and we're doing the other antipode.
00:00:52,00:00:55,And it's going to be great. It's going to be between September and November. We should say that.
00:00:55,00:01:04,"It's months of touring. Yes, and the reason that we're telling you today is that tickets are going to be on sale in one week's time."
00:01:04,00:01:10,"Yes. In seven days, you must go to no-search-things-of-fish.com/live"
00:01:10,00:01:17,and all the details of our tour will be there and you'll be able to snaffle up those best seats in the house.
00:01:17,00:01:25,The only way to get tickets faster is if you're a member of Club Fish when you will receive bonus instructions in your forthcoming bit of extra material.
00:01:25,00:01:32,"What a great thing Club Fish sounds like. That's what I say. Anyway, we're going on tour around the world. It's going to be amazing."
00:01:32,00:01:35,The other two will be there as well. It's not just me and James doing a world tour. It would be good.
00:01:35,00:01:41,"Yeah, that would be great. And the great thing about going to Club Fish is not only do you get early access to tickets,"
00:01:41,00:01:48,"but you get a much cleaner and more clear announcement than this. Oh, yeah. Probably Anna and Dan will do it and it will be so professional."
00:01:48,00:01:51,"Oh, yeah. That's nice. Like, yeah."
00:01:51,00:01:58,"And so, yes, that is our news. We are going on tour around the world to both antipodes."
00:01:58,00:02:10,"It's going to be a whole lot of fun and you guys can get tickets to come and see us by going to no-search-things-of-fish.com/live any time after Friday, the 17th of May."
00:02:10,00:02:13,"- On with the show! - On with the podcast. That was slick, Andy. I reckon."
00:02:13,00:02:15,That was very slick. Very slick.
00:02:15,00:02:38,"Hello, and welcome to another episode of No-Search-Things-of-Fish, a weekly podcast coming to you from the QI Offices in Covent Garden."
00:02:38,00:02:43,"My name is Andrew Hunter Murray and I'm sitting here, joined by Anna Tijinski, James Harkin and Dan Schreiber."
00:02:43,00:02:48,"But wait, Dan's normally the host. What's going on? It's all on topsy-turvy."
00:02:48,00:02:53,"Don't worry, everybody. It's an audience fact special. Yay!"
00:02:53,00:02:54,Hooray.
00:02:54,00:03:03,"And it's because we have an inbox, podcast@qr.com, and people send in all sorts of questions, comments, complaints, insults, praise sometimes."
00:03:03,00:03:09,And also a lot of facts. And the facts are so good that we thought we'd just take a show to go through some of the best ones.
00:03:09,00:03:14,"Starting with audience fact section number one, and that is you, James."
00:03:14,00:03:20,"Yes, so thank you, Andrew. You have sent me a big pile of audience facts."
00:03:20,00:03:23,So here's the first one that you sent me.
00:03:23,00:03:36,"Karo Durken sent it, and she, he, they have an astrophysics, PhD, and they say that the more massive a white dwarf becomes, the smaller it gets."
00:03:36,00:03:37,[Sigh]
00:03:37,00:03:38,Huh?
00:03:38,00:03:39,Riddle me this.
00:03:39,00:03:40,What?
00:03:40,00:03:43,Made a sting for riddle me this.
00:03:43,00:03:44,Yeah.
00:03:44,00:03:50,"Really, I'll be honest, probably you're only gonna get this if you also have an astrophysics, PhD."
00:03:50,00:03:51,Oh.
00:03:51,00:03:52,It's not really something you can guess.
00:03:52,00:03:55,We're off the box with an unbelievably hard fact to understand.
00:03:55,00:03:58,"Yeah, it's like you've sent me these on purpose, I think."
00:03:58,00:04:03,"I thought, who knows physics? And Dan's out of office was on, so."
00:04:03,00:04:05,Is that why I've got all the Bigfoot facts in my watch?
00:04:05,00:04:07,"That's right, they're meant for Dan's, yeah, yeah, yeah."
00:04:07,00:04:11,"So in normal stars, you have fusion happening at the core."
00:04:11,00:04:15,So you're getting elements turning into other elements and making energy.
00:04:15,00:04:17,"But in white dwarfs, that doesn't happen."
00:04:17,00:04:24,"And so if you just put stuff into it, then there's nothing to stop gravity from just squishing them smaller and smaller and smaller."
00:04:24,00:04:25,Got more massive.
00:04:25,00:04:26,More massive?
00:04:26,00:04:28,"More, 'cause they've got more mass."
00:04:28,00:04:29,Absolutely.
00:04:29,00:04:31,"So it doesn't just, did you say it looks smaller? Was that the way it's put in the fact?"
00:04:31,00:04:33,"It's not only looks smaller, it is smaller."
00:04:33,00:04:34,It is smaller.
00:04:34,00:04:35,But it's heavier.
00:04:35,00:04:37,"But it's heavier, it's more massive."
00:04:37,00:04:39,"Gotta be careful with words like heavy, haven't you?"
00:04:39,00:04:40,You never know.
00:04:40,00:04:41,"Yeah, you can't do that."
00:04:41,00:04:42,You never know if you're gonna fly that.
00:04:42,00:04:45,"There are physicists waiting around every corner, ready to jump out and beat you up."
00:04:45,00:04:49,"And it's actually not heavier, it's more massive."
00:04:49,00:04:51,I get that a lot.
00:04:51,00:04:55,I just want 100 grams of gob stoppers.
00:04:55,00:04:59,"You know how I spend my pocket money, that's great."
00:04:59,00:05:03,"Caro goes on, this one is bonkers in my opinion."
00:05:03,00:05:08,"After a certain distance, the further away something is from Earth, the bigger it looks."
00:05:08,00:05:09,Okay.
00:05:09,00:05:12,"So Dan, you see that cow out of the window, they look small."
00:05:12,00:05:14,That's actually far away.
00:05:14,00:05:16,But it looks small because it's further away.
00:05:16,00:05:20,"But if you take it far enough away, it'll start to get bigger."
00:05:20,00:05:22,Is that because it's coming around the back?
00:05:22,00:05:24,It's coming towards you again.
00:05:24,00:05:27,Someone's left the gate open.
00:05:27,00:05:29,"Well, I have this, I've not said this to you guys before,"
00:05:29,00:05:32,"but I have this thing outside my house where when I turn to the left,"
00:05:32,00:05:35,I can see the sea front and I can see ships and they're massive.
00:05:35,00:05:39,"But then when I walk down to the edge of the cliff, they are further away."
00:05:39,00:05:41,But that's just because they've moved away from me.
00:05:41,00:05:44,"No, no, no, it's a genuine, it's a horizon effect, it's called."
00:05:44,00:05:47,What could you think of from the top of a cliff versus the bottom?
00:05:47,00:05:50,"Oh, I see, yeah, that makes sense."
00:05:50,00:05:52,"But they're huge and then you go down and they're literally,"
00:05:52,00:05:54,sometimes they feel twice the distance and twice the size.
00:05:54,00:05:57,And you're sure you're not looking at the dinghies that are on the sea front.
00:05:57,00:05:59,That's not it.
00:05:59,00:06:01,Someone's peddling them.
00:06:01,00:06:04,"I didn't know that was a thing, that's really interesting."
00:06:04,00:06:06,"I don't understand it, it's magic, I don't get it."
00:06:06,00:06:07,Right.
00:06:07,00:06:10,"But I've been told by people like Levenskara, it's a real thing."
00:06:10,00:06:11,That's cool.
00:06:11,00:06:13,He knows his ship.
00:06:13,00:06:17,"So the thing is with galaxies, if you go far enough away,"
00:06:17,00:06:23,you're looking at something that was sending out its light quite near the start of the universe.
00:06:23,00:06:26,The whole of the universe was quite small in those days.
00:06:26,00:06:29,"So if you're looking at something in the sky, if you're an astronomer,"
00:06:29,00:06:32,you're working out how much of the sky it's using up.
00:06:32,00:06:36,"But these things that are way, way further away are using up more of the sky"
00:06:36,00:06:39,because actually space itself was smaller.
00:06:39,00:06:41,That's incredible.
00:06:41,00:06:43,That's so confusing.
00:06:43,00:06:47,"I was speaking to an astrophysics student recently who said,"
00:06:47,00:06:52,"""There are some things in the sky that appear in three different places."""
00:06:52,00:06:55,"Depending on, I can't remember what it was depending on."
00:06:55,00:06:58,"Depending on what time of day it is in the suns, it's in the east now."
