start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish. Thank you all"
00:00:06,00:00:12,for snapping up tickets for our upcoming Thunder Nerds Tour. It's going to be so much fun and
00:00:12,00:00:19,so many of you have already got tickets. It has been absolutely staggering to be honest.
00:00:19,00:00:23,"We have sold out a number of the dates. There's still quite a lot of tickets available though,"
00:00:23,00:00:29,so do go to NoSuchThingsAsFish.com/live to see what tickets are available now. But the
00:00:29,00:00:34,"main reason that I've come here today is to speak directly to the people of Sydney,"
00:00:34,00:00:40,"Australia. You, of all the people around the world, have really pulled out all the stops"
00:00:40,00:00:47,"and helped us to sell out the Sydney Opera House in just a couple of days. Absolute insanity,"
00:00:47,00:00:54,it has to be said. But thank you for doing that. We're going to put on an extra show in Sydney.
00:00:54,00:01:01,"Now, the details of that will first be told to Club Fish members. At the beginning of your next"
00:01:01,00:01:08,"bit of bonus content, which is due to come out on the 11th of June, you people will have a pre-sale"
00:01:08,00:01:14,"and then if there are any tickets left, they will go on sale on the 14th of June and we'll give"
00:01:14,00:01:18,details at the top of that Friday's show. So that's the big news. We're really looking forward
00:01:18,00:01:23,"to this tour. It's going to be absolutely amazing. If you haven't got tickets yet, then do not Dilly"
00:01:23,00:01:28,"Dally because they are going super, super fast. And like I said, you can get those at"
00:01:28,00:01:34,NoSixThingsAsFish.com/live. One more thing to say and that is that there is a bit of an odd
00:01:34,00:01:41,thing about this week's show. That is that one member of the team was unable to make it to the
00:01:41,00:01:47,"office on time, despite leaving home on time. They never made it. I will leave it up to you to"
00:01:47,00:01:53,"guess who that's going to be. But what it means is that this was a three-person show. Obviously,"
00:01:53,00:01:59,"we very much missed the person in question, but hopefully you will enjoy this show nonetheless."
00:01:59,00:02:05,"Anyway, no more to say apart from, as we always do every week on with the podcast."
00:02:06,00:02:26,"Hello and welcome to another episode of NoSixThingsAsFish, coming to you from the QI offices in"
00:02:26,00:02:34,"Hobern. My name is Anna Toshinsky and I'm joined here today by James Harkin, Andrew Hunter Murray"
00:02:34,00:02:41,"and a superior replacement to Dan Shriver in the form of, if you're seeing the video clip of this,"
00:02:41,00:02:46,a puppet of Dan Shriver who will say much less. And I think that'll be appreciated.
00:02:46,00:02:54,I'm afraid Dan is stuck on a train somewhere in the east of England. #BrokenBritain. Let's go.
00:02:54,00:02:58,Nice to hear BrokenBritain making a comeback. No one said that for years.
00:02:58,00:03:03,"Is that quite dated? We're too busy living it, you know. No, Dan, this is the first ever,"
00:03:03,00:03:08,"I think, three-person podcast we've ever done. Yeah. If you prefer the format, let us know."
00:03:08,00:03:13,I think this could be it. Do you think? We might crack it.
00:03:13,00:03:17,"I just want to say, Dan, if you're listening, which I know you will be, I really missed you."
00:03:17,00:03:24,"James was the first one to suggest. He said, ""Let's cut the soundbag loose."" He kept saying,"
00:03:24,00:03:27,"kept saying it over and over again. He said that before your train was even delayed, actually."
00:03:27,00:03:32,We had a whole train going. How do we ditch Dan? It was actually me that stopped the train.
00:03:32,00:03:38,I put five people on the track and then one person on another track.
00:03:38,00:03:43,"You put one leaf on the line, so we'll be there for a couple of days."
00:03:43,00:03:47,"Anyway, we're going to kick off with fact number one, and because I'm hosting,"
00:03:47,00:03:53,"I've made that my fact. My fact this week is that as part of the preparations for D-Day,"
00:03:53,00:03:59,one scientist persuaded another to inhale oxygen until she vomited. They got married
00:03:59,00:04:04,shortly afterwards. It's sort of a weird rom-com in a fact.
00:04:04,00:04:07,Is it a meat-cute? Maybe they already knew each other.
00:04:07,00:04:08,I don't know what meat-cute says.
00:04:08,00:04:12,"God, guys, that's in a rom-com, the moment where the couple, they bump into each other,"
00:04:12,00:04:14,"she drops all her stuff, he helps her pick them up."
00:04:14,00:04:15,She vomits.
00:04:15,00:04:19,"She vomits. They're under the ocean, maybe? Is this, they're in a hyperbaric chamber?"
00:04:19,00:04:24,"They're simulating me under the ocean, certainly. Okay, well, it's the original meat-cute."
00:04:24,00:04:29,This is from this amazing book that I need to cite. It's written by someone called Rachel
00:04:29,00:04:33,"Lance, who was actually a blast injury specialist and a researcher into bodies"
00:04:33,00:04:38,"surviving the extremes of being underwater, but she's written this book called Chamber Divers,"
00:04:38,00:04:43,"and she's uncovered this story, which is that. The D-Day landings hadn't happened yet. This is"
00:04:43,00:04:51,"Second World War, but there had been a disastrous Canadian beach landing in the Second World War"
00:04:51,00:04:56,"on the beaches of France, and it'd been disastrous because they had based it on a bunch of old photos"
00:04:56,00:05:01,"they had, like, old holiday photos from the 1920s. You're joking. And they're like, where's the Ferris"
00:05:01,00:05:07,"Wheel? Exactly. Where's all the zombies? So you've got to make landfall by the donkeys, right?"
00:05:07,00:05:13,"And it turned out the donkeys and the Ferris Wheel and all of that had been replaced by German guns,"
00:05:13,00:05:19,"which is such bad luck, and it was awful and a huge number of casualties."
00:05:19,00:05:22,"Was it that the sand had moved, or the tides had moved the sand,"
00:05:22,00:05:25,or that they couldn't land in the same way because of the ocean conditions?
00:05:25,00:05:28,"I think it was that they couldn't tell what the terrain was like based on the pictures,"
00:05:28,00:05:31,"so they thought it was going to be nice and sandy. It was very rocky, it was very hazardous,"
00:05:31,00:05:35,"couldn't land properly, really bad, and so it became apparent that in order to do a successful"
00:05:35,00:05:40,"beach landing to invade the Germans, the Allies would have to know more about the coastline,"
00:05:40,00:05:45,"which would mean divers getting right up to the beach, spending a long time underwater,"
00:05:45,00:05:48,"going deep down, getting up to the beach, then popping up at night, and actually figuring out"
00:05:48,00:05:53,"exactly what was on the beach. And to do that, we needed to know how to dive, which we didn't really"
00:05:53,00:05:56,in the 40s. Interesting. You know what I was reading yesterday? I was reading a book about
00:05:56,00:06:03,"the history of barbed wire, and this is really off topic, but there was a thing in it how during"
00:06:03,00:06:10,"the war, they used to put barbed wire under the sea, so as in when people would come and land,"
00:06:10,00:06:14,"you would jump off the boat and start running up, but your feet would get tangled because there's"
00:06:14,00:06:23,barbed wire under the sea. No way. Under the sea. It's not better. That's mean. It was a time of
00:06:23,00:06:30,"meanies, 39 to 45. That's extraordinary, I did not know that. But that would be useful for your"
00:06:30,00:06:34,"divers as well, because they would notice it, I guess. They'd see it exactly with the goggles on,"
00:06:34,00:06:38,"because they wear goggles, don't they? Anyway, this is a long-winded way of getting to the"
00:06:38,00:06:44,"point that there were these two researchers, JBS Haldane and Helen Spowate, they worked for UCL,"
00:06:44,00:06:49,"and they shut themselves repeatedly in these hyperbaric chambers, chambers that could be"
00:06:49,00:06:54,filled up with oxygen and simulate underwater pressures. They did this over and over again
00:06:54,00:06:59,"to find out the effects on the human body so that the D-Day landings could happen,"
00:06:59,00:07:05,"and Helen Spowate is in there, and she's the one who's inhaling pure oxygen, because it's the other"
00:07:05,00:07:10,"body deals with oxygen at high pressures, because it can be very dangerous, and JBS Haldane is"
00:07:10,00:07:16,"sitting next to her taking notes in this hyperbaric chamber, and she managed to last for 33 minutes"
00:07:16,00:07:21,"on pure oxygen before she tore the breathing tube out of her mouth, vomited repeatedly,"
00:07:21,00:07:26,"hallucinated, and said, ""I'm done, thanks."" Well, she might have said, ""I'm done, thanks,"" because"
00:07:26,00:07:31,"I read about what happens to you in those situations, and yeah, your voice goes really"
00:07:31,00:07:35,"high, like you're on helium. I didn't know that. They should do that at kids' birthday party,"
00:07:35,00:07:39,"shouldn't they? Well, it's kind of tutor. Yeah, exactly. Well, there's a lot of vomiting at kids'"
00:07:39,00:07:44,"birthday parties and stuff like that. It does sound kind of fun, apart from people can't whistle,"
00:07:44,00:07:49,"when there's so much oxygen either. Oh, no. So, you know, it's... Well, I wouldn't like that,"
00:07:49,00:07:54,"because I'm a whistler. Are you? Yeah, yeah, yeah. I get told off for whistling from my wife's family,"
00:07:54,00:07:58,"who think it's bad luck in the house. Well, you're whistling out of the window passing women,"
00:07:58,00:08:06,"aren't you? And you've got your heart hat on. They're right. It really affected Haldane,"
00:08:06,00:08:10,"didn't it? So, I read that in the course of this research, he got a bubble at the base of his spine,"
00:08:10,00:08:14,"which stayed there for the rest of his life, and it made it incredibly painful for him to sit down"
00:08:14,00:08:20,"anywhere. No. Yeah. Yeah, no, he was extremely dangerous. He was an incredible guy, JBS Haldane."
00:08:20,00:08:26,"He was, yeah. John Byrdon Sanderson Haldane. He was amazing. I was just saying before we started"
00:08:26,00:08:29,"recording this, sometimes you meet someone researching his podcast, and you think, ""I just"
00:08:29,00:08:34,"want to spend weeks with you. I just want to do like a month-long special of the show about this guy."""
00:08:34,00:08:38,"Andy, if you spent weeks with him, he'd make you do so much mad stuff that you wouldn't have"
00:08:38,00:08:42,"the guts for, I'm afraid. No, okay, fair enough. But he was constantly experimenting on himself,"
00:08:42,00:08:45,"and his dad was also a really famous scientist who experimented on him,"
00:08:45,00:08:50,"and he did all of this science, despite not having a science degree even. He studied maths,"
00:08:50,00:08:54,"and then classics. I'm sorry to say, but if you do that, you're going to end up with a bubble"
00:08:54,00:08:59,"on your butt. Move into the professionals, mate. No, you're right, you're right, you're right."
00:08:59,00:09:03,"But he was a geneticist by training, and yet throughout his life, he was constantly doing"
00:09:03,00:09:07,"crazy experiments. Which were really useful as well. Really useful, yeah. You know, he really did"
00:09:07,00:09:13,find out a lot about how the body responds to these pressures and different gases. I think he
00:09:13,00:09:18,"did a lot of research into nitrogen as well. If we get overexposed in nitrogen, he went down, I think."
00:09:18,00:09:23,"When he was about 13, he was first experimented on undersea by his father. This is a life-long"
00:09:23,00:09:29,"thing for Haldane, right? He and his father, who was called also John Haldane. John Scott Haldane,"
00:09:29,00:09:35,"sorry, yeah, yeah. They went up to the west coast of Scotland on HMS Spanker, which was a navy"
00:09:35,00:09:40,"ship. Do you have a cap? I do. I have a naval cap with the band HMS Spanker, which was an old prop"
00:09:40,00:09:46,"from QI. And I wear that standing at my window, and I also have that complaint. And his father was"
00:09:46,00:09:51,"trying to work out the speed divers should rise at to stop getting the bends, the decompression"
00:09:51,00:09:55,"sickness. And they didn't know what caused that, and he found out basically. And Haldane senior"
00:09:55,00:10:00,"put his volunteers, including his 13-year-old son, Jack, in a badly fitting diving suit,"
00:10:00,00:10:04,got them to repeatedly go down into the sea and then come back up at different speeds.
00:10:04,00:10:09,He did work out eventually how to come back up. But Jack Jr. became incredibly cold and frightened.
00:10:09,00:10:12,He was 13 years old. And his dad just apparently dosed him with lots of whiskey and then put him
00:10:12,00:10:18,"to bed. And that was parenting in the audience. And then we look back and think, what a legend."
00:10:20,00:10:26,"That's true. Because actually it was him and Naomi, his sister. And she was a sort of equally"
00:10:26,00:10:32,amazing character. So she was four years younger than JBS Haldane. And their dad experimented on
00:10:32,00:10:37,both of them constantly. Apparently Naomi's job as a child from literally the age of three was to
00:10:37,00:10:41,monitor test subjects through an observation window in these gas chambers that he'd set up.
00:10:41,00:10:45,"Make sure your brother's not dead. It was literally that if they fell unconscious,"
00:10:45,00:10:51,"she had to drag them out and resuscitate them. Jesus. Honestly, I'm starting to warm a little"
00:10:51,00:10:58,"less to this guy. I'm just imagining what a genius he would have been in adult life,"
00:10:58,00:11:03,"Haldane. Had he not had his brain squashed by gases every weekend. Maybe it was,"
00:11:03,00:11:07,that's the equivalent of the bonk on the head though. Maybe that was what sparked the genius.
00:11:07,00:11:13,"Yeah, maybe. Maybe we should all be doing it. Yeah. Actually, he's been his whole life being"
00:11:13,00:11:16,"gassed. I've just realized he was gassed in the First World War as well. His entire life,"
00:11:16,00:11:21,"he was, yeah, yeah. So he was in the Black Watch and the Black Watch are very famous scotch"
00:11:21,00:11:26,"regiment. You know, they're sort of like legends of the British army. Black Watch, didn't they?"
00:11:26,00:11:31,"That's right. Cassio. And that's why they never started their attacks on time,"
00:11:31,00:11:36,"because they'd all drifted a little bit. One, two, three, beat it. Let's go. The German's just"
00:11:36,00:11:42,opened the machine gun fire as soon as I hear this huge beat. And so his job was trench mortar
00:11:42,00:11:46,"officers. So he had to lead groups to throw bombs by hand into enemy trenches. I mean,"
00:11:46,00:11:50,"it's quite fierce and hard and horrible work. Yeah. He loved it. And he was gassed, which"
00:11:50,00:11:55,"sparked an interest in mustard gas and experimenting on that. But while he was at the front, I"
00:11:55,00:12:00,"loved this, he was writing back and forth with Naomi, his sister, about mouse genetics. And he"
00:12:00,00:12:04,"later, he boasted he was the only officer to complete a scientific paper from a forward"
00:12:04,00:12:09,"position of the Black Watch. No way. That's amazing. It is amazing. But he must have been like,"
00:12:09,00:12:13,"the gas comes towards him. He must be like getting a Madeleine moment of his childhood,"
00:12:13,00:12:19,"mustn't he? He's like, oh, this reminds me of old dad. He's taking off his mask,"
00:12:19,00:12:25,"maybe getting his milk pad out. Can we talk about Helen Spearway? Yeah, she was also awesome."
00:12:25,00:12:29,"This is, she was the other one in the diving experience. She was the one who vomited."
00:12:29,00:12:33,"Yes. And who he did marry. And they did mention after vomiting all over him,"
00:12:33,00:12:37,"they did get married afterwards. Go on. She reminds me a bit of Erica McAllister,"
00:12:37,00:12:44,"because she, her most of her research was on Drosophilia, fruit flies. So she was a world expert"
00:12:44,00:12:51,"on fruit flies, basically. And then she later wrote a paper about pathogenesis in guppies,"
00:12:51,00:12:57,in the fish. So that means that a female guppy can give birth without having sex. Virgin birth.
00:12:57,00:13:01,Virgin birth. But she also said that possibly it could happen in humans because of her work in
00:13:01,00:13:06,"guppies. She was like, well, there's no reason if it happens in guppies, it can't happen in puppies,"
00:13:06,00:13:14,"and then in humans. Guppies, puppies, humans. She was extremely harker as well, wasn't she,"
00:13:14,00:13:19,as you'd have to be. They sort of found each other's soulmates in each other. And she was quite
00:13:19,00:13:25,a strange character. So there's a Time Magazine report of an incident that happened to her in
00:13:25,00:13:31,"1956, which you have to bear in mind it is 1956. It began, Britain's a blonde biologist,"
00:13:31,00:13:38,"Helen Spurway Haldane, wife of brilliant biologist, JBS Haldane. The plund and the brilliant."
00:13:38,00:13:46,Emerged from a London pub after downing three and a half pints of bitter
00:13:46,00:13:52,"and encountered a bobby, stamped on his police dog's tail and clouted the cop. So she was clearly"
00:13:52,00:13:57,a bit feisty. Maybe she was just experimenting what would happen if a dog got his tail stumped on.
00:13:57,00:14:01,"Maybe she was. Well, the answer, it turns out, is you end up in prison for two months."
00:14:01,00:14:06,"Two months, well, yeah. Yeah, but she was offered to pay a fine. And she said, no, not up for it."
00:14:06,00:14:09,"And she was about to go to India. And she said, I'll fit in much better with some of the other"
00:14:09,00:14:14,"people who've gone to India if I've done a prison spell. Basically, that's why they left Britain."
00:14:14,00:14:19,"So Haldane was at Cambridge and she got arrested for drunken disorderly. And he said, well,"
00:14:19,00:14:24,"let's just go to India then. Really? Yeah. But whenever anyone asked him why, he said,"
00:14:24,00:14:29,"oh, I am the Suez crisis. I think the government has handled that so badly that I want to leave"
00:14:29,00:14:32,the UK and I want to go to India. But it's actually because his wife was a piss ass.
00:14:32,00:14:38,Because I read that I read a few reasons that he gave. One was that he was broke as well.
00:14:38,00:14:42,"Like after the war, his lab had no money and he was broke. And those pipes are bitter."
