start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hi everyone, welcome to this week's episode of no such things a fish which was recorded when I was on my holiday"
00:00:06,00:00:10,So when I presume you have someone else in my place not just a cut out of me
00:00:10,00:00:16,"Nope, we had a little hand puppet of you and then did insulting northern accents the whole way through it was actually more enjoyable"
00:00:16,00:00:18,"No, that wasn't the case"
00:00:18,00:00:26,We had the brilliant Ali plumb on the fantastic film critic who I'm sure many of you will be very familiar with from Radio 1 and such
00:00:26,00:00:31,like he's known for interviewing the biggest celebs on the face of the earth and
00:00:31,00:00:33,Then he finally got to meet us
00:00:33,00:00:41,He did indeed and if you would like to learn anything more about Ali then the best thing to do is watch his interviews on Radio 1's
00:00:41,00:00:45,YouTube channel or BBC Radio 1's iPlayer
00:00:45,00:00:51,He also has a podcast called BBC radio on screen time where you can hear him talk about movies and you can of course follow
00:00:51,00:00:58,Him on social media as at Ali plumb and don't forget there is a bee at the end of his name is
00:00:58,00:01:02,PLU and be Ali plumb on all those social medias
00:01:02,00:01:07,I'm fairly certain I have to say that because I'm assuming Dan will pronounce his name correctly all the way through but you never know
00:01:07,00:01:13,Maybe that is gonna say Ali plumb. I'm very excited to find out actually that is the main reason
00:01:13,00:01:17,"I'm gonna listen to this podcast so do keep listening for that, but we do have another announcement as well"
00:01:17,00:01:20,Absolutely. We are going on tour
00:01:21,00:01:23,We are going all the way around the world
00:01:23,00:01:28,Well actually specifically the UK island Australia and New Zealand
00:01:28,00:01:35,But what we want to do today is remind those of you in the UK and Ireland that we are playing Edinburgh Bristol Dublin Glasgow Newcastle Cardiff
00:01:35,00:01:42,London and Manchester a pretty sure London is at least on the verge of selling out if it hasn't already sold out
00:01:42,00:01:45,But there are a few tickets left I believe for all those other dates
00:01:45,00:01:52,So snap them up ASAP and to do that go to know such thing as a fish comm slash live and
00:01:52,00:01:56,You know click on the links and stuff. You know to do it. We'll see you there
00:01:56,00:02:02,Can't wait absolutely we can't wait and I can't wait to hear this episode of no such thing as a fish with Anna
00:02:02,00:02:08,Andrew Dan Shriver and the incredible Ali plumb. Okay up with the podcast on with the show
00:02:09,00:02:11,Hello
00:02:11,00:02:32,Hello and welcome to another episode of no such thing as a fish a weekly podcast coming to you from the QI offices in Hoburn
00:02:32,00:02:38,My name is Dan Shriver. I am sitting here with Andrew Hunter Murray Anna Tashinsky and Ali plumb and once again
00:02:38,00:02:44,We have gathered around the microphones with our fourth favorite facts from the last seven days and in no particular order here
00:02:44,00:02:48,We go starting with fact number one and that is Ali
00:02:48,00:02:56,My fact this week is Jurassic World Dominion is the first film to have its parody movie be released before it itself was
00:02:56,00:02:58,released
