start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish, where we were"
00:00:05,00:00:11,joined by a special guest and that was Helen Scales.
00:00:11,00:00:17,"Now if you don't know Helen, she is a marine biologist, a writer, a broadcaster."
00:00:17,00:00:18,"We've known her for many, many years."
00:00:18,00:00:22,"She's so funny, so interesting, she loves her subject so much."
00:00:22,00:00:25,Her books are absolutely great.
00:00:25,00:00:27,The first one that she wrote was called Spirals in Time.
00:00:27,00:00:32,"I think that was the first one, which was all about shells and the history of shells."
00:00:32,00:00:37,And her most recent one is called What the Wild Sea Can Be.
00:00:37,00:00:42,"And it is basically a look at the future of the oceans, which you might think is quite"
00:00:42,00:00:45,negative because of all the news stories that are going around.
00:00:45,00:00:50,"But Helen, as is her want, is very positive about what the future might be and how we"
00:00:50,00:00:52,can save the world.
00:00:52,00:00:57,"If you'd like to get her books, obviously they're available from all the usual places."
00:00:57,00:01:02,"But if you go to helenscales.com, you can visit her shop, which is related to the online"
00:01:02,00:01:04,bookseller's bookshop.
00:01:04,00:01:09,"And if you go there, then all her commissions will go to the charity Sea Changers."
00:01:09,00:01:13,So you'll help save the sea as well as learning about the sea.
00:01:13,00:01:17,There's also details on her website about a couple of shows she's doing to promote the
00:01:17,00:01:20,"book, so make sure you have a look at that if you like what you hear in this episode."
00:01:20,00:01:22,And I know that you will.
00:01:22,00:01:25,"One more thing to say, you know we have a tour coming up."
00:01:25,00:01:31,There are still tickets for most of the UK dates and a couple of the Australia dates
00:01:31,00:01:32,left for that.
00:01:32,00:01:40,So do get your tickets ASAP and the people of Sydney and London do go back to know such
00:01:40,00:01:45,things as fish.com/live because there are details of new dates on there.
00:01:45,00:01:50,"So if you missed out on tickets to Sydney or London, then fear not because we have put"
00:01:50,00:01:51,some more dates on.
00:01:51,00:01:52,"Okay, that's it."
00:01:52,00:01:53,That's all I have to say this week.
00:01:53,00:01:58,So really all there is left to say is on with the podcast.
00:01:58,00:01:59,So let's say it.
00:01:59,00:02:18,On with the podcast.
00:02:18,00:02:23,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming"
00:02:23,00:02:26,to you from the QI offices in Hoburn.
00:02:26,00:02:30,"My name is Anna Tyshinski and I'm sitting here with Andrew Hunter Murray, James Harkin"
00:02:30,00:02:34,"and extra special guest today, Helen Scales."
00:02:34,00:02:38,And we have gathered round on microphones with our four favourite facts from the last
00:02:38,00:02:39,seven days.
00:02:39,00:02:45,So in no particular order here we go.
00:02:45,00:02:47,Starting with Helen.
00:02:47,00:02:50,My fact is you can play peek-a-boo with an octopus.
00:02:50,00:02:51,Wow.
00:02:51,00:02:54,That sounds like fun.
00:02:54,00:02:56,I think it was peek-a-boo.
00:02:56,00:02:57,That's what I was doing.
00:02:57,00:02:58,Because you've done this.
00:02:58,00:02:59,Yeah.
00:02:59,00:03:00,Yeah.
00:03:00,00:03:01,That's a personal fact.
00:03:01,00:03:02,Exactly.
00:03:02,00:03:03,How did peek-a-boo work?
00:03:03,00:03:04,Because the game is quite rules-wise.
00:03:04,00:03:05,I think so.
00:03:05,00:03:06,Yeah.
00:03:06,00:03:07,Maybe it was hide and seek.
00:03:07,00:03:08,"No, I think it was peek-a-boo."
00:03:08,00:03:14,So basically I was coming back from a freedive or a snorkel if I want to make it sound not
00:03:14,00:03:16,"as cool, but I'll say freedive because that does sound cooler."
00:03:16,00:03:20,And I was literally just a couple of feet from the beach and the water was like knee-high
00:03:20,00:03:24,"and I looked down, I was floating and I looked down and there was an octopus behind a rock"
00:03:24,00:03:29,"and I was like, awesome because I love octopuses and I see them occasionally, but it's definitely"
00:03:29,00:03:30,a special thing to see.
00:03:30,00:03:31,Where were you in the world?
00:03:31,00:03:32,"Oh, sorry."
00:03:32,00:03:33,I was in Brittany in France.
00:03:33,00:03:34,Very nice.
00:03:34,00:03:35,Yeah.
00:03:35,00:03:38,"So there was this octopus and I was like, awesome, okay, fantastic."
00:03:38,00:03:45,And then generally when I see exciting animals like that you have to be like just looking
00:03:45,00:03:48,"as much as possible because any second now it's going to just fuck off, right?"
00:03:48,00:03:51,"And you're left with like, oh, that was a lovely encounter, but it lasted like seconds."
00:03:51,00:03:56,But this one didn't move and I was just hanging out with it and how big are we talking?
00:03:56,00:04:01,"I mean, in my mind it was like maybe a small melon sized, I think, kind of thing."
00:04:01,00:04:02,Okay.
00:04:02,00:04:06,"So first off, I did the My Octopus Teacher Touching thing."
00:04:06,00:04:07,Have you seen My Octopus?
00:04:07,00:04:08,No.
00:04:08,00:04:09,"No, not really."
00:04:09,00:04:13,"There's a bit basically where if you put your hand out, an octopus will reach out and touch"
00:04:13,00:04:14,you with its arms.
00:04:14,00:04:16,"Oh, so it's like God and Adam in the Michelangelo."
00:04:16,00:04:17,"Exactly, exactly."
00:04:17,00:04:18,But God is an octopus.
00:04:18,00:04:19,And they do do that.
00:04:19,00:04:22,"They basically, they're tasting you to see what you are because their suckers are really"
00:04:22,00:04:24,sensitive and they can have you like taste the chemicals and stuff.
00:04:24,00:04:27,"So I put my hand out and it did, it's like put its little arm out and it's tiny and thin"
00:04:27,00:04:32,"at the end and it was like, yeah, but it touched me and I was like, oh, that was amazing."
00:04:32,00:04:36,"And then so we did that and I was like, okay, so what else can I do with this octopus, you"
00:04:36,00:04:37,"know, while it's got my-"
00:04:37,00:04:38,Let's pick it up a notch.
00:04:38,00:04:42,"So I was like, well, what if I just hide it from it?"
00:04:42,00:04:44,Maybe you'll try and come and find me.
00:04:44,00:04:45,Wow.
00:04:45,00:04:47,And so I moved out of its line of sight.
00:04:47,00:04:49,So that it couldn't see me.
00:04:49,00:04:51,"And it was just, it just like peered around the rock."
00:04:51,00:04:53,"You know, it was definitely like, where have you gone?"
00:04:53,00:04:54,You're over there.
00:04:54,00:04:56,"And I'm like, no, you go."
00:04:56,00:05:01,But I just really had this sense of something a bit more intelligent and it's thinking about
00:05:01,00:05:03,you and it's interacting with you.
00:05:03,00:05:05,"And it was just really, a really cool moment."
00:05:05,00:05:08,So it didn't then hide from you or anything like that?
00:05:08,00:05:09,"No, it didn't hide from me."
00:05:09,00:05:12,"Then I think at that point I was like, I'm getting really cold and I need to get out."
00:05:12,00:05:15,Can you do something a bit more interesting than just sit there?
00:05:15,00:05:17,"And so I think I was like, I'm going to get a bit closer."
00:05:17,00:05:21,"And at that point it was like, and it went off and changed it."
00:05:21,00:05:25,"You know, you hear about how octopuses change color and texture and stuff, and it really"
00:05:25,00:05:26,did.
00:05:26,00:05:27,It had been like pale and smooth.
00:05:27,00:05:30,And then instantly it turned like really angry red and very bumpy.
00:05:30,00:05:31,"And I was like, oh, wow."
00:05:31,00:05:32,Sorry.
00:05:32,00:05:33,Are the bumps real?
00:05:33,00:05:34,Yeah.
00:05:34,00:05:35,Yeah.
00:05:35,00:05:36,So there's skin.
00:05:36,00:05:37,It's not just that it looks.
00:05:37,00:05:38,Yeah.
00:05:38,00:05:39,Yeah.
00:05:39,00:05:40,So there's skin is like loads of little muscles and they can pull up and make little like warts
00:05:40,00:05:43,and little bumps and then they can flat themselves out and change the color is also
00:05:43,00:05:44,the muscles too.
00:05:44,00:05:48,They have these like bubbles of pigment which can open and close and they can change their
00:05:48,00:05:49,color.
00:05:49,00:05:50,It's like pixels basically.
00:05:50,00:05:51,I knew that's how they show their color.
00:05:51,00:05:55,"I just sort of assume that they, I didn't assume anything, I just thought I did it."
00:05:55,00:05:56,"They didn't really think about it, did they?"
00:05:56,00:05:57,No.
00:05:57,00:05:58,No.
00:05:58,00:05:59,Because he wouldn't really.
00:05:59,00:06:00,They're just like the way that you blush maybe.
00:06:00,00:06:01,They might just change color.
00:06:01,00:06:02,Yeah.
00:06:02,00:06:03,They have layers in their skin.
00:06:03,00:06:04,We can't blush lots of colors.
00:06:04,00:06:05,No.
00:06:05,00:06:06,I find that we could blush loads of different colors.
00:06:06,00:06:07,Like I could blush blue if I was.
00:06:07,00:06:08,Exactly.
00:06:08,00:06:09,On command.
00:06:09,00:06:10,That would be like a really cool thing to do with like GM.
00:06:10,00:06:11,Right.
