start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,[Music]
00:00:06,00:00:10,"Hi everyone, welcome to this week's episode of No Such Thing as a Fish!"
00:00:10,00:00:14,"Before we start, a little bit of news that is very important to Anna and I, and"
00:00:14,00:00:18,that is that our new book is finally out in
00:00:18,00:00:23,"paperback! Woohoo! I know that might not seem like a big deal to you,"
00:00:23,00:00:27,but honestly this is a real chance for us to get more people
00:00:27,00:00:31,reading this book. One very interesting thing to say is
00:00:31,00:00:35,that the book has had a name change. What used to be called
00:00:35,00:00:38,"""Everything to Play For"" is now called ""A Load of Old"
00:00:38,00:00:44,"Balls - The QI History of Sport"" by James Harkin and Anna Tyshinski. A lot of people"
00:00:44,00:00:46,"have said to us, ""Why did you not call it that in the first place?"""
00:00:46,00:00:50,"I'm not sure if they're being rude, I hope not, because it is a book"
00:00:50,00:00:55,full of the most interesting facts and stories about sport you can possibly
00:00:55,00:00:58,"imagine. Even if you're not into sport, probably this"
00:00:58,00:01:02,"summer you will notice that everyone's off watching the Euros, everyone's off"
00:01:02,00:01:05,watching the Olympics. Perhaps you don't really have much to say
00:01:05,00:01:08,"to those people when it comes up at a dinner party,"
00:01:08,00:01:12,we'll read our book and you will be the pinnacle of all sporting knowledge and
00:01:12,00:01:16,"all quite interesting sporting knowledge at that. As you imagine from me and Anna,"
00:01:16,00:01:22,"it's just full of silly stories, fun facts. We spent so much time doing loads of"
00:01:22,00:01:25,in-depth research in there that even if you are the kind of person who's
00:01:25,00:01:28,"watching every single sporting event this summer, there will be loads of stuff"
00:01:28,00:01:32,in there that you didn't know. So if you go to anywhere where you would
00:01:32,00:01:36,"normally buy your books, then look for a load of old balls,"
00:01:36,00:01:40,"the QI History of Sport or search for our names, James Harkin and Anna"
00:01:40,00:01:44,"Tyshinski and you will find that book. Please do buy it, it would"
00:01:44,00:01:48,"mean the world to us if you did. Of course we're going on tour, don't forget"
00:01:48,00:01:54,"that people in Scotland, Wales, England, Ireland, New Zealand, Australia"
00:01:54,00:01:58,do get your tickets very very soon. A lot of them are sold out. I know we've got
00:01:58,00:02:01,quite a few tickets left for the Scottish Dates in Edinburgh
00:02:01,00:02:06,and Glasgow and I think quite a few for the show in Cardiff.
00:02:06,00:02:10,So if you're in any of those cities then do get your tickets
00:02:10,00:02:14,but actually you know go to gnosisthingsthefish.com/live and you will
00:02:14,00:02:17,see all of the dates where we're playing and hopefully one of them will be
00:02:17,00:02:21,near you. Okay not much more to say apart from
00:02:21,00:02:23,on with the podcast.
00:02:42,00:02:48,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast"
00:02:48,00:02:52,coming to you from the QI offices in Hoburn. My name is Dan Shriver and
00:02:52,00:02:56,"sitting here with Andrew Hunter Murray, Anna Tyshinski and James Harkin and"
00:02:56,00:02:59,once again we have gathered around the microphones with our four favourite
00:02:59,00:03:02,facts from the last seven days and in no particular order
00:03:02,00:03:06,here we go. Starting with fact number one and that is my fact.
00:03:06,00:03:10,My fact this week is that snooker games on cruise ships
00:03:10,00:03:14,are sometimes played with flat balls.
00:03:14,00:03:18,"Are we talking about the balls on the table, are they?"
00:03:18,00:03:23,The men playing. Yeah this is this is obvious when you think about it.
00:03:23,00:03:26,Oh it's so obvious. It's so obvious when you think about it. I don't really know
00:03:26,00:03:29,how you could place a nooker on a cruise ship with a ball-shaped ball
00:03:29,00:03:31,actually on a rough cruise ship. We'll get to that in a
00:03:31,00:03:35,sec because you can and there's a pretty awesome way that you do that but
00:03:35,00:03:39,this I got from a book that's written by an Australian comedian called Hung Lee.
00:03:39,00:03:42,It's called The Crappiest Refugee. He tells the story of
00:03:42,00:03:46,from immigrant boat to cruise ship comedian. Anyway he wrote this book and
00:03:46,00:03:50,inside the book he mentions that he's seeing a bunch of guys playing on a
00:03:50,00:03:54,pool table or a snooker table and they are hitting with puck-like objects
00:03:54,00:03:57,because obviously in the rough seas the balls are going to be rolling around
00:03:57,00:04:01,and so there will be cruise ships out there that have these tables on them.
00:04:01,00:04:05,"And the idea I think is like you know air hockey, it's those kind of like"
00:04:05,00:04:08,"puck things, isn't it? Exactly. Now to your point Anna,"
00:04:08,00:04:12,"a modern day cruise ship does have pool tables or snooker tables,"
00:04:12,00:04:15,"billiards, but they use gyroscopic technology."
00:04:15,00:04:19,What? So it's amazing. No. It's honestly I've watched videos of it online.
00:04:19,00:04:23,It's so cool because basically while the rest of the ship is moving
00:04:23,00:04:26,the pool table isn't. That's insane. That's the top of the pool table.
00:04:26,00:04:30,That's a high-end cruise ship. It is incredible.
00:04:30,00:04:34,I've read stories of people finding it so fascinating that like staring to fire
00:04:34,00:04:37,sometimes people will just go and sit and watch it as it doesn't sway.
00:04:37,00:04:40,There's even stories of crew members that when they get particularly sick
00:04:40,00:04:45,they'll go and sleep on the pool table because the seasickness is getting to
00:04:45,00:04:47,them. It's not moving so you can have a restful night.
00:04:47,00:04:51,"Which begs the question, why isn't every bed on a boat gyroscopic?"
00:04:51,00:04:53,Probably price. Cost. Yeah.
00:04:53,00:04:56,How good is the correction mechanism? Like if you have a Titanic situation
00:04:56,00:04:59,how long can you continue with your game of snooker?
00:04:59,00:05:02,So it goes vertical. I see that.
00:05:02,00:05:05,So I met someone who was a dancer on cruise ships for a while.
00:05:05,00:05:07,This sounds like a good anecdote.
00:05:07,00:05:11,She did the musicals because they often have a theatre on board and
00:05:11,00:05:15,sometimes a show and she said that the most difficult one she'd ever done
00:05:15,00:05:18,was Starlight Express where you're on roller skates.
00:05:18,00:05:22,She said in rough weather you would set off across the stage and you didn't
00:05:22,00:05:25,know how soon you were going to arrive because it might be that you caught
00:05:25,00:05:28,the ship moved with you and suddenly you're there for half a second
00:05:28,00:05:32,or you're going against it and you just roll backwards.
00:05:32,00:05:36,So yeah snooker. It's a good sport. Mostly not played at sea.
00:05:36,00:05:40,Largely it's a land-based game isn't it? A land lovers game.
00:05:40,00:05:43,I did watch a tiktok yesterday just coincidentally of people playing on the
00:05:43,00:05:45,beach that looked really cool. Snooker.
00:05:45,00:05:48,It was pool actually but they kind of dug holes
00:05:48,00:05:52,for the pockets and then we just hit the bowls. Oh so they played on actual sand?
00:05:52,00:05:55,Yeah yeah. There's no facts to this but it did look pretty cool.
00:05:55,00:05:59,I'm amazed that snooker in any form has made it to tiktok because snooker is
00:05:59,00:06:02,famously quite a long game to watch. Tiktok is not a long format.
00:06:02,00:06:08,"Andy honestly if you could see my tiktok it's just snooker, golf, cricket."
00:06:08,00:06:12,It's the dullest tiktok because he just suggests things that you like doesn't
00:06:12,00:06:15,it and it just works out what you like. I reckon if you were on tiktok which I
00:06:15,00:06:19,bet you're not but you would just get moss video after moss video.
00:06:19,00:06:22,Yeah that sounds very economic. It's amazing how it works.
00:06:22,00:06:25,But it is very slow isn't it? It's all rather it takes a long time.
00:06:25,00:06:29,You play lots of frames in the course of a match and it's interesting
00:06:29,00:06:33,because for anyone who doesn't follow snooker only one person is playing at a time.
00:06:33,00:06:36,That's weird. Will you play a frame right?
00:06:36,00:06:40,Well no. You play until you mess up and then the other guy gets to have a go.
00:06:40,00:06:44,But whoever your opponent is they have to stay in their chair.
00:06:44,00:06:47,They just stay in their chair watching you and you could be playing for hours if
