start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[MUSIC PLAYING]
00:00:02,00:00:03,"Hey, everyone."
00:00:03,00:00:06,"Before we begin this week's episode of Fish,"
00:00:06,00:00:08,we just want to remind you that the four of us
00:00:08,00:00:11,are heading back out on tour as of this September
00:00:11,00:00:16,"with our massive 10th anniversary show, ""Thundernerds."""
00:00:16,00:00:17,"It's going to be so good, guys."
00:00:17,00:00:18,We're going all over.
00:00:18,00:00:20,It's an earth sandwich tour.
00:00:20,00:00:22,"We're doing the UK, we're doing Ireland,"
00:00:22,00:00:24,and then we're going to the New World.
00:00:24,00:00:25,"To Australia and New Zealand, those shows"
00:00:25,00:00:28,are almost entirely sold out in the New World.
00:00:28,00:00:30,"But old world dates, there are some tickets left,"
00:00:30,00:00:34,"so we're going to be playing Bristol, Dublin, Glasgow, New"
00:00:34,00:00:38,"Castle, Cardiff, London, London again, and Manchester."
00:00:38,00:00:38,That's right.
00:00:38,00:00:41,"So if you want to come and experience the dorkery in person,"
00:00:41,00:00:42,it's a wild night.
00:00:42,00:00:44,We record a live podcast.
00:00:44,00:00:46,We include extras.
00:00:46,00:00:48,We've just written and performed our first preview of it.
00:00:48,00:00:51,"It was smashing, incredibly exciting."
00:00:51,00:00:54,You're going to meet characters from the archives of our show.
00:00:54,00:00:57,You're going to find out how we put all the show together.
00:00:57,00:00:59,"We're going behind the scenes, and it's"
00:00:59,00:01:00,going to be a wild night.
00:01:00,00:01:04,"So come, be with us in one of these big old rooms,"
00:01:04,00:01:06,and let's have a massive night out together.
00:01:06,00:01:09,Just head to knowsuchthingasafish.com/live.
00:01:09,00:01:11,You'll find the links to every single one of those shows
00:01:11,00:01:13,"by ticket, and we'll see you there."
00:01:13,00:01:14,"Yes, we cannot wait."
00:01:14,00:01:15,It's so much fun.
00:01:15,00:01:18,Knowsuchthingasafish.com/live.
00:01:18,00:01:22,It's the perfect thing to do or the perfect gift
00:01:22,00:01:25,to buy someone you love who likes fish
00:01:25,00:01:29,and is happy to see them us on stage.
00:01:29,00:01:30,"Cool, on with the show."
00:01:30,00:01:30,Bye.
00:01:30,00:01:31,Always end strong.
00:01:31,00:01:33,"OK, on with the show."
