start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[Music]
00:00:13,00:00:18,"Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:18,00:00:22,a weekly podcast coming to you from the QI offices in Hoburn.
00:00:22,00:00:25,"My name is Dan Schreiber, I am sitting here with Andrew Hunter Murray,"
00:00:25,00:00:27,"James Harkin and Anna Tyshinski,"
00:00:27,00:00:31,and once again we have gathered around the microphones with our four favourite facts
00:00:31,00:00:35,"from the last seven days and in no particular order, here we go."
00:00:35,00:00:38,Starting with fact number one and that is Anna.
00:00:38,00:00:41,"My fact this week is that for at least 80 years,"
00:00:41,00:00:46,the same thundercloud has been raining off the north coast of Australia.
00:00:46,00:00:49,It's called Hector the Convector.
00:00:49,00:00:50,Brilliant.
00:00:50,00:00:52,Or he's called Hector the Convector.
00:00:52,00:00:54,Is it actually he?
00:00:54,00:00:55,He's called Hector.
00:00:55,00:00:57,"Yeah. Oh, clouds don't have."
00:00:57,00:00:59,A lot of the press does give him a...
00:00:59,00:01:03,"Please, let's not get into pronouns for clouds."
00:01:03,00:01:04,"She's called Hector, it's fine."
00:01:04,00:01:07,"He's called Hector, like it must be a he, right?"
00:01:07,00:01:08,"Fair enough, it's a joke actually."
00:01:08,00:01:11,He should be called Cumulo Nimbus the Cumulo Nimbus.
00:01:11,00:01:12,"Is it really a convector, a cloud?"
00:01:12,00:01:13,I don't really know what convector means.
00:01:13,00:01:18,"It does work by convection, yeah, as sort of, I mean all clouds do, but there's all..."
00:01:18,00:01:21,"Culeo Nimbus, Culeo Nimbus."
00:01:21,00:01:23,"Yeah, you said Culeo Nimbus the Cumulo Nimbus."
00:01:23,00:01:25,"No, he didn't. You made that joke up into your own head."
00:01:25,00:01:26,That's good.
00:01:26,00:01:29,"Yeah, better than what Andy said, which is just the name of the type of cloud."
00:01:29,00:01:32,"I set him up, you tougher man."
00:01:32,00:01:35,"Andy's correct, he is a Cumulo Nimbus,"
00:01:35,00:01:38,"but he does also form through the power of convection,"
00:01:38,00:01:41,"which, you know, is as hot air currents go up."
00:01:41,00:01:42,"We know how clouds form, right?"
00:01:42,00:01:43,Yeah.
00:01:43,00:01:44,He...
00:01:44,00:01:46,Bagley.
00:01:46,00:01:50,"If you don't know, ask your 12-year-old niece, nephew, daughter, son."
00:01:50,00:01:52,We'll probably go into it in more depth.
00:01:52,00:01:53,"So, get excited about that."
00:01:53,00:01:58,"But yeah, he builds up over the Tiwi Islands, Tiwi, which are..."
00:01:58,00:02:00,It's a really cute word.
00:02:00,00:02:01,It is a cute word.
00:02:01,00:02:03,"It's north of Darwin, right?"
00:02:03,00:02:04,It's a little island off Australia.
00:02:04,00:02:09,"Yes, and it's at three in the afternoon every single day from September to April,"
00:02:09,00:02:14,"which is before the rainy season, and then during the rainy season, he appears."
00:02:14,00:02:16,You can set your watch by it.
00:02:16,00:02:18,"So, here's my question, right?"
00:02:18,00:02:21,"You know the, like, the never-ending super, whatever it's called,"
00:02:21,00:02:24,"the immortal soup, where it's just always been the same soup, and they just keep it."
00:02:24,00:02:27,"So, you eat the soup, and then there's a little bit left,"
00:02:27,00:02:29,and then they add more water and more vegetables and stuff.
00:02:29,00:02:30,"So, the sum of it is..."
00:02:30,00:02:32,There's some of it always in.
00:02:32,00:02:33,This cloud does disappear.
00:02:33,00:02:34,Hector does go away.
00:02:34,00:02:36,"He's only there for the months that you just said, right?"
00:02:36,00:02:37,September 3rd to April.
00:02:37,00:02:40,"So, how can you say that it's the same Hector?"
00:02:40,00:02:43,"Well, Dan, not a single cell in your body, of course,"
00:02:43,00:02:46,is the same as the cells in your body you were born with.
00:02:46,00:02:49,"So, how can we say it's the same Dan?"
00:02:49,00:02:50,That's true.
00:02:50,00:02:52,But it is the same.
00:02:52,00:02:55,"And also, Dan disappears for six months every year, doesn't he?"
00:02:55,00:02:58,It's incredibly annoying for our recording channel.
00:02:58,00:03:02,I guess it's formed by the same forces every day.
00:03:02,00:03:05,"Yeah, I was looking for named clouds, and there are so few."
00:03:05,00:03:07,"Oh, yeah, that is surprising, isn't it?"
00:03:07,00:03:12,I think considering the things that just transiently appear
00:03:12,00:03:14,and then disappear in a matter of minutes.
00:03:14,00:03:16,I just thought there must be a shortlist on Wikipedia
00:03:16,00:03:17,of celebrity clouds.
00:03:17,00:03:21,The one I can think of is the Tablecloth or the Table Mountain.
00:03:21,00:03:22,"Oh, that's good."
00:03:22,00:03:23,I didn't know about that.
00:03:23,00:03:24,I didn't find that one.
00:03:24,00:03:25,"What did you get, Dan?"
00:03:25,00:03:26,Nothing.
00:03:26,00:03:28,[LAUGHTER]
00:03:28,00:03:31,"Well, it's good you brought up."
00:03:31,00:03:33,The only one I found was the Lake Maracaibo one
00:03:33,00:03:36,"in western Venezuela, and that's an everlasting storm,"
00:03:36,00:03:38,which is there about 260 nights a year.
00:03:38,00:03:40,"So, again, we mentioned it about eight years ago."
00:03:40,00:03:42,"It was a long, long time ago."
00:03:42,00:03:44,"And it's at a point where a river empties into the lake,"
00:03:44,00:03:47,"Lake Maracaibo, and sailors have used it"
00:03:47,00:03:49,"for centuries to navigate, because you can see it"
00:03:49,00:03:50,from 200 miles away.
00:03:50,00:03:53,"And that's what Hector had a role in World War II,"
00:03:53,00:03:56,"was part of the war effort, because Hector was helping"
00:03:56,00:03:59,navigate Australian pilots or any pilots
00:03:59,00:04:02,that were coming in via Australia and Papua New Guinea.
00:04:02,00:04:05,"So any pilot, meaning he was kind of a Swiss cloud, basically."
00:04:05,00:04:06,The neutral.
00:04:06,00:04:08,"Yeah, he didn't disappear, practically,"
00:04:08,00:04:10,when the Nazis turned up.
00:04:10,00:04:13,"You know how, when you see a cloud from above,"
00:04:13,00:04:14,it looks a bit flat.
00:04:14,00:04:16,"So there's satellite, they've been talking really high up,"
00:04:16,00:04:18,shots from down up.
00:04:18,00:04:20,"Even when you're flying over in an aeroplane,"
00:04:20,00:04:22,"it kind of looks bumpy-ish, but quite flat."
00:04:22,00:04:23,"Absolutely right, it does, doesn't it?"
00:04:23,00:04:26,"And if you look from above, they're sort of these big disks"
00:04:26,00:04:28,"of cloud, which you can kind of see they're lumpy beneath,"
00:04:28,00:04:30,"and then they just top out, and it's really weird."
00:04:30,00:04:32,"So the reason for that, I've been on this fantastic blog"
00:04:32,00:04:34,called cloudsandclimate.com.
00:04:34,00:04:35,Can't recommend it enough.
00:04:35,00:04:38,It's by a cloud scientist from Imperial College.
00:04:38,00:04:40,"They form in rising air, right, which is warmer."
00:04:40,00:04:43,"And as the air rises, it stays a bit warmer"
00:04:43,00:04:43,than the surrounding air.
00:04:43,00:04:45,So you get this cloud forming.
00:04:45,00:04:48,"And then, at about 15 kilometers high,"
00:04:48,00:04:51,"it hits the tropopause, okay?"
00:04:51,00:04:54,And that is a bit of the atmosphere
00:04:54,00:04:55,"where the temperature starts to increase again,"
00:04:55,00:04:57,so the cloud stops rising.
00:04:57,00:04:59,So that's why these clouds are shaped like anvils.
00:04:59,00:05:02,The tropopause is the bit where the height is limited.
00:05:02,00:05:04,"And it's why you get higher clouds over the equator,"
00:05:04,00:05:07,'cause the tropopause is higher over the equator.
00:05:07,00:05:08,So that's why the very biggest thunder clouds
00:05:08,00:05:10,"happen near the equator,"
00:05:10,00:05:12,'cause they've just got more room to grow
00:05:12,00:05:14,before the temperature naturally limits them again.
00:05:14,00:05:15,- That's really interesting.
00:05:15,00:05:16,"- That makes a lot of sense,"
00:05:16,00:05:17,"'cause it gets a bit warmer, doesn't it?"
00:05:17,00:05:20,So it's like a knife slicing the top off
00:05:20,00:05:21,when you hit the tropopause.
00:05:21,00:05:22,"- Exactly, exactly like that."
00:05:22,00:05:24,- Nice.
00:05:24,00:05:26,"- I discovered, by the way, I'm very lucky to be alive"
00:05:26,00:05:29,because I do a thing that should have killed me long ago.
00:05:29,00:05:31,"And when I started researching this,"
00:05:31,00:05:34,I thought lightning was connected to Hector.
00:05:34,00:05:36,But if I'm at home and if it's raining
00:05:36,00:05:38,"and it's a big storm outside,"
00:05:38,00:05:40,"I often would like to have like a hot bath,"
00:05:40,00:05:41,"like, you know, you're stuck inside."
00:05:41,00:05:43,I do that a lot.
00:05:43,00:05:45,- It turns out that's really dangerous over there.
00:05:45,00:05:46,- I think it's not really dangerous.
00:05:46,00:05:47,- It's not really dangerous?
00:05:47,00:05:50,"- I should have died, it is a stretch, isn't it?"
00:05:50,00:05:51,One of the things in your life
00:05:51,00:05:52,should have killed you.
00:05:52,00:05:55,"- What a daredevil, Dan Trover."
00:05:55,00:05:58,Another bath despite it being rainy outside.
00:05:58,00:06:00,I just didn't know this was a possibility
00:06:00,00:06:02,"that basically the ground near your home,"
00:06:02,00:06:04,"if it's hit by a lightning bolt,"
00:06:04,00:06:06,it can be a conductor to bring it through the pipes
00:06:06,00:06:08,"into your, yeah."
00:06:08,00:06:08,- What?
00:06:08,00:06:10,"- I know, right, so there's examples."
00:06:10,00:06:13,"Okay, in November 2007, a bolt struck a teenager"
00:06:13,00:06:16,"who was washing her hair at home in Blandford, England."
00:06:16,00:06:19,It hit her wrist and it knocked the shower head
