start_hhmmss,end_hhmmss,text
00:00:00,00:00:14,[MUSIC]
00:00:14,00:00:19,">> Hello, and welcome to another episode of No Such Thing as a Fish,"
00:00:19,00:00:23,a weekly podcast this week coming to you live from the Edinburgh Fringe.
00:00:23,00:00:29,>> [APPLAUSE]
00:00:29,00:00:31,>> My name is Dan Schreiber.
00:00:31,00:00:36,"I'm sitting here with Anna Tyshyski, Andrew Honesomuri, and James Harkin."
00:00:36,00:00:40,"And once again, we have gathered around the microphones with our four favorite"
00:00:40,00:00:44,"facts from the last seven days, and in a particular order, here we go."
00:00:44,00:00:47,"Starting with fact number one, and that is my fact."
00:00:47,00:00:54,"My fact is, earlier this year, the town of Midgeham was invaded by midges."
00:00:54,00:00:55,>> [LAUGH]
00:00:55,00:00:56,>> Super.
00:00:56,00:01:00,">> Yeah, so Midgeham is a- >> Midgeham, maybe."
00:01:00,00:01:01,>> Midgeham.
00:01:01,00:01:04,">> Maybe, absolutely maybe."
00:01:04,00:01:09,"So yeah, Midgeham is located in West Berkshire."
00:01:09,00:01:12,>> [LAUGH]
00:01:12,00:01:15,">> This is a tiny town, it's got 350 people who live there."
00:01:15,00:01:20,"And very recently, they were invaded by huge swarms of midges."
00:01:20,00:01:26,"Obviously hilarious, but I should point out, as the article accentuates,"
00:01:26,00:01:29,the population are not laughing because- >> [LAUGH]
00:01:29,00:01:31,>> Because the midges will fly into their mouths.
00:01:31,00:01:32,">> It's annoying, they can't walk out."
00:01:32,00:01:35,"If they open their mouth, they're swallowing big mouthloads of midges."
00:01:35,00:01:37,That's what they're saying in the news report.
00:01:37,00:01:40,">> It's not biblical, it is- >> That's what they said."
00:01:40,00:01:44,>> It's as many midges as pretty much every single Scottish person
00:01:44,00:01:45,has dealt with in any place.
00:01:45,00:01:49,">> No, the people of Berkshire are not used to midges."
00:01:49,00:01:52,>> Exactly. >> They're not hardy like you.
00:01:52,00:01:53,They're sensitive souls.
00:01:53,00:01:56,">> They said you can't even walk without swallowing, okay, a few."
00:01:56,00:01:58,">> Okay, yeah, you- >> [LAUGH]"
00:01:58,00:02:00,">> Also, I've just realized, it's the Edinburgh fridge."
00:02:00,00:02:02,So there'll be more people from Berkshire here than there are from Edinburgh.
00:02:02,00:02:05,>> [LAUGH]
00:02:05,00:02:08,>> It does sound bad.
00:02:08,00:02:10,"It also did really affect the nearby village of Woolhampton,"
00:02:10,00:02:11,but that doesn't have a funny name.
00:02:11,00:02:13,So it's got no airtime.
00:02:13,00:02:16,>> The invasion of sheep there two years ago was hysterical.
00:02:16,00:02:21,">> Mitchum, I think, having Googled it, is not interesting in any other way."
00:02:21,00:02:23,">> Wow. >> I'll go on trial, James."
00:02:23,00:02:24,>> My God.
00:02:24,00:02:25,>> Here we go.
00:02:25,00:02:25,>> Strap in.
00:02:25,00:02:28,>> [LAUGH]
00:02:28,00:02:30,>> Mitchum is Berkshire's least used railway station.
00:02:30,00:02:33,>> [LAUGH]
00:02:33,00:02:34,>> Interesting.
00:02:34,00:02:37,">> Yeah, and that's from 2020 to one, although, so"
00:02:37,00:02:38,you might think it was due to lockdowns and stuff.
00:02:38,00:02:42,"Actually, it was also Berkshire's least popular station in 2019 to 20."
00:02:42,00:02:43,>> Right.
00:02:43,00:02:46,">> And also, it's not in Mitchum, Mitchum station, it's just outside Mitchum."
00:02:46,00:02:48,>> [LAUGH]
00:02:48,00:02:49,>> Woolhampton?
00:02:49,00:02:52,">> It used to be called Woolhampton, but then people kept sending it stuff for"
00:02:52,00:02:54,"Woolhampton, which is much bigger and a long way away."
00:02:54,00:02:54,>> All right.
00:02:54,00:02:56,>> So they changed it.
00:02:56,00:02:56,>> Okay.
00:02:56,00:03:02,">> And okay, so that, yeah, I've got one more thing that has happened in Mitchum ever."
00:03:02,00:03:04,>> Yeah. >> Please.
00:03:04,00:03:08,">> Peter Gray, a 72-year-old farmer, saw a giant ice block of frozen human"
00:03:08,00:03:10,urine smash into his lawn.
00:03:10,00:03:12,">> Oh, from an airplane?"
00:03:12,00:03:13,">> Yes, from a plane."
00:03:13,00:03:16,>> [LAUGH]
00:03:16,00:03:19,">> No, from the mole people."
00:03:19,00:03:21,What do you think?
00:03:21,00:03:22,>> Pissing aliens.
00:03:22,00:03:24,>> [LAUGH]
00:03:24,00:03:28,">> So Mitchum, I did have a look at if it's been invaded by Mitchum before,"
00:03:28,00:03:31,"because I thought, this is the kind of thing that tabloid journalists just"
00:03:31,00:03:32,desperately hope happens and make happen.
00:03:32,00:03:36,And there were two other incidents in the last 12 years where it is reported as
00:03:36,00:03:38,being invaded by Mitchum.
00:03:38,00:03:43,"And I have to say, we haven't seen any invasion plans or got these stats."
00:03:43,00:03:45,So maybe that the people of Mitchum are just very wingy.
00:03:45,00:03:48,">> Out of curiosity, the first time it happened, did they find it funny?"
00:03:48,00:03:51,>> [LAUGH]
00:03:51,00:03:53,>> Is that just jaded Mitchum now?
00:03:53,00:03:54,"Going, yeah, yeah, yeah, first two times."
00:03:54,00:03:56,">> I think it is, yeah, it's hysterical, yeah."
00:03:56,00:04:00,"And it was reported on both times as ironic, which is very upsetting."
00:04:00,00:04:01,>> You've got a big thing about this.
00:04:01,00:04:04,">> That's true, everyone has a big thing about this ever since."
00:04:04,00:04:07,"Ever since the Larnis Morrissette invented having a big thing about it, then."
00:04:07,00:04:09,>> Because it's not ironic.
00:04:09,00:04:10,">> Well, indeed."
00:04:10,00:04:14,">> Right, has anyone, so who here has experienced Mitchus?"
00:04:14,00:04:17,>> [APPLAUSE]
00:04:17,00:04:18,>> Who here has been to Mitchum?
00:04:18,00:04:20,>> Get out.
00:04:20,00:04:23,>> What is their train station like?
00:04:23,00:04:29,>> Were you there when Berkshire Life sent a reporter to see just how quiet it really is?
00:04:29,00:04:32,>> [LAUGH]
00:04:32,00:04:34,>> I arrived before 8 AM on Wednesday and
00:04:34,00:04:36,what you presume would be the height of rush hour.
00:04:36,00:04:38,"However, there was no one at the station at all."
00:04:38,00:04:38,"There you go, you weren't there."
00:04:38,00:04:42,>> [LAUGH]
00:04:42,00:04:44,>> Does anyone here use the Mitch forecast?
00:04:44,00:04:49,">> So this is the thing, there's a Mitch forecast which some of the people here use."
00:04:49,00:04:50,">> Is it in Scotland, or UK?"
00:04:50,00:04:52,">> It is in Scotland, yeah, yeah."
00:04:52,00:04:55,And the serious level is one to five.
00:04:55,00:04:58,"One is the least serious, which is called no flies on me."
00:04:58,00:05:03,"And number four is great, that's no mist, that's midges, it was really good."
00:05:03,00:05:04,>> [LAUGH]
00:05:04,00:05:06,">> I think it's entirely sponsored by Smidge,"
00:05:06,00:05:10,"which is the UK's number one of, as far as I could tell, two, mid-repellents."
00:05:10,00:05:11,>> [LAUGH]
00:05:11,00:05:13,">> Yeah, and they, it's a great-"
00:05:13,00:05:15,">> That's cool, did you check out today's Mitch forecast?"
00:05:15,00:05:16,">> No, I didn't."
00:05:16,00:05:16,>> Oh.
00:05:16,00:05:17,>> Did you? >> The cocky.
00:05:17,00:05:18,>> [LAUGH]
00:05:18,00:05:21,>> I didn't know it existed until 20 seconds ago.
00:05:21,00:05:23,">> I actually checked it out, and it's looking pretty good."
00:05:23,00:05:26,>> Yeah. >> For all this talk of how midges are so
00:05:26,00:05:29,"bad throughout the summer, and sometimes they have two phases, I think."
00:05:29,00:05:31,"But this year, they reckon they have a third."
00:05:31,00:05:33,"And September, there might be a third hatching."
00:05:33,00:05:35,"It's fine, it's mostly at twos."
00:05:35,00:05:39,And then I think one spot was at four.
00:05:39,00:05:42,"So stay away from, I think it might have been sterling."
00:05:42,00:05:45,"No, it's Glencoe, Glencoe, there you go."
00:05:45,00:05:48,">> Right, I'm not sure if I've ever encountered a midge."
00:05:48,00:05:49,">> No, you weren't."
00:05:49,00:05:49,">> Yeah, right."
00:05:49,00:05:50,>> It's pretty bad.
00:05:50,00:05:54,">> Okay, right, because supposedly, according to Scottish"
00:05:54,00:06:01,"midge studies, 40,000 of them can land on a single unprotected arm in one hour."
00:06:01,00:06:03,There are 37 different species in Scotland.
00:06:03,00:06:05,It has caused major problems here.
00:06:05,00:06:09,So there's an estimated 20% of working forestry days in Scotland are lost
00:06:09,00:06:12,"because of the clouds of biting midges, you have to stop."
00:06:12,00:06:17,And it can cost up to 268 million pounds a year in lost tourism visits.
00:06:17,00:06:19,As a result of the reports of them being here.
00:06:19,00:06:20,>> Really?
00:06:20,00:06:24,">> However, what's very exciting is you do make up that money a bit"
00:06:24,00:06:29,by the 41 million pounds that is brought in annually by visits to the Loch Ness Monster.
00:06:29,00:06:30,So.
00:06:30,00:06:31,>> What?
00:06:31,00:06:32,>> That's what Nessies bring into the table.
00:06:32,00:06:34,">> Yeah, but that's nothing to do with what we're talking about."
00:06:34,00:06:35,>> Completely non-relevant.
00:06:35,00:06:38,>> The Edinburgh Festival brings in lots of money.
00:06:38,00:06:40,"That would be a more apt thing to say, ironically."
00:06:40,00:06:45,">> Yeah, but we're talking about animals."
00:06:45,00:06:46,">> Yeah, some which exist."
00:06:46,00:06:48,>> And some which are yet to.
00:06:48,00:06:48,">> Yeah, yeah."
00:06:48,00:06:50,">> They're symbiotic, Nessie and midges."
00:06:50,00:06:51,"I think that's what you're saying, isn't it?"
00:06:51,00:06:54,"They have a symbiotic relationship, so one can't exist without the other?"
