start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,(upbeat music)
00:00:01,00:00:03,"- Hi everyone, welcome to this week's episode"
00:00:03,00:00:04,of No Such Things as a Fish.
00:00:04,00:00:08,We are slap bang in the middle of our tour right now
00:00:08,00:00:12,and that means that you yourself can come and see us live.
00:00:12,00:00:14,"- Yes, you can."
00:00:14,00:00:15,We love doing the tours.
00:00:15,00:00:17,We're having a great time this time around.
00:00:17,00:00:20,We record a new podcast every time we do a show
00:00:20,00:00:22,"and we have lots of little nerdy,"
00:00:22,00:00:25,extra never before seen bits in between
00:00:25,00:00:29,"and we are going to be in Cardiff, in London Town"
00:00:29,00:00:31,and in Manchester very soon.
00:00:31,00:00:33,"So we are in Cardiff on the 16th of October,"
00:00:33,00:00:35,London on the 23rd and the 24th
00:00:35,00:00:37,and Manchester on the 27th.
00:00:37,00:00:39,- That is correct.
00:00:39,00:00:42,And one of the places we will be very soon is Gothenburg.
00:00:42,00:00:46,We will be in Gothenburg on the 27th of September.
00:00:46,00:00:47,That's a week on Friday
00:00:47,00:00:50,and we will be doing a live episode of the podcast there.
00:00:50,00:00:53,"So do come along, search for the Gothenburg Book Festival"
00:00:53,00:00:55,and you'll see all the details about that.
00:00:55,00:00:57,- And of course you can get tickets to that
00:00:57,00:00:59,and all the others by going to No Such Things
00:00:59,00:01:01,as a Fish dot com slash live.
00:01:01,00:01:03,"- Okay, I don't know, I think it's time to sound check."
00:01:03,00:01:05,We better get on with it.
00:01:05,00:01:06,- Let's get on with the show.
00:01:06,00:01:07,- On with the podcast.
00:01:07,00:01:12,(beeping)
00:01:12,00:01:16,(speaking in foreign language)
00:01:16,00:01:26,- Hello and welcome to another episode
00:01:26,00:01:28,"of No Such Thing as a Fish,"
00:01:28,00:01:32,a weekly podcast this week coming to you live from Bristol.
00:01:32,00:01:35,(crowd cheering)
00:01:35,00:01:38,My name is Dan Schreiber.
00:01:38,00:01:40,"I am sitting here with Anna Tyshinski,"
00:01:40,00:01:42,Andrew Hunter Murray and James Harkin.
00:01:42,00:01:45,"And once again, we have gathered around the microphones"
00:01:45,00:01:47,with our four favorite facts from the last seven days.
00:01:47,00:01:50,"And in no particular order, here we go."
00:01:50,00:01:54,"Starting with fact number one, and that is Andy."
00:01:54,00:01:57,- My fact is that the unauthorized release of beavers
00:01:57,00:02:00,into British waterways is known as beaver bombing.
00:02:00,00:02:02,(crowd laughing)
00:02:02,00:02:03,- That's exerting.
00:02:03,00:02:04,"- Yeah, this has been covered recently."
00:02:04,00:02:06,They're all over the place now
00:02:06,00:02:07,and they've been making their way back.
00:02:07,00:02:11,So the river Otter is now full of beavers and--
00:02:11,00:02:11,- Confusingly.
00:02:11,00:02:12,- Very confusing.
00:02:12,00:02:14,"- Which pisses off the otters in the river Otter,"
00:02:14,00:02:15,as I suspect.
00:02:15,00:02:16,- Are there otters in the river Otter?
00:02:16,00:02:17,- There are otters in the river Otter.
00:02:17,00:02:20,And I did read that someone was saying the Camel River
00:02:20,00:02:21,"is another good place to introduce them,"
00:02:21,00:02:22,which I imagine will piss off the camels
00:02:22,00:02:24,in the Camel River.
00:02:24,00:02:26,- And there are hundreds of them out there now.
00:02:26,00:02:27,- Is that really in the UK?
00:02:27,00:02:28,"- In the UK, yeah, yeah."
00:02:28,00:02:30,"In researching this fact, I spoke to someone who said,"
00:02:30,00:02:32,"very secretively, they were related to someone"
00:02:32,00:02:35,who knew a thing or two about reintroducing secret beavers.
00:02:35,00:02:36,"- Oh, really?"
00:02:36,00:02:38,"- Yeah, sort of gorilla, confusingly."
00:02:38,00:02:39,(crowd laughing)
00:02:39,00:02:41,- The gorillas are furious.
00:02:41,00:02:44,"- Yeah, and so I've read an interview as well"
00:02:44,00:02:46,with a guy called Simon.
00:02:46,00:02:48,"Basically, it takes a lot of time and paperwork"
00:02:48,00:02:50,to release a beaver outside an enclosure.
00:02:50,00:02:52,You need to do an impact assessment.
00:02:52,00:02:53,"Sometimes on the Isle of Wight,"
00:02:53,00:02:57,"you have to do 100,000 words of impact assessment."
00:02:57,00:02:59,"100,000 words, that's a novel, that's a full novel."
00:02:59,00:03:02,"- Yeah, and people are objecting, aren't they?"
00:03:02,00:03:04,'Cause no one's got time to read that many words.
00:03:04,00:03:05,- But why do we want beavers anyway?
00:03:05,00:03:07,"- Well, because they build dams, don't they?"
00:03:07,00:03:09,And it creates this lovely kind of ecosystem
00:03:09,00:03:11,for lots of other things to exist.
00:03:11,00:03:12,They're like engineers.
00:03:12,00:03:15,"So there are these people, and it's such an exciting world."
00:03:15,00:03:16,"If you want to get into crime,"
00:03:16,00:03:18,"but feel like you're doing kind of a good thing,"
00:03:18,00:03:20,I think beaver bombing is the way.
00:03:20,00:03:20,- Interesting.
00:03:20,00:03:23,- There's a guy called Olivier Rubbers.
00:03:23,00:03:24,Did you read about him?
00:03:24,00:03:25,He was one of the originals.
00:03:25,00:03:28,"He was in 1998, he just heard someone mention"
00:03:28,00:03:30,"the reintroduction of beavers and he decided,"
00:03:30,00:03:33,"I'm gonna do that, borrowed his dad's car,"
00:03:33,00:03:34,and he drove to Germany.
00:03:34,00:03:37,"I think he lived in Belgium, drove to Germany,"
00:03:37,00:03:39,"picked up some beavers, crossed the border,"
00:03:39,00:03:41,"back into Belgium, dropped them in a river,"
00:03:41,00:03:44,"went so well, he repeated it with 97 more beavers."
00:03:44,00:03:45,(laughing)
00:03:45,00:03:46,- Why?
00:03:46,00:03:47,"- He did 97 different journeys,"
00:03:47,00:03:49,"or did he go, all right, lads, in the car?"
00:03:49,00:03:51,"- Yeah, it's like that riddle."
00:03:51,00:03:53,"You're not allowed to take a beaver with another beaver,"
00:03:53,00:03:54,otherwise they eat each other.
00:03:54,00:03:55,"- Right, that's crazy."
00:03:55,00:03:58,"Hey, do you know, if you let a beaver into your lounge room,"
00:03:58,00:04:00,it will rearrange all your furniture.
00:04:00,00:04:01,Isn't that amazing?
00:04:01,00:04:02,"- Oh, that's nice."
00:04:02,00:04:03,"- That's lovely, along Feng Shui principles."
00:04:03,00:04:06,"- No, this is a thing that was noticed by someone"
00:04:06,00:04:08,who wrote a lot about beavers back in the day.
00:04:08,00:04:11,She was sort of a conservationist who wanted to raise
00:04:11,00:04:14,the idea that they're intelligent animals
00:04:14,00:04:15,that they're interesting to look at.
00:04:15,00:04:17,"She was called Dorothy Richards,"
00:04:17,00:04:18,"and she was looking after beavers,"
00:04:18,00:04:19,"and they came into her house,"
00:04:19,00:04:21,"and as soon as they walked in, they were like,"
00:04:21,00:04:22,"no, let's put the chair over there,"
00:04:22,00:04:23,let's get that over there.
00:04:23,00:04:25,"And apparently, according to her,"
00:04:25,00:04:27,they are the only animals apart from humans
00:04:27,00:04:28,that radically transform their environment.
00:04:28,00:04:29,So it's all about safety.
00:04:29,00:04:31,They want the room perfect.
00:04:31,00:04:33,"So if you put a beaver in your room, it will be different."
00:04:33,00:04:35,- And it will flood the room.
00:04:35,00:04:36,- Yes.
00:04:36,00:04:37,- Crucially.
00:04:37,00:04:38,- What they do is they build the dams
00:04:38,00:04:41,"where they hear the water the most, right?"
00:04:41,00:04:43,'Cause they wanna find the narrow part of the river
00:04:43,00:04:44,where the water's really flowing.
00:04:44,00:04:46,So they listen out for loud water.
00:04:46,00:04:48,"When they find the loud water,"
00:04:48,00:04:49,that's where they build their dams.
00:04:49,00:04:51,But if you get a tape recorder
00:04:51,00:04:52,"and put it in the middle of the room,"
00:04:52,00:04:54,"and put a beaver in there,"
00:04:54,00:04:56,they'll go around finding any bits and pieces in the room
00:04:56,00:04:59,and then just put it all on top of the tape recorder.
00:04:59,00:05:01,"- Yeah, that's cool. - That's very cool."
00:05:01,00:05:02,"So they make dams,"
00:05:02,00:05:04,"and this can help to clean the water,"
00:05:04,00:05:06,"can it, in rivers."
00:05:06,00:05:07,"The ones in the River Otter,"
00:05:07,00:05:10,"they store 24 million liters of water,"
00:05:10,00:05:13,which is the equivalent of 10 Olympic-sized swimming pools.
00:05:13,00:05:16,"And they reckon it could help our bills, our water bills,"
00:05:16,00:05:17,"because they clean it,"
00:05:17,00:05:19,that means the water companies don't have to.
00:05:19,00:05:20,(audience laughing)
00:05:20,00:05:23,'Cause I did find that between November 2019
00:05:23,00:05:25,"and February 2020,"
00:05:25,00:05:28,sewage treatment works near Stoke illegally release sewage
00:05:28,00:05:31,equivalent to 10 Olympic-sized swimming pools.
00:05:31,00:05:33,So basically all those beavers
00:05:33,00:05:34,just did the right amount of work
00:05:34,00:05:36,to help that one sewage leak.
