start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,"- Hi everyone, just before we start this show,"
00:00:02,00:00:05,"I wanted to perform a tiny, tiny interview"
00:00:05,00:00:07,about a very exciting new book that's been released.
00:00:07,00:00:10,"It's a book called Impossible Things,"
00:00:10,00:00:13,unbelievable answers to the world's weirdest questions.
00:00:13,00:00:16,"And it's by renowned author and podcaster,"
00:00:16,00:00:18,"Dan Treiber, here with me today."
00:00:18,00:00:19,"- Hello, thank you for having me."
00:00:19,00:00:20,- It's a real pleasure.
00:00:20,00:00:23,How would you describe what this book is about?
00:00:23,00:00:26,- This is a book where I look into all the mysteries
00:00:26,00:00:28,that kids are fascinated by.
00:00:28,00:00:30,Are we being visited by aliens?
00:00:30,00:00:32,Are there ghosts out there in haunted houses?
00:00:32,00:00:33,Are there monsters in the lock?
00:00:33,00:00:35,Do time travelers visit us?
00:00:35,00:00:36,All that sort of stuff.
00:00:36,00:00:37,I've actually gone on 10 adventures
00:00:37,00:00:40,to investigate it on behalf of kids.
00:00:40,00:00:41,Getting to the bottom of the history
00:00:41,00:00:43,"of why we believe in this stuff,"
00:00:43,00:00:45,how it's changed the course of the world.
00:00:45,00:00:47,And it's also just a funny little adventure
00:00:47,00:00:49,that kids will hopefully enjoy.
00:00:49,00:00:52,"- Yes, if you are fans of this podcast at all,"
00:00:52,00:00:54,this book is basically bang in line with that.
00:00:54,00:00:57,"And when Dan's personality, it's full of amazing facts."
00:00:57,00:00:58,"It doesn't say wrong stuff,"
00:00:58,00:01:01,"even though it's about all these weird, mysterious phenomena."
00:01:01,00:01:03,"- Yeah, and it's as much written for adults as it is kids."
00:01:03,00:01:07,"Fish listeners, it would really be a huge, huge deal for me"
00:01:07,00:01:08,if you could go out and get a copy today.
00:01:08,00:01:10,"It's really, really incredibly hard to sell books,"
00:01:10,00:01:12,particularly kids' books.
00:01:12,00:01:14,And I would love to turn this into a series.
00:01:14,00:01:17,And I can only do that if it's a success.
00:01:17,00:01:19,And you are my best chance at that.
00:01:19,00:01:23,So please do pick up a copy online or in bookshots today.
00:01:23,00:01:24,"- Okay, on with the show."
00:01:24,00:01:25,- On with the show.
00:01:26,00:01:29,(alarm blaring)
00:01:29,00:01:41,"- Hello, and welcome to another episode"
00:01:41,00:01:43,"of No Such Thing as a Fish,"
00:01:43,00:01:47,a weekly podcast this week coming to you live from Dublin.
00:01:47,00:01:50,(audience cheering)
00:01:54,00:01:56,My name is Dan Shriver.
00:01:56,00:01:58,"I am sitting here with Anna Tyshinski,"
00:01:58,00:02:01,"Andrew Hunter Murray, and James Harkin."
00:02:01,00:02:03,"And once again, we have gathered around the microphones"
00:02:03,00:02:06,with our four favorite facts from the last seven days.
00:02:06,00:02:09,"And in no particular order, here we go."
00:02:09,00:02:13,"Starting with fact number one, and that is James."
00:02:13,00:02:17,"- Okay, my fact this week is that mathematician Blaise Pascal"
00:02:17,00:02:22,once cured his toothache by thinking about maths.
00:02:22,00:02:23,(audience laughing)
00:02:23,00:02:27,- We went from like crazy rock and roll beginning to--
00:02:27,00:02:29,"- Excuse me, but there is nothing more rock and roll"
00:02:29,00:02:30,than maths.
00:02:30,00:02:31,- That's true.
00:02:31,00:02:34,- And especially 17th century French maths.
00:02:34,00:02:36,"- And Blaise Pascal, what a hot name."
00:02:36,00:02:38,"That's a rock star, I've never heard one."
00:02:38,00:02:40,"- You don't get enough Blaise these days, do you?"
00:02:40,00:02:40,- No.
00:02:40,00:02:41,- You need to come back.
00:02:41,00:02:43,So was this like one of those cures where if you've got
00:02:43,00:02:45,"a pain, subject yourself to something even worse?"
00:02:45,00:02:47,"Like you've got a toothache, shoot yourself in the foot,"
00:02:47,00:02:49,"and you'll forget about the toothache, apparently."
00:02:49,00:02:52,"- I see where you're going, but no, it's the exact opposite."
00:02:52,00:02:56,"- He was thinking about problems concerning the cycloid,"
00:02:56,00:03:00,which is a curve traced by a point on the edge of a circle.
00:03:00,00:03:02,"- Rock and roll, wow."
00:03:02,00:03:05,- His toothache disappeared and he decided that it was
00:03:05,00:03:08,"God that did it, and God was saying to him,"
00:03:08,00:03:10,"you need to carry on with the maths,"
00:03:10,00:03:12,and carry on with the maths he did.
00:03:12,00:03:13,"- Wow, that's good."
00:03:13,00:03:17,"So Pascal, the only thing I'd ever heard of Pascal"
00:03:17,00:03:19,"before researching this fact is Pascal's wager,"
00:03:19,00:03:22,"and the idea is that if you, what is the idea?"
00:03:22,00:03:25,"Is that if you, even if you think it's unlikely"
00:03:25,00:03:27,"that a vengeful God does exist,"
00:03:27,00:03:29,you may as well go through the motions
00:03:29,00:03:31,"as if a vengeful God does exist,"
00:03:31,00:03:34,because on the off chance that you're wrong
00:03:34,00:03:36,"and he does exist, it's much better to have."
00:03:36,00:03:37,- You're absolutely fucked.
00:03:37,00:03:39,"- Yeah, exactly."
00:03:39,00:03:42,But I think actually God is going to know
00:03:42,00:03:43,"that you're doing that, right?"
00:03:43,00:03:45,Because God knows everything.
00:03:45,00:03:48,"So as soon as you say, oh yeah, I really believed you"
00:03:48,00:03:50,"all that time, he's going to go bullshit."
00:03:50,00:03:53,- Imagine if God turned out to be such a chump
00:03:53,00:03:55,that he didn't know when you truly believed in art.
00:03:55,00:03:57,"He said, yeah, you believed, I saw it at the end."
00:03:57,00:04:00,"You said, yes, come on in buddy, nice to see you."
00:04:00,00:04:01,"By the way, that's always presented"
00:04:01,00:04:03,"as if he was a non-believer,"
