start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,[MUSIC]
00:00:03,00:00:04,>> You can sing along.
00:00:04,00:00:11,[MUSIC]
00:00:11,00:00:16,">> Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:16,00:00:20,a weekly podcast this week coming to you live from Glasgow.
00:00:20,00:00:24,>> [APPLAUSE]
00:00:24,00:00:26,>> My name is Jan Schreiber.
00:00:26,00:00:31,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray, and James Harkin."
00:00:31,00:00:35,"And once again, we have gathered around the microphones with our four favorite"
00:00:35,00:00:39,"facts from the last seven days, and in no particular order, here we go."
00:00:39,00:00:42,"Starting with fact number one, that is James."
00:00:42,00:00:47,">> Okay, my fact this week is that according to DNA analysis,"
00:00:47,00:00:49,Beethoven wasn't very musical.
00:00:49,00:00:51,>> [LAUGH]
00:00:51,00:00:55,>> Is that saying something about Beethoven or about DNA analysis and
00:00:55,00:00:56,how it sort of is not?
00:00:56,00:00:59,">> We might come to Beethoven, in fact, I'm sure we will."
00:00:59,00:01:04,But this is basically a study where they looked at Beethoven's DNA.
00:01:04,00:01:08,"And they looked at the DNA of a load of students in a couple of universities,"
00:01:08,00:01:11,one in Tennessee and one in the Netherlands.
00:01:11,00:01:16,And what they were saying is that DNA tests can't really give much to
00:01:16,00:01:19,historical people and tell you about their characters really.
00:01:19,00:01:21,It's kind of a warning against that.
00:01:21,00:01:24,"But in actual fact, Beethoven, well, he wasn't like Mozart."
00:01:24,00:01:28,Like Mozart when he was age four could play incredible pieces.
00:01:28,00:01:31,"But Beethoven couldn't hold a tune, he could not write a tune."
00:01:31,00:01:32,">> No, he wasn't really."
00:01:32,00:01:33,>> I like him.
00:01:33,00:01:37,"I don't love him, I like him, but he could not write a melody to save himself."
00:01:37,00:01:39,And I bet he'd say he was above that.
00:01:39,00:01:41,"You know when you get some avant-garde pop stars who say,"
00:01:41,00:01:43,I don't write the catchy songs because they're beneath me.
00:01:43,00:01:45,Locks them before me in Glasgow actually.
00:01:45,00:01:46,">> Wait, so we're- >> [LAUGH]"
00:01:46,00:01:50,">> Yes, all of Beethoven's very uncatchy tunes, like da, da, da, da."
00:01:50,00:01:53,">> Come on, that's the only one."
00:01:53,00:01:54,>> It's a pretty solid riff.
00:01:54,00:01:56,">> I'm sorry, I disagree with that completely."
00:01:56,00:02:00,"Just on this study of the Beethoven's sort of DNA that they study,"
00:02:00,00:02:02,they had a lock of hair from Beethoven.
00:02:02,00:02:04,"And in fact, they had eight locks of hair."
00:02:04,00:02:05,This was really exciting.
00:02:05,00:02:08,But only five of them were genetically identical.
00:02:08,00:02:11,>> So what does that mean?
00:02:11,00:02:12,>> Three of them were fake.
00:02:12,00:02:13,">> Oh, they were fake."
00:02:13,00:02:17,He wasn't like some kind of Chimera who was half-baked-hoven half someone else.
00:02:17,00:02:18,"What was it, the dog-bate-hoven?"
00:02:18,00:02:20,>> It was the dog-bate-hoven.
00:02:20,00:02:21,>> Yeah.
00:02:21,00:02:24,">> There was one lock of hair which turned out to be from a woman, and"
00:02:24,00:02:28,"that was the one that said, you've got terrible lead poisoning, so that's not true."
00:02:28,00:02:31,"But the thing they found, which is exciting, is that they've studied some"
00:02:31,00:02:35,"modern Beethoven's, and they've studied the identical locks of hair from him."
00:02:35,00:02:38,And they found that the Y chromosome is different between the two.
00:02:38,00:02:41,"And what that means is that in his family line somewhere,"
00:02:41,00:02:44,there is an extra pair paternity event.
00:02:44,00:02:46,>> Okay.
00:02:46,00:02:48,">> Yeah, someone's been playing a false note."
00:02:48,00:02:53,">> Yeah. >> Yes, anyway."
