start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"Hello everybody, it's Dan and Andy here from the podcast No Such Things a Fish, which you're already listening to."
00:00:06,00:00:13,Yeah. Why are we here Andy? We're here to let everyone know that they can see us in the flesh.
00:00:13,00:00:17,I thought we were here as a social thing. I can't believe it. You've yured me into recording an Amphir.
00:00:17,00:00:19,I know. The other two saw through it. That's why it's you and me alone.
00:00:19,00:00:27,"But basically, we are concluding the UK and European leg of our Thunder Nerds tour."
00:00:27,00:00:33,Or we only have four dates left. We're going to be playing Cardiff. We're going to be playing London twice and Manchester.
00:00:33,00:00:38,And then kaput. That is it. It is over. And we still have some tickets left for a few of those shows.
00:00:38,00:00:41,"So if you want to come and see us, now is the time to get them."
00:00:41,00:00:46,That's right. You can get tickets. There are still some available for Cardiff and there are still some available for the second London date.
00:00:46,00:00:50,So Cardiff is on the 16th of October at the Wales Millennium Centre.
00:00:50,00:00:54,"London is the first one is sold out completely. The second one, there are still a few tickets left."
00:00:54,00:00:59,That's on the 24th of October at the Theatre Royal on Drury Lane.
00:00:59,00:01:04,So a couple of tickets are available for those two shows. And I'd say buy them now before the show.
00:01:04,00:01:08,"Yeah, we can't wait to see a bunch of you there. It's so fun. We have exciting guests."
00:01:08,00:01:13,We have quizzes that we do on stage. We record an original new podcast each time.
00:01:13,00:01:18,And we usually get a lot of weird stuff out of Andy to do with a very specific sci-fi movie.
00:01:18,00:01:24,"So yeah, a little teaser there. So when you come along, come and see us live."
00:01:24,00:01:28,Go to knowsuchthingasafish.com. All the links are there to get your tickets from.
00:01:28,00:01:32,"And yeah, we'll hopefully see you there soon. All right, let's get on to the actual podcast itself."
00:01:32,00:01:35,"Are we going to order a coffee at any point? No, I'm going home now. Okay."
00:01:35,00:01:37,"All right, on with the show. Bye."
00:01:50,00:01:59,"Hello and welcome to another episode of Know Such Thing as a Fish, a weekly podcast this week coming to you live from Newcastle."
00:01:59,00:02:09,"My name is Dan Schreiber. I am sitting here with Anna Tyshinski, Andrew Hunter Murray and James Harkin."
00:02:09,00:02:14,"And once again, we have gathered around the microphones with our four favorite facts from the last seven days."
00:02:14,00:02:21,"And in no particular order, here we go, starting with fact number one. And that is Anna."
00:02:21,00:02:27,My fact this week is that British children have been asked to stop digging holes on beaches.
00:02:27,00:02:31,"After they dug one so big, it had to be filled in with a forklift truck."
00:02:31,00:02:37,They're hard to get rid of. And this is a waste of public resources or this farmer's resources.
00:02:37,00:02:41,"So this was the Coast Guard in Padstow, who had to deal with this one."
00:02:41,00:02:48,It was eight feet deep. That's deep. And nine foot wide.
00:02:48,00:02:54,"That's a source of more of a trap than a harmless activity, isn't it? It is."
00:02:54,00:02:58,"Well, I think I was wondering why I was so wide, because I'd always just make quite narrow holes."
00:02:58,00:03:02,"But if you're going that deep, you have to get people in it to dig it, don't you?"
00:03:02,00:03:05,So I suppose it does need to widen. But that does make it really hard to fill in.
00:03:05,00:03:11,"When it takes ages, they had to call Charlie Watson Smythe from Padstow Farm."
00:03:11,00:03:14,And he popped over and filled it in with his forklift truck.
00:03:14,00:03:18,Have you guys heard of the St Andrews Hole Digging Society?
00:03:18,00:03:23,No. Is it to do with golf? It sounds like it. It's not. It's a beach thing.
00:03:23,00:03:27,"So it's only been going a few years, but I'm sure it'll last for many more."
