start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:19,">> Hello, and welcome to another episode of No Such Thing as a Fish,"
00:00:19,00:00:24,a weekly podcast this week coming to you live from Drury Lane.
00:00:24,00:00:27,>> [APPLAUSE]
00:00:27,00:00:28,>> My name is Dan Schreiber.
00:00:28,00:00:33,"I am sitting here with Anna Tyshinski, Andrew Hunter Murray, and James Harkin."
00:00:33,00:00:37,"And once again, we have gathered round the microphones with our four favorite facts"
00:00:37,00:00:42,"from the last seven days, and in no particular order, here we go."
00:00:42,00:00:45,"Starting with fact number one, and that is Andy."
00:00:45,00:00:50,">> My fact is, as well as the world famous White Cliffs of Dover,"
00:00:50,00:00:54,Britain is home to the world unknown White Cliffs of Croydon.
00:00:54,00:00:59,">> [LAUGH] >> For listeners at home,"
00:00:59,00:01:03,"we're looking at a majestic, huge set of glorious White Cliffs."
00:01:03,00:01:06,">> I mean, in fairness, they are White Cliffs, aren't they?"
00:01:06,00:01:07,There's no doubt about that.
00:01:07,00:01:09,>> Are they White Cliffs or are they a disused quarry?
00:01:09,00:01:10,It doesn't matter.
00:01:10,00:01:11,>> [LAUGH]
00:01:11,00:01:12,">> Right, is that what they are?"
00:01:12,00:01:13,>> They are the White Cliffs of Croydon.
00:01:13,00:01:17,"Yeah, yeah, yeah, this is a bit of, is there anyone in tonight from Croydon?"
00:01:17,00:01:19,">> Yeah, wow."
00:01:19,00:01:19,>> Excellent.
00:01:19,00:01:23,>> Were you familiar with the White Cliffs of Croydon?
00:01:23,00:01:24,">> No, it's mixed results."
00:01:24,00:01:26,>> Croydon doesn't even know.
00:01:26,00:01:28,">> Yeah, we weren't sure if it was a thing, and it turns out Andy,"
00:01:28,00:01:31,"you sort of helped to coin it, I think."
00:01:31,00:01:32,">> Well, I definitely didn't coin it."
00:01:32,00:01:35,"This is in a bit, Croydon is a bit of London, we should say."
00:01:35,00:01:38,"And in Croydon, there is a bit called Riddles Down,"
00:01:38,00:01:40,which is home to a disused truck quarry.
00:01:40,00:01:41,"And if you look at it from the right angle,"
00:01:41,00:01:43,it looks exactly like the White Cliffs of Dover.
00:01:43,00:01:46,">> From, sorry, from a right angle, or from-"
00:01:46,00:01:48,">> From, and if you look at it at right angles."
00:01:48,00:01:50,>> Right. >> Which is the right angle.
00:01:50,00:01:52,">> So this, and in fact, quite a lot of my research,"
00:01:52,00:01:56,"it comes from a new book, which is called Croydonopolis,"
00:01:56,00:01:59,"by Will Noble, and it is fantastic."
00:01:59,00:02:01,I cannot recommend it enough.
00:02:01,00:02:04,"If you only read one book about Croydon this year, make it."
00:02:04,00:02:06,"Croydonopolis, Croydon gets a really bad rap"
00:02:06,00:02:08,for anyone listening overseas.
00:02:08,00:02:09,>> It's a shit hole.
00:02:09,00:02:11,>> Well.
00:02:11,00:02:13,">> But it is, yeah, for international listeners,"
00:02:13,00:02:15,it is the punchline to jokes.
00:02:15,00:02:16,"It's what is that place, you know?"
00:02:16,00:02:18,It's like Francis Belgium.
00:02:18,00:02:18,>> Yeah.
00:02:18,00:02:21,">> So, and famously, just people hate it."
00:02:21,00:02:24,"I think most famously, David Bowie hated it, didn't he?"
00:02:24,00:02:25,>> Definitely.
00:02:25,00:02:27,">> And yeah, sorry, Dan, and you love David Bowie,"
00:02:27,00:02:28,"and you love Croydon, apparently."
00:02:28,00:02:30,">> Yeah, there's, what do I do?"
00:02:30,00:02:31,>> This is painful.
00:02:31,00:02:33,"He said, he literally said Croydon wasn't insult to him."
00:02:33,00:02:38,"He would say it's so fucking Croydon, to mean, well."
00:02:38,00:02:39,He said it's the most derogatory thing
00:02:39,00:02:40,you can say about something.
00:02:40,00:02:43,">> It is, and I try to, I try to look for good stuff"
00:02:43,00:02:46,"in the news about Croydon, and I mean, the headlines"
00:02:46,00:02:49,that come up do not do it any favors.
00:02:49,00:02:52,"One here was, ""Teenager loses finger at Croydon rave,"
00:02:52,00:02:56,"""but continues dancing because the bass was hard."""
00:02:56,00:02:57,>> That's good.
00:02:57,00:02:58,">> That's, yeah, I guess so."
00:02:58,00:03:01,"Yeah, showing, showing, you know, that's something."
00:03:01,00:03:01,>> That's a good news story.
00:03:01,00:03:04,">> How about this one, ""Croydon hospital leaves human teeth"
00:03:04,00:03:07,"""embedded in man's leg after bizarre iPad trampoline incident."""
00:03:07,00:03:09,(laughing)
00:03:09,00:03:11,>> Did you read any more into the article then?
00:03:11,00:03:14,">> No, I thought it was better just leaving that as is."
00:03:14,00:03:16,">> Well, they do, they have a fun palace,"
00:03:16,00:03:17,which has 60 trampolines.
00:03:17,00:03:18,>> Do they?
