start_hhmmss,end_hhmmss,text
00:00:00,00:00:12,[MUSIC]
00:00:12,00:00:18,">> Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:18,00:00:24,a weekly podcast this week coming to you live from Theater Royal Drury Lane.
00:00:24,00:00:32,[APPLAUSE]
00:00:32,00:00:34,My name is Dan Schreiber.
00:00:34,00:00:38,"I'm sitting here with Anna Tyshinski, Andrew Hunter Murray, and James Harkin."
00:00:38,00:00:42,"And once again, we have gathered around the microphones with our four favorite"
00:00:42,00:00:44,facts from the last seven days.
00:00:44,00:00:47,"And in no particular order, here we go."
00:00:47,00:00:51,"Starting with fact number one, and that is Andy."
00:00:51,00:00:53,">> My fact is that the very theater we're recording this show in,"
00:00:53,00:00:59,the Theater Royal Drury Lane was known in 1794 as the Fireproof Theater.
00:00:59,00:01:01,>> [LAUGH]
00:01:01,00:01:02,>> I think you know what's coming.
00:01:02,00:01:06,">> In 1809, it burned down."
00:01:06,00:01:08,>> [LAUGH]
00:01:08,00:01:11,">> Yeah, so that's, but then they built it again."
00:01:11,00:01:13,"That's the brilliant thing about theaters, yeah, yeah."
00:01:13,00:01:16,">> It really is fireproof this time, almost certainly."
00:01:16,00:01:17,">> Yeah, absolutely, yeah, yeah."
00:01:17,00:01:20,"And in fact, I think it's the second, it's burned down twice."
00:01:20,00:01:23,"So there have been four theaters on this, so no, it's not."
00:01:23,00:01:25,>> What was the chances it'll happen a third time?
00:01:25,00:01:27,">> Things don't happen in threes, famously, that's the point."
00:01:27,00:01:31,"So it was built in 1663, no, bad year for"
00:01:31,00:01:35,"people who know a thing or two about big fires in London, 1663."
00:01:35,00:01:37,And then 1666 came along.
00:01:37,00:01:38,>> So it wasn't a bad year.
00:01:38,00:01:40,">> No, that was, yeah."
00:01:40,00:01:41,>> And did they do a warm up?
00:01:41,00:01:42,">> No, okay."
00:01:42,00:01:44,>> They do a rehearsal fire of London three years earlier.
00:01:44,00:01:49,>> My point is that it avoided the great fire of London.
00:01:49,00:01:52,"Then in 1672, it caught up with the curve and it burned down."
00:01:53,00:01:56,"Then it was rebuilt, then it was demolished and rebuilt again,"
00:01:56,00:01:58,"more than a century later, 1794."
00:01:58,00:02:01,"Okay, and that was the one that was supposedly fireproof."
00:02:01,00:02:04,"And it did have amazing systems, like I think they pioneered things like"
00:02:04,00:02:08,"the Iron Curtain, and they had, this is so cool, hydraulics that relied on"
00:02:08,00:02:12,"the river Thames itself, had the water flowed in from the river."
00:02:12,00:02:14,">> That's cool. >> It's awesome, it sounds really cool."
00:02:14,00:02:16,>> And Iron Curtain is where the left-wing people in the audience
00:02:16,00:02:19,"had to go on one side and the right-wing people on the other side, wasn't it?"
00:02:19,00:02:22,">> In fact, sorry, all Iron Curtains until the 1970s were Thames"
00:02:22,00:02:25,"water, so they had- >> Even the ones in Leeds."
00:02:25,00:02:28,">> Oh my God, sorry, I'm being London centric."
00:02:28,00:02:29,">> Wow, that's cool."
00:02:29,00:02:33,">> Anyway, do we know what was, was it like during a production that it burnt down,"
00:02:33,00:02:35,or actually don't know about the 1809 fire?
00:02:35,00:02:39,">> It was usually because they had, the lights were made of actual fire, weren't"
00:02:39,00:02:39,they? >> Yeah.
00:02:39,00:02:41,">> That's the thing, they used lots of candles and things like that."
00:02:41,00:02:42,">> Right, yeah."
00:02:42,00:02:47,">> I think Richard Sheridan was in charge, wasn't he, of Troy Lane at the time."
00:02:47,00:02:50,"And when it was going down, he obviously left the building because it was on fire."
00:02:50,00:02:54,And he sat on the street with a glass of wine in his hand and
00:02:54,00:02:59,"said, a man may surely be allowed to take a glass of wine by his own fire side."
00:02:59,00:03:02,">> Very droll, very droll."
00:03:02,00:03:05,">> Mm-hm, that's, yeah, you don't believe it, Dan?"
00:03:05,00:03:09,">> No, I believe it, I just, I can't tell if that's awesome or if he's a wanker."
00:03:09,00:03:12,"I can't, quite, your building's burning down."
00:03:12,00:03:15,"You're like, let me warm myself over the fire."
00:03:15,00:03:18,"Do you know, by the way, because there's a bunch of pubs that are around here, but"
00:03:18,00:03:21,"there's also that giant Masonic building that's just outside of here, right?"
00:03:21,00:03:25,"So just speaking of sitting in pubs, if you walk past the pub, maybe not tonight,"
00:03:25,00:03:27,"but usually on a lunchtime around Friday,"
00:03:27,00:03:32,you'll see a lot of men who are in black suits with briefcases sitting on the table.
00:03:32,00:03:34,And they are the Masonic people going inside.
00:03:34,00:03:39,"And inside those briefcases, more often than not, there's a wizard's wand."
00:03:39,00:03:40,>> What?
00:03:40,00:03:43,">> Yeah, they still use wizard wands as part of ritual."
00:03:43,00:03:47,"So if you opened up their briefcase, it would be like Harry Potter."
00:03:47,00:03:48,>> What is it?
00:03:48,00:03:49,>> A stick.
00:03:49,00:03:50,>> It's a wand.
00:03:50,00:03:55,">> Yeah, not like a classic magician with the two white ends on the black stick."
00:03:55,00:03:56,">> Oh, so it is just a stick?"
00:03:56,00:04:01,">> No, it's- >> Is it a wand or a stick?"
00:04:01,00:04:04,"If it works, it does anything, it's a wand."
00:04:04,00:04:05,"And if not, it's a stick."
00:04:05,00:04:06,>> So they're all sticks?
00:04:06,00:04:07,>> I think that's what I'm thinking.
00:04:07,00:04:11,">> Sheridan, by the way, who was the owner who was doing the drinking outside,"
00:04:11,00:04:14,he once fought a duel on Henrietta Street down the road.
00:04:14,00:04:19,He'd eloped with a girl who'd been promised by her family to another man.
00:04:19,00:04:21,And this man came back and they decided to have a duel.
00:04:21,00:04:26,And the duel was so bloody that that was the time that the weapon of choice for
00:04:26,00:04:29,"duelists became the pistol, whereas previously it had been swords."
00:04:29,00:04:32,">> What, cuz they just- >> They just cut each other up so much."
00:04:32,00:04:32,>> Really?
00:04:32,00:04:33,">> Yeah, yeah."
00:04:33,00:04:36,">> Wow, that's so weird that in a duel you'd be like, hey,"
00:04:36,00:04:39,"you've gone too far, we're taking your swords away."
