start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[phone rings]
00:00:02,00:00:04,[speaking Japanese]
00:00:04,00:00:10,[music]
00:00:10,00:00:12,Hi everybody!
00:00:12,00:00:14,"Hi Andy, sorry I'm a bit distracted."
00:00:14,00:00:16,I got a pumpkin here
00:00:16,00:00:18,and I just took the top of the pumpkin
00:00:18,00:00:21,and it had loads of strands of what I think might be
00:00:21,00:00:23,fungi or moulds.
00:00:23,00:00:25,"Wow, what a strong distraction."
00:00:25,00:00:27,Let me show you.
00:00:27,00:00:29,"Yeah, let's have a look, we need to evaluate."
00:00:29,00:00:31,"Uh, oh!"
00:00:31,00:00:33,That's so cool!
00:00:33,00:00:35,"Honestly, there's more hair on that pumpkin"
00:00:35,00:00:37,than there is on my actual head at the moment.
00:00:37,00:00:39,That's really foul.
00:00:39,00:00:41,"It does have a quiff, yes."
00:00:41,00:00:43,"Is this going to be a spooky special, Andy,"
00:00:43,00:00:45,because it's the day before Halloween?
00:00:45,00:00:47,"Oh my goodness, yeah I suppose it is actually."
00:00:47,00:00:49,Let's try and make it all a bit spooky.
00:00:49,00:00:51,"Okay, hello!"
00:00:51,00:00:53,"Welcome, when is it going out though?"
00:00:53,00:00:55,"It's going out closer to bonfire night, isn't it?"
00:00:55,00:00:57,So it should really be an anti-parliamentarian special.
00:00:57,00:00:59,"All of mine actually, all of mine"
00:00:59,00:01:02,are subtly imbued with Protestant radical philosophy.
00:01:02,00:01:04,You know that.
00:01:04,00:01:06,"Welcome to Drop Us Aligned, this is our audience feedback show."
00:01:06,00:01:08,It's not just like James complaining about a pumpkin
00:01:08,00:01:11,"and Anna, you know, wanting to thrash the Catholics."
00:01:11,00:01:13,"We've got some cracking stuff in the inbox,"
00:01:13,00:01:16,"because it's been a while, it's very pent up the inbox."
00:01:16,00:01:18,There is a lot of stuff in here.
00:01:18,00:01:20,"Oh, Dan's not here, I don't know where Dan is."
00:01:20,00:01:22,No one does.
00:01:22,00:01:24,"Sunning himself, probably."
00:01:24,00:01:27,Send out a Dan signal if you're hearing this.
00:01:27,00:01:33,But let's start with an email from Johann Scott.
00:01:33,00:01:37,"""I'm Johann,"" he says."
00:01:37,00:01:40,"He didn't really need to say that, because I already knew."
00:01:40,00:01:42,"""A fan of no such thing as a fish,"
00:01:42,00:01:46,"and the current president of the St Andrews Whole Digging Society."""
00:01:46,00:01:49,I was really happy to hear you mention us on your recent podcast
00:01:49,00:01:51,and wanted to express my gratitude.
00:01:51,00:01:53,Isn't that nice?
00:01:53,00:01:56,Did he not invite you to dig some holes with him?
00:01:56,00:01:58,"Do you know he didn't, actually."
00:01:58,00:02:00,"We don't wait every fortnight, unfortunately,"
00:02:00,00:02:03,"but we arrange hole digs depending on university deadlines,"
00:02:03,00:02:05,the weather and the tide.
00:02:05,00:02:07,"We've dug some pretty deep holes ourselves,"
00:02:07,00:02:10,although not quite as deep as the Padstow Hole you referred to.
00:02:10,00:02:12,We dug one that looked like a trench in September.
00:02:12,00:02:14,"I think if it looks like a trench, it is a trench."
00:02:14,00:02:18,That was perhaps around six feet deep and 12 feet long.
00:02:18,00:02:20,That's a trench.
00:02:20,00:02:24,"They did dig some fake trenches on the beaches, didn't they,"
00:02:24,00:02:27,"during World War I think so, in the UK,"
00:02:27,00:02:30,so that soldiers could get an idea of what the trenches would be like.
00:02:30,00:02:31,"Oh, that's good."
00:02:31,00:02:32,"Oh, what to practice?"
00:02:32,00:02:33,I think so.
00:02:33,00:02:34,Really?
00:02:34,00:02:36,"Yes, I think you're right. I think they did."
00:02:36,00:02:40,"There was a mining university, which had a fake mine in it."
00:02:40,00:02:41,"Yes, in Birmingham."
00:02:41,00:02:43,Loads of underground tunnels.
00:02:43,00:02:47,"I was reading the reminiscences of a World War II German soldier,"
00:02:47,00:02:50,"actually, who was, oh no, it was an Australian guy who said"
00:02:50,00:02:53,they spent all of their military training holding brimsticks instead of guns
00:02:53,00:02:56,"because the guns didn't arrive until the day that they had to leave,"
00:02:56,00:02:59,"which I don't think counts as machine, as gun training."
00:02:59,00:03:01,That's amazing.
00:03:01,00:03:03,So they were playing Quidditch.
00:03:03,00:03:05,"Yes, exactly."
00:03:05,00:03:08,"All at war, putting the gun between their legs."
00:03:08,00:03:10,That's funny.
00:03:10,00:03:14,"Johann, I think, I don't want to speak on Andy's behalf,"
00:03:14,00:03:17,but I think he would be keen to come up and dig some holes.
00:03:17,00:03:18,"Yeah, I think I would actually."
00:03:18,00:03:20,It might be a big barrier to entry.
00:03:20,00:03:21,"No, no, no, there's no barrier to entry,"
00:03:21,00:03:24,"and that brings me on to our next email from Charlie Mone,"
00:03:24,00:03:30,"who says, ""Hi, I'm the founder of the St Andrews Hole Digging Society."""
00:03:30,00:03:32,"So Johann is the president, Charlie is the founder."
00:03:32,00:03:36,Don't listen to this Johann guy who's probably emailing you.
00:03:36,00:03:38,"He said, ""It's really cool that you mentioned us."""
00:03:38,00:03:40,"He said he wanted to clear up a misconception,"
00:03:40,00:03:43,"contrary to popular belief, it isn't exclusively a men's club."
00:03:43,00:03:46,"I can't remember. I don't think, do we say that?"
00:03:46,00:03:49,"No, but it's so commonly accepted worldwide"
00:03:49,00:03:52,"that the St Andrews Hole Digging Society is mostly male,"
00:03:52,00:03:54,but I think it's good that we've cleared that up for the public.
00:03:54,00:03:56,"Well, Charlie says, in fact, in fact, we found"
00:03:56,00:03:58,"the majority of our attendees are usually women,"
00:03:58,00:04:01,and the activity of hole digging has strongly resonated
00:04:01,00:04:04,with the trans and non-binary members of the St Andrews student community.
00:04:04,00:04:07,"So there you go, they're very welcoming, all welcomed."
00:04:07,00:04:09,You just have to like digging big holes.
00:04:09,00:04:11,That really is the only criteria.
00:04:11,00:04:14,"Yeah, I think we did imply that it might be middle-aged men"
00:04:14,00:04:17,"going out, leaving their wives and digging some holes."
00:04:17,00:04:19,So that might be on us.
00:04:19,00:04:21,"I know you're right. Charlie says, ""It's wonderful you mentioned us,"
00:04:21,00:04:23,"but I want to clarify, it's important for everyone to feel"
00:04:23,00:04:26,"like they would be welcome to come to our digging sessions."""
00:04:26,00:04:27,Excellent.
00:04:27,00:04:29,So you just have to be a sad act.
00:04:29,00:04:31,That's all that's the only criteria of entry
00:04:31,00:04:34,of any demographic at all.
00:04:34,00:04:36,"Yeah. Oh, here's a thanks but no thanks."
00:04:36,00:04:38,"We've got a few of these this week, actually."
00:04:38,00:04:40,I'm going to scatter them through.
00:04:40,00:04:44,"Charlie Wolfe, great name, says,"
00:04:44,00:04:47,"""I was wondering if you guys, Brackets James and Deanna Dan,"
00:04:47,00:04:51,"yes, obviously, will be willing to do a podcast"
00:04:51,00:04:54,"or mini show called Small Inventions, Big Impact,"
00:04:54,00:04:56,where you discuss smaller inventions that change the world
00:04:56,00:04:58,like the license plate or traffic lights.
00:04:58,00:05:00,"I thought with how often you talk about interesting inventions,"
00:05:00,00:05:02,"you might find this idea interesting."""
00:05:02,00:05:06,"Yeah, I think it's the kind of thing that does come up just,"
00:05:06,00:05:09,"you know, ad hoc, as in we will talk about something"
00:05:09,00:05:12,and then explain why it's such a big deal.
00:05:12,00:05:15,"So things like ferns, do you remember?"
00:05:15,00:05:19,We talked about the fern craze and how that impacted the world
00:05:19,00:05:21,"and barbed wire, how that impacted the world."
00:05:21,00:05:23,"I mean, we should say, we didn't claim that someone"
00:05:23,00:05:26,invented the fern in the 19th century.
00:05:26,00:05:27,"No, but the Wardian case."
00:05:27,00:05:28,The Wardian case.
00:05:28,00:05:30,"Yeah, that allowed them to be transported"
00:05:30,00:05:32,"and revolutionized, basically, plant growing around the world,"
00:05:32,00:05:34,because suddenly you could get a plant from one place
00:05:34,00:05:35,to several thousand miles away.
00:05:35,00:05:36,Yeah.
00:05:36,00:05:37,Yeah.
00:05:37,00:05:38,"Well, that's a great idea."
00:05:38,00:05:40,Doesn't a small invention become a big invention
00:05:40,00:05:41,when it has a big impact?
00:05:41,00:05:44,"I'm not sure how you'd set out the criteria in that show,"
00:05:44,00:05:47,"because it would be like, well, it's not size-wise, is it?"
00:05:47,00:05:48,"No, you're absolutely right."
00:05:48,00:05:50,"And as soon as it has a big impact, that's a big invention."
00:05:50,00:05:54,"Yeah, so for that reason, Dylan, thanks, but no thanks."
00:05:54,00:05:57,"Can I also have a voice, a quick bugbear I have about this?"
00:05:57,00:05:59,And I've always thought this when people say something
00:05:59,00:06:00,changes the world.
00:06:00,00:06:03,"Again, everything changes the world, doesn't it?"
00:06:03,00:06:06,What a fusspot point to make.
00:06:06,00:06:09,"I'm sorry, but so for instance, we just said the Wardian cage,"
00:06:09,00:06:11,and we'd be claiming it changed the world.
00:06:11,00:06:14,It's sort of changed plant growing on the edges.
00:06:14,00:06:16,So I think it's going to be so hard to put up that barrier.
00:06:16,00:06:19,"I mean, if I nudge this mug a little bit forward,"
00:06:19,00:06:21,"like I have just done there, I've changed the world."
00:06:21,00:06:24,"Yeah, but it's not as interesting as inventing the license plate"
00:06:24,00:06:25,by a long way.
00:06:25,00:06:27,"Anna, honestly, given the stick you've got coming up from the audience,"
00:06:27,00:06:29,I would be trying to placate them at this point
00:06:29,00:06:31,rather than aggravate them further.
00:06:31,00:06:35,That's a great idea.
00:06:35,00:06:37,Here's one from Joshua Davidson.
00:06:37,00:06:40,"Normal name, so it must be a pretty good email."
00:06:40,00:06:41,"Hi, guys."
00:06:41,00:06:43,Aussie listener since 2016.
00:06:43,00:06:45,We're getting a lot from Australia and New Zealand
00:06:45,00:06:47,because we are about to go to Auss and NZ.
00:06:47,00:06:51,And I think the listenership there are getting excited for our visit.
00:06:51,00:06:55,"We're literally going, you're going in like two days."
00:06:55,00:06:56,"Yeah, yeah, yeah."
00:06:56,00:06:58,There's real buzz in the inbox.
00:06:58,00:07:00,It's really cool.
00:07:00,00:07:03,"Aussie listener since 2016, recent clubfish member."
00:07:03,00:07:05,"I'm sure I'm not the only person to message him with this,"
00:07:05,00:07:08,"but on this week's episode of Meet the Elves,"
00:07:08,00:07:11,"so this is an entirely in-clubfish transaction we're doing here,"
00:07:11,00:07:13,"and he mentioned the phrase getting off at Gateshead,"
00:07:13,00:07:17,"and he mentioned that Gateshead was close to Newcastle, UK,"
00:07:17,00:07:21,"moments after Anna had mentioned that Newcastle, New South Wales"
00:07:21,00:07:23,is the biggest coal exporter in the world.
00:07:23,00:07:25,"I live in Newcastle, New South Wales,"
00:07:25,00:07:27,and thought you would like to know there is also a suburb
00:07:27,00:07:30,"in Newcastle, New South Wales called Gateshead."
00:07:30,00:07:31,Brilliant.
00:07:31,00:07:32,There you go.
00:07:32,00:07:34,That's fantastic information.
00:07:34,00:07:35,They're the same place.
00:07:35,00:07:36,Yeah.
00:07:36,00:07:39,"Oh, and we had another listener who was from Newcastle in the USA,"
00:07:39,00:07:40,which also has loads of coal.
00:07:40,00:07:41,Really?
00:07:41,00:07:42,"If it's called Newcastle, it's got coal."
00:07:42,00:07:43,"Yeah, basically."
00:07:43,00:07:46,Is it the fact that probably they found there was loads of coal there
00:07:46,00:07:48,and what does that remind us of?
00:07:48,00:07:49,Yes.
00:07:49,00:07:50,The US one is that.
00:07:50,00:07:52,"It was called something else, and then they found all this coal,"
00:07:52,00:07:54,"and they said, ""Oh, let's call it Newcastle."""
00:07:54,00:07:56,"Oh, well, the Australian one is also that."
00:07:56,00:07:57,So there you go.
00:07:57,00:07:58,Yeah.
00:07:58,00:07:59,"Oh, great."
00:07:59,00:08:00,Okay.
00:08:00,00:08:02,"Well, Josh Brits in a PS."
00:08:02,00:08:05,"""I would love to petition to get the four of you on Taskmaster."
00:08:05,00:08:08,"""I think it would be hilarious and expose many more personal secrets"
00:08:08,00:08:09,"""of Andy's life."""
00:08:09,00:08:11,I don't know what he means about that.
00:08:11,00:08:13,"Well, they ask us every season, don't they?"
00:08:13,00:08:15,And we always say no.
00:08:15,00:08:16,So integrity.
00:08:16,00:08:17,"Beggars, yeah."
00:08:17,00:08:19,"""Who would you choose from amongst the QI team"
00:08:19,00:08:21,"""to be the fifth contestant?"""
00:08:21,00:08:23,"James, you watched Taskmaster religiously."
00:08:23,00:08:26,"Yeah, well, I did the Taskmaster live experience,"
00:08:26,00:08:28,"which I did win, of course,"
00:08:28,00:08:32,"but I was playing mostly against my nieces who were all teenagers,"
00:08:32,00:08:34,but I ground them into the floor.
00:08:34,00:08:36,I actually smashed them.
00:08:36,00:08:39,The thing is about Taskmaster is it's like QI.
00:08:39,00:08:41,You're not really supposed to win QI.
00:08:41,00:08:45,You're supposed to be amusing and whimsical and stuff.
00:08:45,00:08:49,So you really want someone who's really got that whimsy about them.
00:08:49,00:08:51,"""Who was on the last meet the elves? Was it Rawson?"""
00:08:51,00:08:52,Yeah.
00:08:52,00:08:53,He'd be good.
00:08:53,00:08:54,Rawson would be good.
00:08:54,00:08:55,Let's get it.
00:08:55,00:08:58,It sounded just like he was the last person you could remember.
00:08:58,00:09:01,"Like, ""Who was that guy last week from the elves?"""
00:09:01,00:09:03,"Yeah, let's take him."
00:09:03,00:09:05,"No, Rawson would be good."
00:09:05,00:09:06,They all be good.
00:09:06,00:09:10,You don't get to be a QI researcher without some kind of sideways thinking.
00:09:10,00:09:11,That's true.
00:09:11,00:09:14,I think Alex Bell would probably build the most weird machines
00:09:14,00:09:17,as part of the Taskmaster ring.
00:09:17,00:09:19,"I think the truth is that we would love to go on Taskmaster,"
00:09:19,00:09:22,but so would every single other comedian in the entire country.
00:09:22,00:09:23,Yeah.
00:09:23,00:09:25,We're probably quite far down the list.
00:09:25,00:09:26,Yeah.
00:09:26,00:09:29,So thanks for reminding us where we stand in the pecking order.
00:09:29,00:09:32,Let's have another email.
00:09:32,00:09:34,This is quite a good one from Liz Harrison.
00:09:34,00:09:36,I was just clatching up on some club fish.
00:09:36,00:09:39,"I'm listening to June 2024's Drop As A Line,"
00:09:39,00:09:43,where you ask for people who listen in unusual places to get in touch.
00:09:43,00:09:45,I haven't heard this subsequently mentioned.
00:09:45,00:09:48,"I think because no one said anything interesting, unfortunately."
00:09:48,00:09:52,But I wanted to drop in my two peneth and let you know
00:09:52,00:09:54,"that between November and April each year,"
00:09:54,00:09:56,"I listened from the second most remote island in the world,"
00:09:56,00:09:58,St Helena in the South Atlantic.
