start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:07,"- Hey everyone, welcome to this week's episode of Fish."
00:00:07,00:00:10,This one comes to you from the State Theater in Sydney.
00:00:10,00:00:12,It's part of our massive Aussie and New Zealand tour
00:00:12,00:00:13,that we just finished.
00:00:13,00:00:15,We had an absolutely incredible time
00:00:15,00:00:18,"while we were down there, as we did in the UK."
00:00:18,00:00:21,But the tour down under had one extra special element
00:00:21,00:00:22,"that we didn't quite manage for the UK,"
00:00:22,00:00:25,which was we had merch.
00:00:25,00:00:28,We had awesome Thundernerd t-shirts to go
00:00:28,00:00:29,with the title of our show.
00:00:29,00:00:31,We had Thundernerd beanies.
00:00:31,00:00:32,We were selling our ultimate guide
00:00:32,00:00:34,and no such thing as a fish tour book.
00:00:34,00:00:36,"Which by the way, if you haven't got,"
00:00:36,00:00:37,you really need to get your hands on.
00:00:37,00:00:40,It's got everything from a spread on Moss by Andy
00:00:40,00:00:42,and his only day on Twitter.
00:00:42,00:00:44,There's timelines of everything that we've done.
00:00:44,00:00:47,We've got bios on every guest who's been on there.
00:00:47,00:00:48,There's a lot of behind the scenes.
00:00:48,00:00:50,"In fact, there's a bunch of QR codes"
00:00:50,00:00:51,all throughout the book as well
00:00:51,00:00:54,that has secret videos that we've never published anywhere.
00:00:54,00:00:56,And audio commentary from us.
00:00:56,00:00:58,So it's sort of a mini episode
00:00:58,00:00:59,within the pages of the book.
00:00:59,00:01:01,"Anyway, along with some pin badges,"
00:01:01,00:01:03,all of that is available on our website.
00:01:03,00:01:08,Go to nosuchthingasafish.com/store.
00:01:08,00:01:09,"And if you get in there quick enough,"
00:01:09,00:01:12,you're gonna be able to buy some of that swag
00:01:12,00:01:14,just in time for Christmas.
00:01:14,00:01:15,"Now, if you're an Aussie in New Zealand"
00:01:15,00:01:17,"are listening to this right now and thinking,"
00:01:17,00:01:19,"damn it, I didn't pick up anything at the gigs"
00:01:19,00:01:22,and now we've gotta buy it back from over in the UK.
00:01:22,00:01:23,"Don't worry, we've got you covered."
00:01:23,00:01:26,Just head to the website and you will find a link there
00:01:26,00:01:28,that is specifically for you Antipodians
00:01:28,00:01:30,so that you can deal with it more locally.
00:01:30,00:01:32,"Now, if you're looking for a good book"
00:01:32,00:01:34,"to read over the Christmas period,"
