start_hhmmss,end_hhmmss,text
00:00:00,00:00:10,[MUSIC]
00:00:10,00:00:15,"Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:15,00:00:19,a weekly podcast this week coming to you live from Brisbane.
00:00:19,00:00:24,>> [APPLAUSE]
00:00:24,00:00:26,>> My name is Dan Shriver.
00:00:26,00:00:31,"I'm sitting here with Anna Tushinsky, Andrew Hunter Murray, and James Harkin."
00:00:31,00:00:35,"And once again, we have gathered around the microphones with our four favorite"
00:00:35,00:00:40,"facts from the last seven days and in no particular order, here we go."
00:00:40,00:00:43,"Starting with fact number one, and that is my fact."
00:00:43,00:00:50,My fact this week is that Christmas is a very dangerous time for German penises.
00:00:50,00:00:52,>> [LAUGH]
00:00:52,00:00:56,>> This is a little study that was released last year where
00:00:56,00:01:00,German scientists were looking into the rate of hospital visits
00:01:00,00:01:04,"whereby someone has walked in and said, I think I've snapped my penis."
00:01:04,00:01:05,>> Snapped?
00:01:05,00:01:07,>> You hear a crack when it happens.
00:01:07,00:01:08,">> No, too much."
00:01:08,00:01:10,">> Well, that's what we're talking about unfortunately."
00:01:10,00:01:11,>> Merry Christmas.
00:01:11,00:01:14,>> Is this going to be our Christmas special?
00:01:14,00:01:17,">> Yeah, I think, yeah, a Christmas special and"
00:01:17,00:01:20,a sort of health and safety message.
00:01:20,00:01:20,>> Public service.
00:01:20,00:01:22,">> Yeah, so."
00:01:22,00:01:26,">> So actually, okay, to say that, that would happen if people are having sex, right?"
00:01:26,00:01:28,So are we saying that more people are having sex and
00:01:28,00:01:29,that's why they're injuring themselves?
00:01:29,00:01:30,">> Exactly, they're in party mode."
00:01:30,00:01:31,>> I see.
00:01:31,00:01:34,>> And so a lot more sex happens in that period.
00:01:34,00:01:38,"It says the injury tends to occur during wild sex,"
00:01:38,00:01:43,particularly in positions where you're not in direct eye contact.
00:01:43,00:01:47,>> [LAUGH]
00:01:47,00:01:48,">> I'll always maintain eye contact, though."
00:01:48,00:01:50,>> [LAUGH]
00:01:50,00:01:53,">> There's no such, I don't think there is such a position, is there?"
00:01:53,00:01:54,We're not in direct eye contact.
00:01:54,00:01:55,>> [LAUGH]
00:01:55,00:01:57,>> Not in my order.
00:01:57,00:02:01,>> [LAUGH]
00:02:01,00:02:03,">> And by the way, Australia, you think you're getting off lightly."
00:02:03,00:02:06,"It's also a dangerous time for Australian penises, so be careful."
00:02:06,00:02:10,"There was a Queensland doctor who said the cases had spiked by sort of 20,"
00:02:10,00:02:12,"I think, no, 50%, I think it was."
00:02:12,00:02:13,">> Wow, in that period?"
00:02:13,00:02:14,">> Yeah, yeah, yeah."
00:02:14,00:02:15,>> Wow.
00:02:15,00:02:18,>> It settles down about New Year's time in Germany for German penises.
00:02:18,00:02:22,There's less sex at the New Year period.
00:02:22,00:02:25,So it sort of calms down by the end of the year.
00:02:25,00:02:30,"But yeah, it's apparently when people go in with this injury,"
00:02:30,00:02:37,"it's quite a sight, the term color of an aubergine is often used."
00:02:37,00:02:39,>> My God.
00:02:39,00:02:39,>> Yeah.
00:02:39,00:02:41,>> I am never using that emoji ever again.
00:02:41,00:02:43,>> [LAUGH]
00:02:43,00:02:48,>> And it apparently remained consistent during the COVID-19 pandemic.
00:02:48,00:02:51,">> Right. >> Yeah, so that didn't dent it at all in that period."
00:02:51,00:02:53,">> No, it snapped it, I really forgot."
00:02:53,00:02:55,>> [LAUGH]
00:02:55,00:02:55,>> Yeah.
00:02:55,00:03:00,">> That's why, because that's not the most dangerous phenomenon for penises."
00:03:00,00:03:00,>> What do you mean?
00:03:00,00:03:01,>> Which I thought it might be.
00:03:01,00:03:05,"Well, the thing that causes most penis injuries, most penis hospital visits,"
00:03:05,00:03:06,probably guessable.
00:03:06,00:03:08,>> Vacuum cleaners.
00:03:08,00:03:08,>> Okay.
00:03:08,00:03:10,>> [LAUGH]
00:03:10,00:03:11,">> Yeah, yeah."
00:03:11,00:03:14,>> I knew I was gonna overshare as soon as I opened my mouth then.
00:03:14,00:03:16,">> Yeah, you should have waited a split second for"
00:03:16,00:03:19,that chap in the audience to interrupt you with the correct answer.
00:03:19,00:03:22,"Because I think you just said flies, and it is flies."
00:03:22,00:03:27,">> I thought you said wives, and I thought, [LAUGH]"
00:03:27,00:03:29,>> Girlfriends can do it too.
00:03:29,00:03:30,">> Flies, of course."
00:03:30,00:03:33,">> Zippers, yeah, people getting zipped up in them."
00:03:33,00:03:37,"Accounts for not 0.5% of ER visits altogether, which I think is quite high."
00:03:37,00:03:38,>> That is quite a lot.
00:03:38,00:03:42,">> One in 200, mostly children or younger teenagers."
00:03:42,00:03:45,"When you're not quite, you haven't learned yet that it's there."
00:03:45,00:03:46,>> [LAUGH]
00:03:46,00:03:47,>> It takes a few years.
00:03:47,00:03:49,">> Yes, yeah, yeah."
00:03:49,00:03:52,">> In 13th century England, Christmas was a very dangerous time for"
00:03:52,00:03:58,"testicles if you were a person who made money, if you were working in the mint."
00:03:58,00:04:03,Because the penalty for debasing coinage was cutting off the money as right hand
00:04:03,00:04:08,"and right testicle, and nailing it to the door of the smithy."
00:04:08,00:04:10,And then- >> Wait a second.
00:04:10,00:04:12,These coins are all made of chocolate.
00:04:12,00:04:14,>> [LAUGH]
00:04:14,00:04:18,">> Yeah, because in 1125, on Christmas Day, Henry I got all of the"
