start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,[Music]
00:00:02,00:00:07,"Hi everyone, happy new year. Welcome to 2025."
00:00:07,00:00:11,"It's a square number, so it's going to be a great year, I am sure."
00:00:11,00:00:13,Why am I here speaking to you today?
00:00:13,00:00:17,"Well, it is because we have a slightly different show today."
00:00:17,00:00:21,It's a normal show. It was one that we filmed live in Wellington.
00:00:21,00:00:27,"But unfortunately, on the day of this show, Andrew Hunter Murray was unexpectedly called back to the UK."
00:00:27,00:00:34,"He had to leave, and so to save the day in his place came Leon Buttons-Kirkbeck."
00:00:34,00:00:38,"Now, some of you will have heard that name and got very excited."
00:00:38,00:00:43,"A lot of you might not know it, but he is one of the three members of another podcast"
00:00:43,00:00:51,"called The Cryptid Factor, with himself, Rhys Darby, and some little-known guy called Daniel Schreiber."
00:00:51,00:00:55,Those of you who have heard that will know that he's absolutely brilliant as he was on our show.
00:00:55,00:00:58,"And those of you who haven't heard it, well, why not?"
00:00:58,00:01:01,"Once you've listened to this show, why not go to your podcast provider of choice"
00:01:01,00:01:05,and search for The Cryptid Factor and listen to their show?
00:01:05,00:01:07,"Anyway, not much more to say, apart from hope."
00:01:07,00:01:09,All is going well for you in January.
00:01:09,00:01:13,"I'm recording this in December, so goodness does what's happened since then."
00:01:13,00:01:14,On with the podcast!
00:01:14,00:01:17,[Music]
00:01:17,00:01:20,[Music]
00:01:20,00:01:27,[Music]
00:01:27,00:01:32,"Hello, and welcome to another episode!"
00:01:32,00:01:36,"My Such Thing is a Fish, a weekly podcast."
00:01:36,00:01:40,"This week, coming to you all for a living time!"
00:01:40,00:01:44,[Applause]
00:01:44,00:01:46,My name is Dan Schreiber.
00:01:46,00:01:52,"I am sitting here with Anna Tyshinski, James Harkin, and Leon Buttenskirk back."
00:01:52,00:01:57,"And once again, we have gathered round the microphones with our four favorite facts from the last seven days."
00:01:57,00:02:00,"And in no particular order, here we go."
00:02:00,00:02:04,"Starting with fact number one, and that is buttons."
00:02:04,00:02:10,My fact this week is the fact that the world's longest conductor's baton
00:02:10,00:02:15,is actually more than three times longer than Friedrich Chopin.
00:02:15,00:02:17,Mmm!
00:02:17,00:02:20,Stacked up. Stacked.
00:02:20,00:02:22,The height of him times three.
00:02:22,00:02:25,That is amazing. Did he ever use this baton?
00:02:25,00:02:26,Because that would be awesome.
00:02:26,00:02:29,"No, it wasn't actually Chopin didn't actually own this."
00:02:29,00:02:30,That would have been quite amazing.
00:02:30,00:02:33,"And was he tiny? Was Chopin, was he a borrower?"
00:02:33,00:02:36,"No, he was 170 centimeters."
00:02:36,00:02:42,And so that makes the world's longest baton 20 foot long.
00:02:42,00:02:46,Wow. Is there a useful reason for having such a big baton?
00:02:46,00:02:48,Careful.
00:02:48,00:02:51,Or is it just someone trying to break a record?
00:02:51,00:02:52,Or what is the reason?
00:02:52,00:02:56,"Well, it is ego is the reason largely."
00:02:56,00:03:03,"It is a record. It was a record set by Brown University band in Provinc, Rhode Island."
00:03:03,00:03:05,And it happened just this year.
00:03:05,00:03:12,And it actually happened as a form of competition to another band that was in Penn State.
00:03:12,00:03:15,"And they had one that was 15 foot long and they thought,"
00:03:15,00:03:18,"""What are we going to do that's going to really break the regos?"""
00:03:18,00:03:21,"And it was like, ""Make a bigger baton!"""
00:03:21,00:03:22,So there went five more foot.
00:03:22,00:03:23,Yeah. And they won.
00:03:23,00:03:28,"But well, they had a first attempt which was they managed to get a 16 foot baton."
00:03:28,00:03:32,But it was disqualified because the handle was too skinny.
00:03:32,00:03:34,So that didn't count as a baton.
00:03:34,00:03:40,There were so many interesting rules that needed to be adhered by in order for this record to happen.
00:03:40,00:03:43,"So if you were shifting the baton to conduct the audience,"
00:03:43,00:03:47,you weren't allowed it to sort of like bend up and down.
00:03:47,00:03:47,It needed to stay.
00:03:47,00:03:54,So the guy conducting had to like slowly bring it across while the Guinness World Records officiators stared at it.
00:03:54,00:03:56,"So it wasn't allowed to be like, ""You couldn't pull the bolt with it?"""
00:03:56,00:03:57,You couldn't.
00:03:57,00:03:57,No.
00:03:57,00:03:59,It's like the opposite of a pull the bolt.
00:03:59,00:04:01,Yeah. It had to be straight.
00:04:01,00:04:04,And they conducted three songs with the baton.
00:04:04,00:04:07,And so that's what set the record.
00:04:07,00:04:11,But it is interesting because we tried to break a Guinness World Record recently on stage.
00:04:11,00:04:13,"Oh, yeah. Those rules are tough."
00:04:13,00:04:14,They're really tough.
00:04:14,00:04:15,What was it? We had to eat...
00:04:15,00:04:18,We had to eat as many cheese slices.
00:04:18,00:04:21,"You know, like that plastic cheese you put on burgers."
00:04:21,00:04:21,Yeah.
00:04:21,00:04:26,But the rule was that you had to take the plastic off as well.
00:04:26,00:04:28,And it just meant that it was impossible.
00:04:28,00:04:28,Because...
00:04:28,00:04:30,Yeah. And we had one minute to do it.
00:04:30,00:04:32,We had to eat 15 in one minute.
00:04:32,00:04:33,What?
00:04:33,00:04:35,And you're not allowed to drink water in between.
00:04:35,00:04:36,And I trained with water.
00:04:36,00:04:37,It's the only way I could do it.
00:04:37,00:04:37,You didn't...
00:04:37,00:04:41,"If you trained for that, then I'm worried about a sheep."
00:04:41,00:04:42,You ate about a quarter of a slice.
00:04:42,00:04:43,I know.
00:04:43,00:04:44,"Yeah, I know."
00:04:44,00:04:46,Because they didn't let me drink water.
00:04:46,00:04:48,I got stuck on stage and it was horrible.
00:04:48,00:04:50,So we didn't get a Guinness World Record.
00:04:50,00:04:54,"Interesting fact though, you got New Zealand a Guinness World Record the other day, didn't you?"
00:04:54,00:04:55,Stop it.
00:04:55,00:05:01,"Okay, I helped get a world record with the Hacker, the world's largest Hacker."
00:05:01,00:05:05,We took it from the slimy French.
00:05:05,00:05:05,The French.
00:05:05,00:05:06,Did you know that?
00:05:06,00:05:06,The French.
00:05:06,00:05:08,Why are the French huckering?
00:05:08,00:05:08,Exactly.
00:05:08,00:05:11,That feels culturally inappropriate to start off with.
00:05:11,00:05:12,I know.
00:05:12,00:05:19,"And funnily enough, the people who, the Guinness World Record Officiators actually acknowledged that."
00:05:19,00:05:21,But they didn't rescind the record.
00:05:21,00:05:23,"But they said, ""You're welcome to break it."""
00:05:23,00:05:26,"But of course, then the rules were a lot harder."
00:05:26,00:05:27,They came down real hard.
00:05:27,00:05:29,But we did it and we took it back.
00:05:29,00:05:30,And so it is now officially ours.
00:05:30,00:05:36,"And I'd like to see another country go, ""No, we're going to take it back off."""
00:05:36,00:05:37,The balls in that country.
00:05:37,00:05:39,That would be...
00:05:39,00:05:39,Not going to happen.
00:05:39,00:05:46,I'm not saying that people who are just doing these things to break records have something else missing in their lives.
00:05:46,00:05:48,Or I...
00:05:48,00:05:53,But I am saying that you don't see the Berlin Philharmonic or the London Symphony Orchestra competing over who's got the longest.
00:05:53,00:05:54,Buton.
00:05:54,00:05:57,And it doesn't sound like it's that useful.
00:05:57,00:06:01,Maybe they should because not as many people are going to classical concerts.
00:06:01,00:06:03,Do you think this is what would turn it around?
00:06:03,00:06:06,It would make me want to go.
00:06:06,00:06:08,You couldn't have anyone sitting in the front ten rows.
00:06:08,00:06:14,I hadn't realised quite how late the conductor came about as a position in an orchestra.
00:06:14,00:06:18,"Or the conductor, as we know it, as in someone who faces the orchestra."
00:06:18,00:06:26,"And with their right hand keeps the beat and with their left hand does things like bring new instruments in, inject emotion into it, things like that."
00:06:26,00:06:32,But that's relatively modern and actually composers used to do so much more than they do today.
00:06:32,00:06:42,"So in the 16th or 18th centuries, composers would also usually be playing the harpsichord piano in their pieces while performing and they would be conducting."
00:06:42,00:06:48,And it's weird this lasted at least 200 years and I don't know how it was effective because obviously often to play the piano you need two hands.
00:06:48,00:06:54,Or in the article I read it said to play the harpsichord well you do need two hands.
00:06:54,00:06:56,It's a very low bar.
00:06:56,00:06:59,So they'd have to nod their heads vigorously conducting the orchestra.
00:06:59,00:07:04,It's amazing. Sometimes it would be the violinist as well like the first violinist would do it with their bow.
00:07:04,00:07:08,"But again, it seems difficult because how do you play while you're waving the bow around?"
00:07:08,00:07:10,"I don't get it. Yeah, that was so weird."
00:07:10,00:07:12,But do we need it? Do we need the baton?
00:07:12,00:07:14,"Oh, don't start, Dan. Oh my God."
00:07:14,00:07:22,"So on the show a little while ago, Dan did say that people who are in orchestras shouldn't need sheet music."
00:07:22,00:07:26,Because Bruce Springsteen's band don't need sheet music.
00:07:26,00:07:33,All I was saying was there was an orchestra incident where the composer got angry with what was going on and took all the sheet music away.
00:07:33,00:07:37,And then the concert had to be cancelled because no one knew the songs.
00:07:37,00:07:43,"And I just thought, well, I mean, learn them? And I know it's controversial."
00:07:43,00:07:47,I've had a lot of bassoonists write to me and threaten my life and children's lives.
00:07:47,00:07:49,As you should.
00:07:49,00:07:55,But there has been an example where we have seen conducting happening without a baton or even the movement of hands.
00:07:55,00:07:57,And that was Leonard Bernstein.
00:07:57,00:08:00,There was that movie Maestro that was made not too long ago about him.
00:08:00,00:08:07,There's a very great video that you can watch online of him conducting an orchestra simply with the movement of his eyebrows.
00:08:07,00:08:09,And it's amazing.
00:08:09,00:08:11,"So he's just saying, it's a do-do-do-do-do."
00:08:11,00:08:15,"And it's just like, you know, a little, and then his eyes poke that way."
00:08:15,00:08:20,And it's not that song. That's the one that came to mind.
00:08:20,00:08:23,Dirty had his arms unbutated.
00:08:23,00:08:29,He wanted to show the power of when the synergy of an orchestra is so great that you can simply rely on looks and impressions.
00:08:29,00:08:31,Interesting.
00:08:31,00:08:35,There was a time in Soviet Russia where they did away with the conductors.
00:08:35,00:08:37,In what sense did away with?
00:08:37,00:08:42,They went a bit too close to those windows.
00:08:42,00:08:49,"Now, the idea was in a non-hierarchical communist society where everyone's equal."
00:08:49,00:08:53,"You don't need one person at the front who's, like, lording it over everyone else."
00:08:53,00:08:55,And for quite a while they did do that.
00:08:55,00:09:01,"And actually, in the '70s, Andre Previn in the UK, he did the same thing."
00:09:01,00:09:05,"He did a TV show where he said, OK, I'm conducting and now I'm going to stop."
00:09:05,00:09:09,"And they thought, everyone thought, oh, everything's just going to go to shit as soon as he leaves."
00:09:09,00:09:11,"But actually, it was kind of fine."
00:09:11,00:09:13,It's like when countries don't have governments.
00:09:13,00:09:15,"You know, Ireland and Northern Ireland didn't have a government for about three years."
00:09:15,00:09:18,"And everyone always goes, huh, didn't realize."
00:09:18,00:09:19,Yeah.
00:09:19,00:09:23,"We were talking earlier about, is there an importance to the length of a baton?"
00:09:23,00:09:27,And some conductors have a preference for the size.
00:09:27,00:09:29,They have a preference for the shape.
00:09:29,00:09:32,Some of them have lucky batons because they had an amazing experience.
00:09:32,00:09:34,So they become superstitious about it.
00:09:34,00:09:37,So it almost becomes like a wizard's wand in a way to them.
00:09:37,00:09:40,"They sort of feel that there's power embodied in it, right?"
00:09:40,00:09:45,"Fritz Reiner, who was a 20th century Hungarian conductor, he used one that was so small."
00:09:45,00:09:52,It was such a tiny baton that one musician at the back brought a pair of binoculars along to mock him
00:09:52,00:09:54,to show that he needed to do that to see him.
00:09:54,00:09:58,Fritz Reiner saw that and then replied when he was using the binoculars
00:09:58,00:10:01,"by lifting up a piece of paper that read, ""You're fired."""
00:10:01,00:10:02,[LAUGHTER]
00:10:02,00:10:04,Britain really small.
00:10:04,00:10:06,That's so funny.
