start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:05,"- Hi everyone, welcome to this week's show"
00:00:05,00:00:08,which was recorded live in the wonderful city
00:00:08,00:00:11,"of Christchurch, the furthest away"
00:00:11,00:00:13,that we have ever been from home.
00:00:13,00:00:16,"Unfortunately, Andrew Hunter Murray was not here"
00:00:16,00:00:18,"for this show, he was unexpectedly called back"
00:00:18,00:00:21,"to the UK for personal reasons, but in his place,"
00:00:21,00:00:25,we had the unbelievably brilliant Josh Thompson.
00:00:25,00:00:27,"Now, those of you who like a New Zealand comedy"
00:00:27,00:00:30,like I do will know all about Josh.
00:00:30,00:00:32,"He has been on New Zealand Taskmaster,"
00:00:32,00:00:35,"he's been on the Guy Montgomery/Guymont spelling bee,"
00:00:35,00:00:36,"which by the way, if you've never seen that,"
00:00:36,00:00:39,you have to go into YouTube and look for episodes of that
00:00:39,00:00:40,'cause it's a brilliant show.
00:00:40,00:00:43,"He's also been in the New Zealand version of The Office,"
00:00:43,00:00:46,"but in this show, he came on and was absolutely brilliant,"
00:00:46,00:00:49,told us a whole load of facts that we didn't know
00:00:49,00:00:49,about New Zealand.
00:00:49,00:00:51,I'm really sure you're gonna love this show.
00:00:51,00:00:54,"It's the last one of our talk, can you believe it?"
00:00:54,00:00:57,"We'll be back to normal programming in a couple of weeks' time,"
00:00:57,00:01:00,"but anyway, I really hope you enjoy the show with Josh."
00:01:00,00:01:02,"And what else is there to say,"
00:01:02,00:01:04,apart from on with the podcast.
00:01:04,00:01:07,(upbeat music)
00:01:07,00:01:12,(upbeat music)
00:01:12,00:01:23,(audience cheers)
00:01:23,00:01:27,"- Hello, and welcome to another episode"
00:01:27,00:01:30,"of No Such Thing as a Fish, a weekly podcast,"
00:01:30,00:01:33,this week coming to you live from Christchurch.
00:01:33,00:01:36,(audience cheers)
00:01:36,00:01:38,My name is Dan Schuyler.
00:01:38,00:01:40,"I'm sitting here with Anna Tyshinski,"
00:01:40,00:01:42,"James Harkin, and Josh Thompson."
00:01:42,00:01:45,"And once again, we have gathered around the microphones"
00:01:45,00:01:47,"with our four favorite facts from the last seven days,"
00:01:47,00:01:51,"and in no particular order, here we go."
00:01:51,00:01:52,"Starting with fact number one,"
00:01:52,00:01:55,and that is Josh.
00:01:55,00:01:58,"- Well, my fact is that the first people"
00:01:58,00:02:00,to achieve powered flight were not actually
00:02:00,00:02:02,the American Wright brothers.
00:02:02,00:02:05,(audience cheers)
00:02:05,00:02:09,"They know it well here, we're not the Wright brothers,"
00:02:09,00:02:12,but actually a lone eccentric New Zealand farmer
00:02:12,00:02:14,called Cranky Dick Pierce.
00:02:14,00:02:16,(audience laughs)
00:02:16,00:02:19,- Somebody tells me that the people of Christchurch
00:02:19,00:02:21,might have come across this guy before.
00:02:21,00:02:24,"- Yeah, well, there's an airport about two hours from here"
00:02:24,00:02:27,"in a town called Temeru, where I was born, yes."
00:02:27,00:02:30,(audience cheers)
00:02:30,00:02:31,"And that is named Richard Pierce Airport,"
00:02:31,00:02:35,after he flew about two hours drive away from here.
00:02:35,00:02:37,"- Wow, amazing."
00:02:37,00:02:40,- So the Wright brothers flew in Kitty Hawk in America
00:02:40,00:02:44,"in December, 1903, but Richard Pierce actually flew"
00:02:44,00:02:45,"in March, 1903."
00:02:45,00:02:50,"- 'Cause there's a lot of conflicting accounts,"
00:02:50,00:02:51,and you should--
00:02:51,00:02:53,- I'm so totally sure.
00:02:53,00:02:54,"- The ocean, yeah."
00:02:54,00:02:57,"- Here's the only problem, right, is that,"
00:02:57,00:02:58,"and I see where Anna's coming from,"
00:02:58,00:03:01,"the Wright brothers, when they did it,"
00:03:01,00:03:04,they have a photo and they had lots of people who saw it.
00:03:04,00:03:09,The issue with old Cranky Dick is that we have nothing.
00:03:09,00:03:16,"We have bits of the plane and full bits of the plane,"
00:03:16,00:03:19,"but the original one, no one took a photo"
00:03:19,00:03:20,and no one saw it happen.
00:03:20,00:03:21,And--
00:03:21,00:03:22,"- What, loads of people saw it happen?"
00:03:22,00:03:23,"- Sorry, loads of people saw it happen,"
00:03:23,00:03:25,"but by the time they were properly interviewed about it,"
00:03:25,00:03:26,most of them were dead.
00:03:26,00:03:28,"- I heard that there were some photos,"
00:03:28,00:03:30,but they got destroyed in a flood.
00:03:30,00:03:32,"- Yeah, there were a lot of convenient destruction"
00:03:32,00:03:33,of photos.
00:03:33,00:03:33,(audience laughs)
00:03:33,00:03:36,"But the real, I think the main thing Richard Pierce"
00:03:36,00:03:39,"had working against him was that he was a New Zealander,"
00:03:39,00:03:41,"and in New Zealand, we don't like to show off, so."
00:03:41,00:03:42,- Yeah.
