start_hhmmss,end_hhmmss,text
00:00:00,00:00:04,"- Hey everyone, welcome to this week's episode of Fish."
00:00:04,00:00:06,We've got a very exciting one for you today.
00:00:06,00:00:08,It is our Valentine's Day special.
00:00:08,00:00:11,"So yeah, we've collected together some of the sexiest,"
00:00:11,00:00:13,most romantic facts that we could possibly find
00:00:13,00:00:15,for your listening pleasure.
00:00:15,00:00:16,And we'll be getting to that
00:00:16,00:00:17,over the course of this episode.
00:00:17,00:00:19,"However, before we get into that,"
00:00:19,00:00:20,"I've just got a quick announcement,"
00:00:20,00:00:23,which is that we have a live show coming up
00:00:23,00:00:27,in July at the Crossed Wires Festival podcast in Sheffield.
00:00:27,00:00:31,So the Crossed Wires podcast festival is fantastic.
00:00:31,00:00:32,It debuted last year.
00:00:32,00:00:35,"It was co-created by our good buddy, Alice Levine,"
00:00:35,00:00:36,"from My Dad Wrote a Porno,"
00:00:36,00:00:38,and they are back this year for round two.
00:00:38,00:00:42,"And really excitingly, she has invited us to be part of it."
00:00:42,00:00:44,So we will be there to record a live episode
00:00:44,00:00:47,at the City Hall on the 6th of July at 2PM.
00:00:47,00:00:49,"And if you wanna come along,"
00:00:49,00:00:52,you just need to head to knowsuchthingasafish.com/live
00:00:52,00:00:54,to get your tickets right now.
00:00:54,00:00:55,It's gonna be great fun.
00:00:55,00:00:57,"As I say, a live podcast recording"
00:00:57,00:01:01,with a bunch of silly extra bits thrown in as well.
00:01:01,00:01:02,"And if you get a chance,"
00:01:02,00:01:06,why not head over to the crossedwires.live website as well.
00:01:06,00:01:07,That's the address.
00:01:07,00:01:09,So many great shows are gonna be there this year.
00:01:09,00:01:11,It's so awesome that these podcast festivals
00:01:11,00:01:13,are erupting around the UK.
00:01:13,00:01:15,Do support them and do come see us.
00:01:15,00:01:16,We'd love to see you there.
00:01:16,00:01:18,"All right, well, let's get into this week's episode."
00:01:18,00:01:20,It is our Valentine's Day special.
00:01:20,00:01:24,"Enjoy our sexy, sexy facts on with the show."
00:01:25,00:01:27,(upbeat music)
00:01:27,00:01:39,- Hello and welcome to another episode
00:01:39,00:01:40,"of No Such Thing as a Fish,"
00:01:40,00:01:42,a weekly podcast coming to you
00:01:42,00:01:44,from the QI offices in Hoburn.
00:01:44,00:01:46,My name is Dan Schreiber.
00:01:46,00:01:48,"I'm sitting here with James Harkin, Anna Tyshinski"
00:01:48,00:01:50,and Andrew Hunter Murray.
00:01:50,00:01:52,"And once again, we have gathered around the microphones"
