start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,(upbeat music)
00:00:03,00:00:05,"- Hey everyone, welcome to this week's episode of Fish."
00:00:05,00:00:08,"Before we get going, we've got a quick, exciting announcement"
00:00:08,00:00:11,"which is that two of our colleagues, Jack and Manu,"
00:00:11,00:00:14,"along with their chef friend, Rosie McKean,"
00:00:14,00:00:16,have just launched a brand new podcast
00:00:16,00:00:18,called Lunchbox Envy.
00:00:18,00:00:20,"- Yes, it's all the most interesting, weird,"
00:00:20,00:00:23,incredible facts about specific foods.
00:00:23,00:00:25,"Every episode is based around a food stuff,"
00:00:25,00:00:29,so bananas or garlic or sausages.
00:00:29,00:00:31,There are a couple of episodes already out now.
00:00:31,00:00:32,More will be released very soon.
00:00:32,00:00:34,They really are fantastic.
00:00:34,00:00:35,"You might have heard Jack and Manu,"
00:00:35,00:00:39,"the elves on our spin-off show, Meet the Elves."
00:00:39,00:00:42,They obviously have the bona fide research credentials
00:00:42,00:00:44,"of QILs, and then Rosie really knows"
00:00:44,00:00:46,what she's talking about in the kitchen.
00:00:46,00:00:47,- I've learned so many amazing things
00:00:47,00:00:49,off the back of listening to these episodes.
00:00:49,00:00:51,All the things that they pull out of their Lunchboxes
00:00:51,00:00:53,"make you just go, what the hell is that?"
00:00:53,00:00:56,"Jack, for example, pulls out a chocolate garlic bar"
00:00:56,00:00:59,which was used by the British Secret Services in the war.
00:00:59,00:01:00,I'd never heard of it before.
00:01:00,00:01:02,"You get these amazing, untold histories,"
00:01:02,00:01:05,but also good advice on food.
00:01:05,00:01:06,"- Yes, in fact, as a result,"
00:01:06,00:01:09,I have started slow cooking sausages.
00:01:09,00:01:10,Find out why.
00:01:10,00:01:11,The good thing about the good advice is
00:01:11,00:01:12,they don't just tell you what to do.
00:01:12,00:01:14,They tell you why certain things work.
00:01:14,00:01:16,It is jam-packed.
00:01:16,00:01:18,"Jam-packed, yeah, very good."
00:01:18,00:01:21,Jam-packed with interesting facts
00:01:21,00:01:24,from why food tastes better if you eat it with your hands.
00:01:24,00:01:26,"There you go, toddlers, you've got it right."
00:01:26,00:01:28,As to how you can turn peanut butter into diamonds
00:01:28,00:01:31,"and make your fortune, go and listen to it right now."
00:01:31,00:01:34,Go to qi.com/lunchbox
00:01:34,00:01:36,or wherever podcasts are available.
00:01:36,00:01:38,"- That's right, so do check it out."
00:01:38,00:01:40,"Lunchbox envy, out now."
00:01:40,00:01:41,"Okay, on with the show."
00:01:41,00:01:44,(dramatic music)
00:01:44,00:01:49,(upbeat music)
00:01:49,00:01:53,(speaking in foreign language)
00:01:53,00:02:00,- Hello and welcome to another episode
00:02:00,00:02:02,"of No Such Thing as a Fish,"
00:02:02,00:02:04,a weekly podcast coming to you
00:02:04,00:02:06,from the QI offices in Hoburn.
00:02:06,00:02:07,My name is Dan Schreiber.
00:02:07,00:02:10,"I am sitting here with Andrew Hunter Murray,"
00:02:10,00:02:12,"Anna Tyshinski, and James Harkin."
00:02:12,00:02:14,"Once again, we have gathered around the microphones"
00:02:14,00:02:16,"with our four favorite facts from the last seven days,"
00:02:16,00:02:20,"and in a particular order, here we go."
00:02:20,00:02:23,"Starting with fact number one, that is Anna."
00:02:23,00:02:26,"- My fact this week is that every time your heart beats,"
00:02:26,00:02:29,"your memory gets worse,"
00:02:29,00:02:32,but you become better at firing a gun.
00:02:32,00:02:33,- Better at firing a what?
00:02:33,00:02:34,"Sorry, better at firing a gun."
00:02:34,00:02:36,Better at firing a what?
00:02:36,00:02:37,"- I see, I see what's happening."
00:02:37,00:02:38,- You see what I'm doing there?
00:02:38,00:02:41,"- Yeah, you expose some obvious flaws in the system."
00:02:41,00:02:42,"- Your heart beats a lot,"
00:02:42,00:02:44,and I don't feel like I lose my memory
00:02:44,00:02:45,every second in a bit.
00:02:45,00:02:48,"- You are, I think this is useful information to know."
00:02:48,00:02:49,"So if you're ever doing certain things,"
00:02:49,00:02:51,always do it on the offbeat.
00:02:51,00:02:53,"Other things, do it on the onbeat."
00:02:53,00:02:57,And I found this a really interesting study I came across
00:02:57,00:02:59,"about the cardiac cycle, basically,"
00:02:59,00:03:01,"which is the cycle of how your heart beats,"
00:03:01,00:03:04,"which says that in cisterly, which is when it's beating,"
00:03:04,00:03:06,"basically it triggers these barrier receptors,"
00:03:06,00:03:09,"which are nerves in your blood vessels,"
00:03:09,00:03:11,"which clock that the blood vessel is stretching,"
00:03:11,00:03:14,"'cause the heart's just beat, the blood vessel stretches,"
00:03:14,00:03:16,"the barrier receptors send a message to the brain going,"
00:03:16,00:03:17,"""Right, the blood vessels have stretched."
00:03:17,00:03:19,"""This is how much, this is what's going on."""
00:03:19,00:03:23,And it sets off all this activity in your brain
00:03:23,00:03:24,every time your heart beats.
00:03:24,00:03:26,"And all that activity in your brain,"
00:03:26,00:03:27,which is giving your brain all the information
00:03:27,00:03:29,"about exactly how much your heart's beat,"
00:03:29,00:03:33,"how hard, how fast, how much the vessel's expanded,"
00:03:33,00:03:35,that drowns out loads of other stuff
00:03:35,00:03:36,that's happening in your brain.
00:03:36,00:03:38,"So you get worse at lots of stuff,"
00:03:38,00:03:40,like your memory gets worse.
00:03:40,00:03:41,"- How do they test this, Anna?"
00:03:41,00:03:42,- That's a very good question.
00:03:42,00:03:45,They rig people up to ECGs
00:03:45,00:03:49,and they do things like really scare them or they--
00:03:49,00:03:51,- So they have more heartbeats.
00:03:51,00:03:52,Is that what you mean?
00:03:52,00:03:55,"- No, so they test exactly whether they're on cisterly"
00:03:55,00:03:57,"or diastole, if their heart's beating or not beating,"
00:03:57,00:03:59,"and then they scare them with something,"
00:03:59,00:04:02,"and if their heart's on an on beat,"
00:04:02,00:04:04,then their reaction will be slightly slower
00:04:04,00:04:05,than their heartbeats. - Like reaction times.
00:04:05,00:04:07,"- Yeah, and they had people in a rifle range"
00:04:07,00:04:10,and they logged them up to ECGs and they did the same thing.
00:04:10,00:04:10,- I've got two questions.
00:04:10,00:04:13,"One, memory, is this long-term memory"
00:04:13,00:04:16,or is it memory in the moment that it's making worse?
00:04:16,00:04:17,- It's memory in the moment.
00:04:17,00:04:19,"So I think they'd say, what's Ernzo's name?"
00:04:19,00:04:21,What's the name of the person who was that next to you
00:04:21,00:04:22,"yesterday, Dan, and then on the on beat,"
00:04:22,00:04:23,you'd be a bit less--
00:04:23,00:04:25,- Dan is not gonna remember that.
00:04:25,00:04:26,- Any circle step is.
00:04:26,00:04:30,- Question two was to do with the gun.
00:04:30,00:04:31,"So I'd read a study a while ago,"
00:04:31,00:04:34,which is that apparently snipers
00:04:34,00:04:37,like to take their shot in between heartbeats.
00:04:37,00:04:38,- How interesting.
00:04:38,00:04:39,"- Yeah, so they've been doing it wrong."
00:04:39,00:04:42,"- Yeah, that's why they keep missing."
00:04:42,00:04:44,"- Yes, that's why they keep missing."
00:04:44,00:04:46,"- Yeah, well, it's a technique that they do,"
00:04:46,00:04:48,which is it's a bit of meditation prior to it.
00:04:48,00:04:50,"Slow breathing, they time the shot."
00:04:50,00:04:53,Apparently if your heartbeat is raised
00:04:53,00:04:55,and it's much higher than the blood pressure
00:04:55,00:04:57,"on your trigger finger, like pulses will come in there,"
00:04:57,00:04:59,it might make you pull a shot slightly differently.
00:04:59,00:05:01,"- If you ever watch Biaflon,"
00:05:01,00:05:03,which is cross country skiing and then shooting.
00:05:03,00:05:04,- Not at the same time.
00:05:04,00:05:05,- Not at the same time.
00:05:05,00:05:07,And that is the critical point
00:05:07,00:05:09,"because your heart rate gets really, really high"
00:05:09,00:05:12,because you're doing this really big exercise
00:05:12,00:05:13,and then you have to shoot.
00:05:13,00:05:15,"And the best players, the best people"
00:05:15,00:05:18,"like Johannes Tingersboro, people like that,"
00:05:18,00:05:21,"he would like really lower, lower, lower his heart rate."
00:05:21,00:05:23,"And you can see it, they often have it on the screen."
00:05:23,00:05:25,It'll say what their heart rate is
00:05:25,00:05:27,"and you can see it going down, down, down,"
00:05:27,00:05:28,and they won't shoot immediately.
00:05:28,00:05:31,They'll let the heartbeat go down and then they'll shoot.
00:05:31,00:05:32,- That's really cool.
00:05:32,00:05:33,"So they do, okay, yeah."
00:05:33,00:05:35,"- And that makes sense to make the heartbeat go down, I guess,"
00:05:35,00:05:37,"'cause you're more focused, you're more relaxed."
00:05:37,00:05:41,I've watched my own heartbeat during surgery.
00:05:41,00:05:42,- What?
00:05:42,00:05:44,As in the actual heart itself?
00:05:44,00:05:47,"- No, I haven't seen my physical heart pumping away."
00:05:47,00:05:49,"I mean, on a screen, I was having a minor operation"
00:05:49,00:05:51,which I was allowed to stay awake for.
00:05:51,00:05:54,And you can see it.
00:05:54,00:05:56,And they sort of accidentally left the screen
00:05:56,00:05:57,like pointing a bit at my face.
00:05:57,00:05:58,So I was trying to muck around and speed it up
00:05:58,00:05:59,and slow it down.
00:05:59,00:06:00,It's great fun.
00:06:00,00:06:01,"- Were they inside,"
00:06:01,00:06:02,they have something inside your body?
00:06:02,00:06:03,You said that actually.
00:06:03,00:06:04,"- Oh yeah, oh yeah."
00:06:04,00:06:06,"- But you didn't have an open heart surgery, did you?"
00:06:06,00:06:08,"- No, I said a minor operation."
00:06:08,00:06:10,"I like to play it cool,"
00:06:10,00:06:11,but even I would probably say
00:06:11,00:06:12,that's a medium-sized operation.
00:06:12,00:06:15,"- And when they actually put the extension in your penis,"
00:06:15,00:06:17,did your heart rate go up or it made that noise
00:06:17,00:06:18,like a slide or something.
00:06:18,00:06:27,"- Can I just say the potential reason for this,"
00:06:27,00:06:29,"evolutionarily, which I also think is really cool."
00:06:29,00:06:30,"And just to let you know,"
00:06:30,00:06:32,"is that when your heart doesn't beat,"
00:06:32,00:06:34,your sensitivity to pain goes down.
00:06:34,00:06:36,"You have a worse memory for words,"
00:06:36,00:06:37,"your concentration is less good,"
00:06:37,00:06:39,"you've got higher fear response,"
00:06:39,00:06:41,"so you're more afraid, more intense reaction,"
00:06:41,00:06:43,but your reactions are slower.
00:06:43,00:06:44,"And then on the offbeat,"
00:06:44,00:06:46,"you have a stronger grip,"
00:06:46,00:06:47,"so you're stronger,"
00:06:47,00:06:49,"you're more accurate at firing a gun,"
00:06:49,00:06:51,and your eyes flicker around more.
00:06:51,00:06:53,"And weirdly, I didn't know what happens is"
00:06:53,00:06:55,"when you're under threat,"
00:06:55,00:06:56,what do you think happens to your heart rate?
00:06:56,00:06:58,"- Speeds up, speeds up."
00:06:58,00:06:59,- Incorrect.
00:06:59,00:06:59,- What?
00:06:59,00:07:01,- Isn't this incredible?
00:07:01,00:07:03,"Immediately after you're under threat,"
00:07:03,00:07:05,usually your heartbeat for a second slows down.
00:07:05,00:07:07,"Apparently, in an evolutionary sense,"
00:07:07,00:07:10,"and that's because for a second,"
00:07:10,00:07:12,it needs to be on the offbeat more often.
00:07:12,00:07:14,"So when your heartbeat goes slower,"
00:07:14,00:07:16,"it's more often on the offbeat,"
00:07:16,00:07:18,so that you can have fast reactions
00:07:18,00:07:20,and process information more.
00:07:20,00:07:21,"So you process everything around you,"
00:07:21,00:07:23,"and then it speeds up a lot,"
00:07:23,00:07:24,"because as soon as you've done that,"
00:07:24,00:07:26,"then it's on the onbeat,"
00:07:26,00:07:28,"and then you're really good at firing a gun,"
00:07:28,00:07:30,"or punching someone, or gripping something."
00:07:30,00:07:31,- I would've thought it would be a part of
00:07:31,00:07:33,"just trying to be quiet, like more quiet,"
00:07:33,00:07:35,so they don't find you.
00:07:35,00:07:36,Not having that pumping heartbeat.
00:07:36,00:07:38,"- Just as psychologically, you'd be like,"
