start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:14,- Hello and welcome to another episode
00:00:14,00:00:16,"of No Such Thing as a Fish,"
00:00:16,00:00:18,a weekly podcast coming to you
00:00:18,00:00:20,from the QI offices in Hoburn.
00:00:20,00:00:22,My name is Dan Schreiber.
00:00:22,00:00:24,"I'm sitting here with Andrew Hunter Murray,"
00:00:24,00:00:26,James Harkin and Anna Tyshinski.
00:00:26,00:00:28,"And once again, we have gathered around the microphones"
00:00:28,00:00:31,with our four favorite facts from the last seven days.
00:00:31,00:00:35,"And in no particular order, here we go."
00:00:35,00:00:38,"Starting with fact number one, and that is Anna."
00:00:38,00:00:41,- My fact this week is that if an eel
00:00:41,00:00:43,"ends up in a predator's stomach,"
00:00:43,00:00:45,it can reverse out through its gills.
00:00:45,00:00:49,- That's pretty amazing.
00:00:49,00:00:50,- This is Japanese eels.
00:00:50,00:00:52,And it's recently found out that they can get swallowed
00:00:52,00:00:56,"by these sleeper fish, dark sleeper fish."
00:00:56,00:00:59,"And then they go through the digestive tract,"
00:00:59,00:01:03,"but then they are just able to wibble their way back,"
00:01:03,00:01:05,back out towards the gills and then slink out.
00:01:05,00:01:07,I think some slunk out through the mouth
00:01:07,00:01:08,and then some were able to slink their way out
00:01:08,00:01:11,actually through the slits that were the gills.
00:01:11,00:01:12,"- Yeah, that's amazing."
00:01:12,00:01:16,I actually don't really have a good idea of fish anatomy.
00:01:16,00:01:17,I wouldn't have thought that the gills
00:01:17,00:01:19,would be attached to the digestive system.
00:01:19,00:01:20,"- It does sound all hollow, doesn't it?"
00:01:20,00:01:21,- Yeah.
00:01:21,00:01:22,- We say that.
00:01:22,00:01:24,"- Our gills, as people."
00:01:24,00:01:25,- Our lungs.
00:01:25,00:01:26,"- Yeah, are sort of connected."
00:01:26,00:01:29,"- You know, there's a bit where the pipe's branch, but--"
00:01:29,00:01:30,- That's true.
00:01:30,00:01:31,It's like if you swallow a piece of apple
00:01:31,00:01:33,the wrong way it goes down towards your lungs.
00:01:33,00:01:34,- Exactly.
00:01:34,00:01:36,"I mean, kind of sort of the same way"
00:01:36,00:01:37,they're coming out of the bit.
00:01:37,00:01:38,We use the breathing.
00:01:38,00:01:41,"- Yeah, you tend to take a few turns, probably."
00:01:41,00:01:41,"- Yeah, yeah."
00:01:41,00:01:42,But it is mad.
00:01:42,00:01:43,- It is insane.
00:01:43,00:01:44,"- And the scientists who did it,"
00:01:44,00:01:46,"I love it, it was a team at Nagasaki University."
00:01:46,00:01:49,And they filled the eels with the chemical
00:01:49,00:01:51,"that meant they could be x-ray,"
00:01:51,00:01:52,they could show up on an x-ray.
00:01:52,00:01:54,"And then, it was really a bit mean,"
00:01:54,00:01:57,"they just introduced the eels to the dark sleeper fish,"
00:01:57,00:01:59,which we're gonna be very hungry for them.
00:01:59,00:02:01,And one would get swallowed and then they'd just observe.
00:02:01,00:02:04,"And about a third of the time, the eel escaped."
00:02:04,00:02:05,- That's interesting.
00:02:05,00:02:07,"Do we think it happens in the wild, then?"
00:02:07,00:02:08,- I think it definitely does.
00:02:08,00:02:09,"- Yeah, it does, I think."
00:02:09,00:02:12,"And they see that some make it halfway out,"
00:02:12,00:02:14,"some almost make it out,"
00:02:14,00:02:16,but they get stuck with their heads.
00:02:16,00:02:17,"It's not, yeah, it's not a foolproof process."
00:02:17,00:02:19,But what a weird thing to be the sleeper fish.
00:02:19,00:02:20,You eat your lunch.
00:02:20,00:02:21,- I know.
00:02:21,00:02:23,- And then it's sitting next to you a minute later.
00:02:23,00:02:24,- It does happen a bit in nature.
00:02:24,00:02:25,Doesn't it?
00:02:25,00:02:27,That things get eaten and then can escape.
00:02:27,00:02:28,- Yes.
00:02:28,00:02:29,- I reckon.
00:02:29,00:02:29,Like Jonah.
00:02:29,00:02:30,- Jonah?
00:02:30,00:02:31,- I think is one of them.
00:02:31,00:02:32,- Is that his nature?
00:02:32,00:02:36,- There's a snail called Tornatelides boiningi
00:02:36,00:02:38,that's also found in Japan.
00:02:38,00:02:39,And it's swallowed by this bird.
00:02:39,00:02:44,And 5% of them are able to escape out of the bum.
00:02:44,00:02:45,- Out of the bum?
00:02:45,00:02:46,- Out of the bum.
00:02:46,00:02:47,- Okay.
00:02:47,00:02:47,- That's all the way through.
00:02:47,00:02:48,"That's very impressive, isn't it?"
00:02:48,00:02:49,- That's a waiting game.
00:02:49,00:02:51,"- Well, on the other hand, you don't have to reverse."
00:02:51,00:02:53,You just put your head down and go for it.
00:02:53,00:02:54,- I do.
00:02:54,00:02:55,- Yeah.
00:02:55,00:02:57,- But then 5% of them can get through and survive
00:02:57,00:02:59,for at least one week.
00:02:59,00:03:00,"And actually quite often when they come out,"
00:03:00,00:03:02,"if it's a female who's pregnant,"
00:03:02,00:03:04,they'll give birth straight afterwards.
00:03:04,00:03:05,And some people-
00:03:05,00:03:07,"- That, as in like it brings on neighbor."
00:03:07,00:03:07,- Yeah.
00:03:07,00:03:08,"- Wow, like eating a curry or something."
00:03:08,00:03:09,Maybe she did it on purpose.
00:03:09,00:03:10,"She was so sick, big time."
00:03:10,00:03:13,"- I don't think it's like in the Lansdale community,"
00:03:13,00:03:14,"they're like, oh, maybe if we have sex,"
00:03:14,00:03:16,then the baby will come.
00:03:16,00:03:18,"And they're like, yeah, but maybe if we get eaten"
00:03:18,00:03:19,"by a bird, it will come."
00:03:19,00:03:21,- That's just the inducing method.
00:03:21,00:03:22,"Imagine that at hospitals,"
00:03:22,00:03:25,if you have to be swallowed by an animal at all.
00:03:25,00:03:26,Baby needs to come early.
00:03:26,00:03:31,I found this great book called Eels by James Prosek.
00:03:31,00:03:32,It's one of those classic books that we love
00:03:32,00:03:34,"where it's just the single subject,"
00:03:34,00:03:36,the whole history of the animal.
00:03:36,00:03:38,And it's pretty fascinating.
00:03:38,00:03:40,"We've spoken about before about how Eels,"
00:03:40,00:03:41,"they have the call,"
00:03:41,00:03:43,which kind of brings them back to the ocean.
00:03:43,00:03:45,'Cause they are born in salt water
00:03:45,00:03:48,and they find river water in order to give birth.
00:03:48,00:03:50,And most animals do the opposite of that.
00:03:50,00:03:52,Salmon will do the opposite of that.
00:03:52,00:03:53,They're so mysterious.
00:03:53,00:03:54,And we've spoken about this.
00:03:54,00:03:56,"They've never, we just never have seen"
00:03:56,00:03:59,any pregnant Eels really or how they give birth.
00:03:59,00:04:01,But what's fascinating is how strong that call is.
00:04:01,00:04:03,"So this guy, James Prosek,"
00:04:03,00:04:06,"he has some Eels in his house, in a tank."
00:04:06,00:04:07,And he said he woke up one morning
00:04:07,00:04:09,"and they had busted through the top,"
00:04:09,00:04:10,which was held down with rocks
00:04:10,00:04:12,"and they were wriggling on the floor,"
00:04:12,00:04:13,just trying to get out.
00:04:13,00:04:14,- You're joking.
00:04:14,00:04:16,"- So then he reinforced it, he put them back in,"
00:04:16,00:04:18,put the lid on and then he came down
00:04:18,00:04:21,and they were slamming their heads into the sea.
00:04:21,00:04:24,- They were constructing a rudimentary drill
00:04:24,00:04:25,from the stuff in their tank.
00:04:25,00:04:26,That was incredible.
00:04:26,00:04:27,"- So basically some of them,"
00:04:27,00:04:29,"even like to the point of kill themselves,"
00:04:29,00:04:30,but they were smacking their heads
00:04:30,00:04:32,so hard to try and get through this thing.
00:04:32,00:04:34,"- Okay, I'm not going to say that that's not true,"
00:04:34,00:04:35,but that's amazing.
00:04:35,00:04:36,- It's horror film.
00:04:36,00:04:39,- It's in his book and he's like a lead illness writer.
00:04:39,00:04:42,"- I was implying, there's a subtext there that I think."
00:04:42,00:04:44,There is a thing that when they first realized
00:04:44,00:04:46,"that there was a homininstinct in birds,"
00:04:46,00:04:48,"one of the experiments they did was,"
00:04:48,00:04:50,they got the birds in a cage
00:04:50,00:04:52,and put little sort of ink on their feet
00:04:52,00:04:55,and then they would put paper on the floor of the cage
00:04:55,00:04:56,and then they could see that the birds
00:04:56,00:04:58,were trying to go in a certain direction.
00:04:58,00:04:58,- Right.
00:04:58,00:04:59,"- God, it's so interesting."
00:04:59,00:05:01,"- It is amazing 'cause they will often,"
00:05:01,00:05:04,"if there's a bit of damp ground in a field,"
00:05:04,00:05:06,they will make their way out of their pond
00:05:06,00:05:07,or whatever bit of fresh water they're in
00:05:07,00:05:08,and they'll slither along
00:05:08,00:05:11,and start eating some farmland stuff and come back.
00:05:11,00:05:12,"But when they want to go back to the ocean,"
00:05:12,00:05:14,"this is all true, James."
00:05:14,00:05:16,They can stay in wait.
00:05:16,00:05:18,They just wait and wait until the circumstances are right
00:05:18,00:05:20,to get them back to the ocean.
00:05:20,00:05:21,"And then once they need to make that trip,"
00:05:21,00:05:23,once a storm has come
00:05:23,00:05:24,and the water levels have risen a bit
00:05:24,00:05:25,"and everything's wet,"
00:05:25,00:05:28,they perform like ninja-like abilities.
00:05:28,00:05:29,"So if they get to a hill,"
00:05:29,00:05:31,they roll into a ball and roll down the hill.
00:05:31,00:05:32,- No way.
00:05:32,00:05:33,"- Yeah, yeah."
00:05:33,00:05:34,They can climb up walls by braiding themselves
00:05:34,00:05:38,"along the side of moths, walls, and it's extraordinary."
00:05:38,00:05:39,- Did you watch a cartoon?
00:05:39,00:05:42,"- This is James Prasek, Eels."
00:05:42,00:05:43,- It is incredible.
00:05:43,00:05:46,"Do you know where has an eel festival, by the way?"
00:05:46,00:05:46,- Eely?
00:05:46,00:05:48,"- Because, oh, Eely, yeah, Eely."
00:05:48,00:05:49,- Correct.
00:05:49,00:05:50,- Which one?
00:05:50,00:05:51,- Eely.
00:05:51,00:05:52,"- Well, there we go."
00:05:52,00:05:53,"- Not Eely, London."
00:05:53,00:05:53,- It wasn't a trick question.
00:05:53,00:05:55,It was actually just an on-the-nose.
00:05:55,00:05:57,"- Because Eely is named after the eels, isn't it?"
00:05:57,00:05:58,- I believe so.
00:05:58,00:06:02,"But very sadly, the last eel catcher in Eely"
00:06:02,00:06:03,retired 10 years ago.
00:06:03,00:06:06,"Because they've had this terrible decline of population,"
00:06:06,00:06:08,mostly due to humans.
00:06:08,00:06:11,"But you know, there used to be a staple food in Cambridgeshire."
00:06:11,00:06:12,I just find that so bizarre.
00:06:12,00:06:13,- Yeah.
00:06:13,00:06:14,"- You just, like, a thousand years ago,"
00:06:14,00:06:16,"you had a rock, you had an eel, effectively."
00:06:16,00:06:20,And the main thing to do now is removing barriers in rivers.
00:06:20,00:06:22,'Cause there are just so many
00:06:22,00:06:23,hundreds and thousands of these things.
00:06:23,00:06:25,"And most of them are out at, like, a defunct."
00:06:25,00:06:26,They're like an old water mill.
00:06:26,00:06:27,- Yeah.
00:06:27,00:06:28,"- You know, build a barrier across the river"
00:06:28,00:06:29,'cause they needed to harness the power of--
00:06:29,00:06:30,- And locks and stuff.
00:06:30,00:06:31,"Like, we've got quite a lot of eel,"
00:06:31,00:06:33,we've got quite a lot of eel stares near us.
00:06:33,00:06:34,- Do you know?
00:06:34,00:06:35,"- Which would like to go over locks,"
00:06:35,00:06:36,"'cause I live in the Fens,"
00:06:36,00:06:37,which is where they used to be all over the stuff.
00:06:37,00:06:37,- Yes.
00:06:37,00:06:38,- Like your eel country.
00:06:38,00:06:39,- Were it?
