start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,(upbeat music)
00:00:01,00:00:04,"Hey, Club Fish members, how you doing?"
00:00:04,00:00:05,It's Dan here.
00:00:05,00:00:06,Hope you're well.
00:00:06,00:00:08,Welcome to your bonus bit of content.
00:00:08,00:00:11,"This is a compilation episode that we have for you today,"
00:00:11,00:00:14,"all the best bits that didn't make it into the main episode,"
00:00:14,00:00:17,largely 'cause they just didn't fit the narrative.
00:00:17,00:00:18,"So, hope you enjoy it."
00:00:18,00:00:20,"But before we get to it, just a quick reminder,"
00:00:20,00:00:22,"if you happen to be in Sheffield,"
00:00:22,00:00:25,we're gonna be there doing fish live
00:00:25,00:00:27,at the Crossed Wires Festival.
00:00:27,00:00:30,Alice Levine put together this awesome podcast festival.
00:00:30,00:00:33,There's gonna be multiple shows down there.
00:00:33,00:00:34,"So, if you're around on the 6th of July,"
00:00:34,00:00:38,we're gonna be there from 2 p.m. recording a live show.
00:00:38,00:00:40,"Do come along, it's gonna be lots of fun."
00:00:40,00:00:44,"Tickets are available at crossedwires.live,"
00:00:44,00:00:46,or you can go to knowsuchthingasafish.com
00:00:46,00:00:48,and just find all the relevant links there.
00:00:48,00:00:49,"Okay, that's it."
00:00:49,00:00:50,Let's get to the main episode now.
00:00:50,00:00:51,Here we go.
00:00:51,00:00:55,The best of the bits that didn't make it on with the show.
00:00:55,00:00:58,(upbeat music)
00:00:58,00:01:14,"- Hi, everybody, Andy here."
00:01:14,00:01:17,Welcome to an audience fact special episode
00:01:17,00:01:19,of No Such Thing as a Fish.
00:01:19,00:01:23,You have all been sending your facts to podcast@qi.com.
00:01:23,00:01:24,Is that the address?
00:01:24,00:01:25,- That's the address.
00:01:25,00:01:28,"That's what I say every week, so I hope so."
00:01:28,00:01:29,"- Well, they've been getting through,"
00:01:29,00:01:30,and they've been coming in thick and fast.
00:01:30,00:01:32,"And we've creamed off the ones on the top,"
00:01:32,00:01:33,and we're gonna be reading them out
00:01:33,00:01:36,and sharing them back with you now.
00:01:36,00:01:37,"- It's harder than it looks, isn't it, Andy?"
00:01:37,00:01:39,- It's a very difficult job.
00:01:39,00:01:41,"Damn, this is amazing."
00:01:41,00:01:41,(laughing)
00:01:41,00:01:43,- I'm happy to be here.
00:01:43,00:01:45,Do you wanna mention who else is here?
00:01:45,00:01:46,(laughing)
00:01:46,00:01:47,- Where are we as well?
00:01:47,00:01:49,And how often does this podcast go out?
00:01:49,00:01:50,- God.
00:01:50,00:01:53,- Can I tell you one last thing about the boss for us?
00:01:53,00:01:54,- Yeah.
00:01:54,00:01:56,- Constantinople and how it was defended.
00:01:56,00:01:58,There's one weakness in a naval sense.
00:01:58,00:02:01,There's a waterway which is calm and navigable.
00:02:01,00:02:03,"And basically, if you could sail your ships in there."
00:02:03,00:02:04,"- Oh, like a harbour."
00:02:04,00:02:05,"- Yeah, you could invade,"
00:02:05,00:02:07,and it would be incredibly easy to invade.
00:02:07,00:02:09,"So how did Constantinople, as it was then,"
00:02:09,00:02:10,solve this problem?
00:02:10,00:02:13,- Cannons.
00:02:13,00:02:14,- Great idea.
00:02:14,00:02:16,Arguably better than what they came up with.
