start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,(upbeat music)
00:00:01,00:00:04,"- Hey Club Fish members, how you doing?"
00:00:04,00:00:04,It's Dan here.
00:00:04,00:00:08,"Hope you're well, welcome to your bonus bit of content."
00:00:08,00:00:11,"This is a compilation episode that we have for you today,"
00:00:11,00:00:14,all the best bits that didn't make it into the main episode
00:00:14,00:00:17,largely 'cause they just didn't fit the narrative.
00:00:17,00:00:19,"So hope you enjoy it, but before we get to it,"
00:00:19,00:00:22,"just a quick reminder, if you happen to be in Sheffield,"
00:00:22,00:00:25,we're gonna be there doing Fish Live
00:00:25,00:00:27,at the Crossed Wires Festival.
00:00:27,00:00:30,Alice Levine put together this awesome podcast festival.
00:00:30,00:00:33,There's gonna be multiple shows down there.
00:00:33,00:00:34,"So if you're around on the 6th of July,"
00:00:34,00:00:38,we're gonna be there from 2 p.m. recording a live show.
00:00:38,00:00:40,"Do come along, it's gonna be lots of fun."
00:00:40,00:00:44,Tickets are available at crossedwires.live
00:00:44,00:00:46,or you can go to nosuchthingasaffish.com
00:00:46,00:00:48,and just find all the relevant links there.
00:00:48,00:00:50,"Okay, that's it, let's get to the main episode now."
00:00:50,00:00:54,"Here we go, the best of the bits that didn't make it."
00:00:54,00:00:55,On with the show.
00:00:56,00:00:59,(funky music)
00:00:59,00:01:01,(funky music)
00:01:01,00:01:04,(funky music)
00:01:04,00:01:14,"Hi everybody, Andy here."
00:01:14,00:01:18,Welcome to an audience fact special episode
00:01:18,00:01:19,of no such thing as a fish.
00:01:19,00:01:23,You have all been sending your thanks to podcast@QI.com.
00:01:23,00:01:24,Is that the address?
00:01:24,00:01:25,- That's the address.
00:01:25,00:01:28,"- I'm gonna say every week, so I hope so."
00:01:28,00:01:29,"- Well, they've been getting through"
00:01:29,00:01:30,and they've been coming in second first.
00:01:30,00:01:32,And we've creamed off the ones on the top
00:01:32,00:01:33,and we're gonna be reading them out
00:01:33,00:01:35,and sharing them back with you.
00:01:35,00:01:37,"- It's harder than it looks, isn't it Andy?"
00:01:37,00:01:39,- It's a very difficult job.
00:01:39,00:01:41,"- Damn, this is amazing."
00:01:41,00:01:42,Mother of the year.
00:01:42,00:01:46,- Do you wanna mention who else is here?
00:01:46,00:01:47,- Where are we as well?
00:01:47,00:01:49,And how often does this podcast go out?
00:01:49,00:01:51,- God.
00:01:51,00:01:53,- Can I tell you one last thing about the boss for us?
00:01:53,00:01:54,- Yeah.
00:01:54,00:01:56,I was standing to an opal and how it was defended.
00:01:56,00:01:58,There's one weakness in a naval sense.
00:01:58,00:02:01,There's a waterway which is calm and navigable.
00:02:01,00:02:03,"And basically, if you could sail your ships in there."
00:02:03,00:02:04,"- Oh, like a harbour."
00:02:04,00:02:05,"- Yeah, you could invade."
00:02:05,00:02:07,And it would be incredibly easy to invade.
00:02:07,00:02:09,"So how did Constantinople, as it was then,"
00:02:09,00:02:10,solve this problem?
00:02:10,00:02:13,- Cannons.
00:02:13,00:02:14,- Great idea.
00:02:14,00:02:16,Arguably better than what they came up with.
00:02:16,00:02:20,- Look at dials.
00:02:20,00:02:21,"- Look at those, good call."
00:02:21,00:02:22,- That's good.
