start_hhmmss,end_hhmmss,text
00:00:00,00:00:12,[music]
00:00:12,00:00:17,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:00:17,00:00:23,"from the QI offices in Hobern. My name is Dan Schreiber, I'm sitting here with Andrew Hunter Murray,"
00:00:23,00:00:27,"James Harkin and Anna Tyshensky. And once again, we have gathered around the microphones with our"
00:00:27,00:00:33,"four favorite facts from the last seven days, and in no particular order, here we go. Starting"
00:00:33,00:00:40,"with fact number one, and that is James. Okay, my fact this week is that sodium citrate, the chemical"
00:00:40,00:00:47,"you add to cheese to make it melty nacho cheese, contains sodium, carbon, hydrogen and oxygen,"
00:00:47,00:00:53,"or according to the chemical symbols, N, A, C, H and O. Unbelievable. And this is proof of"
00:00:53,00:01:02,"living in a matrix, right? Yes, very unimaginative matrix. So I was watching a YouTube clip by a"
00:01:02,00:01:07,"person called Minut Food, and they showed an experiment of how to make American cheese from"
00:01:07,00:01:12,"any kind of cheese. So you could just take any kind of cheese and add sodium citrate,"
00:01:12,00:01:18,"and it will make it more melty. And in that, that's when they get satisfied. Although I've"
00:01:18,00:01:22,"looked since logs, and it is kind of all over the internet, but right. Okay, it's not like some"
00:01:22,00:01:27,"people. I think that we're doing the world a favor by hopefully putting more on the internet,"
00:01:27,00:01:31,"because it is amazing. Yeah, this podcast is about what I learned this week, and this is a thing"
00:01:31,00:01:36,"that I recently learned. It's a melting salt, isn't it sodium citrate? So when you melt a cheese,"
00:01:36,00:01:42,"the fats and the proteins separate out from each other, and they, but it can get very lumpy."
00:01:43,00:01:48,"It kind of forms like a mesh. Normally, it's like a big solid thing with proteins and fats and"
00:01:48,00:01:53,"moisture and stuff. It kind of all spreads out, and now you've got this mesh of stuff. And the more"
00:01:53,00:01:58,"meshier it is, the more melty it is, basically. Yes. And the sodium, as far as I understand it,"
00:01:58,00:02:02,it replaces calcium ions. And the calcium ions are the thing that made the cheese proteins all bond
00:02:02,00:02:08,"together. So the more sodium citrate there is, the smoother the meltiness gets. And it does exactly"
00:02:08,00:02:15,"the same thing in another thing that needs to get thinner often. Oh, it should be."
00:02:15,00:02:24,"A zen pick is actually made out of osmium. Blood thinners. Really? It's put in lots of blood thinners,"
00:02:24,00:02:28,"exactly the same thing. And it's usually in when you donate blood, they need to add something to"
00:02:28,00:02:32,keep it from clotting after you've donated it before it's given to someone. And they pop in
00:02:32,00:02:37,"basically nacho cheese. Sodium citrate also helps your body to create hydrogen and ions,"
00:02:37,00:02:42,which lowers acidity in your muscles and stops you from feeling the burn when you do lots of
00:02:42,00:02:47,"exercise. Oh, cool. I'm not exactly sure of the chemical process of how it works, but it does"
00:02:47,00:02:51,"work. And so some people take sodium citrate supplements. Well, they might use it if they've"
00:02:51,00:02:55,"got a urinary tract infection, because it can be used to relieve discomfort in those."
00:02:55,00:03:00,Really? I presume by just selectively melting bits of urinary tract. I've understood the
00:03:00,00:03:06,science. Does it work if you kind of like shove some melty cheese up there? I think that's that is
00:03:06,00:03:12,"some optimal, but it will in a pinch. That's what you've got. Yeah, yeah, yeah. Nacho cheese is"
00:03:12,00:03:17,"not a cheese. Not a cheese. It's a cheese product made from cheese, because as James says, you can"
00:03:17,00:03:22,"put any old cheese you shove it in and put this stuff in, you melt it, that becomes the nacho"
00:03:22,00:03:28,cheesy sauce. So there's no sort of core cheese that produces nacho cheese. So nacho cheese is
00:03:28,00:03:35,"not a cheese. It's a cheese derivative. It's an idea. Very clear if you eat it. It's weird,"
00:03:35,00:03:38,"because it's taking your cheese and it is making it worse, isn't it? I mean, it's making it more"
00:03:38,00:03:44,useful because it can spread over stuff. I think the thing is about food is it's not completely
00:03:44,00:03:51,objective. What I disagree about. Do you think everyone who likes nacho cheese is just straight
00:03:51,00:03:56,"up wrong? Well, I have brain on my nachos. That's what I do. And it's a bit harder to melt, but it's"
00:03:56,00:04:00,fine. The other thing about American cheese is it was invented in Switzerland by a Canadian.
00:04:03,00:04:07,"I think we've mentioned it before. It's James Kraft, who came up with the idea of"
00:04:07,00:04:11,extending the shelf life of cheese by putting all these salts in it. Interesting.
00:04:11,00:04:17,"Have we mentioned the competition we did? On stage? On stage? On our last tour? Oh, no."
00:04:17,00:04:24,We tried to break a record for the most slices of American cheese eaten in a minute and dry.
00:04:24,00:04:29,"Yeah. So it was a Guinness World Record. I brought Craig Glenday, who's the editor-in-chief,"
00:04:29,00:04:36,on stage for us to attempt to break it. And we sucked. It was really hard. 10 slices in a minute
00:04:36,00:04:42,"without being able to lubricate your mouth is nuts. It was too much. James, you got the most,"
00:04:42,00:04:48,"I think. I think James did pretty well. I did, respectively. And you guys did a small corner?"
00:04:48,00:04:52,I won. I was just so pulled by the quality of the cheese. I found the hardest thing was taking
00:04:52,00:04:56,off the bits of plastic because you had to do that as well. And I think the pros have like a
00:04:56,00:05:02,special flip that they do with a wrist that kind of flips the cheese out and helps and tweets it.
00:05:02,00:05:06,"But I think I had four in a bit. Yeah, you did amazing. And I've had like one and he'd been"
00:05:06,00:05:11,"practising for a week before. Yeah, I've been practising for so long, but he only told me on"
00:05:11,00:05:14,"the night I couldn't drink. If you can drink in between, you can get a lot more done. Do you"
00:05:14,00:05:19,"know what you can do in fondue instead of add sodium citrate and what they do do, in fact?"
00:05:19,00:05:23,"White wine, you had sweat, didn't you? Yeah, I guess you know how to make fondue."
00:05:23,00:05:30,"And his reaction there was like, she'd asked they've done between one and a million and I guessed"
00:05:30,00:05:34,"it. I was thinking, how has James worked out the chemical processes and then figured out that"
00:05:34,00:05:39,"wine does that? Oh, no, he just knows fondue recipes. So that's what the wine does in fondue."
00:05:39,00:05:44,Dry white wine has the same kind of acidity and that helps the cheese not congeal in exactly the
00:05:44,00:05:49,same way. It stops the cacine proteins binding together. Does the alcohol burn away or does it?
00:05:49,00:05:54,"Most of it burns away, but it is why fondue smells as like you'll notice of alcohol,"
00:05:54,00:05:59,which I've always thought it's such a strong smell. I don't think I've ever eaten it sober. So like
00:05:59,00:06:06,"so much alcohol around anyway, I've never noticed the smell of the fondue. You're so right. It's just"
00:06:06,00:06:11,"in the air, isn't it? Who invented nachos? Have we said this before? I'm not sure we have. Mr."
00:06:11,00:06:18,"Mr. Nacho. Mr. Nacho. Actually, not Mr. Nacho, Mr. Anaya. But his first name was Nacho,"
00:06:18,00:06:24,"which is short for Ignacio. And he created them in 1943 at the Victory Club in Mexico,"
00:06:24,00:06:31,Coahuila. And it was a restaurant close to the border. And a lot of American service people
00:06:31,00:06:35,who were kind of training for World War II were there. And their families as well. And they all
00:06:35,00:06:40,"came in one day and said, we want some food. This guy was the maitre d' but the chef had disappeared."
00:06:40,00:06:45,"As he said, don't worry, I'll make you something. And he ran into the kitchen and all he could find"
00:06:45,00:06:51,was these cheese and bits of tostadas and a few jalapenos. And he put them all under the grill.
00:06:51,00:06:56,"And the new dish was born. So you're saying it was kind of discovered by accident, in a way?"
00:06:56,00:07:02,"Maybe. Did he only had, did he have sodium citrate? Then did he have to,"
00:07:02,00:07:04,did he have like a big jar of chemicals? And it's like one of these?
00:07:04,00:07:09,"Exactly. Nacho cheese, as we would know it today, like the real, the stuff you can kind of squirt"
00:07:09,00:07:14,"onto the top of it, didn't exist then that existed a bit later. I believe he did get a promotion to"
00:07:14,00:07:18,head chef or something off the back of it. Interesting. I didn't know if that was a promotion.
00:07:18,00:07:22,I thought they were just on different career streams. Like I would have thought maitre d
00:07:22,00:07:27,"then goes to hotel manager. Okay. Well, he just changed career basically on the back of the major"
00:07:27,00:07:31,"invention. Because he had this moment of, it just had this moment of glory. That's 100% agree."
00:07:31,00:07:37,"I just agree with you, Andy. I just, I hadn't put that together. And now I think about"
00:07:37,00:07:41,having worked in hotels for lots of my life. That absolutely isn't a promotion at all.
00:07:42,00:07:47,It's very much a sidestep. It's a pivot. Yeah. And then he eventually left. He opened up his own
00:07:47,00:07:52,"restaurant, which he called nachos restaurant. Though I feel like he missed a trick. I feel"
00:07:52,00:07:57,"like he should have called it, let them eat nachos. That's my title because his wife was called"
00:07:57,00:08:02,"Marie Antoinette. And that just, yeah, just would have been fitting. But you would have had to have"
00:08:02,00:08:07,big brackets. The owner's wife is called Marie Antoinette. It's a great story for when you're
00:08:07,00:08:12,"sitting down saying, why'd you call it that? Another thing from Mexico, another food from"
00:08:12,00:08:21,"Mexico rather, Caesar salad. Invented in Tijuana in the 1920s. In fact, in not only in the 1920s"
00:08:21,00:08:26,"and 1924, because they've just had the 100th birthday of the Caesar salad, a chef called Caesar"
00:08:26,00:08:31,"invented it, which is why it's called Caesar salad. It's actually got nothing to do with Julia Caesar."
00:08:31,00:08:34,I didn't know that. No. That feels like the kind of thing you're learning here on your first day.
00:08:34,00:08:38,I'm so embarrassed. This is actually a suspiciously similar origin story to the nacho thing.
00:08:38,00:08:43,"He had a big crowd in the kitchen at his restaurant, but he only had some lettuce and"
00:08:43,00:08:49,"crostini and a dressing. Yeah. But it makes it seem like, wait a minute, was it a Caesar salad dressing?"
00:08:49,00:08:53,"Because it feels like that's really part of the invention. Yeah, yeah. It's like, yeah, but who"
00:08:53,00:09:00,"invented God? You know. Here's another surprising one. Where was the burrito invented? Oh, like"
00:09:00,00:09:07,Nantwich or something. During the Pina Colada festival. There was a big rush at the Pina Colada
00:09:07,00:09:11,"festival. Someone said, we need something to mop up all this Pina Colada and the chef only had"
00:09:11,00:09:19,"some pulled pork. Got it in wine? Burrito. Okay. Well, for me, Mexico, because it means Little"
00:09:19,00:09:24,"Dog Key in Spanish, burrito. Absolutely. I've only got a very silly answer here. So yeah. North Korea."
00:09:25,00:09:32,"This surprisingly, it was invented in 2011. This is one of the weird ass claims that Kim Jong-il"
00:09:32,00:09:38,"invented the burrito that was released by the local news sources of North Korea,"
00:09:38,00:09:43,who said that its popularity has been booming ever since 2011 and his invention of it.
00:09:43,00:09:46,"It's one of those false memory things where you think you had the miniature childhood,"
00:09:46,00:09:51,"but actually, who saw a burrito before 2011? Exactly. I never did. No one. I think it's no one."
00:09:52,00:09:56,"They actually have in their real history, or sorry, the alternative Western history,"
00:09:56,00:10:02,they did tend to be eaten in Mexico. And then there was this massive program called the
00:10:02,00:10:07,"Braquellos program in the 40s and 50s, where the US was short on workers and there were loads of"
00:10:07,00:10:11,Mexicans who wanted to come to America. So they offered them loads of work permits. And Americans
00:10:11,00:10:16,"thought, well, a good way to feed these laborers who of course, they were paying lower wages and"
