start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[Music]
00:00:13,00:00:17,Welcome to the latest bit of bonus material just for you!
00:00:17,00:00:21,What have we got for you this week? It is an episode of Meet the Elves!
00:00:21,00:00:24,"And it's someone, one of our one of our researchers who"
00:00:24,00:00:28,really we should have gotten a long long time ago.
00:00:28,00:00:32,But every time we ask her she's always too busy making the actual TV show of QI.
00:00:32,00:00:36,But we have Miranda Brennan! Hello! Hello Miranda!
00:00:36,00:00:39,Welcome to the show! Oh what a delight to be here!
00:00:39,00:00:41,It's delightful to have you! Top floor of the building!
00:00:41,00:00:45,"I love it! Welcome, welcome! Welcome out from the engine room!"
00:00:45,00:00:47,Here we are! It's exciting! We haven't done a Meet the Elf in a while.
00:00:47,00:00:50,This is one of my favourite things to do. Who are you?
00:00:50,00:00:54,"Who am I? Well get to that, Dan. It's a question that plagues me daily."
00:00:56,00:01:00,Let me explain the format very quickly. Miranda's come from downstairs.
00:01:00,00:01:04,She's got a question for us that she's been researching.
00:01:04,00:01:08,She's going to ask us a question and we're going to flounder around to try and find the answer.
00:01:08,00:01:12,Probably fail miserably and eventually she'll put us out of our misery.
00:01:12,00:01:15,But in the meantime hopefully we'll get to know you a little bit better.
00:01:15,00:01:18,So why don't we first of all just do the question itself?
00:01:18,00:01:22,"All right so the question I have brought to you today is,"
00:01:22,00:01:28,why did long capes and wide brimmed hats go out of fashion in Spain in 1766?
00:01:28,00:01:32,"Okay, that's a good question and I don't know the answer."
00:01:32,00:01:36,"And I'm sure we'll get, I know we're going to get to the answer, that's the point of this,"
00:01:36,00:01:42,"but we're going to, I'm looking forward to a lengthy stroll to award this answer."
00:01:42,00:01:46,Okay here's a question first of all. Is fashion one of your kind of
00:01:46,00:01:48,things that you like to talk about?
00:01:48,00:01:52,"It is, I love fashion and costume history, a huge amount."
00:01:52,00:01:54,"I've got a question, are you Spanish?"
00:01:54,00:01:59,"I am not Spanish, I haven't even done Spanish at school and there are going to be some names"
00:01:59,00:02:02,in this that I am going to mess up the pronunciation of.
00:02:02,00:02:03,Miranda.
00:02:03,00:02:06,Is it a Spanish name or is it a Roman language name?
00:02:06,00:02:09,"It originates from Shakespeare, he coined it in the Tempest."
00:02:09,00:02:11,"No, that's very cool."
00:02:11,00:02:14,"If I get out, well that's it, you won't never find out about the case."
00:02:14,00:02:15,"Stay, stay."
00:02:15,00:02:22,"When people watch Shakespeare and these like they brought in the character Miranda,"
00:02:22,00:02:23,and everyone go what the fuck's that?
00:02:23,00:02:31,"Yeah, well he got it from, he adapted a Latin gerund, which who here knows Latin because"
00:02:31,00:02:33,I did not go to a school that did Latin.
00:02:33,00:02:36,I think a gerund is like a verb where you...
00:02:36,00:02:37,Turns into a noun kind of thing.
00:02:37,00:02:42,"Yeah, so Mirare is to admire, Miranda is she who is admirable."
00:02:43,00:02:47,"Okay, I wonder if Shakespeare's Miranda broke the fourth wall as well,"
00:02:47,00:02:49,"you know, whenever something silly happened."
00:02:49,00:02:51,"When she fell over, whenever she fell over, yeah."
00:02:51,00:02:56,"I love that you brought up falling over because I have quite bad dyspraxia,"
00:02:56,00:02:57,means I'm quite clumsy.
00:02:57,00:03:03,I fell off the QI set when we were filming the last series and it was really embarrassing.
00:03:03,00:03:05,"You fell off, I mean there's only were you on the table?"
00:03:05,00:03:09,"Yeah, shaped like a giant Q and there's a tail bit,"
00:03:09,00:03:13,which is the handle of the magnifying glass in the QI logo and I just stacked it
00:03:13,00:03:17,right off that and I just went absolutely posterior over from...
00:03:17,00:03:20,"An interesting fact, by the way, from then on for the rest of the series,"
00:03:20,00:03:24,we had to have one of those yellow signs on the set the entire time.
00:03:24,00:03:25,"Yeah, it was like..."
00:03:25,00:03:27,It's been green screened out in the final roller.
00:03:27,00:03:31,"It's a little yellow gate like you get on a building site, kind of plastic barrier"
00:03:31,00:03:33,"and every time the audience came in, Sandy would say,"
00:03:33,00:03:35,please mind the barrier.
00:03:35,00:03:41,We've had a few mishaps and there'd be this ripple if I was in the auditorium.
00:03:41,00:03:42,All the other elves just turning and looking at me
00:03:42,00:03:44,because the mishap is me.
00:03:44,00:03:46,"Wow, but that's, do you know what?"
00:03:46,00:03:48,You're not the first person to do that.
00:03:48,00:03:50,"I remember James, you were definitely there."
00:03:50,00:03:52,"Andy, I can't remember if you were there at this point."
00:03:52,00:03:58,We were doing the group photo at the end of the season and the photographer himself
00:03:58,00:04:00,"as he was walking backwards from the inside,"
00:04:00,00:04:03,tripped over and absolutely like somersaulted over the set.
00:04:03,00:04:07,And we've mentioned before that I still have a scarf falling over the set.
00:04:07,00:04:09,Dressed as a chicken.
00:04:09,00:04:10,When I was dressed as a chicken.
00:04:10,00:04:11,Iconic.
00:04:11,00:04:13,"Yeah? Well, I'm also into fashion."
00:04:13,00:04:15,You're also a fashion icon.
00:04:15,00:04:15,You actually are.
00:04:15,00:04:17,You have some great shirts.
00:04:17,00:04:18,Dan has something about Spain.
00:04:18,00:04:20,Do I?
00:04:20,00:04:20,Yeah.
00:04:20,00:04:22,You really like the Spanish accent.
00:04:22,00:04:22,Jesus.
00:04:22,00:04:26,Particularly the lisp.
00:04:26,00:04:27,"How does it sound, Dan?"
00:04:27,00:04:28,I'm trying to imagine it.
00:04:28,00:04:30,"No, my mind's here."
00:04:30,00:04:31,"Well, is it a lisp?"
00:04:31,00:04:36,"I'm saying it's an affectation of a cultural way of speaking, right?"
00:04:36,00:04:38,"Yeah, speaking."
00:04:38,00:04:41,"So I am officially... Oh, God."
00:04:41,00:04:43,You'll get a picture of a nice...
00:04:43,00:04:44,We'll move on from that.
00:04:44,00:04:47,"But the reason I bring it up is not just to embarrass Dan,"
00:04:47,00:04:49,but because there is a theory.
00:04:49,00:04:52,I'm not sure how true it is that people did the lisp
00:04:52,00:04:56,because they were copying a member of the Spanish royalty.
00:04:56,00:05:00,"So I wonder, and there's been lots of stuff in history about people"
00:05:00,00:05:05,taking on fashion because the royals have taken on that kind of fashion.
00:05:05,00:05:07,Is this... Am I going in the right direction?
00:05:07,00:05:10,"Well, the Spanish royal family do come into this a bit."
00:05:10,00:05:12,So the king at the time is Carlos III.
00:05:12,00:05:13,"Well, Charles III."
00:05:13,00:05:15,What do we know about Carlos III?
00:05:15,00:05:18,I don't know anything about previous kings of Spain.
00:05:18,00:05:22,"Before Franco, I'm a bit of a grey area, to be honest."
00:05:22,00:05:23,He was the king of the sort.
00:05:23,00:05:25,"Wide brim tats, you said."
00:05:25,00:05:27,Wide brim tats and long capes.
00:05:27,00:05:28,So...
00:05:28,00:05:29,Long capes.
00:05:29,00:05:30,It'll be...
00:05:30,00:05:32,You cut quite a dashing figure.
00:05:32,00:05:35,"Yes, but it's not that it was fashionable"
00:05:35,00:05:36,because someone was wearing it.
00:05:37,00:05:40,"No. Well, I'm asking why it went out of fashion."
00:05:40,00:05:40,Why it went out of fashion.
00:05:40,00:05:44,I thought then that king then went out of fashion himself.
00:05:44,00:05:48,He wasn't known for being wildly fashionable.
00:05:48,00:05:49,Okay.
00:05:49,00:05:49,"Oh, okay."
00:05:49,00:05:50,Okay.
00:05:50,00:05:52,"Well, let's go in a different direction."
00:05:52,00:05:53,So we're in Spain.
00:05:53,00:05:54,We are.
00:05:54,00:05:55,Why would you wear it?
00:05:55,00:05:57,"It's hot, but like a big rimmed hat"
00:05:57,00:06:00,would be good for keeping you in the shade.
00:06:00,00:06:00,It would.
00:06:00,00:06:05,"And the cape wouldn't, but..."
00:06:05,00:06:06,It's fat.
