start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:15,- Hello and welcome to another episode
00:00:15,00:00:17,"of No Such Thing as a Fish,"
00:00:17,00:00:18,a weekly podcast coming to you
00:00:18,00:00:20,from the QI offices in Hoburn.
00:00:20,00:00:21,My name is Dan Schreiber.
00:00:21,00:00:24,"I am sitting here with James Harkin, Anna Tyshinski,"
00:00:24,00:00:26,and Andrew Hunter Murray.
00:00:26,00:00:28,"And once again, we have gathered around the microphones"
00:00:28,00:00:31,"with our four favorite facts from the last seven days,"
00:00:31,00:00:34,"and in no particular order, here we go."
00:00:34,00:00:37,"Starting with fact number one, and that is My Fact."
00:00:37,00:00:40,"My Fact this week is that a lot of the Daniel Day Lewis movie,"
00:00:40,00:00:44,"My Left Foot, was filmed using his right foot."
00:00:44,00:00:46,- What are you saying using?
00:00:46,00:00:48,"Is that, we're operating the camera with his right foot?"
00:00:48,00:00:49,"- Yeah, that's what it sounds like."
00:00:49,00:00:50,- While he filmed his left foot.
00:00:50,00:00:54,"Yes, and when I say a lot, I also mean some."
00:00:54,00:00:56,So let's just put this into context.
00:00:56,00:00:58,This is a movie about an Irish writer
00:00:58,00:01:00,and painter called Christy Brown.
00:01:00,00:01:02,"He was born with cerebral palsy,"
00:01:02,00:01:06,"and by the time he was an older kid, he didn't walk,"
00:01:06,00:01:08,"he couldn't do much, and he only really could operate"
00:01:08,00:01:10,"by moving his left foot,"
00:01:10,00:01:12,particularly the big toe on his left foot.
00:01:12,00:01:14,"As he grew older, he got really excited"
00:01:14,00:01:15,by the idea of becoming an artist.
00:01:15,00:01:17,"He started to learn to paint,"
00:01:17,00:01:19,and then he started to write a book
00:01:19,00:01:22,by using that left toe on a typewriter.
00:01:22,00:01:23,"It was a massive success,"
00:01:23,00:01:26,"and this is what eventually became a biopic,"
00:01:26,00:01:28,which starred Daniel Day-Lewis.
00:01:28,00:01:29,"Now, for anyone who knows Daniel Day-Lewis,"
00:01:29,00:01:30,he's a method actor.
00:01:30,00:01:32,"He loves to really immerse himself,"
00:01:32,00:01:35,"and in this case, he operated most of the movie"
00:01:35,00:01:37,from a wheelchair using his left foot.
00:01:37,00:01:40,"- Yeah, and when you say method actor,"
00:01:40,00:01:42,he basically lived as this character
00:01:42,00:01:43,"throughout the whole time, right?"
00:01:43,00:01:46,"He stayed in the wheelchair the whole time, pretty much."
00:01:46,00:01:48,Like he had to be carried places.
00:01:48,00:01:50,"- Yeah, made the cast and crew feed him."
00:01:50,00:01:52,"- Well, he just was trying to stay in character,"
00:01:52,00:01:53,but here's the thing.
00:01:53,00:01:58,The movie involves some quite intense stunts footwork-wise.
00:01:58,00:02:00,"Okay, the movie is not,"
00:02:00,00:02:01,"I'm sorry, I watched the film yesterday."
00:02:01,00:02:02,It's a terrific film.
00:02:02,00:02:03,Stunts is not a good way to play it.
00:02:03,00:02:04,"- Yeah, yeah."
00:02:04,00:02:06,"And when you say this movie contains footwork,"
00:02:06,00:02:07,it's not like Ginger Rogers.
00:02:07,00:02:09,(laughing)
00:02:09,00:02:11,"- So there's a couple of scenes where he,"
00:02:11,00:02:13,"as an actor, was unable to do it"
00:02:13,00:02:16,by manipulating his left foot into the right positions.
00:02:16,00:02:17,- But so the scenes are basically
00:02:17,00:02:19,he's holding a paintbrush or a pencil.
00:02:19,00:02:20,- Or writing.
00:02:20,00:02:22,"And the first shot of the whole film,"
00:02:22,00:02:24,it's just a shot of a foot.
00:02:24,00:02:27,And it's taking a vinyl record out of the sleeve.
00:02:27,00:02:28,- Yeah.
00:02:28,00:02:28,- And popping it off the turn.
00:02:28,00:02:29,"- So what you're saying, Dan,"
00:02:29,00:02:31,is that he did that with his right foot
00:02:31,00:02:32,instead of his left foot.
00:02:32,00:02:33,- Exactly.
00:02:33,00:02:34,"- Now my question is,"
00:02:34,00:02:36,how did we not tell the difference in the movie?
00:02:36,00:02:38,- He has them switched around.
00:02:38,00:02:40,It's really the opposite way around.
00:02:40,00:02:41,- That's the method.
00:02:41,00:02:44,He had to speak seven and then reversed.
00:02:44,00:02:45,(laughing)
00:02:45,00:02:47,"- That's exactly it, Andy's got it right."
00:02:47,00:02:48,It was mirror filmed.
00:02:48,00:02:52,So the detail is a bit actually quite hard
00:02:52,00:02:55,to work out if they flipped the film itself
00:02:55,00:02:57,as in they did a mirror image
00:02:57,00:03:00,or if they filmed through a mirror.
00:03:00,00:03:00,"- Right, okay."
00:03:00,00:03:02,- Has anyone else seen it?
00:03:02,00:03:03,"- Yeah, many years ago."
00:03:03,00:03:04,Good film.
00:03:04,00:03:06,"Weirdly, I read the book about 20 years ago."
00:03:06,00:03:07,It was also a great book.
00:03:07,00:03:08,"- Did you, right?"
00:03:08,00:03:10,"- Yes, apparently he's a brilliant writer"
00:03:10,00:03:11,"when the book came out,"
00:03:11,00:03:14,"which bizarrely was when this guy Christy was,"
00:03:14,00:03:16,Christy Brown was only 22.
00:03:16,00:03:18,He was so young to be writing about your experiences
00:03:18,00:03:20,"so far, but I think it was in the 50s."
