start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:14,- Hello and welcome to another episode
00:00:14,00:00:17,"of No Such Thing as a Fish, a weekly podcast"
00:00:17,00:00:20,coming to you from the QI offices in Hoburn.
00:00:20,00:00:21,My name is Dan Schreiber.
00:00:21,00:00:23,"I am sitting here with Andrew Hunter Murray,"
00:00:23,00:00:25,Anna Tyshinski and James Harkin.
00:00:25,00:00:28,"And once again, we have gathered around the microphones"
00:00:28,00:00:30,with our four favorite facts from the last seven days
00:00:30,00:00:34,"and in no particular order, here we go."
00:00:34,00:00:37,Starting with fact number one and that is Anna.
00:00:37,00:00:41,- My fact this week is that when Socrates lost feeling
00:00:41,00:00:45,"in his penis, he asked his friend to sacrifice a cock."
00:00:45,00:00:46,- Wow.
00:00:46,00:00:49,"- When you say sacrifice is cock, does that mean"
00:00:49,00:00:53,he swaps it over for Socrates as well?
00:00:53,00:00:55,"- Like a battery swap, yeah, yeah, yeah."
00:00:55,00:00:56,- Have you rubbed it?
00:00:56,00:00:57,"- Yeah, have you put it in the right way around?"
00:00:57,00:01:00,- It's like a literal auger donor.
00:01:00,00:01:03,- This is very immature wording of a very serious story
00:01:03,00:01:06,about someone who had to commit suicide.
00:01:06,00:01:07,So it's 399 BC.
00:01:07,00:01:09,"- Wow, I didn't actually read the story."
00:01:09,00:01:14,- He was executed by himself.
00:01:14,00:01:15,"- Yeah, I think that is a difference."
00:01:15,00:01:17,"- It is so bizarre, the, yeah,"
00:01:17,00:01:19,I don't know if we do this anymore in any countries
00:01:19,00:01:21,"that the state sentenced him to suicide,"
00:01:21,00:01:23,which I don't know if you can call it suicide
00:01:23,00:01:26,"when the state, but they gave him the hemlock and he took it."
00:01:26,00:01:28,"Anyway, and the effect of it,"
00:01:28,00:01:31,"because he was so hardcore, Socrates,"
00:01:31,00:01:34,"and he was so, had his shit together,"
00:01:34,00:01:36,"hemlock usually had quite violent effects on people,"
00:01:36,00:01:38,"but according to the people around him,"
00:01:38,00:01:40,"with him, it just made him go numb gradually"
00:01:40,00:01:43,"from the feet up, it crept up his legs,"
00:01:43,00:01:46,"and as it reached his groin,"
00:01:46,00:01:48,"the numbness of the hemlock as he was killing himself,"
00:01:48,00:01:51,"according to Plato, he spoke his last words,"
00:01:51,00:01:54,"which were, we owe a rooster to a sclipius,"
00:01:54,00:01:56,"we owe a cock to a sclipius,"
00:01:56,00:01:59,don't forget to pay that debt.
00:01:59,00:01:59,And then he died.
00:01:59,00:02:01,"- And a sclipius was a god,"
00:02:01,00:02:03,this is not a person he had borrowed a cockerel from.
00:02:03,00:02:05,"- Yes, sorry."
00:02:05,00:02:07,- And we should say we're in fourth century Athens.
00:02:07,00:02:08,That's the other thing we should say.
00:02:08,00:02:09,- BC.
00:02:09,00:02:12,"- In context, BC, sorry, fourth century BC Athens,"
00:02:12,00:02:13,a sclipius was the god of healing.
00:02:13,00:02:15,"- Yeah, and the idea is that whenever you were sick"
00:02:15,00:02:19,"and you got better, you sacrificed a cockerel to a sclipius,"
00:02:19,00:02:23,"but he saw his death as a recovery from life almost,"
00:02:23,00:02:25,like he wasn't scared of death was the point.
00:02:25,00:02:27,- It's been cured of the sickness of living.
00:02:27,00:02:29,- It's very cryptic.
00:02:29,00:02:31,"Like, and also you can't ask him,"
00:02:31,00:02:32,what did you mean by that exactly?
00:02:32,00:02:34,"Because he's just, he's literally just died."
00:02:34,00:02:36,"So there are a few theories of,"
00:02:36,00:02:39,or maybe he's making fun of the Pythagoreans
00:02:39,00:02:41,"because they saw cockerels as being sacred,"
00:02:41,00:02:43,or maybe he was alluding to something else.
00:02:43,00:02:45,"But it seems likely that exactly he was saying,"
00:02:45,00:02:48,"actually, life is the illness."
00:02:48,00:02:50,"- Yes, nice."
00:02:50,00:02:51,- Real chin stroker.
00:02:51,00:02:52,"- Well, he was a funny man, wasn't he?"
00:02:52,00:02:53,"- He was a funny guy, yeah."
00:02:53,00:02:57,- There's a big theory that he didn't die of hemlock really.
00:02:57,00:02:58,"I mean, he had died of hemlock,"
00:02:58,00:03:00,but it wasn't the hemlock that made him go numb
00:03:00,00:03:01,because hemlock doesn't make you go numb.
00:03:01,00:03:04,"- No, but as I said, he's a very special man."
00:03:04,00:03:05,- I think the-
00:03:05,00:03:06,- But then there are other theories.
00:03:06,00:03:07,- The suggestion is that he had a lot of opium
00:03:07,00:03:11,mixed in with it to kind of take the edge off a little bit.
00:03:11,00:03:12,- Okay.
00:03:12,00:03:14,- Because there was a guy in the 18th century
00:03:14,00:03:16,described the effects of hemlock.
00:03:16,00:03:18,"And there was a guy called Fergus Cadd,"
00:03:18,00:03:20,"and he was living in the village of Talisca,"
00:03:20,00:03:23,and he mistakenly ate some hemlock roots
00:03:23,00:03:24,thinking it was carrots.
00:03:24,00:03:26,"And he said, his eyes did roll about,"
00:03:26,00:03:28,"his countenance became very pale,"
00:03:28,00:03:30,"his sight had almost failed him,"
00:03:30,00:03:33,"the frame of his body was all in a strange convulsion,"
00:03:33,00:03:36,and his pudenda retired so inwardly
00:03:36,00:03:37,that there was no discerning
00:03:37,00:03:40,whether he had been male or female.
00:03:40,00:03:41,"- Okay, out."
00:03:41,00:03:42,"- But it was quite funny,"
00:03:42,00:03:44,it would make you convulse and stuff.
00:03:44,00:03:45,- Was he all right in the end?
00:03:45,00:03:46,- This guy actually got better.
00:03:46,00:03:48,"They basically, they gave him loads of stuff"
00:03:48,00:03:51,to make him vomit and make him shit himself
00:03:51,00:03:52,"until it all got out of his system,"
00:03:52,00:03:54,and he just about survived.
00:03:54,00:03:55,- What about his pudenda?
00:03:55,00:03:56,(all laughing)
00:03:56,00:03:58,Did they reinflate?
00:03:58,00:03:59,- Not recounted.
00:03:59,00:04:00,(all laughing)
00:04:00,00:04:01,"Don't get the wrong, the important stuff."
00:04:01,00:04:02,- That's interesting about the opium
00:04:02,00:04:04,because that kind of suggested
00:04:04,00:04:05,it's like the equivalent of a last meal
00:04:05,00:04:06,when you're on death row.
00:04:06,00:04:08,"It's like, you're gonna be drinking this,"
00:04:08,00:04:10,what would you like as your mixer?
00:04:10,00:04:11,- Yeah.
00:04:11,00:04:12,- What do you want in there to make it go down nicely
00:04:12,00:04:13,at the end?
00:04:13,00:04:14,- Can I have a hemlock and opium?
00:04:14,00:04:16,"Oh, we've already got Pepsi, is that okay?"
00:04:16,00:04:17,(all laughing)
00:04:17,00:04:20,"- Opium Max, unfortunately."
00:04:20,00:04:22,"- Well, we should say what he was sentenced to death for."
00:04:22,00:04:22,- Yeah. - Yeah.
00:04:22,00:04:23,- So.
00:04:23,00:04:24,- Corrupting the youth.
00:04:24,00:04:27,- Corrupting the youth and also impiety.
00:04:27,00:04:30,"And he'd been teaching young people critical thinking,"
00:04:30,00:04:31,"which he was frowned on,"
00:04:31,00:04:34,and he'd also probably not been taking religion
00:04:34,00:04:35,"completely seriously,"
00:04:35,00:04:37,and Athens was a very religious society.
00:04:37,00:04:40,"And also, the other sort of context is like,"
00:04:40,00:04:42,Athens had had this really rough time.
00:04:42,00:04:44,"It was sort of, it was in the golden age of democracy,"
00:04:44,00:04:45,but they'd just been really walloped in a war
00:04:45,00:04:50,"by the Persians, and it was a very rough time."
00:04:50,00:04:52,And there's a theory that people were willing
00:04:52,00:04:53,"to put up with Socrates,"
00:04:53,00:04:56,"who famously asked provocative questions,"
00:04:56,00:04:58,"didn't accept the established version of things,"
00:04:58,00:05:00,"like he was a provocateur, he was a thinker."
00:05:00,00:05:02,And there was a theory that when it was going fine
00:05:02,00:05:04,"for Athens, people were willing to put up with that."
00:05:04,00:05:06,"And then when Athens was really doing badly,"
00:05:06,00:05:09,"people said, ""This is subversive now."
00:05:09,00:05:11,"""So you're gonna have to knock it off."""
00:05:11,00:05:12,- Interesting.
00:05:12,00:05:13,"- He was tried for that, you know?"
00:05:13,00:05:16,"He was tried by a jury, and it was a massive jury."
00:05:16,00:05:19,It's not like you're a classic 12 angry people.
00:05:19,00:05:22,It is 501 jury members.
00:05:22,00:05:23,- The Levi's jury.
00:05:23,00:05:25,- The Levi's jury.
00:05:25,00:05:26,(all laughing)
00:05:26,00:05:27,- Absolutely.
00:05:27,00:05:30,"And it was, the one extra is so that you don't get a tie"
00:05:30,00:05:31,when it comes to the fighting.
00:05:31,00:05:33,"- It'd be bad luck to get 250 all, wouldn't it?"
00:05:33,00:05:34,(all laughing)
00:05:34,00:05:35,- Exactly.
00:05:35,00:05:39,"He ended up with a close margin, 280 voted,"
00:05:39,00:05:41,that he was guilty versus 221.
00:05:41,00:05:42,- It's not that close.
00:05:42,00:05:44,"- Well, I guess it's--"
00:05:44,00:05:46,"- It's thump it in a modern democracy,"
00:05:46,00:05:47,that's a resounding mandate.
00:05:47,00:05:48,"- Okay, well he got thumped."
00:05:48,00:05:52,"Well, what's even crazier is that he lost it, 280 to 221."
00:05:52,00:05:53,That was just to find him guilty.
00:05:53,00:05:55,Then there was another vote to see
00:05:55,00:05:56,what the sentence should be.
00:05:56,00:05:58,"He said, ""Well, I think you should give me"
00:05:58,00:05:59,"""free lunch for life."""
00:05:59,00:06:00,"Like he was a joker, right?"
00:06:00,00:06:03,"That pissed off the members of the jury,"
00:06:03,00:06:05,including jury members who said that he was innocent.
00:06:05,00:06:08,"And even they voted for the death sentence,"
00:06:08,00:06:10,because I was so pissed off by that joke that he made.
00:06:10,00:06:11,- Yeah.
00:06:11,00:06:15,"- I think it's a weird thing to ask the newly guilty party,"
00:06:15,00:06:17,what do you think your punishment should be?
00:06:17,00:06:19,"It's a bit like asking a toddler, isn't it?"
00:06:19,00:06:20,- Yeah.
00:06:20,00:06:21,"- But maybe that was a little bit like twist,"
00:06:21,00:06:24,"playing your own game, Mr. Socrates."
00:06:24,00:06:26,"You're the one always asking us bloody questions,"
00:06:26,00:06:27,rather than giving us answers.
00:06:27,00:06:29,"Well, we'll ask you a question."
00:06:29,00:06:31,- Did anyone vote for the free lunches for life?
00:06:31,00:06:34,(all laughing)
00:06:34,00:06:37,"- To be fair, he did get free lunches for life, probably."
00:06:37,00:06:37,"- Oh, yeah."
00:06:37,00:06:38,"- I mean, I don't imagine he had to pay"
00:06:38,00:06:39,for the hemlock and opium.
00:06:39,00:06:41,"- Maybe it was his clever way of saying,"
00:06:41,00:06:45,"I think I should be put to death in a couple of days,"
00:06:45,00:06:48,but that I should get the food in the prison in that time.
00:06:48,00:06:49,"Like, there was his clever way of saying,"
00:06:49,00:06:50,"yes, put me to death."
00:06:50,00:06:53,"- Yeah, it's gotta be a clever way of saying something,"
00:06:53,00:06:54,"'cause that was what he did, wasn't it?"
00:06:54,00:06:56,"- Well, actually, like, you know what?"
00:06:56,00:06:57,"He was sentenced to death,"
00:06:57,00:07:02,"but then his mates bribed the prison guards and said,"
00:07:02,00:07:03,we'll get you out of here.
00:07:03,00:07:05,"And he said, now you're all right."
00:07:05,00:07:06,- Yeah.
00:07:06,00:07:07,- I'll just take my punishment.
00:07:07,00:07:08,- Really?
00:07:08,00:07:09,- Yeah.
00:07:09,00:07:10,- And his idea was that the law of Athens
00:07:10,00:07:12,didn't protect him all the way through his life.
00:07:12,00:07:14,"And so it would be inconsistent to say,"
