start_hhmmss,end_hhmmss,text
00:00:00,00:00:03,Howdy club fish members. How you doing?
00:00:03,00:00:06,Dan here. We have a compilation episode for you today
00:00:06,00:00:11,This is the best bits of the stuff that didn't make it into the main episodes little outtakes
00:00:11,00:00:17,Little extra bits of info that didn't quite fit the narrative of the show all bunged together here for you
00:00:17,00:00:22,Starring the four fishers plus John Lloyd the QI Supremo
00:00:22,00:00:28,So hope you enjoy that this should be hitting the club fish page on Tuesday
00:00:28,00:00:32,Which means we are just under two weeks away from doing our next live show
00:00:32,00:00:38,Which is happening in Sheffield at the crossed wires festival just gonna say that if you are thinking of coming
00:00:38,00:00:44,We are on the edge of selling out and so don't leave it till last minute cuz there might not be any tickets left
00:00:44,00:00:49,You can find them by going to know such thing as a fish calm. It'll be a really fun night
00:00:49,00:00:54,I think the show is about 85 minutes. We're gonna be doing really fun things like we're gonna enter
00:00:54,00:01:01,Someone into the fish Hall of Fame a local from Sheffield who has been mentioned previously on the episode
00:01:01,00:01:05,So they'll be up on stage with us or at least that's the plan. We might try out something new all together
00:01:05,00:01:09,It's always fun doing these live shows and we'd love to see you there. So come along
00:01:09,00:01:13,But for now enjoy the compilation episode. Here we go
00:01:13,00:01:15,I
00:01:15,00:01:31,Had a quick hunt by the way cuz Murray's plums
00:01:31,00:01:34,"Nice to have something named after you. Yeah, Andy"
00:01:34,00:01:38,I wanted to see if we had any other fruits that were relevant to us
00:01:38,00:01:41,The other three of us. So I found harken peaches
00:01:42,00:01:48,"Yeah, it says harken peaches now. It's Ian as opposed to iron for yeah, so harken peaches like listen peaches"
00:01:48,00:01:53,"Yeah, as I tell the harken the tail and I so I was just reading up to see if there were any similarities"
00:01:53,00:01:55,So I found someone who actually
00:01:55,00:02:01,Farms them and they say that normally harken trees are pretty finicky producers
00:02:01,00:02:07,"Okay, I'm a finicky producer when it comes to TV production. Yeah, you're covered in a lovely soft fuzz"
00:02:08,00:02:10,I
00:02:10,00:02:19,"Know you you don't have a toshinsky, but you have an Anna which is an Anna's apple, which is Anna Bolin's"
00:02:19,00:02:31,Let's not make assumptions. That's a leap. That's a leap. I'm not really maybe named after her head
00:02:31,00:02:36,Well in some of the photos it is quite a flat apple. They didn't take photos at the time
00:02:36,00:02:39,What oh right of the apple?
00:02:39,00:02:44,"In some photos there's different shapes to it. So yeah, I got excited"
00:02:44,00:02:50,"Two of ambulance homes in the last month ambulance following me around at the moment. No, you're following her around"
00:02:50,00:03:00,"These other detectors, okay like the weird ways people have tried to detect neutrinos because lots of countries have got their own ones around the place"
00:03:00,00:03:06,"So there's one in Japan, which is a tank of 50,000 tons of ultra pure water under a mountain"
00:03:06,00:03:11,That's called the super cameo candy and scientists have to get rafts around the surface of this
00:03:11,00:03:15,What on the ultra pure water? They were around on it. I shot that clean the rafts before they go in
00:03:15,00:03:22,"They probably have one of those little, you know a little puddle of clean water that you walk through so that you don't get verucous"
00:03:22,00:03:26,"Yeah, definitely, and they'll have a pool robot on the inside just getting anything else"
00:03:26,00:03:29,A guy with his top off in a long net
00:03:32,00:03:40,Then there was the first detector built in the 60s by Raymond Davis Jr. And John Buckle was a tank with half a million litres of dry cleaning fluid in it
00:03:40,00:03:44,"Oh, yeah, what yeah, it has more uses I guess"
00:03:44,00:03:49,"Yeah, yeah, yeah, I don't know if I know what dry you mean like washing fluid"
00:03:49,00:03:54,It's a it's a chemical you use isn't it? I can't remember what it's called now
00:03:54,00:04:00,Never been to dry cleaners wouldn't know but cool glad it's got another even better application. Absolutely. Yeah
00:04:00,00:04:03,That's really cool. And there's one called dune in America
00:04:03,00:04:13,"It's underground it is underground like the worms, but there are two detectors 800 miles apart one is pointing at the other one"
00:04:13,00:04:20,"You know plums have stones in them. Yeah, they're unique to the species that stone"
00:04:20,00:04:25,You know all the like the little bumps and stuff that you get in them like a fingerprint like a fingerprint
00:04:25,00:04:27,"So, you know, which plum has burgled you"
00:04:28,00:04:34,"What do you mean unique to the species sorry so if you get a little plum stone, yeah, it's got loads of wrinkles on it"
00:04:34,00:04:38,"Yeah, and you have a book which has all the different patterns"
00:04:38,00:04:44,You'll be able to tell which species of plum it comes from or which variety why we matches the same dense in the stone
00:04:44,00:04:49,"Yeah, exactly. And so in the Marie Rose ship"
00:04:49,00:04:55,We sank when 16th century and then they raised it in when up 20th century
00:04:56,00:05:02,They found all these stones all these plum stones and they could tell exactly what species they were and they went
00:05:02,00:05:05,Or what variety they were and they went back to the national fruit
00:05:05,00:05:08,Center which I think we might have mentioned before
00:05:08,00:05:13,"Yes, I checked it against modern fruits and they could see exactly what they were. Oh my goodness"
00:05:13,00:05:17,That's insane. That is why they share fingerprints
00:05:17,00:05:21,So if you're one species of plum then you can blame the burglary on your mate
00:05:21,00:05:27,Who's the same species because you've left the same pretty. It's almost like every family would have the same or something like that
00:05:27,00:05:30,Professor plum
00:05:30,00:05:35,"Yeah, so"
00:05:35,00:05:38,Plums blue gold they're called in Serbia. Yeah
00:05:38,00:05:44,They have 40 million plum trees and at least three plum festivals every year in Serbia
00:05:44,00:05:47,And if you have
00:05:50,00:05:54,Serbian drink the national drink and that's plum flavored usually
00:05:54,00:05:59,"Oh, God, is that is that the thing they give you at the free at the end of every meal whenever you go to one of those countries?"
00:05:59,00:06:04,"Yeah, if you're in like Serbia Montenegro some parts of Bosnia and"
00:06:04,00:06:11,"They give you that have it because if you don't you're insulting them, but you're gonna regret it the next like all of those things"
00:06:11,00:06:16,"Where it claims to be favored with X but it tastes like petrol like yeah, it tastes really strong quite chemical"
00:06:16,00:06:19,"Yeah, there's often a thing where I don't know if this is your experience"
00:06:19,00:06:24,But where if you're there with someone of the opposite sex in my experience
00:06:24,00:06:30,My wife would be given a reasonably nice spirit and I would be given something. It was absolute lighter
00:06:30,00:06:38,Slightly bloke a thing to get and she's got a little bit of plum brandy or something and I'm just drinking pure diesel
00:06:38,00:06:43,I must admit whenever I've been with Serbians and the slivovics has come out
00:06:43,00:06:47,"Usually everyone's getting involved. Yeah. Okay. Yeah, yeah"
00:06:48,00:06:50,They must think of you as particularly manly
00:06:50,00:06:56,What they've seen my plans
00:06:56,00:07:01,The Venice in general is a I didn't I had no idea how it's built
00:07:01,00:07:05,So I knew it was Laguni. I knew it's in the middle of a lagoon
00:07:05,00:07:10,"I knew that sort of you know, and there wasn't a road or rail link until the middle of the 19th century"
00:07:10,00:07:14,"Yeah, but it was built what I didn't know is that it is how it's on stills"
00:07:14,00:07:18,So every building is built on these wooden poles
00:07:18,00:07:25,"Which have been driven down into the sediment and if you drive down enough poles, it's like nine or ten per square meter"
00:07:25,00:07:27,You can just put stone on top of that and it all
00:07:27,00:07:37,"Here's the church of San Marco required 10,000 oak trees to be put into converted into poles for one church"
00:07:37,00:07:41,It's a big church the whole of Venice must be way even more than that
00:07:41,00:07:46,"It's millions. Yeah, millions and millions of these poles. It's like they say it's an inverted forest"
00:07:46,00:07:51,"It's so cool. And this was literally 1500 years ago, wasn't it? I mean, this is in the fifth century or whatever"
00:07:51,00:07:54,Which is extraordinary that they were able to do that
00:07:54,00:07:59,"I think and the good thing is because they're underwater and they're all underwater, right?"
00:07:59,00:08:03,"So you've got the the rocks on top, but the poles themselves never go above the water"
00:08:03,00:08:06,And that means they don't rot because there's no oxygen to make them rock
00:08:07,00:08:12,So they stay on the water and they're still now the ones from 1500 years ago is still good
00:08:12,00:08:14,They're not they're not kind of falling apart. It's amazing
00:08:14,00:08:21,And there was a job the batty Pali the pile hitters that was their job was to pound pound the piles into the ground
00:08:21,00:08:24,You need a big hammer for that. Don't you? How are you doing that?
00:08:24,00:08:28,What you do I didn't often work experience on a farm once and I had to
00:08:28,00:08:34,When you're building a fence you have this big metal drum which is open at one end and it's got two handles
00:08:34,00:08:37,"It's like a milk churn, basically, but you put it upside down"
00:08:37,00:08:42,You put it over the steak you're banging into the ground a steak banging and you just lift it up and bang down
00:08:42,00:08:46,It goes it's such hard work and water that must be really difficult with a whole sort of tree
00:08:46,00:08:49,You basically you've got to be so strong. You've got to be so strong
00:08:49,00:08:55,"Yeah, yeah, and they had their traditional song which was all about venison its glory and death to the Turks like good traditional stuff"
00:08:55,00:08:59,"And even now in Venice, there's a phrase nattista. They're about the pie"
00:08:59,00:09:03,Which means a head that is good to pound down the piles. Are you a bit thick?
00:09:03,00:09:05,"You know, nice"
00:09:05,00:09:09,And now we're gonna talk about why you only lasted an afternoon of work experience on that farm
00:09:09,00:09:16,"Yeah, I was slated for a seven-year contract of steak banging, but I got tired. It's really hard work"
00:09:16,00:09:23,"Um, you know George Foreman's grill. Yeah most famous grill of all time. It's shifted like over a hundred million units"
00:09:23,00:09:27,"Is it a barbecue? No, no, it's like it's a grill you sort of you a toasty maker"
00:09:27,00:09:30,It's like it's like it is like what it's like it looks exactly like one
00:09:30,00:09:36,But it's for meats and it's and it's positioned on an angle so that all of the juices sort of run down and away
00:09:36,00:09:43,"So it's yeah, I miss and he's made more he made because he's passed away now more money off the back of that than his entire"
00:09:43,00:09:49,Boxing career by substantial amount. He's made like between 200 and 500 million off of it because he was getting 40% of the deal
00:09:49,00:09:52,But most people mistook him as the creator of it
00:09:52,00:09:57,"But in fact, it was this brilliant innovator who was called Michael Bohm who was the person who started it"
00:09:57,00:10:02,He went to George Foreman and Hulk Hogan to say which one of you could do it
00:10:02,00:10:06,"Oh, he went to the same agent who had both of them. Yeah, Foreman got it in the end"
00:10:06,00:10:09,And but this guy no one believed him that he invented it
00:10:09,00:10:15,So he used to walk around with the patent on to him any time that someone said you're not the inventor
00:10:15,00:10:18,He was a am I not have a look at my patients talking to him at a party
00:10:18,00:10:24,T-shirt saying I invented the George Foreman grill is making is deterring me
00:10:25,00:10:27,He's not talking to you at a party
00:10:27,00:10:35,"Yeah, meet her on Francois meet her on recent one. Yeah, very recent. He had a wife"
00:10:35,00:10:37,But he also had a mistress in the dark
00:10:37,00:10:43,He basically lived a double life and it was his wife Danielle who insisted that it was kept secret from the press and
00:10:43,00:10:46,"basically the press all knew about it, but they"
00:10:46,00:10:52,Like decided they wouldn't print anything that ultra the ultra conservative about exposing their leaders
00:10:53,00:10:56,They really are they're very very cautious about it
00:10:56,00:10:59,They are I suppose that it's weird because they're conservative about that
00:10:59,00:11:03,But they are much more liberal as we famously know about relationships
00:11:03,00:11:07,So meter on situation was so interesting before he became president
00:11:07,00:11:13,He lived in a house with his wife and his wife's lover who has like just had a separate room in their house
00:11:13,00:11:15,And when he became president
00:11:20,00:11:26,But he when he did become president they like his staff moved to the woman and who he was having this affair with into a house
00:11:26,00:11:27,It was nice and near him
00:11:27,00:11:33,So he could go and sit there all the time and they employed a guy to make sure that no one printed anything about them
00:11:33,00:11:37,So there was this guy called Francois de Grosse of
00:11:37,00:11:43,And whenever any journalists sort of sniffed around said we're gonna do an article about this separate life
00:11:43,00:11:47,You have at one stage they got a journalist and kidnapped him and locked him in the cellar for a week saying
00:11:49,00:11:51,And then it's like it's a bigger story
00:11:51,00:11:56,"Yeah, and then in 2021 it turned out that he wasn't living a double life after all he was living a triple life"
00:11:56,00:12:01,And there was another woman called Claire who was 50 years his junior
00:12:01,00:12:04,Who that he was having an affair with the whole time as well
00:12:04,00:12:06,I actually think he was having lots of shags along the way
00:12:06,00:12:11,"But yeah, Claire again, it was it's so interesting. It's just like very different"
00:12:11,00:12:13,Standards that I can't judge
00:12:13,00:12:18,So she Claire had followed him for four years from when she was 18 to when she was 22
00:12:18,00:12:25,"Yeah, and then eventually invited him around her house and they had basically what seems like quite a nice relationship for the last 10 years of his life"
00:12:25,00:12:32,"Alongside his marriage, right? It's one interpretation and then other people could say that it wasn't appropriate"
00:12:32,00:12:36,"Yeah, you could say that there's a massive massive power imbalance. You could say that yes"
00:12:36,00:12:42,Although she's definitely more physically able and the staff all said it was great because she could go on official visits with him
00:12:42,00:12:47,And because she was so young even in France no one suspected that they were together
00:12:47,00:12:50,So she used to accompany him brilliant in many ways the perfect crime
00:12:50,00:12:54,I want to stress the word Christ
00:12:54,00:13:03,But all of this stuff about method acting and the method I love it all goes back to Stanislavski
00:13:03,00:13:06,"Yes, the Russian guy Russian acting coach"
00:13:06,00:13:07,Yeah
00:13:07,00:13:13,Constant in Stanislavski and he founded this realistic acting stuff and the problem all acting was very unrealistic on film
00:13:13,00:13:18,Because it was silent film so you have to have big theatrical gestures and movements and and theater as well
00:13:18,00:13:23,"You would exactly yeah, and you can't and then it all changes when the close-up is invented"
00:13:23,00:13:25,Suddenly you zoom right in on someone's face and they're going
00:13:25,00:13:29,They look like they're overacting
00:13:29,00:13:32,Crazily and so you have to then you could do the less is more school
00:13:32,00:13:39,"But and Stanislavski founded this sort of realistic acting. Yeah, and you would go in and you'd be an actor in Stanislavski's"
00:13:39,00:13:42,Moscow theater and
00:13:42,00:13:46,"You would do your lines, and he would just go I don't believe you and you do them again"
00:13:46,00:13:49,He go I don't believe you I don't believe you I don't believe you
00:13:49,00:13:52,And you just say that again and again and again until it was right
00:13:52,00:13:54,That's genuinely flashback to my clown school days
00:13:54,00:14:00,What you're doing and they won't let you go but Stanislavski in fairness he walked the walk
00:14:00,00:14:05,So he did that method himself and whenever he was acting a part
00:14:05,00:14:10,He would go for a walk in the altar like he had a big sort of theater in Crimea
00:14:10,00:14:13,And he would go for a walk in his character every single morning
00:14:13,00:14:15,Everyone would laugh at him and point at him
00:14:15,00:14:19,But he didn't really mind because he was just trying to get into character. I really respect the lack of
00:14:19,00:14:24,"Social fear yeah, you have to have to do that like Daniel A. Lewis just having the guts to do it"
00:14:24,00:14:27,And I really liked the fact I thought he was a bit of a dick for doing it
00:14:27,00:14:29,But then you read interviews and he said he does it for fun
00:14:29,00:14:34,Which I can really empathize with is like he says I do it to play also if the director saying yeah
00:14:34,00:14:36,We'll pay for you to like live in Prague and learn check
00:14:40,00:14:44,But you know the fate the famous story and the great story about method acting I found something out about that
00:14:44,00:14:47,You know the Dustin Hoffman Laurence Olivier tale
00:14:47,00:14:52,Which is that when they were filming Marathon Man with Dustin Hoffman in the 80s was it and
00:14:52,00:14:58,Dustin Hoffman staggers in one day and there's one bit of Marathon Man where the lead character the Dustin Hoffman is playing
00:14:58,00:15:03,It has to have been a wake for three days straight and he staggers in and says to Laurence Olivier
