start_hhmmss,end_hhmmss,text
00:00:00,00:00:12,[Theme song plays]
00:00:12,00:00:18,"Hello and welcome to another episode of No Such Thing as a Fish,"
00:00:18,00:00:24,a weekly podcast this week coming to you live from the Nerdland Festival in Belgium!
00:00:24,00:00:32,[Cheering]
00:00:32,00:00:40,"My name is Dan Schreiber, I am sitting here with Anna Tyshinski, Andrew Hunter Murray and James Harkin,"
00:00:40,00:00:45,"and once again we have gathered around the microphones with our four favorite facts from the last seven days,"
00:00:45,00:00:49,"and in no particular order, here we go!"
00:00:49,00:00:53,"Starting with fact number one, and that is my fact,"
00:00:53,00:00:58,my fact this week is that there are more scientific papers on dung beetles
00:00:58,00:01:04,than there are on preventing the extinction of mankind.
00:01:04,00:01:05,Wow!
00:01:05,00:01:06,"Yeah, so..."
00:01:06,00:01:11,"I've got a little spider just walking on the side of the table here, look at that, oh he's on my finger!"
00:01:11,00:01:11,Very nice.
00:01:11,00:01:15,All I'm saying is it's not weird to be interested in insects.
00:01:15,00:01:15,Yes.
00:01:15,00:01:19,"That spider's come for this fact, absolutely loving it."
00:01:19,00:01:21,"No, this is a brilliant new book coming out, it's coming out in July,"
00:01:21,00:01:24,"it's called The Anti-Catastrophe League by Tom Off,"
00:01:24,00:01:31,and it's basically a look into all the people globally who are trying to stop us from going extinct.
00:01:31,00:01:33,How do we survive a super volcano?
00:01:33,00:01:35,How do we survive asteroid attacks?
00:01:35,00:01:38,How do we survive AI if it gets too intelligent?
00:01:38,00:01:43,"He goes around the world and he meets all the people who are dedicating their lives to doing it,"
00:01:43,00:01:45,"and as one of the little nuggets in there,"
00:01:45,00:01:48,"he brings up a little fact by a guy called Nick Bostrom,"
00:01:48,00:01:54,"who's quite a famous scientist and is a big player in this kind of existential risk thing,"
00:01:54,00:01:58,"where he says, yeah, basically if you look into the literature,"
00:01:58,00:02:03,there's more on dung beetles in scientific literature than there is on surviving.
00:02:03,00:02:06,Is there anything on how dung beetles might cause us to go extinct?
00:02:06,00:02:08,"Oh, good question."
00:02:08,00:02:10,Or help us avoid it!
00:02:10,00:02:13,That's not immediately make them the villains of the piece.
00:02:13,00:02:16,"If the dung beetles went on strike, then..."
00:02:16,00:02:19,"- Yeah, we'd be up to our necks and... - Exactly."
00:02:19,00:02:23,"- We'd be in the shit, literally. - Yeah."
00:02:23,00:02:27,- So we need to kill all dung beetles? - No.
00:02:27,00:02:31,"- Okay, that's what it sounded like. - So how is the world going to end according to your mate?"
00:02:31,00:02:33,"I mean, there are so many different ways."
00:02:33,00:02:38,"I should just say, just for context, in 2018, there was a Google scholar search"
00:02:38,00:02:42,"which showed 1,830 results for dung beetle-based papers,"
00:02:42,00:02:49,as opposed to 449 for human extinction and 940 for terms like existential risk and so on.
00:02:49,00:02:53,It's more a metaphor for the fact that we're focusing more on things like insects
00:02:53,00:02:55,than we are on these bigger problems.
00:02:55,00:02:58,"Well, that's because dung beetles exist, so they're easy to study."
00:02:58,00:03:00,"- The end of the world doesn't exist. - Yes, that's largely..."
00:03:00,00:03:02,"And as far as we're concerned, it never will."
00:03:02,00:03:05,"Well, the end of humanity, sorry, not the end of the world."
00:03:05,00:03:06,It really pisses me off when humans do this.
00:03:06,00:03:09,The world doesn't give a shit if we go extinct.
00:03:09,00:03:11,The world's just going to keep on turning.
00:03:11,00:03:13,And I think quite a lot of the people who look into it are talking about things
00:03:13,00:03:17,"that are so unlikely, aren't they, that you think like there was that..."
00:03:17,00:03:21,"- What kind of stuff, yeah. - So, there was an open letter"
00:03:21,00:03:24,"written by a bunch of scientists recently, I think 38 of the world's leading scientists,"
00:03:24,00:03:28,"Nobel Prize winners and the like, wrote an open letter with a warning,"
00:03:28,00:03:31,"""Stop trying to create the mirror image of life on Earth,"
00:03:31,00:03:33,"because it will wipe us all out."""
00:03:33,00:03:37,"So, very dumb-down version, all proteins made of amino acids"
00:03:37,00:03:41,"which are left-handed, which is just all about the way they spin,"
00:03:41,00:03:45,we don't really know why all life is built out of these left-handed amino acids.
00:03:45,00:03:50,"But scientists can now synthesise in labs right-handed amino acids,"
00:03:50,00:03:54,"and that could be super useful for lots of things that can make better drugs,"
00:03:54,00:03:57,"so it could really, like, it could defeat a lot of sort of natural biological things,"
00:03:57,00:04:00,"but it could also wipe us all out,"
00:04:00,00:04:05,"because basically, if you get a right-handed bacteria that we've created in a lab,"
00:04:05,00:04:06,nothing has evolved to beat it.
00:04:06,00:04:10,A right-handed bacteria attacks our bodies and our bodies don't even recognise it.
00:04:10,00:04:14,- They don't even see it. It's invisible. - It's like a left-handed cricketer.
00:04:14,00:04:15,- Or a tennis player. - It's Nadal.
00:04:15,00:04:19,"- Are they invisible? - They're unbeatable, yeah."
00:04:19,00:04:21,Unbeatable. There you go. You can't play them.
00:04:21,00:04:25,"Another thing that's similar to that is a thing called strange matter,"
00:04:25,00:04:30,"and this is if you get nuclear stuff and you squash it down, squash it down, squash it down,"
00:04:30,00:04:32,"it can turn into this thing called strange matter,"
00:04:32,00:04:37,"and if it comes and touches normal matter, then they can annihilate each other,"
00:04:37,00:04:42,and that thing that might happen is known as a strange conversation.
