start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,Howdy club fish members. How you doing? Down here. We have a compilation episode for you today.
00:00:06,00:00:11,"This is the best bits of the stuff that didn't make it into the main episodes, little outtakes,"
00:00:11,00:00:17,little extra bits of info that didn't quite fit the narrative of the show or bung together here
00:00:17,00:00:24,"for you, starring the four fishers plus John Lloyd, the QI Supremo. So I hope you enjoy that."
00:00:24,00:00:29,"This should be hitting the club fish page on Tuesday, which means we're just under two weeks"
00:00:29,00:00:36,"away from doing our next live show, which is happening in Sheffield at the Crossed wires festival,"
00:00:36,00:00:40,"which is going to say that if you are thinking of coming, we are on the edge of selling out,"
00:00:40,00:00:44,"and so don't leave it to last minute, because there might not be any tickets left."
00:00:44,00:00:49,You can find them again in no such thing as a fish.com. It can be really fun night. I think the show is
00:00:49,00:00:55,about 85 minutes. We're going to be doing really fun things like we're going to enter someone
00:00:55,00:01:01,"into the fish Hall of Fame, a local from Sheffield, who has been mentioned previously on the episode,"
00:01:01,00:01:05,"so they'll be up on stage with us, or at least that's the plan. We might try out something new"
00:01:05,00:01:10,"altogether. It's always fun doing these live shows, and we'd love to see you there. So come along,"
00:01:10,00:01:13,"but for now, enjoy the compilation episode. Here we go."
00:01:14,00:01:33,"I had a quick hunt, by the way, because Marie's plums. Nice to have something named after you,"
00:01:33,00:01:40,"Andy. I wanted to see if we had any other fruits that were relevant to us, the other three of us."
00:01:40,00:01:54,So I found Harkin Peaches. I was just reading up to see if there were any similarities. So I found
00:01:54,00:02:01,"someone who actually farms them, and they say that normally Harkin trees are pretty finicky producers."
00:02:01,00:02:07,I'm a finicky producer when it comes to TV production. You're covered in a lovely soft fuzz.
00:02:07,00:02:19,"You don't have a Toshinsky, but you have an Anna, which is Anna's apple, which is Anna Bowlin's."
00:02:19,00:02:29,"After all, Anna Bowlin. I'm not sure. That's not make assumptions. That's a leap. That's a leap."
00:02:29,00:02:35,"Maybe they've got her head. Well, in some of the photos, it is quite a flat apple. They didn't take"
00:02:35,00:02:43,"photos at the time. What? Oh, right, of the apple. Is it? In some photos, there's different shapes to it,"
00:02:43,00:02:48,"so yeah, I got excited. I've been to two of Ambulin's homes in the last month. Ambulin's following me"
00:02:48,00:02:56,"around at the moment. No, you're following her around. These other detectors, like the weird"
00:02:56,00:02:59,"ways people have tried to detect neutrinos, because lots of countries have got their own ones"
00:02:59,00:03:05,"around the place. So there's one in Japan, which is a tank of 50,000 tonnes of ultra-pure water"
00:03:05,00:03:10,under a mountain. That's called the super cameo candy. And scientists have to get rafts around the
00:03:10,00:03:15,surface of this. What on the ultra-pure water? They were around on it. I shot that clean the raft
00:03:15,00:03:20,"before they go in. They probably have one of those little, you know, a little puddle of clean water"
00:03:20,00:03:23,"that you walk through so that you don't get varuchas. Yeah, definitely. And they'll have a pool robot"
00:03:23,00:03:29,"on the inside, just getting anything else. They're just a guy with his top off at a long net."
00:03:29,00:03:38,"Then the first detector built in the 60s by Raymond Davis, Jr. and John Buckle was a tank"
00:03:38,00:03:44,"with half a million litres of dry cleaning fluid in it. Oh, yeah. What? Yeah, it has more uses, I guess."
00:03:44,00:03:48,"Dry cleaning fluid? Yeah, yeah, yeah. I actually don't know if I know what dry, you mean,"
00:03:48,00:03:54,"like washing fluid? No, it's a chemical you use, isn't it? I can't remember what it's called now."
00:03:54,00:03:58,"Never been to dry cleaners. Wouldn't know. But, cool. Glad it's got another even better application."
00:03:58,00:04:03,"Yeah, absolutely. Yeah, yeah. That's really cool. And there's one called Dune in America."
00:04:03,00:04:10,"It's two. It's underground. It is underground, like the worms, but there are two detectors,"
00:04:10,00:04:16,"800 miles apart. One is pointing at the other one. You know, plums have stones in them."
00:04:17,00:04:22,"They're unique to the species that stone. You know all the, like, the little bumps and stuff"
00:04:22,00:04:26,that you get. Like a fingerprint? Like a fingerprint. So you know which plum is burgled you?
00:04:26,00:04:33,"What do you mean you need to the species? Sorry. So if you get a little plum stone, it's got loads"
00:04:33,00:04:39,of wrinkles on it. And you have a buck which has all the different patterns. You'll be able to tell
00:04:39,00:04:44,"which species a plum it comes from or which variety. Wow, it matches the same dense in the"
00:04:44,00:04:51,"stone. Yeah, yeah, exactly. And so in the Murray Rose ship, oh, we sang when 16th century,"
00:04:51,00:04:59,"and then they raised it in 20th century. They found all these stones, all these plum stones,"
00:04:59,00:05:03,and they could tell exactly what species they were. And they went or what variety they were.
00:05:03,00:05:08,"And they went back to the National Fruit Centre, which I think we might have mentioned before."
00:05:08,00:05:12,Yes. And checked it against modern fruits. And they could see exactly what they were.
00:05:12,00:05:19,"Oh my goodness. That's insane. So actually they share fingerprints. So if you're one species of plum,"
00:05:19,00:05:23,then you can blame the burglary on your mate who's the same species because you've left the same
00:05:23,00:05:27,print. It's almost like every family would have the same or something like that. That's a nice
00:05:27,00:05:37,"time. Yeah. Every time. Professor plum. Yeah. So plum's blue gold, they're called in Serbia."
00:05:39,00:05:44,"They have 40 million plum trees, and at least three plum festivals every year in Serbia."
00:05:44,00:05:47,"Brilliant. And if you have Schlippervitz,"
00:05:47,00:05:54,"Serbian drink, the National Drink, then that's plum flavoured usually."
00:05:54,00:05:59,Oh god. Is that the thing they give you at the end of every meal whenever you go to one of those
00:05:59,00:06:06,"countries? Yeah. If you're in like Serbia, Montenegro, some parts of Bosnia, and they give you that,"
00:06:06,00:06:10,"have it, because if you don't, you're insulting them, but you're going to regret it the next day."
00:06:10,00:06:14,Is it like all of those things where it claims to be flavoured with expert tastes like petrol?
00:06:14,00:06:18,"Yeah, it tastes really strong. It's not quite chemical. There's often a thing where..."
00:06:18,00:06:23,"I don't know if this is your experience, but where if you're there with someone of the opposite sex,"
00:06:23,00:06:29,"so in my experience, my wife would be given a reasonably nice spirit, and I would be given something"
00:06:29,00:06:34,that was absolutely lighter flowing. It's a slightly blocier thing to get. And she's got a
00:06:34,00:06:39,"little bit of plum brandy or something and I'm just drinking pure diesel. I must admit,"
00:06:39,00:06:45,"whenever I've been with Serbians and the, um, Schlippervitz has come out, usually everyone's getting"
00:06:45,00:06:49,"involved. Yeah, yeah, yeah, yeah, yeah. I've never had that experience. They must think of you as"
00:06:49,00:06:55,particularly manly. What they've seen my plums see there.
00:06:55,00:07:04,"The venison general, I didn't know how it's built, so I knew it was lagoonie. I knew it's in the"
00:07:04,00:07:10,"middle of a lagoon. There wasn't a road or rail link until the middle of the 19th century,"
00:07:10,00:07:17,but it was built. What I didn't know is that it is how it's on stills. So every building is built on
00:07:17,00:07:22,"these wooden poles, which have been driven down into the sediment. And if you drive down"
00:07:22,00:07:27,"enough poles, it's like 9 or 10 per square meter. You can just put stone on top of that and it all"
00:07:28,00:07:36,"appears. So the Church of San Marco required 10,000 oak trees to be converted into poles."
00:07:36,00:07:41,"For one church. For one church, it's a big church. The whole of Venice must be way even more than that."
00:07:41,00:07:47,It's millions. Millions and millions of these poles. It's like it's an inverted forest. It's so cool.
00:07:47,00:07:51,"And this was literally 1500 years ago, wasn't it? I mean, this is in the 5th century or whatever,"
00:07:51,00:07:56,which is extraordinary that they were able to do that. I think and the good thing is because they're
00:07:56,00:08:02,"underwater and they're all underwater, right? So you've got the rocks on top, but the poles themselves"
00:08:02,00:08:06,never go above the water. And that means they don't rot because there's no oxygen to make them
00:08:06,00:08:12,rock. So they stay on the water and they're still now. The ones from 1500 years ago are still good.
00:08:12,00:08:17,"They're not kind of falling apart. It's amazing. And there was a drum, the batty pally, the pile hitters."
00:08:17,00:08:23,"That was their job was to pound the piles into the ground. You need a big hammer for that, don't you?"
00:08:23,00:08:28,How are you doing that? What do you do? I didn't often work experience on a farm once and I had to.
00:08:28,00:08:34,"When you're building a fence, you have this big metal drum which is open at one end and it's got two"
00:08:34,00:08:38,"handles. It's like a milk churn, basically, but you put it upside down. You put it over the stake."
00:08:38,00:08:42,"You're banging into the ground, the stake banging, and you just lift it up and bang down it goes."
00:08:42,00:08:46,"It's such a hard work. But in water, that must be really difficult. Oh, with a whole sort of tree,"
00:08:46,00:08:50,"you basically, you've got to be so strong. You've got to be so strong. Yeah, and they had their"
00:08:50,00:08:55,"traditional song, which was all about Venice and its glory and death to the Turks, like good"
00:08:55,00:09:00,"traditional stuff. And even now in Venice, there's a phrase ""na testa de baté pay"" which means"
00:09:00,00:09:04,"a head that is good to pound down the piles. Are you a bit thick? You know, you're going to head to"
00:09:04,00:09:08,useful for banging it. And now we're going to talk about why you only lasted an afternoon of work
00:09:08,00:09:13,"experience on that farm. Yeah, I've been slated for a seven-year contract of stake banging,"
00:09:13,00:09:21,"but I got tired. It's really hard work. You know George Foreman's Grill, most famous grill of all"
00:09:21,00:09:26,"time. It's shifted like over 100 million units. Is it a barbecue? No, no, it's like a grill."
00:09:26,00:09:32,"You sort of, you host your maker. It looks exactly like one, but it's for meat. And it's positioned"
00:09:32,00:09:39,"on an angle so that all of the juices sort of run down and away. And he's made more, he made,"
00:09:39,00:09:44,"because he's passed away now, more money off the back of that than his entire boxing career by"
00:09:44,00:09:48,"subestantial amount. He's made like between 200 and 500 million off of it, because he was getting 40%"
00:09:48,00:09:53,"of the deal. But most people mistook him as the creator of it. But in fact, it was this brilliant"
00:09:53,00:09:59,"innovator who was called Michael Bohm, who was the person who started it. He went to George Foreman"
00:09:59,00:10:05,"and Hulk Hogan to say which one of you could do it, or he went to the same agent who had both of"
00:10:05,00:10:10,"them. Foreman got it in the end. But this guy, no one believed him that he invented it. So he used to"
00:10:10,00:10:16,"walk around with the patent on him any time that someone said, you're not the inventor. He was a,"
00:10:16,00:10:19,am I not? Have a look at my patent. Not talking to him at a party. That's what that's like.
00:10:19,00:10:26,"He's a t-shirt saying, I invented the George Foreman Grill is deterring me. And the arm is not talking to"
00:10:26,00:10:31,"you at a party, but a serious trouble. Yeah, Mitterrand, Francois Mitterrand, isn't it?"
00:10:31,00:10:37,"The reason one. Yeah, very recent. He had a wife, but he also had a mistress in the dark. He"
00:10:37,00:10:42,"basically lived a double life. And it was his wife, Danielle, who insisted that it was kept secret"
00:10:42,00:10:48,"from the press. And basically, the press all knew about it, but they like decided they wouldn't"
00:10:48,00:10:54,"print anything. France, they're ultra conservative about exposing their leaders. They really are."
00:10:54,00:10:59,"They're very, very cautious about it. I suppose it's weird because they're conservative about"
00:10:59,00:11:04,"that, but they are much more liberal as we famously know about relationships. So Mitterrand's situation"
00:11:04,00:11:10,"was so interesting. Before he became president, he lived in a house with his wife and his wife's"
00:11:10,00:11:16,"lover, who had just had a separate room in their house. And when he became president, Dan don't"
00:11:16,00:11:21,"think about it. I thought he struck you there, though, to make that noise. But when he did become"
00:11:21,00:11:25,"president, they like his staff moved to the woman Anne, who he was having this affair with,"
00:11:25,00:11:30,"into a house, it was nice and near him. So he could go through all the time. And they employed a guy"
00:11:30,00:11:36,"to make sure that no one printed anything about them. So there was this guy called Grand Swad,"
00:11:36,00:11:41,"The Grosse of, and whenever any journalist sort of sniffed around, they said, we're going to do an"
00:11:41,00:11:45,"article about this separate life you have. At one stage, they got a journalist and kidnapped him"
00:11:45,00:11:51,"and locked him in the cell for a week, saying, oh my god. And then it's like it's a bigger story."
00:11:52,00:11:56,"And then in 2021, it turned out that he wasn't living a double life. After all, he was living a triple"
00:11:56,00:12:02,"life. And there was another woman called Claire, who was 50 years his junior, who that he was having"
00:12:02,00:12:07,"affair with the whole time as well. I actually think he was having lots of shags along the way. But yeah,"
00:12:07,00:12:13,"Claire again, it was so interesting. It was just like very different standards that I can't judge."
00:12:13,00:12:20,"So she Claire had followed him for four years, when she was 18 to 22. And then eventually invited"
00:12:20,00:12:24,him around her house. And they had basically what seems like quite a nice relationship for the last
00:12:24,00:12:31,10 years of his life alongside his marriage. It's one interpretation. And then people could say that
00:12:31,00:12:35,"it was an appropriate. Yeah, you could say that there's a massive massive power imbalance."
00:12:35,00:12:39,"You could say that. Yes, although she's definitely more physically able. And the staff all said it"
00:12:39,00:12:44,"was great because she could go on official visits with him and because she was so young, even in"
00:12:44,00:12:49,"France, no one suspected that they were together. So she used to accompany him. Brilliant. In many"
00:12:49,00:12:59,"ways, the perfect crime. I want to stress the word cry. Yeah. But all of this stuff about method"
00:12:59,00:13:06,"acting for method. I love. It's about to Stanislavsky does. Yes. Russian, Russian acting coach."
00:13:06,00:13:12,Yeah. Constantin Stanislavsky. And he founded this realistic acting stuff. And all acting was
00:13:12,00:13:17,very unrealistic on film because it was silent film. So you have to have big theatrical gestures
00:13:17,00:13:22,and movements and theater as well. Exactly. And then it all changed as when the close-up is
00:13:22,00:13:28,"invented. Suddenly you zoom right in on someone's face and they're going, they look like they're"
00:13:28,00:13:34,overacting crazily. And so then you could do the less is more school. But then Stanislavsky
00:13:34,00:13:39,founded this sort of realistic acting stuff. Yeah. And you would go in and you'd be an actor in
00:13:39,00:13:45,"Stanislavsky's Moscow theatre. And you would do your lines and he would just go, I don't believe you."
00:13:45,00:13:49,"And you do them again. He go, I don't believe you. I don't believe you. I don't believe you. And you"
00:13:49,00:13:53,just say that again and again and again until it was right. That was genuinely giving me a flashback
00:13:53,00:13:58,to my clown school days. It's horrible. It's horrible when someone hates what you're doing and they
00:13:58,00:14:03,"and they won't let you go. But Stanislavsky in fairness, he walked the walk. So he did that method"
00:14:03,00:14:09,himself and whenever he was acting apart he would go for a walk in Yalta. Like he had a big sort of theatre
00:14:09,00:14:14,in Crimea and he would go for a walk in his character every single morning. Everyone would laugh at him
00:14:14,00:14:17,and point at him but he didn't really mind because he was just trying to get into character.
00:14:17,00:14:23,I really respect the lack of social fear that you have to have to do. Like Daniel Day-Lewis
00:14:23,00:14:27,just having the guts to do it. And I really like the fact I thought he was a bit of a dick for doing
00:14:27,00:14:31,it but then you read interviews and he said he does it for fun which I can really empathise with.
00:14:31,00:14:35,It's like he says I do it to play. Also it's the director saying yeah we'll pay for you to
00:14:35,00:14:42,like live in Prague and learn Czech. But do you know the famous story and the great story about
00:14:42,00:14:46,"method acting? I found something out about that. You know the Dustin Hoffman,"
00:14:46,00:14:50,Lawrence Olivier Tail which is that when they were filming Marathon Man with Dustin Hoffman
00:14:50,00:14:56,in the 80s was it and Dustin Hoffman stagged in one day and there's one bit of Marathon Man
00:14:56,00:15:00,where the lead character that Dustin Hoffman's playing has to have been awake for three days straight
00:15:00,00:15:07,and he stagged in and says to Lawrence Olivier I stayed awake for three days preparing for this
00:15:07,00:15:11,character. I feel like absolute shit and he's haggin in his hairs all over the place and Lawrence
00:15:11,00:15:16,Olivier just turned him put his hand on his shoulder and said my dear why don't you try acting?
00:15:16,00:15:24,Anyway famous story. Dustin Hoffman has said he wasn't actually doing it to prepare. He'd just been
00:15:24,00:15:29,out on the booze for three nights straight. And I think maybe he's trying to sound cool now
