start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:05,"- Hey, Club Fish members."
00:00:05,00:00:08,Welcome to your secret bonus bit of content.
00:00:08,00:00:10,We've got a compilation for you today.
00:00:10,00:00:12,This is the best of the outtakes
00:00:12,00:00:14,of things that didn't make it to the main show.
00:00:14,00:00:17,"It features me, James, Andy, and Anna,"
00:00:17,00:00:20,but you've got some bonus voices joining us this week.
00:00:20,00:00:22,"We've got Reese Darby, the brilliant Reese,"
00:00:22,00:00:25,"and of course, the excellent Miles Jump."
00:00:25,00:00:27,"You will have heard them on recent episodes,"
00:00:27,00:00:30,and this is all the stuff that didn't quite fit
00:00:30,00:00:32,into the main episodes.
00:00:32,00:00:33,"Oh, and quickly before we get into it,"
00:00:33,00:00:35,just a quick thank you to everyone
00:00:35,00:00:36,who came to the CrossWires Festival.
00:00:36,00:00:38,We had such a fun gig.
00:00:38,00:00:39,"There was an awesome ending to it,"
00:00:39,00:00:42,where we did a quiz with members from the audience.
00:00:42,00:00:43,It was just so much fun.
00:00:43,00:00:45,So thank you everyone who came there.
00:00:45,00:00:47,Some people traveled all the way from America
00:00:47,00:00:49,to come see the show.
00:00:49,00:00:50,Hope you enjoyed it.
00:00:50,00:00:52,And if anyone else wants to come and see us
00:00:52,00:00:54,"do another live show,"
00:00:54,00:00:57,we're returning to the London Podcast Festival.
00:00:57,00:01:00,We're gonna be there on the 5th and 6th of September.
00:01:00,00:01:01,We've got a couple of great guests
00:01:01,00:01:03,lined up to join us on stage.
00:01:03,00:01:05,Go to knowsuchthingasafish.com.
00:01:05,00:01:06,You'll find the links there.
00:01:06,00:01:08,Come and see us live.
00:01:08,00:01:10,And I believe that there's gonna be
00:01:10,00:01:11,online streaming as well.
00:01:11,00:01:14,"So if you are overseas and you wanna watch it,"
00:01:14,00:01:16,do check it out and buy your tickets
00:01:16,00:01:19,to watch it online as it happens live.
00:01:19,00:01:22,"Last thing to mention is if you missed last week's,"
00:01:22,00:01:24,drop us a line just to let you know
00:01:24,00:01:27,that the price of club fish is going up by one pound.
00:01:27,00:01:30,So it is gonna be three pounds 99 going forward.
00:01:30,00:01:31,Hope that's okay with you all.
00:01:31,00:01:33,We promise that we're gonna continue
00:01:33,00:01:35,to put out really fun formats.
00:01:35,00:01:37,So don't go anywhere.
00:01:37,00:01:38,And don't go anywhere right now.
00:01:38,00:01:39,'Cause here we go.
00:01:39,00:01:40,It's the compilation.
00:01:40,00:01:44,The four fishers recent miles on with the outtakes.
00:01:44,00:01:46,(upbeat music)
00:01:52,00:01:56,(speaking in foreign language)
