start_hhmmss,end_hhmmss,text
00:00:00,00:00:13,[music]
00:00:13,00:00:20,"Hello and welcome to another episode of No Such Thing as a Fish, a weekly podcast coming to you"
00:00:20,00:00:27,from three undisclosed locations around the UK. My name is Dan Schreiber and the reason we are
00:00:27,00:00:33,three today is Anna is on holiday so I am joined by Andrew Hunts and Murray and James Harkin and
00:00:33,00:00:38,once again we have gathered around the microphones with our four favorite facts from the last seven
00:00:38,00:00:45,days and in no particular order here we go. Starting with fact number one that is Andy.
00:00:45,00:00:50,My fact is that scientists are trying to save water voles by feeding them glitter.
00:00:50,00:00:58,Yes. I thought plastic was bad for the environment. Well yes they're not feeding them plastic and not
00:00:58,00:01:01,only feeding them plastic it's not like they're just shoveling glitter into these poor voles.
00:01:01,00:01:05,Basically they're very endangered water voles in the UK. If you've never if you're listening from
00:01:05,00:01:10,outside the UK we have these charming little things. Ratty from Wind of the Willows is actually a
00:01:10,00:01:14,water vol is not a rat but they're really really endangered for various reasons and so conservationists
00:01:14,00:01:20,are now trying to track them work out where they are. They're quite hard to track because they're
00:01:20,00:01:25,quite elusive. We normally track them by looking for their poo but obviously hard to find like a
00:01:25,00:01:31,small poo on a riverbank. As the old saying goes it's like looking for a poo on a riverbank.
00:01:31,00:01:36,And so they're feeding them this edible like sort of biodegradable glitter the kind that you get on
00:01:36,00:01:42,cakes and things like that so not plastic. I suppose yeah I suppose it's kind of useful because
00:01:42,00:01:47,even if you find a poo on a riverbank you don't know who it belongs to. It could be a mouse
00:01:47,00:01:53,or a vole or a fisherman or whatever you just. But voles are very organised with their poo.
00:01:53,00:01:58,They have actual toilets so I think to an educated eye you would know immediately you're
00:01:58,00:02:04,staring at a water vol poo. Yeah and they are on the decline aren't they Andy? It's 90%
00:02:04,00:02:08,down at the end of the 20th century than what we had before. So what they're doing now they're
00:02:08,00:02:14,feeding them glitter. They've been experimenting on captive voles to see if these produce extra
00:02:14,00:02:20,sparkly poos which will be easier to spot. And the experiment very pleased report has worked
00:02:20,00:02:28,24 hours later as the Beeb report put it a tiny glittery poo was spotted. So look out for that
00:02:28,00:02:33,on the riverbank near you. It's quite cool as well they seem to be able to differentiate between
00:02:33,00:02:38,different families of voles with quite an easy way do you know? Different coloured glitter.
00:02:38,00:02:42,Different coloured glitter so you know one family might have silver poo and then you've got
00:02:42,00:02:45,another with gold poo down there and that's how they can differentiate who's packed together
00:02:45,00:02:50,and where they're going. That's going to become a status symbol in the water vol world isn't it?
00:02:50,00:02:53,It's like the silver poos are not going to hang out with the gold poos anymore.
00:02:53,00:02:57,We'd like to invite you to join our platinum poo club.
00:02:57,00:03:05,Here's an interesting problem with this study I think that if you're trying to count
00:03:05,00:03:11,water vol poos to count the number of water voles there is a problem because water voles
00:03:11,00:03:17,tend to eat poo. Not only that they often eat or they sometimes eat poo directly from the Edis
00:03:17,00:03:23,so don't it's not like you have a bit of time to find it before it gets eaten.
00:03:23,00:03:27,Guys have a little respect. Have a little self respect. That's too keen isn't it? That's a bit
00:03:27,00:03:34,too keen. It's too keen. That's sticking your mouth under Mr Whippy's ice cream machine isn't it
00:03:34,00:03:40,before it hits the cone. They have these latrines where they all go and so they
00:03:40,00:03:44,but there's another method that was pitched to find them in 2020 because it is really hard to
00:03:44,00:03:48,find them because they're on the river banks and so on. It's just hard to survey especially steep
00:03:48,00:03:53,river banks which was giving them floating toilets so they were given these rafts made of
00:03:53,00:03:59,floating polystyrene and the idea is they'll think that is a terrific loo. I must use that
00:03:59,00:04:03,little floating platform as a loo. It only works if they don't have fantastic loos already.
00:04:03,00:04:07,If they've already got a great loo setup then they won't use your platform.
00:04:07,00:04:12,Yeah they've set those up largely because you can't walk around looking for water voles. You
00:04:12,00:04:17,often mess the local environment up so if you ever see a platform look around you might see
00:04:17,00:04:22,a bunch of men with binoculars sort of honing in on the little platform.
00:04:22,00:04:27,They're not perverts. We're not perverts. You'll see them and you'll think what a bunch of perverts
00:04:27,00:04:32,but actually they're looking at water vol poo. They're heroes. They're conservation heroes.
00:04:32,00:04:35,Yeah it's better than the old way. So an old way of doing it was you would put
00:04:35,00:04:41,radio colors on your voles and you can kind of track them that way. But they found that when
00:04:41,00:04:50,you did that there would be way more male voles born and that's because a female vol who is stressed
00:04:50,00:04:54,will give birth to males and that's like an evolutionary thing because when you know when
