start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:16,"- Hello, and welcome to another episode"
00:00:16,00:00:18,"of No Such Thing as a Fish,"
00:00:18,00:00:19,a weekly podcast coming to you
00:00:19,00:00:22,from the QI offices in Hoburn.
00:00:22,00:00:24,"My name is Dan Schreiber, I am sitting here"
00:00:24,00:00:26,"with Anna Tyshensky, Andrew Hunter Murray,"
00:00:26,00:00:27,and James Harkin.
00:00:27,00:00:29,"Once again, we have gathered around the microphones"
00:00:29,00:00:32,"with our four favorite facts from the last seven days,"
00:00:32,00:00:35,"and in no particular order, here we go."
00:00:35,00:00:38,"Starting with fact number one, and that is Anna."
00:00:38,00:00:41,- My fact this week is that ironing in Egypt
00:00:41,00:00:45,"is traditionally a man's job, and they do it with their feet."
00:00:45,00:00:45,- Yeah.
00:00:45,00:00:46,(laughing)
00:00:46,00:00:48,- And that's why we shouldn't let men do the ironing.
00:00:48,00:00:49,(laughing)
00:00:49,00:00:52,"- Do they put the shirt on the ground,"
00:00:52,00:00:54,or do they put their foot on the board?
00:00:54,00:00:55,"- Yeah, good question."
00:00:55,00:00:57,"- And also, do they use an iron,"
00:00:57,00:00:58,"or do they have really, really flat feet?"
00:00:58,00:01:00,"- Hot, hot feet."
00:01:00,00:01:02,"Well, it's in the desert, right?"
00:01:02,00:01:04,You just stand them the sand for 10 minutes
00:01:04,00:01:06,until your feet get warm.
00:01:06,00:01:06,- That's it.
00:01:06,00:01:09,"No, they use an iron, a normal iron,"
00:01:09,00:01:11,"so these are people called the makwagi,"
00:01:11,00:01:15,and the makwagi regal are specifically the foot ironers.
00:01:15,00:01:18,"Makwami's iron, and it's been going on for hundreds of years,"
00:01:18,00:01:21,"and on every street corner, you'd have a man"
00:01:21,00:01:23,"who does your ironing, you take your ironing to him."
00:01:23,00:01:26,"It's passed down from fathers to sons,"
00:01:26,00:01:27,"and traditionally it was done with feet,"
00:01:27,00:01:30,"so you'd have a big, heavy iron."
00:01:30,00:01:32,I read one reputable source saying
00:01:32,00:01:35,that the irons can weigh 40 kilos.
00:01:35,00:01:36,"- What, 40 kilos?"
00:01:36,00:01:38,"- I know, it doesn't seem plausible, does it?"
00:01:38,00:01:39,- Do they lift it with their feet?
00:01:39,00:01:41,"- Well, they just push it. - They just push it,"
00:01:41,00:01:43,"and they look like a classic old iron,"
00:01:43,00:01:45,"so they're just an iron that's heated over coals,"
00:01:45,00:01:48,"or in a stove, right, like a big metal iron."
00:01:48,00:01:49,They're not plugged in.
00:01:49,00:01:49,- Not plugged in.
00:01:49,00:01:51,You kind of got that little water button
00:01:51,00:01:53,that you press or the steaming up there.
00:01:53,00:01:54,- Dan's trying to pretend that
00:01:54,00:01:56,ironing is a man's job in his household as well.
00:01:56,00:01:58,"- I think, I could confidently say,"
00:01:58,00:02:00,we all know I iron non-star.
00:02:00,00:02:02,"- Dan is an obsessive, Dan and Andy, actually,"
00:02:02,00:02:04,"I feel like you spend half your life ironing,"
00:02:04,00:02:06,"it's quite sad, but it's not sad when these guys do it."
00:02:06,00:02:08,"- I'm sorry, can I just say"
00:02:08,00:02:11,"that I don't just let my wife do all my ironing,"
00:02:11,00:02:13,I just like to be creased.
00:02:13,00:02:16,"- In answer to your question about the spray,"
00:02:16,00:02:17,"this is one of the coolest things,"
00:02:17,00:02:20,and I was going back to old 19th century sources
00:02:20,00:02:22,"when people visited Egypt and reported on it happening there,"
00:02:22,00:02:25,"to spritz the garments, so they're a bit wet."
00:02:25,00:02:28,"They spit, and so now these days, I think--"
00:02:28,00:02:31,"- Terrific, all right, does that cost extra?"
00:02:31,00:02:34,"- There are accounts of the real pros,"
00:02:34,00:02:37,"the real traditional ones, having just a continuous spray"
00:02:37,00:02:39,constantly coming from their lips.
00:02:39,00:02:42,"- But if you were walking the streets,"
00:02:42,00:02:44,"looking for someone to do your ironing,"
00:02:44,00:02:47,"and presumably there might be a bunch of competition,"
00:02:47,00:02:50,"what you wanna see is just one old guy dribbling like crazy,"
00:02:50,00:02:51,"and that's the one you go for, right?"
00:02:51,00:02:52,That's the best version.
00:02:52,00:02:56,- How did this industry fair during COVID?
00:02:56,00:02:58,(laughing)
00:02:58,00:03:02,"- That's a really good question,"
00:03:02,00:03:05,and I forgot to investigate.
00:03:05,00:03:07,"- Actually, people used to spit on their irons"
00:03:07,00:03:08,in the UK as well.
00:03:08,00:03:08,- Really?
00:03:08,00:03:12,"- Yeah, yeah, so we're talking from the 17th century onwards,"
00:03:12,00:03:14,"we had something called sad irons,"
00:03:14,00:03:17,and sad meant solid in those days.
00:03:17,00:03:20,"So there were solid irons, and they're kind of pretty much,"
00:03:20,00:03:22,"you know, like when you play Monopoly and you're the iron,"
00:03:22,00:03:23,it's that kind of thing.
00:03:23,00:03:26,"So again, it's just like a piece of metal."
00:03:26,00:03:28,"You put it in the fire until it's hot enough,"
00:03:28,00:03:30,"and then you would use it to iron things,"
00:03:30,00:03:33,"and to find out when it was hot enough,"
00:03:33,00:03:34,you would spit on it.
00:03:34,00:03:37,And if the spit sort of laid and frosted around
00:03:37,00:03:39,"and spat around on the iron,"
00:03:39,00:03:41,then you knew it was ready to go.
00:03:41,00:03:42,- Interesting.
00:03:42,00:03:43,"- But you don't want it too hot, presumably,"
00:03:43,00:03:44,'cause then you burn your clothes.
00:03:44,00:03:45,"- Yeah, absolutely."
00:03:45,00:03:46,"- As well as the sad iron things,"
00:03:46,00:03:49,"there were slug irons, which I like as well,"
00:03:49,00:03:50,"where you have a slug of metal,"
00:03:50,00:03:52,"literally, I just didn't like an ingot of metal,"
00:03:52,00:03:54,"that you put in the fire for ages,"
00:03:54,00:03:56,"and you draw it out of the fire and shove it in the iron,"
00:03:56,00:03:57,and that makes it hot.
00:03:57,00:03:58,- Nice.
00:03:58,00:03:59,- There were rough irons.
00:03:59,00:04:01,"So they're called a goffering iron,"
00:04:01,00:04:04,where you could iron fabrics into a scalloped edge.
00:04:04,00:04:06,So you know all those amazing Elizabethan ruffs?
00:04:06,00:04:07,- Yes.
00:04:07,00:04:09,"- They had to be ironed into place, basically."
00:04:09,00:04:10,"- I do your first level ironing,"
00:04:10,00:04:12,"which is I just want things flat and uncreased,"
00:04:12,00:04:13,"but there is an art to ironing,"
00:04:13,00:04:15,where you do put in these ruffles.
00:04:15,00:04:17,You do put in the line on your trousers.
00:04:17,00:04:18,I aspire to be there.
00:04:18,00:04:20,You'll put a crease to the shirt sleeve though.
00:04:20,00:04:21,"- Yeah, you might do."
00:04:21,00:04:22,- You gotta have a crease on the shirt sleeve.
00:04:22,00:04:23,- You gotta have a crease.
00:04:23,00:04:24,"But here's the thing, back in the day,"
00:04:24,00:04:26,ironing wasn't just for getting your clothes
00:04:26,00:04:29,"to be uncreased, it was for cleaning as well."
00:04:29,00:04:32,"So there's reports of, let's say during the Crimean War,"
00:04:32,00:04:35,there's a report there where cannibals might be heated
00:04:35,00:04:37,and used as a makeshift iron.
00:04:37,00:04:39,"And it wasn't so that people went,"
00:04:39,00:04:40,"you know, I want to look uncreased"
00:04:40,00:04:42,when I'm going into battle.
00:04:42,00:04:43,It was because you would have things like lice
00:04:43,00:04:45,living on your clothes that you want to get rid of.
00:04:45,00:04:46,"So it was burning it off, basically."
00:04:46,00:04:48,So it was doing a double job.
00:04:48,00:04:50,- It's very hard though to aim it correctly
00:04:50,00:04:51,for an ironing job.
00:04:51,00:04:54,So it just gets the ironing right.
00:04:54,00:04:55,It's a difficult method.
00:04:55,00:04:59,Can I ask Dan as the only other ironer in the room?
00:04:59,00:05:02,"I suspect, another question about this."
00:05:02,00:05:03,What was your opinion on wrinkle-free shirts?
00:05:03,00:05:05,"Sorry, James, I mean, James is wearing a collared shirt now"
00:05:05,00:05:06,and it looks actually very nice.
00:05:06,00:05:10,"- No, no, I've never really ironed any item of clothing"
00:05:10,00:05:13,since I left a proper job about 25 years ago.
00:05:13,00:05:14,"- Fair enough, fair enough."
00:05:14,00:05:16,And I live in a hope of getting a proper job.
00:05:16,00:05:18,"So I'm constantly heading to interviews,"
00:05:18,00:05:19,so I do mean those shirts.
00:05:19,00:05:21,(all laughing)
00:05:21,00:05:23,So what was the question again?
00:05:23,00:05:26,"- Would you wear a wrinkle-free shirt,"
00:05:26,00:05:28,like a non-iron shirt?
00:05:28,00:05:29,'Cause a lot of shirts sold these days are non-iron.
00:05:29,00:05:33,"- I definitely wore those when I was at university, for sure."
00:05:33,00:05:35,"It was the one thing, if I went to a men's wear shop,"
00:05:35,00:05:38,I would look to see if it would need an iron or not.
00:05:38,00:05:38,- Really? - Yeah.
