start_hhmmss,end_hhmmss,text
00:00:00,00:00:01,(upbeat music)
00:00:01,00:00:04,"- Hey everyone, welcome to another episode of Fish."
00:00:04,00:00:07,"Before we get going, I just wanna quickly let you know"
00:00:07,00:00:11,about two very exciting global live streaming events
00:00:11,00:00:12,that we are gonna be doing
00:00:12,00:00:14,on the fifth and sixth of September.
00:00:14,00:00:17,So we're gonna be playing the London podcast festival
00:00:17,00:00:19,and as well as playing to a live room full of people
00:00:19,00:00:21,"at Kings Place in London,"
00:00:21,00:00:23,we will be live streaming the event
00:00:23,00:00:26,so that you can watch it from wherever you are in the world.
00:00:26,00:00:28,So for those who have never made it to a live show before
00:00:28,00:00:30,"and always wondered what it's like,"
00:00:30,00:00:32,this is the full experience.
00:00:32,00:00:33,This is a sort of warts and all version
00:00:33,00:00:34,that you'll get to see.
00:00:34,00:00:36,"It's all the bloopers, it's all the extra bits"
00:00:36,00:00:38,that end up getting edited out.
00:00:38,00:00:41,There's all the admin at the top of the show.
00:00:41,00:00:43,Who doesn't love admin at the top of a show?
00:00:43,00:00:44,Imagine getting to see that.
00:00:44,00:00:46,It's gonna be a great night.
00:00:46,00:00:48,"Also, as Anne is now off on maternity,"
00:00:48,00:00:50,we're gonna be joined by some really fun guests.
00:00:50,00:00:53,"We've already sort of announced one of them on Instagram,"
00:00:53,00:00:56,"but if you didn't see that video on the sixth of September,"
00:00:56,00:01:00,we are gonna be joined by one of the UK's best-selling authors
00:01:00,00:01:02,"of all time, Richard Osman."
00:01:02,00:01:04,"That's gonna be an awesome show, that's on the sixth."
00:01:04,00:01:05,We'll be making another announcement
00:01:05,00:01:07,"for who will be joining us on the fifth soon,"
00:01:07,00:01:09,"but in the meantime, if you wanna get tickets,"
00:01:09,00:01:11,they are available now.
00:01:11,00:01:14,Just go to knowsuchthingasafish.com/live
00:01:14,00:01:17,and get your live streaming tickets now.
00:01:17,00:01:19,"All right, last thing to say before we get into the show"
00:01:19,00:01:22,is some very exciting news back at QIHQ.
00:01:22,00:01:25,The Lunchbox MV podcast has been picked up by BBC Sounds.
00:01:25,00:01:28,"So if you happen to listen to your podcast there,"
00:01:28,00:01:30,"do type in the words ""Lunchbox MV now"""
00:01:30,00:01:32,and you'll be able to get access
00:01:32,00:01:35,to the most quite interesting food-based podcast
00:01:35,00:01:36,there is in podcast land.
00:01:36,00:01:39,Each episode deals with a different kind of food.
00:01:39,00:01:40,So the episode that went up a few days ago
00:01:40,00:01:41,"was all about cheese,"
00:01:41,00:01:43,"where they answer the big cheese questions,"
00:01:43,00:01:45,"like, you know, how do they put the holes in Swiss cheese?"
00:01:45,00:01:47,Who eats the world's hardest cheese?
00:01:47,00:01:49,Why do people put Parmesan into a bank?
00:01:49,00:01:50,All the biggies.
00:01:50,00:01:52,"And there's over 30 episodes you can access now,"
00:01:52,00:01:55,everything from pastry through to butter and chocolate.
00:01:55,00:01:56,"You must check them out,"
00:01:56,00:02:00,but specifically do check them out now at BBC Sounds.
00:02:00,00:02:02,"All right, let's get into the show."
00:02:02,00:02:03,On with the podcast.
00:02:03,00:02:09,(upbeat music)
00:02:09,00:02:21,- Hello and welcome to another episode
00:02:21,00:02:23,"of No Such Thing as a Fish,"
00:02:23,00:02:25,a weekly podcast coming to you
00:02:25,00:02:27,from the QI offices in Hoburn.
00:02:27,00:02:28,My name is Dan Schreiber.
00:02:28,00:02:30,"I am sitting here with Anna Tyshinski,"
00:02:30,00:02:32,"James Harkin, and Andrew Hunter Murray."
00:02:32,00:02:34,"And once again, we have gathered around the microphones"
00:02:34,00:02:37,with our four favorite facts from the last seven days.
00:02:37,00:02:40,"And in no particular order, here we go."
00:02:40,00:02:43,"Starting with fact number one, and that is James."
00:02:43,00:02:45,"- Okay, my fact this week is that"
00:02:45,00:02:47,"if you are 20 years old now,"
00:02:47,00:02:50,there is a chance that your great grandparents
00:02:50,00:02:53,might have met thanks to computer dating.
00:02:53,00:02:56,- That's wild. - It doesn't make sense.
00:02:56,00:02:57,"I had to ask James to explain this,"
00:02:57,00:03:00,even after we'd said this would be our fact.
00:03:00,00:03:02,"That doesn't work, James, and he proved it."
00:03:02,00:03:03,"Go on, prove it."
00:03:03,00:03:07,"- So for the hard of thinking who are listening,"
00:03:07,00:03:10,"this is an article that I read,"
00:03:10,00:03:13,"was written by Adrian Covert in Gizmodo,"
00:03:13,00:03:15,and it's about a guy called Lewis Altfest.
00:03:15,00:03:18,"And Lewis saw a Pempal machine,"
00:03:18,00:03:20,"which let you fill down his questionnaire,"
00:03:20,00:03:21,"and then it fed it into a machine,"
00:03:21,00:03:23,and it found you the perfect Pempal.
00:03:23,00:03:27,And he decided that he would do the same with dating.
00:03:27,00:03:29,"So he called up his friend called Robert Ross,"
00:03:29,00:03:32,"who worked at IBM, and they made a computer program"
00:03:32,00:03:34,called TACT that stood for Technical
00:03:34,00:03:37,Automated Compatibility Testing.
00:03:37,00:03:40,"They did that in New York, and it was in 1964."
00:03:40,00:03:43,"So, for instance, if your great-grandparents"
00:03:43,00:03:46,"got together due to TACT in 1964,"
00:03:46,00:03:49,your grandmother could be born in 1965.
00:03:49,00:03:51,"She could have had your mother in 1985,"
00:03:51,00:03:54,"and then your mother could have had you in 2005,"
00:03:54,00:03:55,and you would be 20 this year.
00:03:55,00:03:56,- Yeah. - It's stunning.
00:03:56,00:03:57,- It was great.
00:03:57,00:03:59,- It was amazing at the time.
00:03:59,00:04:00,It was such like everyone thought computers
00:04:00,00:04:01,would know the answer as well.
00:04:01,00:04:04,It wasn't the best at pairing people.
00:04:04,00:04:06,It did at one point match an older brother
00:04:06,00:04:07,with his younger sister.
00:04:07,00:04:09,(all laughing)
00:04:09,00:04:11,- They have a lot in common with it.
00:04:11,00:04:12,- And I turned out fine.
00:04:12,00:04:14,(all laughing)
00:04:14,00:04:17,"- Yeah, that actually weirdly, I think shows it does work."
00:04:17,00:04:19,Shared interests.
00:04:19,00:04:23,"- It just, you haven't put in the anti-incest layer"
00:04:23,00:04:23,into the program.
00:04:23,00:04:24,- You haven't clicked that button.
00:04:24,00:04:26,Most people would click that button.
00:04:26,00:04:27,(all laughing)
00:04:27,00:04:29,"- He was crossing his fingers, that guy."
00:04:29,00:04:31,"- So, is this the one, 'cause I read about"
00:04:31,00:04:33,"one of the very early computer dating services,"
00:04:33,00:04:36,"and it asks clients to pick from the dislikes,"
00:04:36,00:04:39,"and the dislikes were, I'd say, very much of their time."
00:04:39,00:04:41,"- Yes, this is the one you're talking about."
00:04:41,00:04:42,"- From one to six, it was,"
00:04:42,00:04:44,what do you think about affected people?
