start_hhmmss,end_hhmmss,text
00:00:00,00:00:08,"Hi everyone, welcome to this week's episode of No Such Thing. As a fish we have a very exciting announcement for you if you live in London or"
00:00:08,00:00:14,"If you live anywhere else in the world that should cover most of you, I think. Yeah, that's it. If you're on the ISS"
00:00:14,00:00:16,I'm sorry. This is not for you
00:00:16,00:00:18,Click forward
00:00:18,00:00:23,We are doing a couple of live shows at the fantastic London podcast festival
00:00:23,00:00:28,We're doing them next week if you're listening to this as it goes out. It's the 5th and 6th of September
00:00:28,00:00:32,It's going to be so much fun. We have two unbelievably special guests. Do you want to say who they are James?
00:00:32,00:00:38,"Yeah, they are Titans of podcasting. I would say yeah, Diane's of podcasting"
00:00:38,00:00:46,Grand-dam the podcasting absolutely. They are Richard Osman of the rest is entertainment podcast and
00:00:46,00:00:53,It's only blimming Jamie Martin from my dad wrote a porno the greatest of all the podcasts
00:00:53,00:00:56,That's right. Richard and Jamie are going to be joining us live on stage
00:00:56,00:01:01,and it's going to be so much fun and it's going to be especially fun if you're either in the room or
00:01:01,00:01:05,Watching the live stream of it because and this is one for everyone around the world
00:01:05,00:01:11,We're doing a live stream and you get to see all the bits that we edit out of the final show because they're just too
00:01:11,00:01:13,Darn funny or too rude or too exciting
00:01:13,00:01:18,"Absolutely, and if you are on the ISS, but you're coming down the seven days"
00:01:18,00:01:25,Subsequent to the shows that we're doing then don't worry because the streams will be available to watch for seven days after the live event
00:01:26,00:01:31,"Absolutely, absolutely. So really this is an entire human species experience"
00:01:31,00:01:35,And if you're an animal listening to this if you're a chicken or a monkey or an alligator
00:01:35,00:01:39,Just ask the nearest human to set you up with a live streaming ticket and they will be able to do that
00:01:39,00:01:45,"Absolutely, so for details about those shows which are on Friday the fifth of September and Saturday the 6th of September"
00:01:45,00:01:52,With Richard and Jamie go to know six things of fish comm slash live and right there
00:01:52,00:01:57,You can get tickets to the festival if there's any left and all those lovely lovely live stream tickets brilliant
00:01:57,00:02:04,I think I think I think that's it. Isn't it? That's all I have on my list. It's me too. Let's do the show up with the podcast
00:02:20,00:02:24,"Hi everybody, welcome to another episode of no such thing as a fish"
00:02:24,00:02:27,This is one of our audience facts specials when we're going to talk about your facts
00:02:27,00:02:29,My name is Andrew Hunter Murray
00:02:29,00:02:34,I'm here in the qi offices in Hoban with Dan tribe at Anna Tashinsky and James Harkin
00:02:34,00:02:36,We have gathered around the table with
00:02:36,00:02:38,three months worth of
00:02:38,00:02:40,crisp fresh hot
00:02:40,00:02:45,good audience facts and we're going to be sharing them with you and
00:02:46,00:02:53,We've had some cracking stuff in the inbox as we always do we have a new circulated round to the three of us the choicest cuts
00:02:53,00:03:00,"Absolutely, but I haven't verified the stuff. I've sent you or done any extra research"
00:03:00,00:03:03,This is mostly audience emails without that filtration system
00:03:03,00:03:08,"Well, you never know we might have verified or done extra research depends how diligent we are"
00:03:08,00:03:16,Also listener listen out to what we're all saying and work out for yourselves if Andy has kept the choicest cuts to himself
00:03:16,00:03:21,"Yeah, why don't you give us a fact to start off with Andy? Okay. Here's here's a fun one"
00:03:21,00:03:28,This is from Pete Nissen who says a computer engineer for the astronomy department at a prestigious US university
00:03:28,00:03:31,"Sorry, that's who he is"
00:03:31,00:03:38,Works we've got the answer if he's kept the choices cuts
00:03:38,00:03:45,Pete Pete works at a prestigious US University and as a computer engineer for the astronomy department
00:03:45,00:03:50,He says every single faculty member firmly believes that alien life probably exists
00:03:50,00:03:54,But the distances are too big and the laws of physics too rated for aliens to ever visit earth
00:03:54,00:04:01,"Yeah, that's what I think as well. Okay, however, I've recently come into possession of hard evidence that contradicts this"
00:04:01,00:04:12,"I'm so annoyed that I put my cards on the tables anyway, so here's Pete's evidence the first"
00:04:13,00:04:19,Human in quotes to walk on the moon was Neil Armstrong. I agree with that. Okay
00:04:19,00:04:22,"James. Oh, you've done it again"
00:04:22,00:04:26,Neil Armstrong spelled backwards is
00:04:26,00:04:29,"Oh, yeah, it's mr. Alien"
00:04:29,00:04:34,"That's right apart from that word gnawts, which doesn't mean anything in our languages"
00:04:34,00:04:40,Mr. Alien is is irrefutable proof as Pete calls it and he's going to be presenting that at the next faculty meeting
00:04:40,00:04:44,I've got to say I'm quite glad that I put my cards on the table nice and early now
00:04:44,00:04:52,Sounds like damn was well-versed in this age old alien backwards. We heard that one. I knew Neil a is alien backwards
00:04:52,00:04:56,"Yeah, I didn't have people talked about that before is this all over there. Yeah. Yeah, that's a big thing"
00:04:56,00:05:00,"I but it's not used in terms of a conspiracy theory. It's just used as like oh, what a nice coincidence like"
00:05:00,00:05:03,Buzz Aldrin's mother's maiden name was moon. Yeah
00:05:06,00:05:10,"One Michael Collins, yes, probably can do something with that dude at home"
00:05:10,00:05:18,snilock I read a while ago that the reason we haven't had aliens here yet is because any
00:05:18,00:05:26,Civilization that can travel throughout a space will necessarily have also created technology that can wipe itself out
00:05:26,00:05:31,"Yeah, interesting and then there's another theory which is that we always talk about the distance of space"
