start_hhmmss,end_hhmmss,text
00:00:00,00:00:06,"""Hey there Club Fish members, Dan here. Hope you're all doing well. Welcome to a bonus"
00:00:06,00:00:10,compilation episode. These are all the bits that didn't make it to the main show either
00:00:10,00:00:14,"because they just didn't fit the narrative or they're on a tangent, they just didn't"
00:00:14,00:00:19,"fit the shape, so we bung them all together here so that you can hear the stuff that didn't"
00:00:19,00:00:24,"make it. Quite excitingly, for this particular compilation, it's not just the voice of us"
00:00:24,00:00:28,"for fishers, but we have a bunch of guests, so you'll remember we did some Edinburgh"
00:00:28,00:00:33,"shows recently, and a bunch of the offcuts from those recordings have made their way"
00:00:33,00:00:38,"here, so you're gonna hear, and you'll be hearing them in this order, Ian Smith, Elf"
00:00:38,00:00:43,"Lions, you're gonna get a couple of sentences from Ahir Shah, there's Andrew O'Neill, and"
00:00:43,00:00:48,"then finally Nish Kumar, and you're also gonna hear a couple of audience-submitted facts"
00:00:48,00:00:53,that we riff on as well. So that's the show for today. Thank you everyone who came to
00:00:53,00:00:56,our live shows by the way. We had two live shows very recently at the London podcast
00:00:56,00:01:00,"festival, Jamie Morton from My Dad Wrote a Porno was there, we had a really great night"
00:01:00,00:01:05,"with him, and then the following night we had Richard Osman on, and again, just a wild,"
00:01:05,00:01:10,"brilliant live show. We love our live shows so much, and if you missed out on it, they're"
00:01:10,00:01:14,"obviously gonna be coming out as edited episodes, but if you wanna see the full thing, like"
00:01:14,00:01:17,"from the moment that we walk on stage, all the way through to the quiz that we play at"
00:01:17,00:01:25,"the end, you can still get access to the live stream video. If you go to knowsuchthingasafish.com/live,"
00:01:25,00:01:29,"you're gonna find a link that will take you to the Kings Place website, where you can"
00:01:29,00:01:33,buy the live stream video. That's gonna be up for the next week. We're trying to see
00:01:33,00:01:38,"if we can get an extension on it, so if you wanna check that out, do that, and you'll"
00:01:38,00:01:42,"notice, if you have headed to our website, that there is another link there for the Cheltenham"
00:01:42,00:01:47,"Literary Festival. That's happening on the 16th of October, so we're doing another live"
00:01:47,00:01:51,"show. It's part of this brilliant literature festival, and we are gonna be joined on stage"
00:01:51,00:01:56,"by one of our favorite people, Rachel Parris. So if you happen to be in the area, come and"
00:01:56,00:02:01,"say hi. Okay, let's get on to this compilation, and we begin with Ian Smith, who by the way"
00:02:01,00:02:05,"was nominated for the best show at the Edinburgh Fringe this year for his show, ""Foot Spa"
00:02:05,00:02:11,"Half Empty"", so that's very cool. But let's get into it. Here we go, on with the compilation."
00:02:11,00:02:33,"I found a story that happened in 2008 of a real-life jigsaw problem, and I wonder, 'cause"
00:02:33,00:02:38,"I can't find an update on it, whether or not this person is still trying to solve it. So"
00:02:38,00:02:47,"this is a bin man who was called Graham Hill, and he found in a bunch of bags, £10,000 worth"
00:02:47,00:02:53,"of £10 and £20 notes, and he handed it over to the police. He said, 'I found this', and"
00:02:53,00:02:57,after the amount of time that's required for them to keep it and wait for someone to claim
00:02:57,00:03:03,"it, had passed, they gave it back to him, so he was 10,000 quid richer, except for some"
00:03:03,00:03:08,"reason every single one of the bills had been cut into tiny small pieces, and the Bank of"
00:03:08,00:03:13,"England had said, 'If you can put them all back together, absolutely they're legal tender,"
00:03:13,00:03:19,"and you've got £10,000, but right now you just have shreds of £10,000'. And so that's"
00:03:19,00:03:24,"what he has in his house, so he apparently was gonna make an attempt to try and jigsaw"
00:03:24,00:03:28,"piece it back together. When was this done? 2008. Wow, it's a different time. Like these"
00:03:28,00:03:33,"days you get bankers who have lost their Bitcoin and put it in a dump, and they're trying to"
00:03:33,00:03:38,"get that back, but in those days it was just bin men with bags of shredded money, wasn't"
00:03:38,00:03:43,"it? Yeah. Because if your money rips, you can put it together with sellotape. Like I've"
00:03:43,00:03:48,"seen that before where I've got a note that is stuck, and that's fine. Yeah, I think what"
00:03:48,00:03:54,"you need is there's a serial number on every bank note, and that needs to be exactly correct"
00:03:54,00:03:58,"because they'll check it, and so if it's in two pieces, that's easy, you just sellotape"
00:03:58,00:04:03,"it, but if it's in a thousand pieces. Yeah. How did he know it was worth £10,000? Like"
00:04:03,00:04:09,"if you presented me with a bin bag full of shredded money, how would you assess? I think"
00:04:09,00:04:14,"that's about £10,000 worth of that. I can do that with complete notes. I have no idea."
00:04:14,00:04:17,"So you can weigh them. So you can weigh them. You know how much paper there is, and you know"
00:04:17,00:04:23,"how much one note weighs, and you just divide them. Yes. That's clever. That's clever. I'm"
00:04:23,00:04:28,"just being reminded, one of my first ever paid gigs that I ever got in stand-up was up the"
00:04:28,00:04:34,"creek, and I was handed an envelope of money, and I think it was something like £200 that"
00:04:34,00:04:39,"I'd made, and I was very excitedly saying to my friends, ""Let's go to the pub walking"
00:04:39,00:04:47,"down the street,"" and I ripped open the envelope, and hadn't... I ripped it over on the side,"
00:04:47,00:04:52,"and I tore all the money. This was before it went to plastic. I tore all the money,"
00:04:52,00:04:59,and Gustav Windcab blew off the top third of all my notes. And yet you continued with
00:04:59,00:05:04,"your comedy career, despite that very obvious side from the universe that it wasn't for"
00:05:04,00:05:08,"you. Well, you can talk about it. That gave me five minutes for my next set."
00:05:08,00:05:14,"One of the... This is only vaguely related, but it's one of the funniest things I've seen,"
00:05:14,00:05:20,"and it does involve wind, but I was in New Zealand with Finn Taylor, and I think Phil"
00:05:20,00:05:27,sang. And Finn Taylor was talking about how he had a small part in the new Tomb Raider
00:05:27,00:05:32,"film, and I think it was cut from the final edit. I'm not sure if it was on special features"
00:05:32,00:05:38,"or anything, but he basically said, ""This cast and crew cap is the only memento that"
00:05:38,00:05:45,"I have from the film."" And then almost immediately, like a sitcom, Gustav Wind blew the hat into"
00:05:45,00:05:51,"the water as the boat's going away, and was just sort of like... Almost didn't laugh,"
00:05:51,00:05:55,"but just remember saying, ""That's the funniest thing. That's the funniest thing I've ever"
00:05:55,00:05:59,"seen. The timing of it."" But I still felt like... But I can't laugh because I think it's sad"
00:05:59,00:06:08,"as well, but yeah, it was so perfect. It's lost all proof using that movie."
00:06:08,00:06:14,Would you like some beat slang? Oh yeah. Right. I'm feeling hairy. What's that? My tender
00:06:14,00:06:25,"profile. No, good is good, feeling hairy. Feeling good. My rod. My rod. Car. Like a hot rod."
00:06:25,00:06:31,"Exactly. Let's stable the iron. Put it back in your trousers, mate. It's parked the car."
00:06:31,00:06:36,"What's a kick stick? Kick stick. It's not on your bike, is it? It's not the... No, that's"
00:06:36,00:06:41,"a kick stand. Nice. It's a cigarette. Kick stick. To give you a kick. Right. Yes, sir."
00:06:41,00:06:45,But they were very quickly taking the piss out of the beats. Yeah. And the Village Voice
00:06:45,00:06:49,"magazine in New York, they ran a rent a beat-knit competition. Right. Where you could hire a"
00:06:49,00:06:52,"beat-knit for your party. They did it as a joke, and then they actually, I think, started"
00:06:52,00:06:59,"getting beat-poets in who said, ""Yeah, I could do with $40."" All right. Yeah. Bongo's optional."
00:06:59,00:07:01,"Yeah, I don't know how they earned any money, because most of them didn't actually publish"
00:07:01,00:07:06,"anything, or like a lot of their... One of the main members, Neil Cassidy, I don't think"
00:07:06,00:07:09,"he published anything. Oh, he did? Well, maybe posthumously, yeah. Possthumously. Yeah,"
00:07:09,00:07:14,"it's not what it helps, is it? Can you just put this beer on my tab? I'm going to publish"
00:07:14,00:07:19,"some stuff posthumously, and I'll make sure you get it. Posthumously tab is a great idea."
00:07:19,00:07:26,"I'm going to be massive, I promise. One of my favourite clowns from history is Lulu Adams,"
00:07:26,00:07:33,a UK clown. And she was known as one of the first ever women circus clowns. She was born
00:07:33,00:07:39,"in 1900, and she was like the first ever female clown to appear at Olympia. And I just think"
00:07:39,00:07:43,"she was incredible. She played the bagpipe, she could ride a horse. At the same time,"
00:07:43,00:07:48,"her whole family were in the circus, like just a proper, old-fashioned showwoman show"
00:07:48,00:07:54,"family. And she did a double act with her husband, Albertino, and they got hired by"
00:07:54,00:07:59,"the Bertram Mill Circus, which was such a big deal. And they got offered a contract,"
00:07:59,00:08:05,"which was like, I think, $35 or £35 a week, which was the equivalent of like £2,000 a"
00:08:05,00:08:11,"week now, which was massive to go to New York to do this amazing tour of their act."
00:08:11,00:08:15,"And then they went on air, this was in 1948, and they were being interviewed on the New"
00:08:15,00:08:21,"York Radio in April on the day, the opening night, and they asked Albertino what's it"
00:08:21,00:08:29,"like to perform. And as he answered, he died on air of a heart attack. And that evening,"
00:08:29,00:08:34,Lulu Adams went on stage and continued to do the double act. And she completed the entire
00:08:34,00:08:40,nine-month contract on her own. And the newspaper article was like the first female clown is
00:08:40,00:08:45,"smiling even though her heart is breaking. But it's just, and then she continued performing"
00:08:45,00:08:49,for the rest of her life and then moved to Brighton and made costumes for performers.
00:08:49,00:08:54,What a professional. That's professionalism. And I want to say that if all the three of
00:08:54,00:08:59,"you guys who do the podcast with me died, I would continue to do it as if nothing had"
00:08:59,00:09:00,happened.
00:09:00,00:09:07,"Right, Anna, we know. You say that every week, Anna, and it's starting to pull."
00:09:07,00:09:12,"Yeah, my booby traps keep failing, it's a shame."
00:09:12,00:09:18,"I really miss what sounds like the golden age of non-imperson dating, which is the video"
00:09:18,00:09:25,"dating thing. So this was on TV as a kind of joke when I was growing up. Like, you sit"
00:09:25,00:09:27,"in a studio, you record a video of yourself."
00:09:27,00:09:28,"Oh, yeah."
00:09:28,00:09:33,Yeah. There was a guy called Jeffrey Elman. He set it up. He was a young videographer.
00:09:33,00:09:37,"And so you have this huge library of videos, and then you just watch like a five minute"
00:09:37,00:09:41,"tape of any potential person. And you say, right, I'm interested in Jennifer. And then"
00:09:41,00:09:47,"Jennifer gets a phone call saying, Greg is interested in you. Can you go in and view"
00:09:47,00:09:48,Greg's video?
00:09:48,00:09:49,Right.
00:09:49,00:09:50,And literally a VHS.
00:09:50,00:09:51,Yes.
00:09:51,00:09:52,"Yeah, yeah."
00:09:52,00:09:55,"And so, like, it's laborious. But the thing is, the way the interviews were conducted,"
00:09:55,00:09:58,"this guy, Jeffrey Elman, did the interviews himself, right? You'd fill out a form of your"
00:09:58,00:10:00,preferences and then he would do a little interview with you.
00:10:00,00:10:06,"But he would also kind of interrogate you. So listen to this. Elman recollected, I'd"
00:10:06,00:10:10,"say to you, you've got five kids and you live way out in the suburbs. Now, I don't mean"
00:10:10,00:10:14,"to insult you, Ethel, but how dateable are you? And then Ethel's on the spot having to"
00:10:14,00:10:18,"answer. Like, well, I'm, you know, I can send the kids off to their auntie or whatever. Like,"
00:10:18,00:10:20,as in she's having to answer for herself.
00:10:20,00:10:22,"Yeah, that's a bit probing."
00:10:22,00:10:26,"But it's kind of, I suppose, the reasoning was she's proving, oh no, look, this is how"
00:10:26,00:10:27,great I am as a match or a prospect.
00:10:27,00:10:30,They must give Ethel the questions beforehand.
00:10:30,00:10:31,I don't know.
00:10:31,00:10:34,"I quite like the idea of the Jeremy Paxman kind of dating service, whereas if you answer"
00:10:34,00:10:37,"on a plate, it's just seven-ten points."
00:10:37,00:10:38,"It's just the same question, yeah."
00:10:38,00:10:46,"So you'd like films. Well, I've seen them. It had 17 franchises by the mid-80s. And there"
00:10:46,00:10:50,"was one, there was even, there was one specifically for people in Washington, D.C. with herpes."
00:10:50,00:10:52,That's how successful it was.
