start_hhmmss,end_hhmmss,text
00:00:00,00:00:05,"Hi everybody, Dan and Andy here, and we have an announcement of our exciting guest today,"
00:00:05,00:00:09,"and then we have an apology to make, and then we have another exciting announcement."
00:00:09,00:00:11,It's an excitement sandwich.
00:00:11,00:00:12,That's true.
00:00:12,00:00:16,"So joining us on the podcast today is one of our heroes, someone that we've been reading"
00:00:16,00:00:22,"the books of for many years now, and who excitingly has just entered the world of podcasting herself,"
00:00:22,00:00:25,and that is the historian Mary Beard.
00:00:25,00:00:28,"Yes, Mary is one of Britain's best known classes."
00:00:28,00:00:29,She's brilliant.
00:00:29,00:00:33,"She knows everything there is to know about the ancient world, and excitingly, her new"
00:00:33,00:00:35,"podcast, all about classics, has just launched."
00:00:35,00:00:38,It's called Instant Classics.
00:00:38,00:00:39,It's very funny and interesting.
00:00:39,00:00:41,Episode one is Which Roman Emperor is Donald Trump?
00:00:41,00:00:44,So if you like the sound of Mary's stuff and you'd like to learn a bit more about the
00:00:44,00:00:47,"ancient world, check out Instant Classics."
00:00:47,00:00:48,That's right.
00:00:48,00:00:51,She co-hosts it with a brilliant author called Charlotte Higgins.
00:00:51,00:00:52,It's a very funny show.
00:00:52,00:00:56,"They're going to be doing a book club based on the Odyssey, so do check it out, available"
00:00:56,00:00:58,wherever you get your podcasts.
00:00:58,00:01:02,"Another thing that we need to say is sorry, Andy."
00:01:02,00:01:07,"We've had some correspondents from Zak Rosolinski who says, ""In the intro to your most recent"
00:01:07,00:01:11,"episode, you said astronauts on the ISS could not attend your forthcoming remote live show"
00:01:11,00:01:15,"at the London Podcast Festival because they do not have Wi-Fi."""
00:01:15,00:01:16,This is not true.
00:01:16,00:01:21,"He says, ""The ISS does have Wi-Fi, although it is more used for navigation and whatnot"
00:01:21,00:01:23,"than downloading podcasts."""
00:01:23,00:01:27,"But astronauts do have an approved list of downloadable materials, so all we need to"
00:01:27,00:01:33,"do is get on to the International Space Station list of approved materials, and then they"
00:01:33,00:01:37,too will be able to attend on the 5th and 6th of September.
00:01:37,00:01:41,"For a week afterwards, guys, you can buy your tickets a bit late and still stream the London"
00:01:41,00:01:43,"Podcast Festival, no such thing as official live shows."
00:01:43,00:01:44,They're going to be great.
00:01:44,00:01:45,That's right.
00:01:45,00:01:48,"We've got Jamie Morton and my dad wrote a porno joining us on the 5th of September,"
00:01:48,00:01:52,and then Richard Osman joining us on the 6th.
00:01:52,00:01:56,"It's going to be awesome, but if you can't make it to those live shows, guess what?"
00:01:56,00:01:59,We are announcing another live show.
00:01:59,00:02:03,"Our cup runneth over, your cup runneth over."
