start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:14,"- Hello, and welcome to another episode"
00:00:14,00:00:17,"of No Such Thing as a Fish, a weekly podcast"
00:00:17,00:00:19,coming to you from the QI offices in Hoburn.
00:00:19,00:00:20,My name is Dan Schreiber.
00:00:20,00:00:23,"I'm sitting here with Andrew Hunter Murray,"
00:00:23,00:00:25,"James Harkin, and Anna Tyshinski."
00:00:25,00:00:27,"And once again, we have gathered around the microphones"
00:00:27,00:00:30,with our four favorite facts from the last seven days.
00:00:30,00:00:32,"And in no particular order, here we go."
00:00:32,00:00:36,"Starting with fact number one, and that is Anna."
00:00:36,00:00:38,"- My fact this week is that in the 1940s,"
00:00:38,00:00:42,a mystery man traveled America measuring the holes
00:00:42,00:00:46,in donuts and passing a ruling on what size they should be.
00:00:46,00:00:47,- Pervert.
00:00:47,00:00:49,(laughing)
00:00:49,00:00:50,It's got pervert written all over it.
00:00:50,00:00:52,(laughing)
00:00:52,00:00:54,- That didn't even cross my mind.
00:00:54,00:00:56,Now I'm looking down all my research on this guy
00:00:56,00:00:57,and questioning his motives.
00:00:57,00:00:58,"- Yeah, I didn't as well."
00:00:58,00:01:00,Why is he a pervert?
00:01:00,00:01:01,What's going on?
00:01:01,00:01:03,- Just it's weird having an obsession with measuring holes
00:01:03,00:01:04,"and putting your mucky little fingers in there,"
00:01:04,00:01:05,"and like, what are you doing?"
00:01:05,00:01:06,- 'Cause he got mucky fingers.
00:01:06,00:01:07,(laughing)
00:01:07,00:01:09,"- 'Cause they got sugar on them, 'cause they're all the donuts."
00:01:09,00:01:11,- We don't know he wasn't a good hand washer.
00:01:11,00:01:13,"In fact, we know almost nothing about him."
00:01:13,00:01:14,- What was he measuring the holes with?
00:01:14,00:01:15,That's what I wanna know.
00:01:15,00:01:17,"- Come on, people."
00:01:17,00:01:18,"- Okay, now I get it."
00:01:18,00:01:19,(laughing)
00:01:19,00:01:23,- Edward Velasca was a perfectly innocent donut aficionado.
00:01:23,00:01:25,"And this, I started looking into this"
00:01:25,00:01:28,'cause there's a picture that occasionally pops up online
00:01:28,00:01:31,of a man who's holding up a big sign
00:01:31,00:01:32,with three pictures on it.
00:01:32,00:01:36,And the sign says size of donut hole down through the years.
00:01:36,00:01:38,And then there's three pictures of donuts
00:01:38,00:01:41,"in 1927, '37, and '48."
00:01:41,00:01:44,And there are just all these reports in the late 1940s
00:01:44,00:01:47,"of this guy, Edward Velasca, going around America"
00:01:47,00:01:51,and announcing that donut holes will be shrinking.
00:01:51,00:01:52,"And that, he says, is because people"
00:01:52,00:01:57,"are getting dunked dimples from handling the existing size,"
00:01:57,00:01:59,"which I think meant if the hole's too big,"
00:01:59,00:02:02,you leave a dent in your donut when you dip it.
00:02:02,00:02:04,"- Pervert, pervert, pervert, pervert."
00:02:04,00:02:05,I'm sorry.
00:02:05,00:02:06,This is just a screen spread.
00:02:06,00:02:08,"Also, this was the 1940s."
00:02:08,00:02:10,The world had big things on its plate.
00:02:10,00:02:11,- No longer.
00:02:11,00:02:12,"- Nah, they've forgotten all that."
00:02:12,00:02:13,It was '47.
00:02:13,00:02:15,- First half of the '40s was a very stressful time.
00:02:15,00:02:16,- It was.
00:02:16,00:02:18,- But second half was donut city.
00:02:18,00:02:20,"- No, you're right, people."
00:02:20,00:02:23,"- Maybe he was in the war, and when peace comes,"
00:02:23,00:02:25,I'm gonna get back to doing what I love.
00:02:25,00:02:27,- I'm thinking PTSD.
00:02:27,00:02:29,"- This, actually, that was the most plausible explanation."
00:02:29,00:02:30,"- It's all it holds, isn't it?"
00:02:30,00:02:32,"- It's a, kkkk."
00:02:32,00:02:33,"- Oh, yes, of course."
00:02:33,00:02:35,- It's the D in PTSD for donut.
00:02:35,00:02:38,"I didn't know that, I did not know that."
00:02:38,00:02:39,"- So there's a great photo, isn't there,"
00:02:39,00:02:41,"of him holding up a board,"
00:02:41,00:02:43,and he's pointing to three different donuts over the years.
00:02:43,00:02:44,- That's the one.
00:02:44,00:02:46,"- That's the one in that, exactly."
00:02:46,00:02:48,"And that photo, we have that thanks"
00:02:48,00:02:52,"to a Smithsonian collection of donut ephemera,"
00:02:52,00:02:54,which is collected by Sally L. Steinberg.
00:02:54,00:02:56,"She is the donut princess of America,"
00:02:56,00:02:57,and she wrote a book.
00:02:57,00:02:58,- Self-appointed.
00:02:58,00:02:59,- Self-appointed.
00:02:59,00:03:01,"She wrote a book called The Donut Book,"
00:03:01,00:03:03,"The Origins, History, Literature, Law, Taste,"
00:03:03,00:03:05,"Etiquette, Traditions, Techniques, Varieties,"
00:03:05,00:03:07,"Mathematics, Mythology, Commerce, Philosophy,"
00:03:07,00:03:09,"Cuisine, and Glory of the Donut,"
00:03:09,00:03:12,"which I found a copy of, and it is insane."
00:03:12,00:03:15,"It's an insane book, but it's so brilliantly researched."
00:03:15,00:03:18,And she's the person who has this photo
00:03:18,00:03:19,that we now know of as a result of her collection.
00:03:19,00:03:21,"- Yeah, if you thought the Smithsonian"
00:03:21,00:03:23,"had very serious things in its collection, it doesn't."
00:03:23,00:03:25,"It has donut ephemera from this girl,"
00:03:25,00:03:26,who was the granddaughter of that.
00:03:26,00:03:28,"I think the reason she calls herself a princess,"
00:03:28,00:03:30,"'cause she was the granddaughter of Adolf Levitt,"
00:03:30,00:03:33,"a refugee from Russia in the 1920s,"
00:03:33,00:03:34,who made America's first donut machine.
00:03:34,00:03:37,"So it got called The Donut King, and she's his offspring."
00:03:37,00:03:39,"- 'Cause obviously Russia did away with the monarchy,"
00:03:39,00:03:42,"didn't they, in the start of the 20th century,"
00:03:42,00:03:45,"but they didn't figure for the donut monarchy, did they?"
00:03:45,00:03:46,"- Yeah, indeed."
00:03:46,00:03:49,"They were chasing him down for decades, actually."
00:03:49,00:03:52,"A lot of Stalin's resources went in, tracking him down."
00:03:52,00:03:53,"- He was supposedly inspired,"
00:03:53,00:03:55,"so it goes back to the war, actually,"
00:03:55,00:03:58,"where people were cooking biscuits and dough,"
00:03:58,00:03:59,and they were putting them on bayonets
00:03:59,00:04:00,"and giving them out to soldiers,"
00:04:00,00:04:03,"so you would have the whole, so that you could kebab it."
00:04:03,00:04:05,"That's, there's lots of stories"
00:04:05,00:04:06,about how he had the inspiration.
00:04:06,00:04:07,That's one that's mentioned.
00:04:07,00:04:08,- I think it's definitely true
00:04:08,00:04:11,"that they did have donuts in the war, though, isn't it?"
00:04:11,00:04:12,"In the First World War,"
00:04:12,00:04:15,they had the Salvation Army volunteers
00:04:15,00:04:16,"who went there on the front line,"
00:04:16,00:04:18,and they just went there to make various sweet meats
00:04:18,00:04:20,"and cakes and stuff,"
00:04:20,00:04:21,"but they realized that donuts, actually,"
00:04:21,00:04:24,you don't really need many ingredients for them.
00:04:24,00:04:25,You don't need to bake them.
00:04:25,00:04:27,"You can just cook them in oil,"
00:04:27,00:04:30,so they're really easy to do right on the front line.
00:04:30,00:04:31,"And I think the popularity of donuts,"
00:04:31,00:04:33,people put it down to that
00:04:33,00:04:35,because the servicemen came home
00:04:35,00:04:37,and they kind of got a taste for the donut.
00:04:37,00:04:39,"- Quite brave, these, they were called the dough lassies?"
00:04:39,00:04:42,"The Salvation Army, and there's some men in the tents as well,"
00:04:42,00:04:44,"the Salvation Army tents, and plenty of women, too,"
00:04:44,00:04:48,"and they were sort of looking after the American soldiers,"
00:04:48,00:04:49,"and sometimes they got shrapnel in the tents,"
00:04:49,00:04:52,"they were that close to the front lines, and yeah."
00:04:52,00:04:53,- That's how sprinkles were born.
00:04:53,00:04:55,(laughing)
00:04:55,00:04:58,"- And didn't they, they used Stolder's helmets"
00:04:58,00:04:59,as frying pan?
00:04:59,00:05:00,- As cooking pan.
00:05:00,00:05:01,- Really?
00:05:01,00:05:03,- They used bayonets to store the donuts on them.
00:05:03,00:05:04,- This is amazing.
00:05:04,00:05:07,The whole of war was just a donut production unit.
00:05:07,00:05:09,"- It was, that was what it was for."
00:05:09,00:05:10,"- Wait, is it a bayonet charge they're doing,"
00:05:10,00:05:13,or are they just bringing us some lovely new donut?
00:05:13,00:05:15,"- Is that a jam, or is it, yeah."
00:05:15,00:05:18,"- Open your mouth, and cross your fingers."
00:05:18,00:05:20,"No, they did, they said they used Stolder's helmets,"
00:05:20,00:05:21,they'd asked for a Stolder's helmet to double up
00:05:21,00:05:23,"as a frying pan, 'cause they didn't have"
00:05:23,00:05:24,any of the equipment at first.
00:05:24,00:05:25,"Well, this is what they claimed,"
00:05:25,00:05:29,"but I don't believe these women, because they also claim--"
00:05:29,00:05:30,- Your cash price.
00:05:30,00:05:33,(laughing)
00:05:33,00:05:34,"- There were two women who started it, really,"
00:05:34,00:05:37,"it was their idea, and Helen Pervience,"
00:05:37,00:05:39,"who was one of those, another Perv."
00:05:39,00:05:41,"- Another Perv, yeah."
00:05:41,00:05:42,"- She wrote that in one day,"
00:05:42,00:05:44,"her and her one colleague, Margaret,"
00:05:44,00:05:46,"who were making these in their frying pans,"
00:05:46,00:05:49,"using their shell casings as rolling pins,"
00:05:49,00:05:52,"she wrote they'd make in one day 2,500 donuts,"
00:05:52,00:05:55,"100 cupcakes, 50 pies, 800 pancakes,"
00:05:55,00:05:58,"and 255 gallons of cocoa,"
00:05:58,00:06:00,"which James, you've worked in catering."
00:06:00,00:06:01,- That's a lot.
00:06:01,00:06:03,- That's not possible.
00:06:03,00:06:04,"- War catering, isn't it?"
00:06:04,00:06:06,"Can we talk about the mad donut myth,"
00:06:06,00:06:08,I think this is not true of donuts in general.
00:06:08,00:06:11,"- Okay, go on, 'cause I'm gonna counter it,"
00:06:11,00:06:12,I think it might be true.
00:06:12,00:06:15,"- Oh, okay, while we're in New England,"
00:06:15,00:06:18,"they had been brought over as oily cooks,"
00:06:18,00:06:20,"which is the Dutch word meaning oily cakes,"
00:06:20,00:06:21,"cakes were cooked in oil,"
00:06:21,00:06:23,"and then in New England,"
00:06:23,00:06:25,"there was a woman called Elizabeth Gregory,"
00:06:25,00:06:27,"and her son was a ship's captain,"
00:06:27,00:06:28,"and she wanted to feed him,"
00:06:28,00:06:31,"you know, keep him well fed at sea and all of that,"
00:06:31,00:06:35,"and she put nuts in the center of the little cake she made,"
00:06:35,00:06:38,"there was dough in the middle, dough, nuts, donuts,"
00:06:38,00:06:41,"and supposedly her son, Hanson Gregory,"
00:06:41,00:06:44,"put the hole in donuts,"
00:06:44,00:06:46,"because he was a ship's captain,"
00:06:46,00:06:47,"he was at the wheel having one of his snacks,"
00:06:47,00:06:49,"a terrible storm blew up,"
00:06:49,00:06:51,"he was trying to control this big ship's wheel,"
00:06:51,00:06:54,he jams his donut on the wheel.
00:06:54,00:06:59,- Are you deliberately making up extra stuff now?
00:06:59,00:07:00,- This is the story.
00:07:00,00:07:03,"- He skews it on the ship's wheel to control the donut,"
00:07:03,00:07:05,"while he's, you know, helming with it."
00:07:05,00:07:06,- It makes total sense.
00:07:06,00:07:08,- He's trying to control the ship and keep his lovely donut.
00:07:08,00:07:10,"- I actually think, Andy,"
00:07:10,00:07:13,"that you were not going to go down any of this rope,"
00:07:13,00:07:14,"but as soon as I said that, I believe it,"
00:07:14,00:07:16,"you thought, right, what is the most ridiculous thing"
