start_hhmmss,end_hhmmss,text
00:00:00,00:00:07,"Hello Clubfish members, welcome to this week's episode of Fish and a special top of show"
00:00:07,00:00:09,announcement just for you.
00:00:09,00:00:12,"Now, first things first, let's get the guest out of the way."
00:00:12,00:00:17,"Bit rude for me to say that, I suppose, considering it was the fantastic Melanie Bray's"
00:00:17,00:00:18,well.
00:00:18,00:00:21,"Melanie's a really good friend of ours, we've known her for many, many years."
00:00:21,00:00:25,She's a regular on Australian television in New Zealand as well.
00:00:25,00:00:27,She's been on New Zealand Taskmaster.
00:00:27,00:00:33,"She hosts a TV show called Cheap Seats Australia, but you've seen her on TV in the UK as well."
00:00:33,00:00:38,"She's been on QI a couple of times, and she has very recently been on Richard Osmond's"
00:00:38,00:00:39,House of Games.
00:00:39,00:00:43,"She's a brilliant stand-up comedian as well though, and so if you would like to see her"
00:00:43,00:00:45,"on tour, great news."
00:00:45,00:00:52,She's coming to the UK and her tickets are available at MelanieBraySwell.com/taw.
00:00:52,00:00:58,"So do get tickets for that, and, indeed, speaking of people who are going on tour, we are doing"
00:00:58,00:01:02,"a live show very soon, and it is an unbelievably exciting one."
00:01:02,00:01:06,"It is at the Royal Institution, no less."
00:01:06,00:01:11,Can you believe they are letting us in to the venerable building to do a podcast.
00:01:11,00:01:15,"It's just before Christmas, the 20th of December, there'll be a very, very special guest there"
00:01:15,00:01:16,on stage with us.
00:01:16,00:01:20,"However, it's going to be a whole load of Christmassy and Society fun, and so definitely"
00:01:20,00:01:21,come along to that.
00:01:21,00:01:26,"If you would like tickets for that, get in there fast because it's a pretty small venue,"
00:01:26,00:01:29,and we're not announcing it to the main feed for a little while.
00:01:29,00:01:31,"This is just for you, Club Fishers."
00:01:31,00:01:37,"If you go to nosichthingsandfish.com/ri, you'll be able to get details for that show."
00:01:37,00:01:39,"Anyway, enough about the future."
00:01:39,00:01:43,"It's all about the present, and this week's show with MelanieBraySwell, so really help"
00:01:43,00:02:02,"you enjoy it, and all that's left to say is on with the podcast!"
00:02:02,00:02:08,"Hello, and welcome to another episode of No Such Thing as a Fish, a weekly podcast this"
00:02:08,00:02:13,week coming to you from four undisclosed locations around the globe.
00:02:13,00:02:14,My name is Dan Schreiber.
00:02:14,00:02:19,"I am sitting here with Andrew Hunter Murray, James Harkin, a special guest."
00:02:19,00:02:23,"It's MelanieBraySwell, and once again, we have gathered around the microphones with our"
00:02:23,00:02:30,"four favorite facts from the last seven days, and in no particular order, here we go."
00:02:30,00:02:33,"Starting with fact number one, and that is Mel."
00:02:33,00:02:39,My fact this week is that a congested tunnel in Australia has installed moving lights
00:02:39,00:02:46,"that you race against, and it has helped reduce stop, start traffic by 70%."
00:02:46,00:02:48,And I drive this tunnel frequently.
00:02:48,00:02:51,"Do you, and you've done the racing against the lights?"
