start_hhmmss,end_hhmmss,text
00:00:00,00:00:02,(upbeat music)
00:00:02,00:00:06,"Hello, you lovely club fish member on Patreon."
00:00:06,00:00:08,Here is your announcement for the big news
00:00:08,00:00:11,of changes happening to no such thing as a fish.
00:00:11,00:00:15,"Well, first of all, the main thing to say to you guys"
00:00:15,00:00:17,"is that if you want to stay exactly where you are,"
00:00:17,00:00:18,then nothing changes.
00:00:18,00:00:20,"Well, very slightly changes."
00:00:20,00:00:22,We are gonna move the bonus content to Wednesdays
00:00:22,00:00:23,instead of Tuesdays.
00:00:23,00:00:26,That's just to make our workflow a little bit easier.
00:00:26,00:00:29,But every other week you will still get your episode
00:00:29,00:00:31,"of ""Droppers Align"" and in fact, ""Droppers Align"""
00:00:31,00:00:33,will now become fortnightly.
00:00:33,00:00:35,We won't be doing any of the little bits and pieces
00:00:35,00:00:38,"instead, this is a ""Droppers Align"" zone."
00:00:38,00:00:41,"If you would like to get involved with any other tiers,"
00:00:41,00:00:43,"so that is plenty more fish,"
00:00:43,00:00:45,"which includes video ""Droppers Align"""
00:00:45,00:00:49,"and full, more or less unedited episodes of fish"
00:00:49,00:00:51,"then go to our ""Plency More Fish"" tier."
00:00:51,00:00:53,"And if you would like to be a friend of the podcast,"
00:00:53,00:00:55,then the top tier is for you.
00:00:55,00:00:57,You will become custodian of a fact.
00:00:57,00:01:00,You will be able to come to our three monthly Zoom quizzes
00:01:00,00:01:03,and you will also get into the archive
00:01:03,00:01:06,where we put basically the Museum of Fish.
00:01:06,00:01:08,So lots of other places you can go.
00:01:08,00:01:09,There's merch there as well.
00:01:09,00:01:11,So go and explore if you want to.
00:01:11,00:01:13,"But if not, then please stay here, ""Droppers Align"""
00:01:13,00:01:16,and your every episodes of fish will stay exactly
00:01:16,00:01:17,as they were.
00:01:17,00:01:19,"Okay, on with the podcast."
00:01:19,00:01:22,(upbeat music)
00:01:22,00:01:26,(upbeat music)
00:01:26,00:01:29,(speaking in foreign language)
00:01:29,00:01:31,(upbeat music)
00:01:31,00:01:37,Hello and welcome to another episode
00:01:37,00:01:40,"of ""No Such Thing As A Fish"" a weekly podcast."
00:01:40,00:01:42,This week coming to you live
00:01:42,00:01:44,from the London Podcast Festival.
00:01:44,00:01:48,(audience cheering)
00:01:48,00:01:50,My name is Dan Schreiber.
00:01:50,00:01:52,"I am sitting here with Andrew Hunter Murray,"
00:01:52,00:01:54,"James Harkin, and Jamie Morton."
00:01:54,00:01:56,"And once again, we have gathered around the microphones"
00:01:56,00:01:59,with our four favorite facts from the last seven days
00:01:59,00:02:02,"and in no particular order, here we go."
00:02:02,00:02:06,"Starting with fact number one, and that is Jamie."
00:02:06,00:02:10,"Iconic Fespian, ""Bear Bome"" had a walk on part"
00:02:10,00:02:14,"in every single production at the ""Geal Good Theater"""
00:02:14,00:02:17,in London's West End for 20 years.
00:02:17,00:02:21,"And, fittingly, had a front page obituary"
00:02:21,00:02:23,in the stage newspaper.
00:02:23,00:02:25,He was also a cat.
00:02:25,00:02:29,(audience laughing)
00:02:29,00:02:32,"I know, I mean, what a hack, I'm sorry."
00:02:32,00:02:34,"That is a Fespian cat, that is."
00:02:34,00:02:35,Yeah.
00:02:35,00:02:38,"For people listening on the podcast next week,"
00:02:38,00:02:40,"or whenever it goes out, can you describe"
00:02:40,00:02:41,the cat who was Jamie?
00:02:41,00:02:43,"We've got a tabby cat, he's male,"
00:02:43,00:02:47,"and he's lounging on stage at the ""Geal Good."""
00:02:47,00:02:49,"Looking very happy with his beautifully lit,"
00:02:49,00:02:51,"it's black and white, it's very,"
00:02:51,00:02:53,"it's also like a headshot, but it's a full body."
00:02:53,00:02:54,(audience laughing)
00:02:54,00:02:55,Yeah.
00:02:55,00:02:56,Shays long kind of look.
00:02:56,00:02:57,"That little, is that a photo of a tail?"
00:02:57,00:03:00,"He's like saying, ""Paint me like one of your French cats."""
00:03:00,00:03:01,It's giving that energy to them.
00:03:01,00:03:02,"Oh, yeah, yeah, that's the way it is."
00:03:02,00:03:05,Same opulence as well around it in terms of the architecture.
00:03:05,00:03:07,"Yeah, I mean, I love this cat."
00:03:07,00:03:08,"So, I'm not gonna lie."
00:03:08,00:03:10,I fall in love with him this week.
00:03:10,00:03:11,"I've never heard of him before, but now I love him."
00:03:11,00:03:14,"So, when you say walk on roll in all the plays,"
00:03:14,00:03:15,was that official?
00:03:15,00:03:17,Was he written into?
00:03:17,00:03:18,No.
00:03:18,00:03:19,No.
00:03:19,00:03:22,"So, he was the resident, is it like Mouser?"
00:03:22,00:03:23,Is that the name?
00:03:23,00:03:27,"Yeah, Mouser name, that they caught the mice."
00:03:27,00:03:31,"And he just would randomly walk on stage during productions,"
00:03:31,00:03:34,"which being a theatre director, I find chilling,"
00:03:34,00:03:37,"'cause you work so hard to kind of make a show good,"
00:03:37,00:03:40,then some fucking cats just like wandering in front of everyone.
00:03:40,00:03:42,And what did the actors think of it?
00:03:42,00:03:47,"Well, the actors loved this cat, almost uniformly."
00:03:47,00:03:51,"I think there wasn't a single actor who didn't love beer bone,"
00:03:51,00:03:54,"'cause he is, as I said, a total hag."
00:03:54,00:03:58,"I mean, look at him, but yeah, he was loved."
00:03:58,00:04:01,And people got very attached to him.
00:04:01,00:04:03,So much so that he had this obituary
00:04:03,00:04:05,on the front page of the stage newspaper.
00:04:05,00:04:09,"And people like Penelope Keith wrote obituries for him,"
00:04:09,00:04:10,like loads of actors kind of got involved.
00:04:10,00:04:12,"The stage, I hadn't heard of the stage,"
00:04:12,00:04:15,is that like the main main thing that you can get on it?
00:04:15,00:04:18,"The Bible, Dan, honestly."
00:04:18,00:04:18,I love that.
00:04:18,00:04:20,"No, I had actually heard of it."
00:04:20,00:04:22,"I was just being them for a second, yeah."
00:04:22,00:04:24,Then they've heard of it too.
00:04:24,00:04:26,"Oh, so it is just being staged."
00:04:26,00:04:27,"It's a great news paper, yeah."
00:04:27,00:04:28,"No, it is, it's a great news paper."
00:04:28,00:04:29,"It's behind a play wall, but it's great."
00:04:29,00:04:31,"Okay, a lot of people did love beer bone,"
00:04:31,00:04:34,but beer bone would arrive on stage at moments
00:04:34,00:04:37,"that weren't necessarily good for a scene, you know?"
00:04:37,00:04:40,"There was one play that was on, which was called"
00:04:40,00:04:44,"the House of Bernard Alba, which had a lot of sand"
00:04:44,00:04:49,"all over the stage, which beer bone was the ultimate pooing ground."
00:04:49,00:04:52,"It was, so that was not good, right?"
00:04:52,00:04:55,"Well, it was not good for who, we loved it."
00:04:55,00:04:57,It adds realism to the play.
00:04:57,00:04:58,"Oh, yeah."
00:04:58,00:04:59,That's where it's set.
00:04:59,00:05:01,"If it's set in the pitiless desert of the Sahara,"
00:05:01,00:05:04,"it actually, I would say, kills the mood a bit,"
00:05:04,00:05:06,"to have a house cat, though enough."
00:05:06,00:05:09,Some people think it's good luck for a cat to be on stage
00:05:09,00:05:12,"and in America, at least, there was a superstition"
00:05:12,00:05:15,"that if a black cat came into the theatre,"
00:05:15,00:05:16,that was really good luck.
00:05:16,00:05:18,"And if it came on the first night,"
00:05:18,00:05:20,"that was really, really good luck,"
00:05:20,00:05:21,and the whole show was going to be amazing.
00:05:21,00:05:22,Right.
00:05:22,00:05:25,And so the fifth avenue theatre in New York
00:05:25,00:05:28,"used to keep a black cat backstage,"
00:05:28,00:05:30,"and then on the first show of every run,"
00:05:30,00:05:32,"that they would throw it out there,"
00:05:32,00:05:34,"so that it was on stage, and that was good luck."
00:05:34,00:05:35,"Oh, yeah."
00:05:35,00:05:37,"And the reason you said, ""Master"" is second to go, Jamie."
00:05:37,00:05:40,"The reason that cats used to be very, very important in theatre"
00:05:40,00:05:43,"is because back in the day, food being thrown on stage"
00:05:43,00:05:47,to show your all-pleasure in a play was a massive thing.
00:05:47,00:05:49,"So at the end of every night, food was just everywhere,"
00:05:49,00:05:51,"all over the stage, which brought in the mice,"
00:05:51,00:05:53,"and mice were a huge, huge problem."
00:05:53,00:05:56,So theatres would have sometimes up to 20 cats
00:05:56,00:05:58,roaming around catching mice if they had problems.
00:05:58,00:06:02,"But a lot of those cats will lie on their CVs, you know."
00:06:02,00:06:04,"You've put on here, you also do birds."
00:06:04,00:06:05,Is that true?
00:06:05,00:06:06,"Yeah, yeah, yeah."
00:06:06,00:06:10,"Yeah, because actually Bearbone was on the payroll, I read."
00:06:10,00:06:12,"He was officially listed on the Gilgood payroll,"
00:06:12,00:06:14,"which, as a former accountant, I think,"
00:06:14,00:06:16,brings up a whole host of problems.
00:06:16,00:06:19,"Like, who pays the national insurance on that?"
00:06:19,00:06:21,"Yeah, I wonder who his agent was."
00:06:21,00:06:22,"I don't know, someone bloody good."
00:06:22,00:06:23,"Yeah, 15% of a cat."
00:06:23,00:06:26,"And apparently, he would disappear from time to time,"
00:06:26,00:06:28,according to Dame Hilda Brackett.
00:06:28,00:06:31,He would dash off to see a particular friend
00:06:31,00:06:32,at the Lyric Theatre.
00:06:32,00:06:33,His girlfriend?
00:06:33,00:06:36,"Yeah, she said, ""We used to hear lots of meows."
00:06:36,00:06:37,"""This was so ho after all."""
00:06:37,00:06:40,[LAUGHTER]
00:06:40,00:06:40,I love it.
00:06:40,00:06:44,"Do you think all of-- most West Emphaters have cats, as you said."
00:06:44,00:06:44,Yeah.
00:06:44,00:06:45,They're all mates.
00:06:45,00:06:46,"Do they just, like, all meet up at--"
00:06:46,00:06:48,"Like, that's a cute, that's a great show, though."
00:06:48,00:06:49,That's a charity book.
00:06:49,00:06:51,You should have seen the performance of this.
